GEN.1.1	A fɔlɔfɔlɛ la, Ala ka saŋɛ nun duge da.
GEN.1.2	Duge bele ɲiɲaren nun, a be a tɛsɛŋɛ le la nun. Dibe le be ji banba mabutinden nun. Kɔnɔ Ala be a la fɔɲɔ balunɛŋɛ latagamanna je kunma nun. 
GEN.1.3	Wo tɛmuɛ le, Ala ka a fɔ, a ko: «Kɛnɛ ni bɔɔ!» Kɛnɛ bɔɔta kisanna. 
GEN.1.4	Ala ka a yen wo kɛnɛ kaɲin. Ala ka kɛnɛ nun dibe lafatan. 
GEN.1.5	Ala ka kɛnɛ tɔgɔ sa ‹tele›, a ka dibe tɔgɔ sa ‹sue›. Sue donta, ɲɔ kɛnɛta, lɔgɔ fɔlɛ le wo la.
GEN.1.6	Ala ka a fɔ, a ko: «Naniŋɛ ni to jenu tɛma anu fatan koe la.» 
GEN.1.7	Ala ka wo naniŋɛ da, a ka a to duge tɔ je, anun saŋɛ tɔ je tɛma. A mata ɲɔgɔnna le. 
GEN.1.8	Ala ka kɛ naniŋɛ tɔgɔ sa ‹saŋɛ›. Sue donta, ɲɔ kɛnɛta, lɔgɔ filaɲɔgɛ le mu wo la.
GEN.1.9	Ala ka a fɔ, a ko: «Duge tɔ je ni madɛn kan dɔndɔ, kan bala ni sɔtɔ.» A mata ɲɔgɔnna le. 
GEN.1.10	Ala ka wo kan bala tɔgɔ sa ‹dugu bala›. A ka wo duge tɔ je tɔgɔ sa ‹ba›. Ala ka a yen wo bɛ kaɲin. 
GEN.1.11	Wo kɔma Ala ka a fɔ, a ko: «Kifeŋɛnu ni fɛtɛn duge kunma. Kifeŋɛnu ni fɛtɛn a kole be a butɔ a bɛ nun a bɔnsɔ. Lɔgɔ wolonɛŋɛ minnu wole kole be a tɔ, anu ni fɛtɛn a bɛ nun a bɔnsɔ.» A mata ɲɔgɔnna le. 
GEN.1.12	Kifeŋɛnu fɛtɛnta duge kunma, kifeŋɛnu fɛtɛnta anu kole be a tɔ, a bɛ nun a bɔnsɔ. Lɔgɔ wolonɛŋɛ minnu wole kole be a tɔ, anu fɛtɛnta a bɛ nun a bɔnsɔ. Ala ka a yen a kaɲin. 
GEN.1.13	Sue donta, ɲɔ kɛnɛta, lɔgɔ sabaɲɔgɛ le mu wo la.
