MAT.1.1	Yesu Kristo gɔ nɖe Igara David ɔwa tɛtɛ, fiɛ David ɔ̃ wũ ɔɖe Abraham ɔwa ɔɣekparɛ i ngbe ne.
MAT.1.2	Abraham ɔɣe Isak, Isak ɔ̃ wũ ɔɣe Yakob gɔ loɣe Yuda ku ɔ̃ manyiibi.
MAT.1.3	Yuda gu ɔ̃ ɔre Tamai ɔɣe Perez gu Zera, fiɛ Perez ɔɣe Hezron, Hezron ɔɣe Aram,
MAT.1.4	Aram ɔ̃ wũ ɔɣe Aminadab, Aminadab ɔɣe Naheson, Naheson ɔɣe Salmon.
MAT.1.5	Salmon gu ɔ̃ ɔre Rahab ɔɣe Boaz fiɛ Boaz gu ɔ̃ ɔre Rut ɔɣe Obed, Obed ɔɣe Isai,
MAT.1.6	Isai ɔɣe Igara David.
MAT.1.6	Ita i Igara David iso isɛ iabo ɔwi gɔ mamɔɛ̃ Israel mabi makɛlɛgu sisande ame i Babilonia karɔ̃ iso ne, mawa ma nto maba i ngbe lowe ne,
MAT.1.6	David gu ɔrɔ̃go gɔ ɔmɔɛ̃ ɔfɔ i Urea kɔrɛ ɔɣe Salomo.
MAT.1.7	Salomo ɔɣe Rehoboam, Rehoboam ɔ̃ wũ ɔɣe Abiya, Abiya ɔɣe Asa.
MAT.1.8	Asa ɔɣe Yosafat, Yosafat ɔɣe Yoram, fiɛ Yoram ɔɣe Uzia.
MAT.1.9	Uzia ɔɣe Yotam fiɛ Yotam ɔɣe Ahaz, Ahaz ɔɣe Hezekia,
MAT.1.10	fiɛ Hezekia ɔɣe Manase gɔ loɣe Amon, Amon ɔɣe Yosia.
MAT.1.11	Yosia ɔɣe Yekoniya gu ɔ̃ manyiibi ku ɔwi gɔ makɛlɛ sisande ame i Babilonia.
MAT.1.12	Gɔ mabɔrɛ i sisande ame i Babilonia maba kama ne,
MAT.1.12	Yekoniya ɔɣe Sealtiel fiɛ Sealtiel ɔɣe Zerubabel.
MAT.1.13	Zerubabel ɔɣe Abihud, Abihud ɔ̃ wũ ɔɣe Elyakim fiɛ Elyakim ɔɣe Azur,
MAT.1.14	Azur ɔɣe Zadok, Zadok ɔɣe Akim, Akim ɔɣe Elihud,
MAT.1.15	Elihud ɔɣe Eleazar, Eleazar ɔɣe Matan, fiɛ Matan ɔɣe Yakob,
MAT.1.16	Yakob ɔɣe Yosef gɔ loyiri Maria, Maria gɔ loɣe Yesu gɔ marɔ sɔ Kristo.
MAT.1.17	Ne ɔso ita i Abraham iso isɛ iabo David iso ne, mawa iweo-ina maɣe masiaidzo. Ita i David iso isɛ iabo ɔwi gɔ i Israel mabi ɔkɛlɛ sisande ame i Babilonia karɔ̃ iso ana ne, mawa iweo-ina maɣe masiaidzo. Ana ne, ita i ɔwi gɔ mase i sisande ame maba isɛ iabo ɔwi gɔ maɣe Kristo ne, mawa iweo-ina maɣe masiaidzo.
MAT.1.18	Kumɛgɔ isɛ karɔ̃ fiɛ maɣe Yesu i ngbe ne. Makarɛ Maria matã Yosef, ɣɛɛ si ɔ̃akɔ wũ lɛ ɔ̃ ɔre ne, manya sɔ Maria ka ɔto kayiri iki i Siwarã Bielea ɔle ame. 
MAT.1.19	Yosef ɖe ɔturi bɔlɔlɔa i Ɣaa anɔ, ɣɛɛ gɔ ɔ̃ito ɔbie sɔ ɔ̃apia Maria kunuarɛ ɔso ne, ɔbie sɔ ɔ̃anyua ɔrɔ̃go i iwɛrɛ ame. 
MAT.1.20	Ɔwi gɔ ɔto ɔbara adzuni wagbe i ɔ̃ iti ame ne, Ɣaa kpabo ɔwɛ̃ ɔɖi so ɔte wũ i kurɛ ame ɔɣere wũ sɔ, “Yosef, Igara David ɔwa tɛtɛ, daanigã sɔ aakɔ fɔ ɔre Maria abɔ so i kɔrɛ, ala kayiri ga ɔto ne, Siwarã Bielea kɔrɛ kabɔrɛ. 
MAT.1.21	Ɔto ɔ̃aɣe ɔbirɛrɛĩ, tã wũ iyere sɔ Yesu, alasɔ ɔ̃ loaɖi ɔ̃ maturi ɔbɔrɛgu i ma akpi ame ne.”
MAT.1.22	Nwagbe ɔɖuɖu ɔba sɔ si nnɛ i Ɣaa ɔɣɛ ɔkigu i ɔ̃ kanyaɖidze ɔwɛ̃ iso aaba i ne ame sɔ, 
MAT.1.23	“Ɔbitɛ gɔ loiɣe ɔrɛrɛ̃ to ɔ̃ala kayiri ɔɣe ɔbi birɛrɛĩ. Maatã wũ iyere sɔ Imanuel,” gɔ karɔ̃ nɖe sɔ Ɣaa piagu bo.
MAT.1.24	Ne ɔso gɔ Yosef ɔta ne, ɔyiri Maria lɛ kumɛgɔ i Ɣaa kpabo ɔɣere wũ awe. 
