GEN.1.1	 In the beginning
GEN.1.2	 Now
GEN.1.3	 God said,
GEN.1.4	 God saw
GEN.1.5	 God called
GEN.1.6	 God said, “Let there be an expanse
GEN.1.7	 So God made the expanse and separated the water under the expanse from the water above it.
GEN.1.8	 God called the expanse “sky.”
GEN.1.9	 God said, “Let the water under the sky be gathered to one place
GEN.1.10	 God called the dry ground “land”
GEN.1.11	 God said, “Let the land produce vegetation:
GEN.1.12	 The land produced vegetation – plants yielding seeds according to their kinds, and trees bearing fruit with seed in it according to their kinds. God saw that it was good. 
GEN.1.13	 There was evening, and there was morning, a third day.
GEN.1.14	 God said, “Let there be lights
GEN.1.15	 and let them serve as lights in the expanse of the sky to give light on the earth.” It was so. 
GEN.1.16	 God made two great lights
GEN.1.17	 God placed the lights
GEN.1.18	 to preside over the day and the night, and to separate the light from the darkness.
GEN.1.19	 There was evening, and there was morning, a fourth day.
GEN.1.20	 God said, “Let the water swarm with swarms
GEN.1.21	 God created the great sea creatures
GEN.1.22	 God blessed them
GEN.1.23	 There was evening, and there was morning, a fifth day. 
GEN.1.24	 God said, “Let the land produce living creatures according to their kinds: cattle, creeping things, and wild animals, each according to its kind.”
GEN.1.25	 God made the wild animals according to their kinds, the cattle according to their kinds, and all the creatures that creep along the ground according to their kinds. God saw that it was good.
GEN.1.26	 Then God said, “Let us make
GEN.1.27	 God created humankind
GEN.1.27	in the image of God he created them,
GEN.1.27	male and female he created them.
GEN.1.28	 God blessed
GEN.1.29	 Then God said, “I now
GEN.1.30	 And to all the animals of the earth, and to every bird of the air, and to all the creatures that move on the ground – everything that has the breath of life in it – I give
GEN.1.31	 God saw all that he had made – and it was very good!
GEN.2.1	 The heavens and the earth
GEN.2.2	 By
GEN.2.3	 God blessed the seventh day and made it holy
GEN.2.4	 This is the account
GEN.2.4	the earth
GEN.2.5	 Now
GEN.2.6	 Springs
GEN.2.7	 The 
GEN.2.8	 The 
GEN.2.9	 The 
GEN.2.10	 Now
GEN.2.10	 water the orchard, and from there it divides
GEN.2.11	 The name of the first is Pishon; it runs through
GEN.2.12	 (The gold of that land is pure;
GEN.2.13	 The name of the second river is Gihon; it runs through
GEN.2.14	 The name of the third river is Tigris; it runs along the east side of Assyria.
GEN.2.15	 The 
GEN.2.16	 Then the 
GEN.2.17	 but
GEN.2.18	 The 
GEN.2.19	 The 
GEN.2.20	 So the man named all the animals, the birds of the air, and the living creatures of the field, but for Adam
GEN.2.21	 So the 
GEN.2.22	 Then the 
GEN.2.23	 Then the man said, 
GEN.2.23	“This one at last
GEN.2.23	and flesh of my flesh; 
GEN.2.23	this one will be called
GEN.2.23	for she was taken out of
GEN.2.24	 That is why
GEN.2.25	 The man and his wife were both naked,
GEN.3.1	 Now
GEN.3.2	 The woman said to the serpent, “We may eat
GEN.3.3	 but concerning the fruit of the tree that is in the middle of the orchard God said, ‘You must not eat from it, and you must not touch it,
GEN.3.4	 The serpent said to the woman, “Surely you will not die,
GEN.3.5	 for God knows that when you eat from it your eyes will open
GEN.3.6	 When
GEN.3.7	 Then the eyes of both of them opened, and they knew they were naked; so they sewed fig leaves together and made coverings for themselves.
GEN.3.8	 Then the man and his wife heard the sound of the 
GEN.3.9	 But the 
GEN.3.10	 The man replied,
GEN.3.11	 And the 
GEN.3.12	 The man said, “The woman whom you gave me, she gave
GEN.3.13	 So the 
GEN.3.14	 The 
GEN.3.14	“Because you have done this, 
GEN.3.14	cursed
GEN.3.14	and all the living creatures of the field! 
GEN.3.14	On your belly you will crawl
GEN.3.14	and dust you will eat
GEN.3.15	 And I will put hostility
GEN.3.15	and between your offspring and her offspring;
GEN.3.15	her offspring will attack
GEN.3.15	and
GEN.3.16	 To the woman he said,
GEN.3.16	“I will greatly increase
GEN.3.16	with pain you will give birth to children.
GEN.3.16	You will want to control your husband,
GEN.3.16	but he will dominate
GEN.3.17	 But to Adam
GEN.3.17	“Because you obeyed
GEN.3.17	and ate from the tree about which I commanded you, 
GEN.3.17	‘You must not eat from it,’ 
GEN.3.17	cursed is the ground
GEN.3.17	in painful toil you will eat
GEN.3.18	 It will produce thorns and thistles for you, 
GEN.3.18	but you will eat the grain
GEN.3.19	 By the sweat of your brow
GEN.3.19	until you return to the ground,
GEN.3.19	for out of it you were taken; 
GEN.3.19	for you are dust, and to dust you will return.”
GEN.3.20	 The man
GEN.3.21	 The 
GEN.3.22	 And the 
GEN.3.23	 So the 
GEN.3.24	 When he drove
GEN.4.1	 Now
GEN.4.2	 Then she gave birth
GEN.4.3	 At the designated time
GEN.4.4	 But Abel brought
GEN.4.5	 but with Cain and his offering he was not pleased.
GEN.4.6	 Then the 
GEN.4.7	 Is it not true
GEN.4.8	 Cain said to his brother Abel, “Let’s go out to the field.”
GEN.4.9	 Then the 
GEN.4.10	 But the 
GEN.4.11	 So now, you are banished
GEN.4.12	 When you try to cultivate
