GEN.1.1	In the beginning God created the heaven and the earth. 
GEN.1.2	And the earth was waste and void; and darkness was upon the face of the deep: and the spirit of God moved upon the face of the waters. 
GEN.1.3	And God said, Let there be light: and there was light. 
GEN.1.4	And God saw the light, that it was good: and God divided the light from the darkness. 
GEN.1.5	And God called the light Day, and the darkness he called Night. And there was evening and there was morning, one day.
GEN.1.6	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters. 
GEN.1.7	And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so. 
GEN.1.8	And God called the firmament Heaven. And there was evening and there was morning, a second day.
GEN.1.9	And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so. 
GEN.1.10	And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good. 
GEN.1.11	And God said, Let the earth put forth grass, herb yielding seed, 
GEN.1.12	And the earth brought forth grass, herb yielding seed after its kind, and tree bearing fruit, wherein is the seed thereof, after its kind: and God saw that it was good. 
GEN.1.13	And there was evening and there was morning, a third day.
GEN.1.14	And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days and years: 
GEN.1.15	and let them be for lights in the firmament of the heaven to give light upon the earth: and it was so. 
GEN.1.16	And God made the two great lights; the greater light to rule the day, and the lesser light to rule the night: 
GEN.1.17	And God set them in the firmament of the heaven to give light upon the earth, 
GEN.1.18	and to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good. 
GEN.1.19	And there was evening and there was morning, a fourth day.
GEN.1.20	And God said, Let the waters bring forth abundantly the moving creature that hath life, and let fowl fly above the earth in the open firmament of heaven. 
GEN.1.21	And God created the great sea-monsters, and every living creature that moveth, which the waters brought forth abundantly, after their kinds, and every winged fowl after its kind: and God saw that it was good. 
GEN.1.22	And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth. 
GEN.1.23	And there was evening and there was morning, a fifth day.
GEN.1.24	And God said, Let the earth bring forth the living creature after its kind, cattle, and creeping thing, and beast of the earth after its kind: and it was so. 
GEN.1.25	And God made the beast of the earth after its kind, and the cattle after their kind, and every thing that creepeth upon the ground after its kind: and God saw that it was good.
GEN.1.26	And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth. 
GEN.1.27	And God created man in his own image, in the image of God created he him; male and female created he them. 
GEN.1.28	And God blessed them: and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it; and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.
GEN.1.29	And God said, Behold, I have given you every herb yielding seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat: 
GEN.1.30	and to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, 
GEN.1.31	And God saw every thing that he had made, and, behold, it was very good. And there was evening and there was morning, the sixth day.
GEN.2.1	And the heaven and the earth were finished, and all the host of them. 
GEN.2.2	And on the seventh day God finished his work which he had made; and he rested on the seventh day from all his work which he had made. 
GEN.2.3	And God blessed the seventh day, and hallowed it: because that in it he rested from all his work which God had created and made.
GEN.2.4	These are the generations of the heaven and of the earth when they were created, in the day that the 
GEN.2.5	And no plant of the field was yet in the earth, and no herb of the field had yet sprung up: for the 
GEN.2.6	but there went up a mist from the earth, and watered the whole face of the ground. 
GEN.2.7	And the 
GEN.2.8	And the 
GEN.2.9	And out of the ground made the 
GEN.2.10	And a river went out of Eden to water the garden; and from thence it was parted, and became four heads. 
GEN.2.11	The name of the first is Pishon: that is it which compasseth the whole land of Havilah, where there is gold; 
GEN.2.12	and the gold of that land is good: there is bdellium and the onyx stone. 
GEN.2.13	And the name of the second river is Gihon: the same is it that compasseth the whole land of Cush. 
GEN.2.14	And the name of the third river is Hiddekel: that is it which goeth in front of Assyria. And the fourth river is Euphrates. 
GEN.2.15	And the 
GEN.2.16	And the 
GEN.2.17	but of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.
GEN.2.18	And the 
GEN.2.19	And out of the ground the 
GEN.2.20	And the man gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for man there was not found an help meet for him.
GEN.2.21	And the 
GEN.2.22	and the rib, which the 
GEN.2.23	And the man said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man. 
GEN.2.24	Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh. 
GEN.2.25	And they were both naked, the man and his wife, and were not ashamed.
GEN.3.1	Now the serpent was more subtil than any beast of the field which the 
GEN.3.2	And the woman said unto the serpent, Of the fruit of the trees of the garden we may eat: 
GEN.3.3	but of the fruit of the tree which is in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die. 
GEN.3.4	And the serpent said unto the woman, Ye shall not surely die: 
GEN.3.5	for God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as God, knowing good and evil.
GEN.3.6	And when the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took of the fruit thereof, and did eat; and she gave also unto her husband with her, and he did eat. 
GEN.3.7	And the eyes of them both were opened, and they knew that they were naked; and they sewed fig leaves together, and made themselves aprons. 
GEN.3.8	And they heard the voice of the 
GEN.3.9	And the 
GEN.3.10	And he said, I heard thy voice in the garden, and I was afraid, because I was naked; and I hid myself.
GEN.3.11	And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat? 
GEN.3.12	And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I did eat. 
GEN.3.13	And the 
GEN.3.14	And the 
GEN.3.15	and I will put enmity between thee and the woman, and between thy seed and her seed: it shall bruise thy head, and thou shalt bruise his heel.
GEN.3.16	Unto the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee.
GEN.3.17	And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in toil shalt thou eat of it all the days of thy life; 
GEN.3.18	thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field; 
GEN.3.19	in the sweat of thy face shalt thou eat bread, till thou return unto the ground; for out of it wast thou taken: for dust thou art, and unto dust shalt thou return.
GEN.3.20	And the man called his wife's name Eve; because she was the mother of all living.
GEN.3.21	And the 
GEN.3.22	And the 
GEN.3.23	therefore the 
GEN.3.24	So he drove out the man; and he placed at the east of the garden of Eden the Cherubim, and the flame of a sword which turned every way, to keep the way of the tree of life.
GEN.4.1	And the man knew Eve his wife; and she conceived, and bare Cain, and said, I have gotten a man with 
GEN.4.2	And again she bare his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground.
GEN.4.3	And in process of time it came to pass, that Cain brought of the fruit of the ground an offering unto the 
GEN.4.4	And Abel, he also brought of the firstlings of his flock and of the fat thereof. And the 
GEN.4.5	but unto Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell.
GEN.4.6	And the 
GEN.4.7	If thou doest well, shalt thou not be accepted? and if thou doest not well, sin coucheth at the door: and unto thee shall be his desire, and thou shalt rule over him.
GEN.4.8	And Cain told Abel his brother. And it came to pass, when they were in the field, that Cain rose up against Abel his brother, and slew him.
GEN.4.9	And the 
GEN.4.10	And he said, What hast thou done? the voice of thy brother's blood crieth unto me from the ground. 
GEN.4.11	And now cursed art thou from the ground, which hath opened her mouth to receive thy brother's blood from thy hand; 
GEN.4.12	when thou tillest the ground, it shall not henceforth yield unto thee her strength; a fugitive and a wanderer shalt thou be in the earth.
GEN.4.13	And Cain said unto the 
GEN.4.14	Behold, thou hast driven me out this day from the face of the ground; and from thy face shall I be hid; and I shall be a fugitive and a wanderer in the earth; and it shall come to pass, that whosoever findeth me shall slay me. 
GEN.4.15	And the 
GEN.4.16	And Cain went out from the presence of the 
GEN.4.17	And Cain knew his wife; and she conceived, and bare Enoch: and he builded a city, and called the name of the city, after the name of his son, Enoch. 
GEN.4.18	And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methushael: and Methushael begat Lamech.
GEN.4.19	And Lamech took unto him two wives: the name of the one was Adah, and the name of the other Zillah. 
GEN.4.20	And Adah bare Jabal: he was the father of such as dwell in tents and 
GEN.4.21	And his brother's name was Jubal: he was the father of all such as handle the harp and pipe. 
GEN.4.22	And Zillah, she also bare Tubal-cain, the forger of every cutting instrument of brass and iron: and the sister of Tubal-cain was Naamah.
GEN.4.23	And Lamech said unto his wives: Adah and Zillah, hear my voice; Ye wives of Lamech, hearken unto my speech: For I have slain a man for wounding me, And a young man for bruising me: 
GEN.4.24	If Cain shall be avenged sevenfold, Truly Lamech seventy and sevenfold.
GEN.4.25	And Adam knew his wife again; and she bare a son, and called his name Seth: For, 
GEN.4.26	And to Seth, to him also there was born a son; and he called his name Enosh: then began men to call upon the name of the 
GEN.5.1	This is the book of the generations of Adam. In the day that God created man, in the likeness of God made he him; 
GEN.5.2	male and female created he them; and blessed them, and called their name Adam, in the day when they were created. 
GEN.5.3	And Adam lived an hundred and thirty years, and begat 
GEN.5.4	and the days of Adam after he begat Seth were eight hundred years: and he begat sons and daughters. 
GEN.5.5	And all the days that Adam lived were nine hundred and thirty years: and he died.
GEN.5.6	And Seth lived an hundred and five years, and begat Enosh: 
GEN.5.7	and Seth lived after he begat Enosh eight hundred and seven years, and begat sons and daughters: 
GEN.5.8	and all the days of Seth were nine hundred and twelve years: and he died. 
GEN.5.9	And Enosh lived ninety years, and begat Kenan: 
GEN.5.10	and Enosh lived after he begat Kenan eight hundred and fifteen years, and begat sons and daughters: 
GEN.5.11	and all the days of Enosh were nine hundred and five years: and he died. 
GEN.5.12	And Kenan lived seventy years, and begat Mahalalel: 
GEN.5.13	and Kenan lived after he begat Mahalalel eight hundred and forty years, and begat sons and daughters: 
GEN.5.14	and all the days of Kenan were nine hundred and ten years: and he died. 
GEN.5.15	And Mahalalel lived sixty and five years, and begat Jared: 
GEN.5.16	And Mahalalel lived after he begat Jared eight hundred and thirty years, and begat sons and daughters: 
GEN.5.17	and all the days of Mahalalel were eight hundred ninety and five years: and he died. 
GEN.5.18	And Jared lived an hundred sixty and two years, and begat Enoch: 
GEN.5.19	and Jared lived after he begat Enoch eight hundred years, and begat sons and daughters: 
GEN.5.20	And all the days of Jared were nine hundred sixty and two years: and he died.
GEN.5.21	And Enoch lived sixty and five years, and begat Methuselah: 
GEN.5.22	and Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters: 
