GEN.1.1	In the beginning, God created the heavens and the earth. 
GEN.1.2	The earth was without form and void, and darkness was over the face of the deep. And the Spirit of God was hovering over the face of the waters. 
GEN.1.3	And God said, "Let there be light," and there was light. 
GEN.1.4	And God saw that the light was good. And God separated the light from the darkness. 
GEN.1.5	God called the light Day, and the darkness he called Night. And there was evening and there was morning, the first day. 
GEN.1.6	And God said, "Let there be an expanse in the midst of the waters, and let it separate the waters from the waters." 
GEN.1.7	And God made the expanse and separated the waters that were under the expanse from the waters that were above the expanse. And it was so. 
GEN.1.8	And God called the expanse Heaven. And there was evening and there was morning, the second day. 
GEN.1.9	And God said, "Let the waters under the heavens be gathered together into one place, and let the dry land appear." And it was so. 
GEN.1.10	God called the dry land Earth, and the waters that were gathered together he called Seas. And God saw that it was good. 
GEN.1.11	And God said, "Let the earth sprout vegetation, plants yielding seed, and fruit trees bearing fruit in which is their seed, each according to its kind, on the earth." And it was so. 
GEN.1.12	The earth brought forth vegetation, plants yielding seed according to their own kinds, and trees bearing fruit in which is their seed, each according to its kind. And God saw that it was good. 
GEN.1.13	And there was evening and there was morning, the third day. 
GEN.1.14	And God said, "Let there be lights in the expanse of the heavens to separate the day from the night. And let them be for signs and for seasons, and for days and years, 
GEN.1.15	and let them be lights in the expanse of the heavens to give light upon the earth." And it was so. 
GEN.1.16	And God made the two great lights—the greater light to rule the day and the lesser light to rule the night—and the stars. 
GEN.1.17	And God set them in the expanse of the heavens to give light on the earth, 
GEN.1.18	to rule over the day and over the night, and to separate the light from the darkness. And God saw that it was good. 
GEN.1.19	And there was evening and there was morning, the fourth day. 
GEN.1.20	And God said, "Let the waters swarm with swarms of living creatures, and let birds fly above the earth across the expanse of the heavens." 
GEN.1.21	So God created the great sea creatures and every living creature that moves, with which the waters swarm, according to their kinds, and every winged bird according to its kind. And God saw that it was good. 
GEN.1.22	And God blessed them, saying, "Be fruitful and multiply and fill the waters in the seas, and let birds multiply on the earth." 
GEN.1.23	And there was evening and there was morning, the fifth day. 
GEN.1.24	And God said, "Let the earth bring forth living creatures according to their kinds—livestock and creeping things and beasts of the earth according to their kinds." And it was so. 
GEN.1.25	And God made the beasts of the earth according to their kinds and the livestock according to their kinds, and everything that creeps on the ground according to its kind. And God saw that it was good. 
GEN.1.26	Then God said, "Let us make man in our image, after our likeness. And let them have dominion over the fish of the sea and over the birds of the heavens and over the livestock and over all the earth and over every creeping thing that creeps on the earth." 
GEN.1.27	 So God created man in his own image,
GEN.1.27	in the image of God he created him;
GEN.1.27	male and female he created them.
GEN.1.28	And God blessed them. And God said to them, "Be fruitful and multiply and fill the earth and subdue it, and have dominion over the fish of the sea and over the birds of the heavens and over every living thing that moves on the earth." 
GEN.1.29	And God said, "Behold, I have given you every plant yielding seed that is on the face of all the earth, and every tree with seed in its fruit. You shall have them for food. 
GEN.1.30	And to every beast of the earth and to every bird of the heavens and to everything that creeps on the earth, everything that has the breath of life, I have given every green plant for food." And it was so. 
GEN.1.31	And God saw everything that he had made, and behold, it was very good. And there was evening and there was morning, the sixth day. 
GEN.2.1	Thus the heavens and the earth were finished, and all the host of them. 
GEN.2.2	And on the seventh day God finished his work that he had done, and he rested on the seventh day from all his work that he had done. 
GEN.2.3	So God blessed the seventh day and made it holy, because on it God rested from all his work that he had done in creation. 
GEN.2.4	 These are the generations
GEN.2.4	of the heavens and the earth when they were created,
GEN.2.4	in the day that the 
GEN.2.5	When no bush of the field was yet in the land and no small plant of the field had yet sprung up—for the 
GEN.2.6	and a mist was going up from the land and was watering the whole face of the ground— 
GEN.2.7	then the 
GEN.2.8	And the 
GEN.2.9	And out of the ground the 
GEN.2.10	A river flowed out of Eden to water the garden, and there it divided and became four rivers. 
GEN.2.11	The name of the first is the Pishon. It is the one that flowed around the whole land of Havilah, where there is gold. 
GEN.2.12	And the gold of that land is good; bdellium and onyx stone are there. 
GEN.2.13	The name of the second river is the Gihon. It is the one that flowed around the whole land of Cush. 
GEN.2.14	And the name of the third river is the Tigris, which flows east of Assyria. And the fourth river is the Euphrates. 
GEN.2.15	The 
GEN.2.16	And the 
GEN.2.17	but of the tree of the knowledge of good and evil you shall not eat, for in the day that you eat of it you shall surely die." 
GEN.2.18	Then the 
GEN.2.19	Now out of the ground the 
GEN.2.20	The man gave names to all livestock and to the birds of the heavens and to every beast of the field. But for Adam there was not found a helper fit for him. 
GEN.2.21	So the 
GEN.2.22	And the rib that the 
GEN.2.23	Then the man said, 
GEN.2.23	"This at last is bone of my bones
GEN.2.23	and flesh of my flesh;
GEN.2.23	she shall be called Woman,
GEN.2.23	because she was taken out of Man."
GEN.2.24	Therefore a man shall leave his father and his mother and hold fast to his wife, and they shall become one flesh. 
GEN.2.25	And the man and his wife were both naked and were not ashamed. 
GEN.3.1	Now the serpent was more crafty than any other beast of the field that the 
GEN.3.1	He said to the woman, "Did God actually say, 'You shall not eat of any tree in the garden'?" 
GEN.3.2	And the woman said to the serpent, "We may eat of the fruit of the trees in the garden, 
GEN.3.3	but God said, 'You shall not eat of the fruit of the tree that is in the midst of the garden, neither shall you touch it, lest you die.'" 
GEN.3.4	But the serpent said to the woman, "You will not surely die. 
GEN.3.5	For God knows that when you eat of it your eyes will be opened, and you will be like God, knowing good and evil." 
