MAT.1.1	This book is the record of Jesus the Messiah,
MAT.1.2	Abraham was the father
MAT.1.3	and Judah the father of Perez and Zerah (their mother was Tamar); and Perez the father of Hezron; and Hezron the father of Ram; 
MAT.1.4	and Ram the father of Amminadab; and Amminadab the father of Nahshon; and Nahshon the father of Salmon; 
MAT.1.5	and Salmon the father of Boaz (his mother was Rahab); and Boaz the father of Obed (his mother was Ruth); and Obed the father of Jesse; 
MAT.1.6	and Jesse the father of King David. David was the father of Solomon (his mother had been Uriah's wife); 
MAT.1.7	and Solomon the father of Rehoboam; and Rehoboam the father of Abijah; and Abijah the father of Asa; 
MAT.1.8	and Asa the father of Jehoshaphat; and Jehoshaphat the father of Jehoram; and Jehoram the father of Uzziah; 
MAT.1.9	and Uzziah the father of Jotham; and Jotham the father of Ahaz; and Ahaz the father of Hezekiah; 
MAT.1.10	and Hezekiah the father of Manasseh; and Manasseh the father of Amon; and Amon the father of Josiah; 
MAT.1.11	and Josiah the father of Jehoiachin and his brothers, at the time of the exile to Babylon. 
MAT.1.12	After the exile to Babylon, Jehoiachin was the father of Shealtiel; and Shealtiel the father of Zerubbabel; 
MAT.1.13	and Zerubbabel the father of Abiud; and Abiud the father of Eliakim; and Eliakim the father of Azor; 
MAT.1.14	and Azor the father of Zadok; and Zadok the father of Akim; and Akim the father of Eliud; 
MAT.1.15	and Eliud the father of Eleazar; and Eleazar the father of Matthan; and Matthan the father of Jacob;
MAT.1.16	and Jacob was the father of Joseph, who was the husband of Mary, to whom Jesus was born, the one who is called the Messiah.
MAT.1.17	So all the generations from Abraham to David add up to fourteen; from David to the Babylonian exile, fourteen; and from the Babylonian exile to the Messiah, fourteen.
MAT.1.18	This is how the birth of Jesus the Messiah happened. His mother, Mary, was engaged to Joseph, but before they slept together she became pregnant by the Holy Spirit. 
MAT.1.19	Joseph, her fiancé, was a good man and didn't want to shame her publicly, so he decided to break the engagement discreetly.
MAT.1.20	While he was thinking about all of this, an angel of the Lord appeared to him in a dream and told him, “Joseph, son of David, don't be afraid to marry Mary because she is pregnant by the Holy Spirit. 
MAT.1.21	She will give birth to a son and you shall call him Jesus, for he will save people from their sins.” 
MAT.1.22	Now this all happened to fulfill what the Lord said through the prophet: 
MAT.1.23	“A virgin will become pregnant, and will give birth to a son. They will call him Immanuel,” which means “God with us.”
MAT.1.24	Joseph woke up and did what the angel of the Lord told him to do. 
MAT.1.25	Joseph married Mary, but did not sleep with her until after she had given birth to a son, whom he named Jesus.
MAT.2.1	After Jesus was born in Bethlehem in Judea during the reign of King Herod, wise men
MAT.2.2	“Where is the King of the Jews who has been born?” they asked. “We saw his star in the east and we've come to worship him.”
MAT.2.3	When King Herod heard about it, he was very disturbed, and the whole of Jerusalem with him. 
MAT.2.4	Herod summoned all the chief priests and religious teachers of the people, and asked them where the Messiah was supposed to be born.
MAT.2.5	“Bethlehem in Judea,” they told him, “for that's what the prophet wrote: 
MAT.2.6	‘Bethlehem in the land of Judea, you are certainly not the least important of Judah's leading cities,
MAT.2.7	Then Herod called the wise men and met with them in private and found out from them exactly when the star appeared. 
MAT.2.8	He sent them to Bethlehem, telling them, “When you get there, search for the child. Once you find him let me know so that I can come and worship him too.”
MAT.2.9	After they had heard what the king had to say they went on their way, and the star which they had seen in the east led them until it stopped right above the place where the child was. 
MAT.2.10	When they saw the star
MAT.2.11	They went into the house and saw the child with Mary his mother. They bowed and worshiped him. Then they opened their bags of treasure and presented him with gifts of gold, frankincense, and myrrh. 
MAT.2.12	Warned by a dream not to return to Herod, they left for their own country by a different route.
MAT.2.13	After they'd left, an angel of the Lord appeared to Joseph in a dream, and told him, “Get up, and take the child and his mother, and flee to Egypt. Remain there until I tell you, because Herod is going to search for the child to kill him.”
MAT.2.14	So Joseph got up and took the boy and his mother, and left during the night for Egypt. 
MAT.2.15	They stayed there until Herod's death. This fulfilled what the Lord said through the prophet, “I called my son out of Egypt.”
MAT.2.16	When Herod realized he'd been fooled by the wise men, he got very angry. He sent men to kill all the young boys in Bethlehem and the regions nearby who were two years old and under. This was based on the time frame he'd discovered from the wise men.
MAT.2.17	In this way Jeremiah's prophecy was fulfilled: 
MAT.2.18	“The sound of terrible weeping and mourning was heard in Rama, Rachel crying for her children. They are dead, and she can't be comforted.”
MAT.2.19	After Herod died the angel of the Lord appeared in a dream to Joseph in Egypt, and told him, 
MAT.2.20	“Get up! Take the child and his mother, and return to the land of Israel, because those who were trying to kill the child are dead.”
MAT.2.21	So Joseph got up and took the boy and his mother, and returned to the land of Israel. 
MAT.2.22	But Joseph was afraid to go there after he learned that Archelaus had succeeded his father Herod as king of Judea. Warned in a dream, Joseph went to the Galilee area, 
MAT.2.23	and settled down in Nazareth. This fulfilled what the prophets had said, “He will be called a Nazarene.”
MAT.3.1	Some time later John the Baptist appeared on the scene, proclaiming in the Judean desert, 
MAT.3.2	“Repent, for the kingdom of heaven is near.” 
MAT.3.3	He was the one Isaiah spoke about when he said, “A voice is heard crying out in the desert, ‘Prepare the way of the Lord. Make the paths straight for him.’”
MAT.3.4	John had clothes made of camel hair, with a leather belt around his waist. His food was locusts
MAT.3.5	People came to him from Jerusalem, all of Judea, and the entire Jordan region, 
MAT.3.6	and were baptized in the Jordan River, publicly admitting their sins.
MAT.3.7	But when John saw many of the Pharisees and Sadducees coming to be baptized, he said to them, “You vipers' brood! Who warned you to run away from the coming judgment?
MAT.3.8	Show by what you do that you have truly repented,
MAT.3.9	and don't presume to say proudly to yourselves, ‘Abraham is our father.’ I tell you that God could make children of Abraham from these stones. 
MAT.3.10	In fact the ax is ready to chop down the trees. Every tree that doesn't produce good fruit will be chopped down and thrown into the fire.
MAT.3.11	Yes, I baptize you in water to show repentance, but after me is coming one who is greater than I am. I'm not worthy even to remove his sandals. He will baptize you with the Holy Spirit and with fire. 
MAT.3.12	He has his winnowing tool
MAT.3.13	Then Jesus came from Galilee to the Jordan River to be baptized by John. 
MAT.3.14	But John tried to change his mind. He told Jesus, “I need to be baptized by you, and you come to me to baptize you?”
MAT.3.15	“Please do so, because it's good for us to do what God says is right,” Jesus told him. So John agreed to do it.
MAT.3.16	Right after he was baptized, Jesus came out of the water. The heavens were opened, and he saw God's Spirit like a dove descending, landing on him. 
MAT.3.17	A voice from heaven said, “This is my son whom I love,
MAT.4.1	Then Jesus was led by the Spirit into the desert to be tempted by the devil. 
MAT.4.2	After fasting forty days and nights, he was hungry. 
MAT.4.3	The tempter came and said to him, “If you really are the Son of God, order these stones to turn into bread.”
MAT.4.4	Jesus answered, “As Scripture says, ‘Human beings do not live by only eating bread, but by every word that comes from the mouth of God.’”
MAT.4.5	Then the devil took him to the holy city
MAT.4.6	“If you really are the son of God, then throw yourself off,” he told Jesus. “As Scripture says, ‘He will order his angels to save you from harm. They will catch you so that you won't fall by tripping over a stone.’”
MAT.4.7	Jesus answered, “As Scripture also says, ‘You shall not tempt the Lord your God.’”
MAT.4.8	Then the devil took Jesus to a very high mountain and showed him all the kingdoms of the world in all their glory. 
MAT.4.9	He said to Jesus, “I will give you all these if you fall down on your knees and worship me.”
MAT.4.10	“Go away, Satan!” said Jesus. “As Scripture says, ‘You shall worship the Lord your God and serve him, and him alone.’” 
MAT.4.11	Then the devil left him, and angels came to look after him.
MAT.4.12	When Jesus heard that John had been arrested, he returned to Galilee. 
MAT.4.13	Leaving Nazareth, he came to stay in Capernaum, on the shores of the sea in the regions of Zebulun and Naphthali. 
MAT.4.14	This fulfilled what Isaiah the prophet said, 
MAT.4.15	“In the land of Zebulun and the land of Naphthali, on the road to the sea, across the Jordan River, in Galilee where the foreigners live: 
MAT.4.16	The people living in darkness saw a great light; the light of dawn has shined on those living in the land of the shadow of death.” 
MAT.4.17	From that time on Jesus began declaring his message, saying, “Repent, for the kingdom of heaven is near.”
MAT.4.18	As he was walking by the sea of Galilee Jesus saw two brothers. Simon, also called Peter, and his brother Andrew, were casting a net in the sea. They made their living by catching fish.
MAT.4.19	“Come and follow me, and I will teach you how to catch people,” he told them. 
MAT.4.20	They left their nets immediately and followed him. 
MAT.4.21	Continuing on he saw two other brothers, James and John. They were in a boat with their father Zebedee, mending their nets. He called them to follow him.
MAT.4.22	They left the boat and their father immediately, and followed him.
MAT.4.23	Jesus traveled throughout Galilee, teaching in the synagogues, telling the good news of the kingdom, and healing all the diseases and illnesses the people had. 
MAT.4.24	News about him spread throughout the province of Syria.
MAT.4.25	Large crowds followed him from Galilee, Decapolis, Jerusalem, Judea, and the region beyond Jordan.
MAT.5.1	When Jesus saw the crowds following him he went up a mountain. There he sat down together with his disciples. 
MAT.5.2	He began teaching them, saying:
MAT.5.3	“Blessed are those who recognize they are spiritually poor, for the kingdom of heaven is theirs. 
MAT.5.4	Blessed are those who mourn, for they shall be comforted. 
MAT.5.5	Blessed are those who are kind
MAT.5.6	Blessed are those whose greatest desire
MAT.5.7	Blessed are those who are merciful, for they will be shown mercy. 
MAT.5.8	Blessed are those who have pure hearts, for they will see God. 
MAT.5.9	Blessed are those who work to bring peace, for they will be called children of God. 
MAT.5.10	Blessed are those persecuted for what is right, for the kingdom of heaven belongs to them. 
MAT.5.11	Blessed are you when people insult you and persecute you, and accuse you of all kinds of evil things because of me. 
MAT.5.12	Be glad, be really glad, for you will receive a great reward in heaven—for they persecuted the prophets who came before you in just the same way.
MAT.5.13	You are the salt of the earth, but if the salt becomes tasteless,
MAT.5.14	You are the light of the world. A city built on a hill can't be hidden. 
MAT.5.15	No one lights a lamp and then puts it under a bucket. No, it's placed on a lamp-stand and it provides light to everyone in the house. 
MAT.5.16	In the same way you should let your light shine before everyone so they can see the good things you do and praise your heavenly Father.
MAT.5.17	Don't think I came to abolish the law or the writings of the prophets. I didn't come to abolish them, but to fulfill them. 
MAT.5.18	I assure you, until heaven and earth come to an end, not a single letter, not a single dot of the law will come to an end before everything is fulfilled. 
MAT.5.19	So whoever disregards
MAT.5.20	I tell you, unless your righteousness is more than that of the religious teachers and the Pharisees, you can never enter the kingdom of heaven.
MAT.5.21	You've heard that the law said
MAT.5.22	But I tell you, anyone who is angry with his brother will be condemned as guilty. Whoever calls his brother an idiot has to answer to the council,
MAT.5.23	If you're at the altar making an offering, and remember that your brother has something against you, 
MAT.5.24	leave your offering on the altar and go and make peace with him first, and afterwards come back and make your offering. 
MAT.5.25	While you're on the way to court with your opponent, make sure you settle things quickly. Otherwise your opponent might hand you over to the judge, and the judge will hand you over to the court official, and you will be thrown into jail. 
MAT.5.26	I tell you the truth: you won't get out of there until you've paid every last penny.
MAT.5.27	You've heard that the law said, ‘Do not commit adultery.’ 
MAT.5.28	But I tell you that everyone who looks lustfully at a woman has already committed adultery with her in his heart. 
MAT.5.29	If your right eye leads you to sin, then tear it out and throw it away, because it's better to lose one part of your body than to have your whole body thrown into the fire of judgment. 
MAT.5.30	If your right hand leads you to sin, then cut it off and throw it away, for it's better for you to lose one of your limbs than for your whole body to go into the fire of judgment.
MAT.5.31	The law also said, ‘If a man divorces his wife, he should give her a certificate of divorce.’ 
MAT.5.32	But I tell you that any man who divorces his wife except for sexual immorality causes her to commit adultery, and whoever marries a divorced woman commits adultery.
MAT.5.33	And again, you've heard that the law said to the people of long ago, ‘You shall not perjure yourself. Instead make sure you keep the oaths you swear to the Lord.’ 
MAT.5.34	But I tell you, don't swear at all. Don't swear by heaven, because it's the throne of God. 
