JHN.1.1	Tsidyodaghsawen ne Logos
JHN.1.2	Ne ne Sagat tsidyodaghsawen enskatne Yehovahne yekayendaghkwe. 
JHN.1.3	Yorighwagwegon ne rodeweyenòkden, ok tsi nikon ne kaghson yagh oghnahhoten teyodon ne ne yagh raonha te hayàdare. 
JHN.1.4	Raonhage yewèdaghkwe ne adonhèta ok oni ne adonhèta naah ne raodighswatheta nʼongwe. 
JHN.1.5	Aghson tsidyokaras watyoghswathet ok yaghten yeyoyenda-on. 
JHN.1.6	Rayadatogen ne Yehovah ronha-on ne ne John ronwayatskwe. 
JHN.1.7	Ne wahhoni warawe tsi rodogense, ne ne aontahharighwatròri tsi watyoughswathet, ne ne aontyescnhak agwegon nʼongwe raonha raoriwa aonteyakeweghdaghkonhek. 
JHN.1.8	Yagh raonha te keaghne ne etho kaghswathetsera, ok ne ne rowanha-on nʼahaderightyatrory kaghswathetseroten. 
JHN.1.9	Ne naah ne togenske kaghsathetsera, ne ne watyakoghswatheta agwegon ne ongwe ne ne oghwhenjage yakoghwa eston. 
JHN.1.10	Oghwhenjage yéresgwe, yorighwagwegon ne naah rodeweyenòkden, ok nʼongwe yàghten howayenderhèon. 
JHN.1.11	Eghwarawe tsi Rawenniyoh, ok ne sʼhakowenniyoh yaghten honwarighwatsteristha. 
JHN.1.12	Ok tsinihadi rotiwarighwatsteristha, rononha sʼhakogwenyon tserawi nene enhonàdon ne Yehovah sʼhakoyea-ongonwa, ne ne rononha agwagh nè teyakaweghdaghkon ne raoghseanakon: 
JHN.1.13	Ok tsironwanadewedon yaghten né kanegwenghsage, yaghoni tsi yawèron nʼOwatoti, yaghoni tsi-ireghre nʼongwe, ok deaghnon ne Yehovah tsjnihenigonroten. 
JHN.1.14	Ok ne Logos owàron waondon ok oni tsi yakwenderon wahhanàdayen (ok ne wakwatkaghtho ne raogloria,
JHN.1.15	John roderighwatròry, wahhadèweanayendon, radonnyon, ne ne ken right-haraghkwèhne, raonha nene raknonderatye ne rahhetindegh rakerighwakennyon; iken tiutkon tsi rahhendon, tsironhe. 
JHN.1.16	Ok oni tsi ranànon tsinyakyon wakwayèna, ok oni gracia ne gracia. 
JHN.1.17	Iken ne yoghtyawenratsera sʼhongwarighwawi ne Moses, ok nene gracia ok oni ne togensketsera ne Jesus Christus, ne rarighwayendatye. 
JHN.1.18	Yagh onghka nʼongwe te honwaken ne Yehovah, katke kiok, ne ne raonha-on rodewedon rohàwak nene ranaskwagon ne ranihha yehenderon, raonha naah ne rorighhowanaghton. 
JHN.1.19	Nene ken tsinihoyèren ne John, ethone ne Jewshaga, wasʼhakodinhane (Cohena-son
JHN.1.20	Ok wahhadaddodaghsyen, yaghten hodonhiye, ok wahhearon, yagh nʼiih tegen ne Christus. 
JHN.1.21	Ok sahhonwarighwanondonse, onghka kadi, ise ken Elias? ok rawen yaghten, ise ken nʼetho Prophet? ok wahhenron yaghten. 
JHN.1.22	Ethone sahhonwenhaghse, onghka nise? nene entsyakhighrory ne yonkhinha-on, oghnahhoten sadaddenadonghkwa. 
JHN.1.23	Wahhenron, Iih naah ne yewennodatye karliàgon, tsyathahhagwarighsyon, ne raohahha ne Rawenniyoh, tsinihoyèren ne Prophet Esaias. 
JHN.1.24	Rononha ne ne ronwadinha-on, nene tsinikentyoghkoten ne Pharisees. 
