GEN.1.1	Alussa Jumala loi taivaat ja maan. 
GEN.1.2	Maa oli autio ja tyhjä, ja pimeys oli syvyyden yllä, ja Jumalan Henki liikkui vetten päällä. 
GEN.1.3	 Ja Jumala sanoi: ”Tulkoon valkeus.” Silloin valkeus tuli. 
GEN.1.4	Jumala näki, että valkeus oli hyvä, ja Jumala erotti toisistaan valkeuden ja pimeyden. 
GEN.1.5	 Jumala nimitti valon päiväksi, ja pimeyden hän nimitti yöksi. Tuli ilta ja tuli aamu, yksi päivä oli mennyt. 
GEN.1.6	Jumala sanoi: ”Tulkoon taivaanavaruus vesien välille erottamaan vedet toisistaan.” 
GEN.1.7	Ja Jumala teki taivaanavaruuden ja erotti vedet, jotka olivat taivaanavaruuden alapuolella, niistä vesistä, jotka olivat taivaanavaruuden yläpuolella. Näin tapahtui. 
GEN.1.8	Jumala nimesi avaruuden taivaaksi. Tuli ilta ja tuli aamu, toinen päivä oli mennyt. 
GEN.1.9	Jumala sanoi: ”Kerääntykööt taivaan alla olevat vedet yhteen paikkaan, ja tulkoon kuiva alue näkyviin.” Näin myös tapahtui. 
GEN.1.10	Jumala nimitti kuivan alueen maaksi, ja vesien kerääntymispaikan hän nimitti mereksi . Ja Jumala näki, että niin oli hyvä. 
GEN.1.11	 Jumala sanoi: ”Tuottakoon maa kasvillisuutta, siementä tekeviä ruohoja ja hedelmäpuita, jotka kantavat maan päällä lajiensa mukaista hedelmää, jossa on niiden siemen.” Näin myös tapahtui. 
GEN.1.12	 Maa tuotti kasvillisuutta: ruohoja, jotka tekivät siementä lajiensa mukaan ja puita, jotka kantoivat lajiensa mukaista hedelmää, jossa oli niiden siemen. Ja Jumala näki, että niin oli hyvä. 
GEN.1.13	 Tuli ilta ja tuli aamu, kolmas päivä oli mennyt. 
GEN.1.14	Jumala sanoi: ”Tulkoon taivaanavaruuteen valonlähteitä erottamaan päivän yöstä. Olkoot ne merkkeinä osoittamassa määräaikoja, päiviä ja vuosia, 
GEN.1.15	ja olkoot ne taivaanavaruudessa valonlähteinä valaisemassa maata.” Näin myös tapahtui. 
GEN.1.16	 Jumala teki kaksi suurta valonlähdettä, suuremman valonlähteen hallitsemaan päivää ja pienemmän hallitsemaan yötä, sekä tähdet. 
GEN.1.17	 Jumala pani ne taivaanavaruuteen valaisemaan maata, 
GEN.1.18	 hallitsemaan päivää ja yötä ja erottamaan valon ja pimeyden toisistaan. Ja Jumala näki, että niin oli hyvä. 
GEN.1.19	 Tuli ilta ja tuli aamu, neljäs päivä oli mennyt. 
GEN.1.20	Jumala sanoi: ”Viliskööt vedet eläviä olentoja, ja lentäkööt linnut taivaanavaruudessa maan yllä.” 
GEN.1.21	 Niin Jumala loi suuret merieläimet ja kaikki elävät, liikkuvat olennot, joita vilisee vesissä, kunkin lajinsa mukaan, ja jokaisen siivekkään linnun, kunkin lajinsa mukaan. Ja Jumala näki, että niin oli hyvä. 
GEN.1.22	 Jumala siunasi ne sanoen: ”Olkaa hedelmälliset, lisääntykää ja täyttäkää meren vedet, ja linnut lisääntykööt maan päällä.” 
GEN.1.23	Tuli ilta ja tuli aamu, viides päivä oli mennyt. 
GEN.1.24	Jumala sanoi: ”Tuottakoon maa eläviä olentoja lajiensa mukaan, karjaeläimiä, pikkueläimiä ja villieläimiä lajiensa mukaan.” Näin myös tapahtui. 
GEN.1.25	 Jumala teki villieläimet lajiensa mukaan, karjaeläimet lajiensa mukaan ja kaikki maan pikkueläimet lajiensa mukaan. Ja Jumala näki, että niin oli hyvä. 
GEN.1.26	Jumala sanoi: ”Tehkäämme ihminen kuvaksemme, kaltaiseksemme, ja hallitkoon hän meren kaloja, taivaan lintuja ja koko maata sekä kaikkia maan päällä liikkuvia isoja ja pieniä eläimiä.” 
GEN.1.27	Niin Jumala loi ihmisen omaksi kuvakseen. Jumalan kuvaksi hän loi hänet, mieheksi ja naiseksi hän loi heidät. 
GEN.1.28	Jumala siunasi heidät ja sanoi heille: ”Olkaa hedelmälliset, lisääntykää, täyttäkää maa ja ottakaa se valtaanne. Teidän vallassanne ovat meren kalat, taivaan linnut ja kaikki maan päällä liikkuvat eläimet.” 
GEN.1.29	Jumala sanoi: ”Katso, minä annan teille kaikki siementä tekevät kasvit kaikkialla maan päällä ja kaikki puut, joissa on siementä tekevä hedelmä. Olkoot ne teille ravinnoksi. 
GEN.1.30	Kaikille villieläimille, taivaan linnuille ja maassa liikkuville pikkueläimille, joissa on elävä sielu, minä annan ravinnoksi kaikenlaiset vihreät kasvit.” Näin myös tapahtui. 
GEN.1.31	Ja Jumala katsoi kaikkea, mitä oli tehnyt, ja näki, että se oli erittäin hyvää. Tuli ilta ja tuli aamu, kuudes päivä oli mennyt. 
GEN.2.1	Niin tulivat valmiiksi taivaat ja maa ja kaikki, mitä niissä on . 
GEN.2.2	 Seitsemäntenä päivänä Jumala sai valmiiksi tekemänsä työn, ja seitsemäntenä päivänä hän lepäsi kaikesta työstään, jota oli tehnyt. 
GEN.2.3	Ja Jumala siunasi seitsemännen päivän ja pyhitti sen, koska silloin hän lepäsi kaikesta luomistyöstään. 
GEN.2.4	Nämä olivat taivaan ja maan luomisen vaiheet. 
GEN.2.4	Siihen aikaan, kun 
GEN.2.5	 maan päällä ei ollut vielä yhtään pensasta eikä kedolla kasvanut mitään kasveja, koska 
GEN.2.6	 Mutta maasta nousi sumua, joka kasteli koko maan pinnan. 
GEN.2.7	 Sitten 
GEN.2.8	Ja 
GEN.2.9	Ja 
GEN.2.10	Eedenistä lähti virta, joka kasteli puutarhan, ja se jakaantui sieltä neljäksi haaraksi. 
GEN.2.11	 Ensimmäisen nimi on Piison. Se kiertää koko Havilan maan, jossa on kultaa. 
GEN.2.12	 Sen maan kulta on hyvää, ja siellä on myös bedellion-pihkaa ja onyksi-kiveä. 
GEN.2.13	 Toisen virran nimi on Giihon. Se kiertää koko Kuusin maan. 
GEN.2.14	 Kolmannen virran nimi on Hiddekel. Se virtaa Assurin itäpuolitse. Neljäs virta on Eufrat. 
GEN.2.16	 Ja 
GEN.2.17	 mutta hyvän- ja pahantiedon puusta älä syö, sillä sinä päivänä, jona siitä syöt, sinä totisesti kuolet.” 
GEN.2.19	Kun 
GEN.2.20	 Näin ihminen antoi nimet kaikille karjaeläimille, kaikille taivaan linnuille ja villieläimille. Aadamille ei kuitenkaan löytynyt sopivaa apua. 
GEN.2.21	 Silloin 
GEN.2.22	 Ja 
GEN.2.23	Mies sanoi: ”Tämä on nyt luu minun luustani ja liha minun lihastani. Tätä on kutsuttava naiseksi , sillä miehestä hänet on otettu.” 
GEN.2.24	 Siksi mies jättäköön isänsä ja äitinsä ja yhtyköön vaimoonsa, ja heistä tulee yksi liha. 
GEN.2.25	He olivat molemmat alasti, mies ja hänen vaimonsa, eivätkä he tunteneet häpeää. 
GEN.3.1	Mutta käärme oli kavalin kaikista villieläimistä, jotka 
GEN.3.2	Nainen vastasi käärmeelle: ”Kyllä me saamme syödä puutarhan puiden hedelmiä. 
GEN.3.3	 Vain sen puun hedelmästä, joka on keskellä puutarhaa, Jumala on sanonut: ’Älkää syökö siitä älkääkä koskeko siihen, ettette kuolisi.’” 
GEN.3.4	 Käärme vastasi naiselle: ”Ette te suinkaan kuole, 
GEN.3.5	 vaan Jumala tietää, että sinä päivänä, jona te syötte siitä, teidän silmänne aukeavat ja teistä tulee Jumalan kaltaisia, niin että tiedätte hyvän ja pahan.” 
GEN.3.6	 Nainen näki, että puusta oli hyvä syödä ja että sitä oli nautinto katsella ja se oli houkutteleva, koska siitä sai ymmärrystä. Niinpä hän otti siitä hedelmän ja söi ja antoi myös miehelleen, joka oli hänen kanssaan, ja mieskin söi. 
