MAT.1.1	Иисус Христостың ӧбекелері: Ол Давидтің паза Авраамның тӧлі полча. Аның ӧбекелері мындағлар: 
MAT.1.2	Авраамнаң Исаак тӧреен. Исаактаң – Иаков, Иаковтаң – Иуда паза аның харындастары. 
MAT.1.3	Иуданаң Фамарьдаң Фарес паза Зара тӧрееннер. Фарестең Есром тӧреен, Есромнаң – Арам. 
MAT.1.4	Арамнаң Аминадав тӧреен, Аминадавтаң – Наассон, Наассоннаң – Салмон. 
MAT.1.5	Салмоннаң Рахавтаң Вооз тӧреен. Воознаң Руфтаң Овид тӧреен. Овидтең – Иессей. 
MAT.1.6	Иессейдең Давид хан тӧреен, Давид ханнаң Соломон тӧреен. Соломонның іҷезі, тізең, пастап Уриейнің ипчізі полған. 
MAT.1.7	Соломоннаң Ровоам тӧреен, Ровоамнаң – Авий, Авийдең – Аса. 
MAT.1.8	Асадаң Иосафат тӧреен, Иосафаттаң – Иорам, Иорамнаң – Озий. 
MAT.1.9	Озийдең Иоафам тӧреен, Иоафамнаң – Ахаз, Ахазтаң – Езекий. 
MAT.1.10	Езекийдең Манассий тӧреен, Манассийдең – Амон, Амоннаң – Иосий. 
MAT.1.11	Иосийдең Иоаким тӧреен Иоакимнең – Иехоний паза аның харындастары. Олар прайзы Израиль чоны Вавилонзар сӱрдірер алнындох, тӧрееннер. 
MAT.1.12	Вавилонзар сӱрдірген соонда, Иехонийдең Салафииль тӧреен. Салафиильдең Зоровавель тӧреен. 
MAT.1.13	Зоровавельдең Авиуд тӧреен, Авиудтаң – Елиаким, Елиакимнең – Азор. 
MAT.1.14	Азордаң Садок тӧреен, Садоктаң – Ахим, Ахимнең – Елиуд. 
MAT.1.15	Елиудтаң Елеазар тӧреен, Елеазардаң – Матфан, Матфаннаң – Иаков. 
MAT.1.16	Иаковтаң Марияның ирі Иосиф тӧреен. Мариядаң, тізең, Иисус тӧреен. Аны Мессий-Христос тіп адаҷаңнар. 
MAT.1.17	Ана іди Авраамнаң Давидке теере прай он тӧрт тӧл полған, Давидтең дее Вавилонзар сӱрдіртчең тусха теере он тӧрт тӧл сыххан, Вавилонзар сӱрдірткеннең пеер Мессий-Христос тӧреен тусха теере он тӧртӧк тӧл.
MAT.1.18	Мына піди Иисус Христос тӧреен. Аның іҷезі Мария паза Иосиф хоных хонарға молҷас салған полғаннар, че Мария, хоных хонғалаххаох, Худай Худынаң азах аар пол партыр. 
MAT.1.19	Иосиф, тізең, аның ирі
MAT.1.20	Че ол іди идерге сағын чӧрген туста, тӱзінде андар Хан Худайның ангелі киліп, теен:
MAT.1.20	– Давид тӧлі, Иосиф! Мариядағы пала Худай Худынаң, аннаңар аннаң хоных хонарға хорыхпа. 
MAT.1.21	Мария Оол тӧрідер. Ол Позының чонын чазыхтардаң арачылир, аннаңар Аны Иисус тіп адап саларзың.
MAT.1.22	Прай пу ниме, Хан Худайның Позының ухаанҷызы пастыра чоохтааны тол парар ӱчӱн, пол парған: 
MAT.1.23	«Хыс
MAT.1.24	Иосиф, усхун парып, Хан Худайның ангелінің чахиин толдырып, Марияны ал салған. 
MAT.1.25	Че Мария позының Оолғын тӧріткенҷе, ол ағаа теңмеен. Иосиф тӧреен паланы Иисус тіп адап салған.
MAT.2.1	Ирод ханның тузында Иудей чиріндегі Вифлеем саарда Иисус тӧреен. Олох туста іскертін килген хыйғалар, Иерусалимзер киліп, сурғаннар:
MAT.2.1	– 
MAT.2.2	Иудей ханы поларға тӧреен Пала хайдадыр? Піс, іскеркіде Аның чылтызын кӧр салып, Ағаа пазырарға килдібіс.
MAT.2.3	Аны ис салып, Ирод хан паза аннаң хада Иерусалимдегі прай чон тың ӱрӱк парған. 
MAT.2.4	Ирод хан, улуғ абыстарны паза чонның Моисей Чахии пілігҷілерін чыып алып, олардаң сурған:
MAT.2.4	– Хайда Мессий-Христос тӧрир полған?
MAT.2.4	– 
MAT.2.5+MAT.2.6	Иудей чиріндегі Вифлеемде тӧрирге кирек. Ухаанҷы піди пасхан нооза: «Израиль чонымны хадарҷаң Устағҷы синнең сығар. Аннаңар син дее, Иуда чиріндегі Вифлеем, Иуданың ӧӧн саарларынаң пір дее кічіг нимессің», – тіп нандырғаннар ағаа олар.
MAT.2.7	Андада Ирод, іскертін килген хыйғаларны позынзар сым-туюххан хығырып алып, олардаң чылтыс сыххан тустаңар піліп алған. 
MAT.2.8	Анаң оларны Вифлеемзер ызып, чоохтаан:
MAT.2.8	– Парыңар, ол Час Паладаңар прай нимені чахсы иде піліп алыңар. Таап алзаңар, мағаа искіріңер. Мин дее, парып, Ағаа пазырим.
MAT.2.9+MAT.2.10	Олар, ханны истіп алып, чол сығыбысханнар. Іскеркіде кӧрген чылтыс амды оларның алнынҷа парып одырған. Олар, тізең, ол чылтысты кӧр салып, уғаа тың ӧрін парғаннар. Іди пара-пара, ол чылтыс Час Пала полған орыннаң чіке турыбысхан. 
MAT.2.11	Анаң олар, туразар кіріп, Час Паланы паза Аның іҷезін Марияны кӧр салғаннар. Тізекке тӱзіп, Аны аарлап, сундухтарын азып, Час Палаа сыйыхтарын пиргеннер: алтынны паза тадылығ чыстығ ладаннаң смирнаны. 
MAT.2.12	Соонаң олар, тӱстерінде Ирод ханзар айланмастаңар танығ алып, пасха чолҷа чир-суғларынзар парыбысханнар.
MAT.2.13	Олар парыбысханда, Хан Худай ангелі, Иосифке тӱзінде киліп, теен:
MAT.2.13	– Ирод пу Час Паланы, ӧдір саларға харазып, тілеп чӧрер. Тур, Час Паланы паза іҷезін алып, Египетсер тис. Анда мин искіріг пиргенҷе пол тур.
MAT.2.14	Иосиф, турып алып, Час Паланы паза іҷезін алып, хараазын Египетсер парыбысхан. 
MAT.2.15	Анда ол Ирод ӱреенҷе полған. Хан Худайның: «Египеттең Оолғымны нандыра хығырдым», – тіп ухаанҷыдаң пастыра чоохтаан сӧстері тол парар ӱчӱн, ол ниме пол парған.
MAT.2.16	Андада Ирод, іскеркі хыйғаларға алаахтырт салғанын піл салып, уғаа тың тарын парған. Анаң Вифлеемдегі паза ол ибіре чирлердегі ікі частығ палаларны паза аннаң даа кічіглерні, хыйғалардаң піліп алған тусха килістіре тӧреен час палаларны, прай чох ит саларға чахығ ысхан. 
MAT.2.17	Ол туста ухаанҷы Иеремий искірген ухаанҷылас толған: 
MAT.2.18	«Сыыт, ылғас паза илбек орлас Рама аалда истілче. Рахиль позының палаларына ылғапча, палалары чох пол парғаннаңар, позын часхарынарға хынминча».
MAT.2.19	Ирод ӱреен соонда, Египеттегі Иосифке, тӱзінде Хан Худайның ангелі киліп, 
MAT.2.20	теен:
MAT.2.20	– Тур, Час Паланы паза іҷезін алып, Израиль чирінзер пар. Час Паланың тынын чох идерге тілеп чӧргеннер ӱреп пардылар.
MAT.2.21	Иосиф, турып, Час Паланы паза іҷезін алып алып, Израиль чирінзер айланған. 
MAT.2.22	Че Иудей чирінде Ирод пабазының орнына Архелай хан полчатханын истіп, Иосиф андар парарға хорыххан. Тӱзінде чахығ алып, ол Галилей чирінзер парған. 
MAT.2.23	Андар парып, Назарет тіп адалчатхан саарда чуртап сыххан. Хан Худайның ухаанҷылар пастыра: «Иисусты Назорей адап саларлар» тіп чоохтанған сӧстері тол парар ӱчӱн, іди полған.
MAT.3.1	Ол кӱннерде Кіреске тӱзірҷең Иоанн, киліп, Иудей тіп адалчатхан хуу чазыда ӱгреткен.
MAT.3.1	– 
MAT.3.2	Тигір хан-ӱлгӱзі чағдап килді, аннаңар, чазыхтарыңнаң хыйа полып, Худайзар айланыңар, – теен ол.
MAT.3.3	Мына ол – Исаий ухаанҷы чоохтаан кізі. Аннаңар Исаий піди теен:
MAT.3.3	– Хуу чазыда ӱн истілче: «Хан Худайға чол тимнеп пиріңер, кӧні идіңер Аның чолларын».
MAT.3.4	Позы, тізең, Иоанн тибе хылынаң соххан кип-азахтығ, пилінде тууп хурлығ полған, чиизі, тізең, чазы мӧӧдінең сарысхалар полған. 
MAT.3.5	Андар кізілер Иерусалимнең, прай Иудей чирінең паза Иордан суғның ибіркі чирлерінең чыылҷаңнар. 
MAT.3.6	Иоанн оларны, чазыхтары ӱчӱн пыросынған соонда, Иордан суғда кіреске тӱзірҷең.
MAT.3.7	Иоанн, позынзар фарисейлернің паза саддукейлернің аразынаң кӧп кізі кіреске тӱзерге килчеткенін кӧріп, оларға теен:
MAT.3.7	– Чылан тӧлі! Кем сірерге Худай ызар чарғыдаң тизіп аларзар тіп чоохтап пирген? 
MAT.3.8	Чазыхтарыңнаң хыйа полчатханын киречілир ӱчӱн, турыстығ киректер идіңер. 
MAT.3.9	Постарыңнаңар, «Пістің пабабыс Авраам» тіп, сағынмаңар даа. Тіпчем сірерге, Худай Авраамға пу тастардаң даа палалар чайап полар. 
