MAT.1.1	Kitabu cha mbuli ya Yesu Kilisito, ṅwana Dawidi, ṅwana Abulahamu: 
MAT.1.2	Abulahamu azamvyala Isaka, Isaka azamvyala Yakobo, Yakobo azamvyala Yuda na wanduγu wakwe, 
MAT.1.3	Yuda na Tamali wazamvyala Pelesi na Zela, Pelesi azamvyala Hesiloni, Hesiloni azamvyala Lamu, 
MAT.1.4	Lamu azamvyala Aminadabu, Aminadabu azamvyala Nahasoni, Nahasoni azamvyala Salimoni. 
MAT.1.5	Salimoni na Lahabu wazamvyala Bowazi, Bowazi na Luti wazamvyala Obedi, Obedi azamvyala Isai. 
MAT.1.6	Isai azamvyala zumbe Dawidi, zumbe Dawidi na mkaza Uliya wazamvyala Salomo. 
MAT.1.7	Salomo azamvyala Lehabeyamu, Lehabeyamu azamvyala Abiya, Abiya azamvyala Asa. 
MAT.1.8	Asa azamvyala Yosafati, Yosafati azamvyala Yolamu, Yolamu azamvyala Uziya. 
MAT.1.9	Uziya azamvyala Yotamu, Yotamu azamvyala Ahazi, Ahazi azamvyala Hezekiya. 
MAT.1.10	Hezekiya azamvyala Manase, Manase azamvyala Amoni, Amoni azamvyala Yosiya. 
MAT.1.11	Yosiya azamvyala Yekonya na wanduγuze mishi ija, wakitahiγwa na Babeli. 
MAT.1.12	Wantu wakiγotoka mwe uwo mtaho wa Babeli, Yekonya azamvyala Salatiyeli, Salatiyeli azamvyala Zelubabeli. 
MAT.1.13	Zelubabeli azamvyala Abihudi, Abihudi azamvyala Eliyakimu, Eliyakimu azamvyala Azoli. 
MAT.1.14	Azoli azamvyala Sadoki, Sadoki azamvyala Yakini, Yakini azamvyala Elihudi. 
MAT.1.15	Elihudi azamvyala Eleyazali, Eleyazali azamvyala Matani, Matani azamvyala Yakobo. 
MAT.1.16	Yakobo azamvyala Yosefu, mulume ja Maliya, nine ja Yesu mweitangwa Kilisito. 
MAT.1.17	Lushe malika yoshe kuandiila kwa Abulahamu mpaka kwa Dawidi ni kumi na mane, vituhu kuandiila kwa Dawidi mpaka kwe mtaho wa Babeli ni kumi na mane, vituhu kuandiila kwe mtaho wa Babeli mpaka kwa Kilisito ni kumi na mane.
MAT.1.18	Mivyailwe ya Yesu Kilisito iγendilevyo shivi: Nine Maliya akibinda kulombiγwa ni Yosefu, miya washizati wakintane, azaoniγwa, kuti ana nda yeanduka kwa Mpeho muṅazi. 
MAT.1.19	Mulume Yosefu kwakuti ni mtanda nkakundile kumubunkula, miya azakunda kumshungula he njama. 
MAT.1.20	Akivitongonyeza mwe moyo wakwe, mlau ywa Zumbe azamlawila mwe sozi, azamuti: Yosefu, ṅwana Dawidi, usheogohe kumγuwa mkaziyo Maliya! Hambu ṅwana, ndiye avyalwe, ni ywa mpeho ṅazi. 
MAT.1.21	Neavyale ṅwana ywa kiγoshi, zina jakwe umwitange Yesu, hambu ne ndiye nezeakombole mbuli yakwe mwe masa yawe. 
MAT.1.22	Ivi vyoshe vizaγosholwa, kangwe iyo mbuli ilongiγweyo ni Zumbe na kanwa cha mteγanyi ibontoke, ija ya kuγamba: 
MAT.1.23	Mndele atazatenda nda, atazavyala ṅwana, zina jakwe watazamwitanga Imanweli, ni kuγamba: Mulungu a haṅwe na ishwi. 
MAT.1.24	Yosefu akiinuka mwe usisiza azaγoshola, mlau ywa Zumbe amlaγilizevyo, azamγuwa muke. 
MAT.1.25	Miya nkamtaile, mpaka akimvyala ṅwana; uyu azamwitanga zina jakwe Yesu.
MAT.2.1	Yesu akibinda kuvyalwa Betelehemu mwe shi ya Yudeya mishi ya zumbe Helode, ne Yelusalemu kuhoiza watalizi wa ntondwe walawilewo mwe shi ya lwazu lwelawa zuwa. 
MAT.2.2	Wazauza angwe: Zumbe ywa Wayuda avyelweye mishi inu a kuhi? Hambu tizaona ntondwe yakwe luja lwazu lwelawa zuwa; tizaiza, timgintile mazwi. 
MAT.2.3	Zumbe Helode akiviiva azashentuka haṅwe na muzi woshe wa Yelusalemu. 
MAT.2.4	Azaunganyanya wavikizi wakulu na watabaluwangwa woshe wa ija mbalingwa, azawauza, ati ni muhi, ndimo Kilisito avyalwe. 
MAT.2.5	Wazamγamba: Ni Betelehemu mwe shi ya Yudeya; hambu ne vyegondwa ni mteγanyingwa kuγamba: 
MAT.2.6	Iwe Betelehemu mwe shi ya Yuda nku mdodo mwe wazumbe wa Yuda, hambu mwako mtazalawila zumbe, ndiye nezealishe mbali yangu ya Isilayeli. 
MAT.2.7	Ne Helode ahoitanga waja watalizi wa ntondwe he njama, azawauzisha, ati ni mishi ihi, ija ntondwe ilawileho, 
MAT.2.8	azawatuma Betelehemu angwe: Hitai, mdose mbuli za ako kazana na utanda! Mkikaona uyai, muniγambile, kangwe nami nihite, nimgintile mazwi! 
