MAT.1.1	Chitabu cho lukolo lwa Yesu Kilisito, imwana wa Daudi, imwana wa Ibulahimu. 
MAT.1.2	Ibulahimu hakamweleka Isaka, Isaka hakamweleka Yakobo, Yakobo hakamweleka Yuda na Wanduguse, 
MAT.1.3	Yuda hakamweleka Pelesi na Sela kwa Tamali, Pelesi hakamweleka Esilomu, Esilomu hakamweleka Alamu, 
MAT.1.4	Alamu hakamweleka Aminadabu, Aminadabu hakamweleka Nashoni, Nashoni hakamweleka Salimoni, 
MAT.1.5	Salimoni hakamweleka Boasi kwa Lahabu, Boasi hakamweleka Obedi kwa Lusi, Obedi hakamweleka Yese,
MAT.1.6	Yese hakamweleka Mundewa Daudi. Daudi hakamweleka Sulemani kwe muke wa Uliya, 
MAT.1.7	Sulemani hakamweleka Lehoboamu, Lehoboamu hakamweleka Abiya, Abiya hakamweleka Asa, 
MAT.1.8	Asa hakamweleka Yehoshafati, Yehoshafati hakamweleka Yolamu, Yolamu hakamweleka Usiya, 
MAT.1.9	Usiya hakamweleka Yosamu, Yosamu hakamweleka Ahasi, Ahasi hakamweleka Hesekia 
MAT.1.10	Hesekia kamweleka Manase, Manase kamweleka Amoni, Amoni hakamweleka Yosia, 
MAT.1.11	Yosia hakamweleka Yekonia na wanduguse, ugele wo kusanyiligwa Babeli.
MAT.1.12	Kusanyiligwa Babeli kukahele, Yekonia hakamweleka Shelitieli, Shelitieli kamweleka Selubabeli, 
MAT.1.13	Selubabeli hakamweleka Abihudi, Abihudi hakamweleka Eliyakimu, Eliyakimu hakamweleka Asoli, 
MAT.1.14	Asoli hakamweleka Sadoki, Sadoki hakamweleka Akimu, Akimu hakamweleka Eliudi, 
MAT.1.15	Eliudi hakamweleka Eliesa, Eliesa hakamweleka Matani, Matani hakamweleka Yakobo, 
MAT.1.16	Yakobo hakamweleka Yusufu, mulume wa Maliamu yamweleke Yesu yekwinangigwa Kilisito.
MAT.1.17	Hambiya, ifyeleko fyose kulawa Ibulahim mpaka Daudi hafyuwa fyeleko ikumi na fine, na kulawa Daudi mpaka kusanyiligwa Babeli fyeleko ikumi na fine; na kulawa kusanyiligwa Babeli mpaka Kilisito hafyuwa fyeleko ikumi na fine.
MAT.1.18	Kwelekigwa kwa Yesu Kilisito hakuwa nhafi; Maliamu ing'ina ugele woyowile katumisigwa na Yusufu, ugele wasinati wakitole, hakoneka kena inda kwa udaha wa Muhe Musunhile. 
MAT.1.19	Na Yusufu, kosoko hakowa munhu wechawelu nghendile kumuguma chinyala, hakona yamuleke chinyelenyele. 
MAT.1.20	Hambiya, ugele foyendeyodoga aso; langa, malaika we Mundewa hakamwijila musinjosi, yakugamba, “Yusufu gomwana wa Daudi, unghogohe kumulonda Maliamu imukago, kosoko iinda yakwe ni kwa udaha wa Muhe Musunhile. 
MAT.1.21	Naye yakwenda yeleke mwana, nagwe komwinanga disina dyakwe Yesu, kosoko imwene noyakwenda yawahonye awanhu wakwe na uwihi wawo.”
MAT.1.22	Ago gose ganheifo, uleke imbuli iya iyalongigwe ne Mundewa kwa njila ye inonga ye mugonesi yagambile, 
MAT.1.23	“Langa bikila yakwinula inda, naye yakwenda yeleke mwana. Nawo wakwenda wamwinange disina dyakwe Imanueli” (nong'amba, “Imulungu kahamwedu nase”).
MAT.1.24	Yusufu yakenuke musinhongo hakagolosa nheifiya fina foyalongile imalaika we Mundewa. Hoyomutola. 
MAT.1.25	Nghagendile naye ka, mpaka yakweleka imwanagwe; kamwingha disina dyakwe Yesu.
MAT.2.1	Mundewa Yesu foyelekigwa Betelehemu ku iisi ya Uyahudi ugele we Mundewa Helode, langa, mamajusi wa ulwandi lwa kundawilo ye dijuwa, haweja Yelusalemu wakugamba, 
MAT.2.2	“Kowa hoki iMundewa wa Wayahudi yelekigwe? Kosoko hachiyona inyelesi yakwe kundawilo yedijuwa, nase chija, uleke chimufugamile.”
MAT.2.3	Kamei Mundewa Helode yakahulike nheifo, hakasinanghala, na wanhu wose wa Yelusalemu hamwedu naye. 
MAT.2.4	Hoyokwinanga ifilongosi wose wa makuhani, na watulumi yawosa fina, “Kilisito yakwelekigwa hoki?”
MAT.2.5	Nawo howomugamba, “kuBetelehemu ya Uyahudi; Kosoko nofo itulumigwe ne Mugonesi, 
MAT.2.6	‘Nagwe Betelehemu muisi ya Yuda,
MAT.2.6	nghwimudodogi ng'o
MAT.2.6	mu wakulu wa Yuda,
MAT.2.6	kosoko ukwako yekulawa Mundewa
MAT.2.6	iyakwenda yawadime wanhu wangu Isilaeli.’”
MAT.2.7	Kamei Helode hoyowenanga awaya mamajusi hanghanda, hoyopata ichawelu kulawa fowakongile kuyona inyelesi iya. 
MAT.2.8	Hoyowegala Betelehemu, hoyogamba, “Yandamileni injila ino, mkosilise lugano simbuli se mwana yuyo, munghafulusa kumona munitamile uleke nani nilute nikamufugamile.” 
MAT.2.9	Nawo wakahulike simbuli, se Mundewa, howolongosa injila, kamei inyelesi iya yowonile kundawilo ye dijuwa hoiwalongolela, hoikwima ahanhu hoyowile imwana. 
MAT.2.10	Fowayonile inyelesi iya hawowa na chinyemi chikulu lugano. 
MAT.2.11	Howokwingila kugati, howomwona imwana hamwedu na Maliamu ing'ina, howomusegelela, howomufugamila, wakamale kudohola sihasina sawo, howomulafila simhongesi sawo, sahabu, ufumba, na manemane.
MAT.2.12	Nawo wakamale kutamiligwa na Mulungu musinjosi wanghamuwile Helode; howogenda njila ingi.
MAT.2.13	Awaya wakafuluse kuleuka, kamei imalaika we Mulungu hoyomwijila Yusufu musinjosi, hakagamba, “Leuka, umulonde imwana hamwedu ne ing'ina, utijile Misili, wikale uko mpaka nikutamile, kosoko Helode yakuhananga yamulangise imwana uleke yamukome.”
MAT.2.14	Hakenuka, hoyomulonda mwana ne ing'ina nechilo; hoyoluta Misili; 
MAT.2.15	hoyokwikala uko mpaka foyafile Helode; uleke yoneke fina chawelu imbuli yalongigwe ne Mundewa kusimbuli salongigwe na wagonesi wagambile, “Kulawa Misili hanimwinanga imwanangu.”
