MAT.1.1	Գիրք ծնունդին Յիսուսի Քրիստոսի՝ Դաւիթի որդիին, Աբրահամի որդիին։
MAT.1.2	Աբրահամ ծնաւ Իսահակը. Իսահակ ծնաւ Յակոբը. Յակոբ ծնաւ Յուդան ու անոր եղբայրները. 
MAT.1.3	Յուդա ծնաւ Փարէսը ու Զարան Թամարէն. Փարէս ծնաւ Եսրոնը. Եսրոն ծնաւ Արամը. 
MAT.1.4	Արամ ծնաւ Ամինադաբը. Ամինադաբ ծնաւ Նաասոնը. Նաասոն ծնաւ Սաղմոնը. 
MAT.1.5	Սաղմոն ծնաւ Բոոսը Ռախաբէն. Բոոս ծնաւ Ովբէդը Հռութէն. Ովբէդ ծնաւ Յեսսէն. 
MAT.1.6	Յեսսէ ծնաւ Դաւիթ թագաւորը. Դաւիթ թագաւորը ծնաւ Սողոմոնը Ուրիայի կնոջմէն. 
MAT.1.7	Սողոմոն ծնաւ Ռոբովամը. 
MAT.1.8	Ռոբովամ ծնաւ Աբիան. Աբիա ծնաւ Ասան. Ասա ծնաւ Յովսափատը. Յովսափատ ծնաւ Յովրամը. Յովրամ ծնաւ Ոզիան. 
MAT.1.9	Ոզիա ծնաւ Յովաթամը. Յովաթամ ծնաւ Աքազը, Աքազ ծնաւ Եզեկիան. 
MAT.1.10	Եզեկիա ծնաւ Մանասէն. Մանասէ ծնաւ Ամոնը. 
MAT.1.11	Ամոն ծնաւ Յովսիան. Յովսիա ծնաւ Յեքոնիան ու անոր եղբայրները Բաբելոնեան գերութեան ատենները. 
MAT.1.12	Բաբելոն գերութեան երթալէն յետոյ Յեքոնիա ծնաւ Սաղաթիէլը. 
MAT.1.13	Սաղաթիէլ՝ Զօրաբաբէլը. Զօրաբաբէլ ծնաւ Աբիուդը. Աբիուդ ծնաւ Եղիակիմը. 
MAT.1.14	Եղիակիմ ծնաւ Ազովրը. Ազովր ծնաւ Սադովկը. Սադովկ ծնաւ Աքինը. Աքին ծնաւ Եղիուդը. 
MAT.1.15	Եղիուդ ծնաւ Եղիազարը. Եղիազար ծնաւ Մատթանը. 
MAT.1.16	Մատթան ծնաւ Յակոբը. Յակոբ ծնաւ Յովսէփը՝ Մարիամին այրը, որմէ ծնաւ Յիսուս, որ կոչուեցաւ Քրիստոս։ 
MAT.1.17	Արդ բոլոր սերունդները Աբրահամէն մինչեւ Դաւիթ տասնըչորս սերունդ եւ Դաւիթէն մինչեւ Բաբելոնեան գերութիւնը տասնըչորս սերունդ ու Բաբելոնեան գերութենէն մինչեւ Քրիստոս տասնըչորս սերունդ։
MAT.1.18	Յիսուս Քրիստոսի ծնունդը այս կերպով եղաւ։ Անոր մայրը Մարիամ Յովսէփին նշանուած, դեռ իրարու քով չեկած՝ Սուրբ Հոգիէն յղացած գտնուեցաւ։ 
MAT.1.19	Յովսէփ՝ անոր այրը՝ արդար մարդ ըլլալով ու չուզելով որ զանիկա խայտառակ ընէ, մտածեց որ ծածկաբար արձակէ զանիկա։ 
MAT.1.20	Եւ երբ անիկա այս բանը կը մտածէր, ահա Տէրոջը հրեշտակը երազի մէջ երեւցաւ անոր ու ըսաւ. «Յո՛վսէփ, Դաւիթի որդի, մի՛ վախնար Մարիամը իբր կին առնելէ, վասն զի անոր ներսիդին ծնածը Սուրբ Հոգիէն է։ 
MAT.1.21	Ան որդի մը պիտի ծնանի, անոր անունը Յիսուս պիտի դնես, քանզի անիկա իր ժողովուրդը իրենց մեղքերէն պիտի փրկէ»։ 
MAT.1.22	Այս ամէնը եղաւ, որպէս զի կատարուի Տէրոջմէն ըսուածը մարգարէին միջոցով, որ կ’ըսէ. 
MAT.1.23	«Ահա կոյսը պիտի յղանայ ու որդի պիտի ծնանի, անոր անունը Էմմանուէլ պիտի կոչեն, որ կը թարգմանուի Աստուած մեզի հետ»։ 
MAT.1.24	Յովսէփ քունէն արթննալով՝ ինչպէս Տէրոջը հրեշտակը իրեն հրամայեց, այնպէս ըրաւ ու իր կինը քովն առաւ։ 
MAT.1.25	Եւ չգիտցաւ զանիկա՝ մինչեւ իր անդրանիկ որդին ծնաւ։ Անոր անունը Յիսուս դրաւ։
MAT.2.1	Երբ Յիսուս ծնաւ Հրէաստանի Բեթլէհէմին մէջ Հերովդէս թագաւորին օրերը, ահա արեւելքէն մոգեր եկան Երուսաղէմ, 
MAT.2.2	ու ըսին. «Ո՞ւր տեղ է ան՝ որ Հրեաներուն թագաւոր ծնաւ. վասն զի մենք արեւելքի մէջ անոր աստղը տեսանք ու եկանք անոր երկրպագութիւն ընելու»։ 
MAT.2.3	Երբ Հերովդէս թագաւորը լսեց, խռովեցաւ եւ բոլոր Երուսաղէմ իրեն հետ։ 
MAT.2.4	Ապա ժողվելով բոլոր քահանայապետները ու ժողովուրդին դպիրները, հարցուց անոնց թէ՝ Քրիստոսը ո՞ւր պիտի ծնանի։ 
MAT.2.5	Անոնք ալ իրեն ըսին. «Հրէաստանի Բեթլէհէմին մէջ։ Վասն զի այսպէս գրուած է մարգարէին ձեռքով. 
MAT.2.6	‘Դուն, Բե՛թլէհէմ, Յուդայի երկիր, Յուդայի իշխաններուն մէջ բնաւ պզտիկ մը չես. վասն զի քեզմէ իշխան մը պիտի ելլէ որ իմ Իսրայէլ ժողովուրդս պիտի հովուէ’»։ 
MAT.2.7	Այն ատեն Հերովդէս ծածկաբար մոգերը կանչեց ու ստուգեց անոնցմէ աստղին երեւցած ատենը։ 
MAT.2.8	Զանոնք Բեթլէհէմ ղրկելով՝ ըսաւ. «Գացէք ստոյգը իմացէք այն մանուկին վրայով ու երբ գտնէք, ինծի իմացուցէք, որպէս զի ես ալ երթամ, անոր երկրպագութիւն ընեմ»։ 
MAT.2.9	Երբ անոնք թագաւորէն այս բանը լսեցին, գացին. եւ ահա այն աստղը որ արեւելքի մէջ տեսեր էին, անոնց առջեւէն գնաց, կեցաւ մանուկին եղած տեղին վրայ։ 
MAT.2.10	Երբ տեսան աստղը, շատ ուրախացան։ 
MAT.2.11	Տունը մտնելով՝ տեսան մանուկը իր մօրը Մարիամին հետ ու ինկան երկրպագութիւն ըրին անոր եւ իրենց գանձերը բանալով ընծաներ տուին անոր՝ ոսկի ու կնդրուկ եւ զմուռս։ 
MAT.2.12	Ու երազի մէջ հրաման առնելով, որ նորէն Հերովդէսին չդառնան, ուրիշ ճամբով գացին իրենց երկիրը։
MAT.2.13	Երբ անկէ գացին անոնք, ահա Տէրոջը հրեշտակը երազի մէջ երեւցաւ Յովսէփին ու ըսաւ. «Ելի՛ր, առ մանուկը ու անոր մայրը ու Եգիպտոս փախիր, հոն կեցիր մինչեւ ես քեզի ըսեմ, քանզի Հերովդէս պիտի փնտռէ այդ մանուկը կորսնցնելու համար»։ 
MAT.2.14	Ան ալ ելաւ, մանուկը ու անոր մայրը գիշերով առաւ, գնաց Եգիպտոս եւ մինչեւ Հերովդէսի մահը հոն էր։ 
MAT.2.15	Որպէս զի մարգարէին միջոցով Տէրոջմէն ըսուածը կատարուի, որ կ’ըսէ. «Եգիպտոսէն կանչեցի իմ որդիս»։
MAT.2.16	Երբ Հերովդէս տեսաւ թէ խաբուեցաւ մոգերէն, սաստիկ սրդողեցաւ ու ղրկեց ջարդեց Բեթլէհէմի եւ անոր ամէն սահմաններուն մէջ գտնուած բոլոր տղաքը՝ երկու տարեկան եւ անկէ վար, այն ժամանակին համեմատ որ մոգերէն ստուգեց։ 
MAT.2.17	Այն ատեն կատարուեցաւ Երեմիա մարգարէին միջոցով ըսուածը, որ կ’ըսէ. «Ռամայի մէջ ձայն մը լսուեցաւ, ողբ, լաց ու մեծ կոծ. 
MAT.2.18	Ռաքէլ կու լար իր տղոցը համար ու չէր ուզեր մխիթարուիլ, վասն զի չկային»։
MAT.2.19	Երբ Հերովդէս մեռաւ, Տէրոջը հրեշտակը Եգիպտոսի մէջ Յովսէփին երեւցաւ ու ըսաւ. 
MAT.2.20	«Ելի՛ր, ա՛ռ մանուկը ու անոր մայրը եւ գնա Իսրայէլի երկիրը, քանզի մեռան անոնք որ մանուկին կեանքը կը փնտռէին»։ 
MAT.2.21	Ան ալ ելաւ, մանուկը ու անոր մայրը առաւ եւ դարձաւ Իսրայէլի երկիրը։ 
MAT.2.22	Իսկ երբ լսեց թէ Արքեղայոս թագաւորեց Հրէաստանի վրայ՝ իր հօրը Հերովդէսին տեղ, վախցաւ հոն երթալու ու երազի մէջ պատգամ առնելով՝ Գալիլիայի կողմերը գնաց. 
