GEN.1.1	Imapis manaraq kaptinmi Tayta Dios kamarqan jana pasatapis kay pasatapis.
GEN.1.2	Kay pasa manami kanan kaykashqannösu karqan, sinöqa yanawyaykaq yakulami. Say yaku jananchömi Tayta Diospa Espïritun kuyuykarqan.
GEN.1.3	Saymi Tayta Dios nirqan: <<¡Asikyay kasun!>>
GEN.1.3	Niptinmi asikyay yurirqan. 
GEN.1.4	Asikyayta kamarkurmi Tayta Dios rikarqan ali kashqanta. Saymi kamakäsirqan sakaypis asikyaypis kananpaq. 
GEN.1.5	Asikyaqpa jutintami churaparqan junaq kananpaq y sakaypatanami paqas kananpaq. Saykunatami kamarqan punta kaq junaqcho.
GEN.1.6	Saypitanami Tayta Dios nirqan: <<Ishkayman yaku rakiränanpaq yaku chawpincho azulyaraykaq kasun>>.
GEN.1.7	Nishqannölami azulyaraykämuqta kamarqan. Saynöpami wakin kaq yaku quëdarqan kay pasacho y wakin kaqnami azulyaraykämuqpa janancho. Nishqannölami lapanpis karqan. 
GEN.1.8	Azulyaraykämuqpa jutintami Tayta Dios churaparqan jana pasa jutin kananpaq. Saykunatami kamarqan ishkay kaq junaqcho.
GEN.1.9	Saypitanami Tayta Dios nirqan: <<Saki pasa rikakänanpaq ura kaq yaku juk pasalaman juntakäsun>>.
GEN.1.9	Nishqannölami lapanpis kamakarqan. 
GEN.1.10	Saki kaqpa jutintami Tayta Dios churaparqan pasa jutin kananpaq. Shuntakash kaq yakutanami lamarta jutisirqan. Sayno kamarkurmi Tayta Dios rikarqan ali kashqanta.
GEN.1.11	Nirkurnami nirqan: <<Alpapita winamusun tukuy casta jachakuna, muruyuq qewakuna karpis y tukuyläya wayuq jachakuna karpis>>.
GEN.1.11	Nishqannölami lapanpis karqan. 
GEN.1.12	Saymi winamurqan tukuy niraq qewakuna y imaykaläyata wayuq jachakunapis. Sayno kamarkurmi Tayta Dios rikarqan ali kashqanta. 
GEN.1.13	Saykunatami kimsa kaq junaqcho kamarqan.
GEN.1.14	Saypitanami Tayta Dios nirqan: <<Jana pasacho asikyaqkuna kayäsun junaqpis sakaypis kananpaq, junaqkunata watakunata yupayänanpaq y muruyänanpaq cosechayänanpaq imay kashqantapis musyayänanpaq. 
GEN.1.15	Saynöla asikyaqkuna ciëlucho kayäsun pasata asikyapäyänanpaq>>.
GEN.1.15	Nishqannölami lapanpis kamakarqan.
GEN.1.16	Saynömi intita, killata y qoyllarkunatapis kamarqan. Intita kamarqan junaqpa asikyänanpaq y killatanami kamarqan sakaypa asikyänanpaq. 
GEN.1.17	Saykunata Tayta Dios jana pasaman churarqan kay pasaman asikyämuptin 
GEN.1.18	sakaypis junaqpis kananpaqmi. Sayno kamarkurmi Tayta Dios rikarqan ali kashqanta. 
GEN.1.19	Saykunatami chusku kaq junaqcho kamarqan.
GEN.1.20	Saypitanami Tayta Dios nirqan: <<Yakucho imayka niraq kawaqkunawan pasa jananpa pajaqkunapis
GEN.1.21	Sayno nirmi Tayta Dios kamarqan lamarcho jatusaq mansariypaq uywakunata. Saynöpis kamarqan lamarcho, qochakunacho, mayukunacho tukuyläya pescädukunata. Saynömi kamarqan tukuyläya pajaqkunata. Saykunata kamarkurmi Tayta Dios rikarqan ali kashqanta. 
GEN.1.22	Nirkurnami bendicionninta qor nirqan: <<Lamarcho kawaqkuna y pasa jananpa pajaqkunapis, askaman mirayay>>.
GEN.1.23	Saykunatami pisqa kaq junaqcho kamarqan.
GEN.1.24	Saypitanami Tayta Dios nirqan: <<Ashmana kaq y mana ashmana kaqpis tukuy niraq uywakuna kayäsun. Sayno kayäsun pachalanpa y lätaypa puriqkunapis>>.
GEN.1.24	Nishqannölami lapanpis kamakarqan. 
GEN.1.25	Saynöpami Tayta Dios kamarqan tukuy niraq ashmana kaq y mana ashmana kaq uywakunata y pachalanpa y lätaypa puriqkunatapis. Sayno kamarkurmi Tayta Dios rikarqan ali kashqanta.
GEN.1.26	Nirkurnami Tayta Dios nirqan: <<Kananqa runata kamashun kikinsi niraqta.
GEN.1.27	Kikin niraqtami runata Tayta Dios kamarqan.
GEN.1.27	Payno kananpaqmi kamarqan.
GEN.1.27	Olqutapis warmitapis paymi kamarqan.
GEN.1.28	Nirkurnami bendicionninta qor nirqan:
GEN.1.28	<<Kay pasa juntashqanyaq mirayay.
GEN.1.28	Qamkunapa munaynikicho kayäsun pescädukuna, pajaqkuna y kay pasacho lapan kawaqkunapis>>.
GEN.1.29	Saypitanami nirqan: <<Mikuyänaykipaqmi kamashkä kay pasacho tukuy niraq mikuykunata y wayuq kaq jachakunatapis. 
GEN.1.30	Uywakuna, pajaqkuna y pachalanpa y lätaypa puriqkuna mikuyänanpaqmi jachakunatawan qewakunata kamashkä>>.
GEN.1.30	Nishqannölami lapanpis kamakarqan. 
GEN.1.31	Lapan kamashqankuna selläma ali kashqantami Tayta Dios rikarqan. Saykunatami soqta kaq junaqcho kamarqan.
GEN.2.1	Saynömi Tayta Dios kamayta usharqan jana pasata y jana pasacho kaqkunata, kay pasata y kay pasacho kaqkunatapis. 
GEN.2.2	Lapanta kamaskirnami qanchis kaq junaqcho Tayta Dios jamarqan.
GEN.2.3	Sayno jamashqanpitami Tayta Dios say junaqta bendisishpan churarqan 
GEN.2.4	Kaychömi qelqaraykan jana pasatawan kay pasata Tayta Dios kamashqan.
GEN.2.4	Jana pasata y kay pasata kamashna karpis 
GEN.2.5	 manaraqmi tamyasimurqanraqsu. Saymi ima qewapis ni jachapis jeqamurqanraqsu. Saynöpis chakrata arunanpaq runapis manami karqanraqsu. 
GEN.2.6	Say wisan pasapita yaku pashtamurmi
GEN.2.7	Saypitanami alpapita runata 
GEN.2.8	Paytami Edéncho jatunkaray huertaman churarqan saycho tänanpaq. Say huertataqa kikin 
GEN.2.9	Say huertachömi 
GEN.2.10	Jinan Edén huertapitami juk mayu pashtamurqan say huertata parqupänanpaq. Huertapita yarqurmi say mayu chuskuman rakikarqan. 
GEN.2.11	Punta kaq mayupa jutinmi karqan Pisón. Say mayumi päsan Havila partipa. Say partichömi aska qori kaykan. 
GEN.2.12	Say qoriqa mas ali kaq qorimi kaykan. Saynöpis saycho kaykan seqaypa mushkuq jachapa weqin y kuyaylapaq ónice rumikunapis. 
GEN.2.13	Jukaq mayupa jutinmi karqan Gihón. Say mayumi tumaykämun Cus partipa. 
GEN.2.14	Jukaq mayupa jutinmi karqan Tigris. Say mayuqa Asiriapita inti jeqamunan kaqläpami päsan. Jukaq mayupa jutinmi karqan Éufrates.
GEN.2.15	Kamashqan runatami Edén huertaman 
GEN.2.16	Nirkurnami runata nirqan: <<Kay huertacho kaq jachakunapa wayuyninqa lapanpis mikunaykipaqmi kaykan. 
GEN.2.17	Isanqa ama mikunkisu alita y mana alita musyasikuq jachapa wayuyninta. Sayta mikurqa wanunkipaqmi>>.
GEN.2.18	Nirkurmi 
GEN.2.19	Saypitanami alpapita kamashqan tukuy niraq uywakunatawan pajaqkunata
GEN.2.20	Saynöpami jutinkunata Adán churaparqan ashmana kaq mana ashmana kaq uywakunapata y pajaqkunapatapis. Lapan casta uywakuna kaptinpis runapa majanpaqnöqa manami karqansu. 
GEN.2.21	Saymi 
GEN.2.22	Say jorqushqan custillanpita warmita kamarkurmi runa kaqman pusharqan. 
GEN.2.23	Warmita rikaykurmi Adán pasaypa kushikushpan nirqan: <<¡Kaymi isanqa tulüpita aysäpita rurash kar kikï niraq kaykan! Olqupita rurash karmi warmi kaykan>>.
GEN.2.24	Saymi mamanpa y taytanpa makinpita runa yarqukun warminwan mana rakikaypa tänanpaq. Ishkaq karpis juklaylanömi kayanqa.
GEN.2.25	Ishkan qarapächula kaykarpis manami mayqanpis penqakuyarqansu.
GEN.3.1	Tayta Dios kamashqan lapan uywakunapitapis culebraqa mas astütumi karqan.
GEN.3.2	Sayno tapuptinmi warmi nirqan: <<Lapan jachapa wayuyninta mikuyänäpaqmi niyämash. 
GEN.3.3	Huerta chawpincho kaykaq jachapa wayuyninpaqmi isanqa mana mikuyänäpaq ni yataylapis mana yatayänäpaq niyämash. Say jachapa wayuyninta mikurqa wanuyäshaqshi>>.
GEN.3.4	Sayno niptinmi culebra nirqan: <<Manami wanuyankipaqsu. 
GEN.3.5	Say jachapa wayuyninta mikuyashqayki junaqqa Diosnömi tantiyayankipaq ali kashqanta y mana ali kashqantapis. Saymi mikuyänaykita Dios munansu>>.
GEN.3.6	Sayno niptinmi say jachapa wayuynin maypis mikurkuypaq kashqanta rikar seqaypa munaparqan. Saymi musyaq yachaq kayta munar jachapa wayuyninta palarkur mikurqan. Nirkurnami runanta makyaptin paypis mikurqan. 
GEN.3.7	Mikurkurnami jinan höra tantiyayarqan qarapächula kaykäyashqanta. Saymi hïgus jachapa rapranta jirarkur penqayninkunata sapakuyarqan.
GEN.3.8	Say tardi inti jeqaykaptinnami huertacho 
GEN.3.9	Saymi Tayta Dios qayakur nirqan: <<Adán, ¿maychötaq kaykanki?>>
GEN.3.10	Sayno qayakuptinmi Adán nirqan: <<Huertacho puriykashqaykita mayaskirmi qarapächula kayashpä penqakur pakakushkä, Taytay>>.
GEN.3.11	Niptinmi Tayta Dios tapurqan: <<¿Pitaq nishushkanki qarapächu kaykashqaykita? Maychiraq mikushkanki <ama mikunkisu> nishqä jachapa wayuyninta>>.
GEN.3.12	Niptinmi Adán nirqan: <<Majäpaq qomashqayki warmi apapämaptinmi say jachapa wayuyninta mikushkä, Taytay>>.
GEN.3.13	Sayno niptinmi warmita Tayta Dios tapurqan: <<¿Imatataq rurashkanki?>>
GEN.3.13	Saymi warmi nirqan: <<Culebra lulapämar shakyäsimaptinmi say jachapa wayuyninta mikushkä>>.
GEN.3.14	Saymi culebrata Tayta Dios nirqan:
GEN.3.14	<<Sayno lulapashqaykipitami lapan uywakunapitapis maldicionädu kankipaq.
GEN.3.14	Saynöpis pachalaykipami purinkipaq.
GEN.3.14	Alpata mikularmi kawankipaqpis.
GEN.3.15	Kananpitaqa warmiwan fiyupami chikinakuyanki.
GEN.3.15	Saynölami warmipita yuriqpis qampita miraqkunata rikaytapis munanqasu.
GEN.3.15	Warmipita yuriqtami talonnincho picanki.
GEN.3.15	Paymi isanqa umaykita shalunqa>>.
GEN.3.16	Nirkurmi Evatana nirqan:
GEN.3.16	<<Sayno rurashqaykipitami qeshyaq rikakur fiyupa nakanki.
GEN.3.16	Fiyupa nanaywanraqmi qeshyakunki.
GEN.3.16	Runaykitapis munaynikimanmi churayta munankipaq.
GEN.3.16	Sayno kaptinpis paypa munayninchömi imaypis kanki>>.
GEN.3.17	Nirkurnami Adánta nirqan:
GEN.3.17	<<Mana mikunaykipaq nikaptïmi warmikita cäsukur say jachapa wayuyninta mikushkanki.
GEN.3.17	Sayno mikushqaykipitami maysay chakrapis maldicionash kanqa.
GEN.3.17	Saymi waran waran seqaypa nakarraq mikunaykipaq arunki.
GEN.3.18	Chakrachöpis tukuy casta kashakunala y mana ali jachakunalami winayämunqa.
GEN.3.18	Sayno kaptinpis jachakunapa wayuynintami mikunkipaq.
GEN.3.19	Kawashqaykiyaqqa mikunaykipaq seqaypa jumpirraqmi arunki.
GEN.3.19	Alpapita kamashqami kaykanki.
GEN.3.19	Saymi wanushpayki alpaman kutinkipaq>>.
GEN.3.20	Saypitanami warminta Adán jutisirqan Eva
GEN.3.21	Adánwan Eva jatikuyänanpaqnami uywakunapa qarasanpita mödanankunata Tayta Dios ruraparqan.
GEN.3.22	Saypitanami Tayta Dios nirqan: <<Kananqa noqansino karnami ali kaqtapis mana ali kaqtapis runa musyan. Sayno kaykarqa imayyaqpis kawasikuq jachapa wayuyninta ama mikusunsu. Sayta mikurqa imayyaqpis kawanqami>>.
GEN.3.23	Saymi Edén huertapita 
GEN.3.24	Runata sayno qarquskirmi inti jeqamunan kaqläman 
GEN.4.1	Saypitanami Adánwan tarna Eva qeshyaq rikakurqan. Nirkur wawan yuriptinmi nirqan: <<
GEN.4.1	Saymi wawanta jutisirqan Caín
