MAT.1.1	Ya ra taa yang listaan yang mga kinaampu ni Jesu-Cristo. Tanya sasang kanubli ni Adi David
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Mag̱impisa tung ni Abraham ang asta ra tung ni Adi David sam puluk may epat ang esleb yang mga kinaampu ni Jesu-Cristo:
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	1. Ti Abraham
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	2. Ti Isaac
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	3. Ti Jacob ang yay tatay na Judang magpurutul
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	4. Ti Juda ang yay tatay ni Fares duruang magkampi ni Zara ang yay ipinangana ni Tamar
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	5. Ti Fares
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	6. Ti Esrom
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	7. Ti Aram
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	8. Ti Aminadab
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	9. Ti Naason
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	10. Ti Salmon
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	11. Ti Boaz ang yay ipinangana ni Rahab
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	12. Ti Obed ang yay ipinangana ni Ruth
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	13. Ti Jesse
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	14. Ti Adi David
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Mag̱impisa tung ni Adi David ang asta tung uras ang atiing pinamiag da yang mga masigka Israel tang kadaklan ang pinangkelan duun tung Babilonia, sam puluk si may epat ang esleb yang mga kinaampu ni Jesu-Cristo:
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	1. Ti Adi David
