MAT.1.1	Allaya listaan cha lampeɏpuwan Jesu Kristu un galak Ari David ya galak bo Abraham. 
MAT.1.2	Si Abraham chi aman Isaac, ked si Isaac chi aman Jacob, ked si Jacob chi aman cha Judah ya cha susuludla. 
MAT.1.3	Si Judah chi aman cha Perez kan Zera, ked si Tamar chi ilacha, si Perez chi aman Hezron ked si Hezron chi aman Ram, 
MAT.1.4	Si Ram chi aman Amminadab ked si Amminadab chi aman Nahshon un aman Salmon 
MAT.1.5	Si Salmon chi aman Boaz ked si Rahab chi ilala. Ha alak cha Boaz kan Ruth ked si Obed, ked siya aman Jesse. 
MAT.1.6	Si Jesse chi aman Ari David. Si Ari David chi aman Solomon ked si Bathseba ilala un sigud un asawan Uriah. 
MAT.1.7	Si Solomon chi aman Rehoboam, si Rehoboam chi aman Abijah, si Abijah chi aman Asa. 
MAT.1.8	Si Asa chi aman Jehoshaphat. Si Jehoshaphat chi aman Joram. Si Joram chi aman Uzziah. 
MAT.1.9	Uzziah chi aman Jotham. Si Jotham chi aman Ahaz. Ked si Ahaz aman Hezekiah. 
MAT.1.10	Si Hezekiah chi aman Manasseh, ked si Manasseh chi aman Amos ked si Amos chi aman Josiah. 
MAT.1.11	Si Josiah chi aman cha Jechoniah ya cha susuludla. Hachi timpu un langitallayancha kan cha iyIsrael ud Babylon.
MAT.1.12	Libuwas pu litallayan cha iyIsrael ud Babylon, liyalak si Shealtiel un alak Jechoniah. Si Shealtiel chi aman Zerubabel. 
MAT.1.13	Si Zerubabel chi aman Abiud, si Abiud chi aman Elliakim ked si Elliakim chi aman Azor. 
MAT.1.14	Si Azor chi aman Zadok ked si Zadok chi aman Achim ked si Achim chi aman Eliud. 
MAT.1.15	Si Eliud chi aman Eleazar ked si Eleazar chi aman Matthan ked si Matthan chi aman Jacob. 
MAT.1.16	Si Jacob chi aman Joseph, un asawan Mary un langiyalak kan Jesus un ngadloncha Kristu.
MAT.1.17	Umoy un lasawaɏan si opat un lolap malipud kan Abraham inggala kan David ked lasawaɏan bo si opat un lolap malipud kan David inggala si timpuʼn langitallayancha kan cha iyIsrael ud Babylon ya lasawaɏan bo si opat un lolap malipud si illinggewancha ud Babilonia inggala si liyalakan Kristu.
MAT.1.18	Kamatla kauguchen chi liyalakan Jesus un kalanchaʼn Kristu. Si Mary un ilala liyabyeyan kan Joseph ngim sakbyey un manchapatcha, ladlaw Mary un labugi siya mipagapu si kilabyelin chi Ispiritun Apudyus. 
MAT.1.19	Gapu ta lalintog un tagu si Joseph un liyasaw-ala, achipunla pion un mikiteg si Mary ot pilanggoplaʼn isila siya un lappun makaagammu.
