MAT.1.1	˻Isirele yembomanga ou pulu pulu anda kolepa˼ Eporayamo kinie
MAT.1.2	Eporayamone Aisake merimu;
MAT.1.2	Aisakene Jekopo merimu;
MAT.1.2	Jekopone Juda kinie Judanga angenupilime kinie merimu;
MAT.1.3	Judane Peresi kinie Sera kinie merimu,
MAT.1.3	kanu yeselonga anumu Tema;
MAT.1.3	Peresini Esirono merimu;
MAT.1.3	Esironone Ramo merimu;
MAT.1.4	Ramone Aminadape merimu;
MAT.1.4	Aminadapene Nasono merimu;
MAT.1.4	Nasonone Sallimono merimu;
MAT.1.5	Sallimonone Boasi merimu, Boasi yunge anumu Reapa;
MAT.1.5	Boasini Opete merimu, Opete yunge anumu Rute;
MAT.1.5	Opetene Jesi merimu;
MAT.1.6	Jesini ye nomi kingi Depisi merimu.
MAT.1.6	Depisini Sollomono merimu. Sollomononga anumu
MAT.1.6	ou Yurayanga ambo menumu molorumu.
MAT.1.6	Pe Depisini kanu ambomo konopu mondopa
MAT.1.6	Yuraya topa kondopa ambomo yu lsimu.
MAT.1.7	Sollomonone Riapoamo merimu;
MAT.1.7	Riapoamone Apaya merimu;
MAT.1.7	Apayane Eta merimu;
MAT.1.8	Etane Josipate merimu;
MAT.1.8	Josipatene Joramo merimu;
MAT.1.8	Joramone Asaya merimu;
MAT.1.9	Asayane Jotamo merimu;
MAT.1.9	Jotamone Eyasi merimu;
MAT.1.9	Eyasini Esikaya merimu;
MAT.1.10	Esikayane Manasa merimu;
MAT.1.10	Manasane Emosi merimu;
MAT.1.10	Emosini Josaya merimu;
MAT.1.11	Josayane Jekonaya kinie yunge angenupilime kinie
MAT.1.11	merimu. Josaya kolopili yunge malopili molangi opa
MAT.1.11	pulue yemboma Isirele yemboma kinie ongo opa
MAT.1.11	tekolie toko munduku Isirele yembo awisili ka siku
MAT.1.11	enonga kolea awili Bepillono mengo puringi.
MAT.1.12	Ka siku mengo puringi kinie pe
MAT.1.12	Jekonayane Sialtele merimu;
MAT.1.12	Sialtelene Serapapele merimu;
MAT.1.13	Serapapelene Apayate merimu;
MAT.1.13	Apayatene Ellayakimu merimu;
MAT.1.13	Ellayakimuni Eso merimu;
MAT.1.14	Esone Sedoke merimu;
MAT.1.14	Sedokene Ekimu merimu;
MAT.1.14	Ekimuni Ellayate merimu;
MAT.1.15	Ellayatene Elliesa merimu;
MAT.1.15	Elliesane Matano merimu;
MAT.1.15	Matanone Jekopo merimu;
MAT.1.16	Jekopone Josepo merimu.
MAT.1.16	Josepo Maria menu. Josepone Maria ou naa lipili
MAT.1.16	Maria yu ambolango olona mondopa molorumu.
MAT.1.16	Pe ambo yeselo moloringili kinie
MAT.1.16	Mariane Yesusi merimu.
MAT.1.16	˻Pulu Yemone “Eno nokopa kondomba ye nomi te lipu mundumbo.” ou nimbe mako torumu yemo pe Yesusi aku yemo omba molorumu kulu˼ yunge imbi te pea sikulie ‘Kirasimu’.
MAT.1.17	Eporayamo kinie Eporayamone yandopa yandopa kalopa lipe Depisi kalopa lipe terimu yema ˻Yesusinge˼ anda kolepa tene-po
MAT.1.17	moloringi. Pe Depisini yandopa yandopa ou Bepillono yembomane Juda yembo mare ka siku Bepillono anjo naa mengo pangi anda kolepa tene-pola moloringi. Bepillono ka siku mengo puringi kinie pe yandopa ye nomi Kirasimu kinie kalko lsingi ye tene-pola moloringi.
MAT.1.18	Yesusi, Pulu Yemone “Eno nokopa kondomba ye te lipu mundumbo.” ou nimbe mako torumu ye nomi Kirasimu,
MAT.1.18	Yunge anumu Marianga pulu lierimu yembomane “Maria Josepone lipili.” ningu koronga niringi nalo ou Josepo pea telune naa peangili Mini Kake Telimuni Maria yunge olona ambolango te mondondorumumu Maria yuyu pilierimu. 
MAT.1.19	Kanu kinie yunge ye Josepo yu ye sumbi nilimu molorumu kulu Maria ambolango mondorumu kinie pilipelie ‘Maria olie naa polopili.’ nimbe ‘Yembo awisili molangi yu temu mele nimbu para naa sipu yu yuyu molomba kinie kiyengo nimbu we “Kamu pu.” niembo.’ konopu lierimu.
MAT.1.20	Josepo aku sipe konopu lipe mundupe molopili Awilimunge angello tene Josepo uru kumbu sipelie nimbendo: “Josepo, ye nomi kingi Depisini kolopa lsimu yemo, Mini Kake Telimuni Maria ulu te terimu kulu yu ambolangomo olana mondolemo kene yu linindu pipili naa kolko li.” ˻nirimu.˼ 
MAT.1.21	“Yu kango kanopa limbe. Kanu kangomone yunge yemboma ‘Enonga konopune ulu pulu keri telemelema pepili molkolie mindili nonge.’ nimbe eno lipe tapondopa, mindili nolemela aulkena wendo lipe, yu-kinie pea molko kondonge aulkena lipe mondomba kene yunge imbi leko “Yesusi”.
MAT.1.22	Aku sipe wendo orumu ulumenga pali koronga ou Pulu Yemone ungu umbu tondorumume pilipe yemboma nimbe sirimu ye tene ulu mare pe wendo ombá ou nirimu mele kamu wendo orumu. Akumu isipe:
MAT.1.23	“Pilieyo.
MAT.1.23	Ambo wenepo tene ambolango olona mondopalie
MAT.1.23	kango te memba.
MAT.1.23	Kanu kinie yunge imbi leko “I menuele” ninge.”.
MAT.1.23	nirimu. I imbimunge ungu pulumu ‘Pulu Yemo
