MAT.1.1	Leabhar gheinealuigh Iósa Críosd, mhic Dhaibhi, mhic Abraham.
MAT.1.2	Do ghein Abraham Isaac; agus do ghein Isaac Iacob; agus do ghein Iacob Iúdas agus a dhearbhráithre; 
MAT.1.3	Agus do ghein Iúdas Pháres agus Sára ó Thamar; agus do ghein Pháres Esrom; agus do ghein Esrom Aram; 
MAT.1.4	Agus do ghein Aram Aminadab; agus do ghein Aminadab Náason; agus do ghein Náason Salmon; 
MAT.1.5	Agus do ghein Salmon Boos ó Rachab; agus do ghein Boos Obed ó Rút; agus do ghein Obed Iesse; 
MAT.1.6	Agus do ghein Iesse Dáibhi an rí; agus do ghein Dáibhi an ri Solomon on mnáoi do bhi ag Urías; 
MAT.1.7	Agus do ghein Solomon Robóam; agus do ghein Robóam Abía; agus do ghein Abía Asa; 
MAT.1.8	Agus do ghein Asa Iósaphat; agus do ghein Iósaphat Ióram; agus do ghein Ióram Osías 
MAT.1.9	Agus do ghein Osías Ióatam; agus do ghein Ióatam Achas; agus do ghein Achas Esechias 
MAT.1.10	Agus do ghein Esechías Manasses; agus do ghein Manasses Amon; agus do ghein Amon Iosías; 
MAT.1.11	Agus do ghein Iosías Iechonías agus a dhearbhráithre, ag bruid na Babilóine. 
MAT.1.12	Agus tar éis bruide na Babilóne, do ghein Iechonias Salatiel; agus do ghein Salatiel Sorobabel 
MAT.1.13	Agus do ghein Sorobabel Abiúd, agus do ghein Abiúd Eliachim; agus do ghein Eliáchim Asor; 
MAT.1.14	Agus do ghei Asor Sádoc; agus do ghein Sádoc Achim; agus do ghein Achim Eliúd; 
MAT.1.15	Agus do ghein Eliúd Eleasar; agus do ghein Eleasar Mátan; agus do ghein Mátan Iácob; 
MAT.1.16	Agus do ghein Iácob Ióseph fear Mhuire, as ar geineadh Iósa, da ngoirthear Críosd.
MAT.1.17	Uime sin a nuile gheinealach ó Abraham go Dáibhi 
MAT.1.18	Agus is mar so do bhí geineamhuin Iosa Chríosd: Oir tar éis daingin do thabhairt eidir a mhathair Muire agus Ioséph, ní is táosga na thangadar a ngar dá cheile fríoth torrach í ón Spiorad Náomh. 
MAT.1.19	Achd ar mbeith do Ióseph a fear, na 
MAT.1.20	Agus ag smúaineadh na neithise dhó féuch, do fhoillsigh aingeall an Tighearna e féin dó a naisling, ag rádh, A Ióseph, mhic Dháibhi, na bíodh eagla ort do bhean fein Muire do ghabháil chugad; oir an ni atá ar na gheineamhuin innte is ón Spiorad Náomh é. 
MAT.1.21	Agus béaruidh sí mac, agus do bhéaruidh tú Iosa dainm air: óir sláineochadh sé a phubal féin ó na bpeacuighibh. 
MAT.1.22	Agus do rinneadh so uile, do chum go gcoimhlíonfuighthe an ní a dubhairt an Tighearna tres an bhfaidh, ag rádh, 
MAT.1.23	Tabhair dod aire, bíaidh maighdean tórrach, agus bearuidh sí mac, agus do bhéaruidh tú Emmanuel dainm air, noch ar na mhiniughadh, iseadh, Día maille rinn. 
MAT.1.24	Agus ar músgladh do Ióseph as a chodladh do rinne sé mar do aithin aingeal an Tighearna dhe, agus do ghabh sé chuide a bhean: 
MAT.1.25	Agus nior aithin sé í no go rug sí a céudmhac: agus tug sé Iosa dainm air.
MAT.2.1	Agus an tan do rugadh Iósa a Mbetleem thíre Iúdaighe a laithibh Iorúaith an rí, féuch, tangadar dráoithe ó naird shoir Híarusalem, 
MAT.2.2	Ag rádh, Ga háit iona bhfuil an Rí úd na Niúduigheadh atá ar na bhreith? óir do chunncamaírne a réalt san aire shoir, agus tangamar dá onórughadh.
MAT.2.3	Achd an tráth do chuálaidh an rí Ioruath sín, do bhí sé ar na bhúaidhreadh, agus Iárusaleim uile maille ris. 
MAT.2.4	Agus ar gcruinniughadh úachdarán na sagart uile dhó agus sgriobuidheagh an phubail, do fhíafruigh sé dhióbh, Cía a náit ann a mbéartháoi Chriosd. 
MAT.2.5	Agus a dubhradarsan rís, A Mbeitleem thíre Iúdaighe: óir is mar so atá sé sgriobhtha ag an bhfaigh, 
MAT.2.6	Agus tusa a Bhetleem, talamh Iúda, ní tú is Iugha eidir dhúibhcidhibh Iúdah: óir is asad thiocfas an Duibhce, sdúireóchus mo phubal Israel. 
MAT.2.7	Agus an sinn do ghoir Iorúaith, na dráoithe ós íseal chuige, agus do fhíafruigh sé dhíobh go rougher cía a naimsear ionar foillsigheadh an réult.
MAT.2.8	Agus agá gcur go Beitleem dhó, a dubhairt sé, Imthige agus iárruigh an náoidhe go díthchiollach; agus tar eís 
MAT.2.9	Agus ar gcuinsin an rígh dhóibh do imthigheadar; agus, féuch, an réult, do chunncadar sa náird shoir, do chuáidh sé rompa, no go dtaínic sé agus gur chomhnuigh sé ós cionn a nionuid ann a raibh an náoidheanán. 
MAT.2.10	Agus ar bhfaicsin na réilte dhóibh, do ghabh gáird gáirdeachus romhór iád.
MAT.2.11	Agus ar ndul a steach don tigh, fúaradar an náoidhe a bhfochair a mharthar Muire, agus ag tuitiom síos, do onóruigheadar é: agus an nosgladh a gcisdeagh, thugadar tiodhluicthe dhó: ór, agus túis agus mirr. 
MAT.2.12	Agus ar bhfagháil teaguisg ó Dhía a naisling gan casadh dionsuighe Iorúaith, do fhilleadar a slighe eile da dtir féin.
MAT.2.13	Agus ar nimtheachd air a nais doibh, feach, do toibhreadh aingeal an Tighearna a mbrionglóid do Ióseph, ag radh, Eirigh ngus gabh anáoidheanán agus a mhathair chugad, agus teith do Néigipt, agus bi ann sin no go Iabhruidh misi riot: óir íarrfuidh Iorúaith an náoidhe do chum a mhillte. 
MAT.2.14	Agus ar néirghe dhósan, do ghabh sé an náoidhe chuige agus a mathair ann sa noidhche, agus do imthigh sé do Néigipt: 
