GEN.1.1	起初，上帝创造天地。 
GEN.1.2	地是空虚混沌，深渊上面一片黑暗；上帝的灵 
GEN.1.3	上帝说：“要有光”，就有了光。 
GEN.1.4	上帝看光是好的，于是上帝就把光和暗分开。 
GEN.1.5	上帝称光为“昼”，称暗为“夜”。有晚上，有早晨，这是第一日。
GEN.1.6	上帝说：“众水之间要有穹苍，把水和水分开。” 
GEN.1.7	上帝就造了穹苍，把穹苍以下的水和穹苍以上的水分开。事就这样成了。 
GEN.1.8	上帝称穹苍为“天”。有晚上，有早晨，这是第二日。
GEN.1.9	上帝说：“天下面的水要聚集在一处，使干地露出来。”事就这样成了。 
GEN.1.10	上帝称干地为“地”，称聚集在一起的水为“海”。上帝看为好的。 
GEN.1.11	上帝说：“地要长出植物，就是含种子的五谷菜蔬，和会结果子、果子里有种子的树，在地上各从其类。”事就这样成了。 
GEN.1.12	于是地长出了植物：含种子的五谷菜蔬，各从其类；会结果子、果子里有种子的树，各从其类。上帝看为好的。 
GEN.1.13	有晚上，有早晨，这是第三日。
GEN.1.14	上帝说：“天上要有光体来分昼夜，让它们作记号，定季节、日子、年份， 
GEN.1.15	它们要在天空发光，照在地上。”事就这样成了。 
GEN.1.16	于是上帝造了两个大光体，大的管昼，小的管夜，又造了星辰。 
GEN.1.17	上帝把这些光体摆列在天空，照在地上， 
GEN.1.18	管理昼夜，分别光暗。上帝看为好的。 
GEN.1.19	有晚上，有早晨，这是第四日。
GEN.1.20	上帝说：“水要滋生众多有生命之物；要有鸟飞在地面以上，天空之中。” 
GEN.1.21	上帝就创造了大鱼和在水里滋生的各样活动的生物，各从其类，以及各样有翅膀的鸟，各从其类。上帝看为好的。 
GEN.1.22	上帝就赐福给这一切，说：“要繁殖增多，充满在海的水里；飞鸟也要在地上增多。” 
GEN.1.23	有晚上，有早晨，这是第五日。
GEN.1.24	上帝说：“地要生出有生命之物，各从其类，就是牲畜、爬行动物、地上的走兽，各从其类。”事就这样成了。 
GEN.1.25	于是上帝造了地上的走兽，各从其类；牲畜，各从其类；和地上一切的爬行动物，各从其类。上帝看为好的。
GEN.1.26	上帝说：“我们要照着我们的形像，按着我们的样式造人，使他们管理海里的鱼、天空的鸟、地上的牲畜和全地，以及地上爬的一切爬行动物。” 
GEN.1.27	上帝就照着他的形像创造人，照着上帝的形像创造他们
