GEN.1.1	起初，神创造诸天和大地。
GEN.1.2	那时大地空虚混沌，黑暗笼罩着深渊表面，神的灵运行在水面上。
GEN.1.3	神说：“要有光”，就有了光。 
GEN.1.4	神看光是好的。神把光和黑暗分开， 
GEN.1.5	神称光为“昼”，称黑暗为“夜”。有晚上，有早晨；这是第一日。
GEN.1.6	神说：“让众水之间有穹苍，把水和水分开。” 
GEN.1.7	神就造了穹苍，把穹苍以下的水和穹苍以上的水分开。事情就如此成就了。 
GEN.1.8	神称穹苍为“天”。有晚上，有早晨；这是第二日。
GEN.1.9	神说：“让天底下的水聚集到一处，让干处显现。”事情就如此成就了。 
GEN.1.10	神称干处为“地”，称水的聚集之处为“海”。神看这是好的。 
GEN.1.11	神说：“让地长出植物——结种子的蔬草和结果实的果树，各从其类，地上的果实中都有种子。”事情就如此成就了。 
GEN.1.12	地就生出了植物——结种子的蔬草，各从其类；还有结果实、果实中有种子的树，各从其类。神看这是好的。 
GEN.1.13	有晚上，有早晨；这是第三日。
GEN.1.14	神说：“让天上的穹苍中有光体来分昼夜，让它们成为标记来定时节、日子和年岁； 
GEN.1.15	让它们在天上穹苍中发光来照亮大地。”事情就如此成就了。 
GEN.1.16	神造了两个大光体：大的管昼，小的管夜，又造了星辰； 
GEN.1.17	神把它们安置在天上的穹苍中来照亮大地， 
GEN.1.18	分管昼与夜，并分开光与黑暗。神看这是好的。 
GEN.1.19	有晚上，有早晨；这是第四日。
GEN.1.20	神说：“让水中充满成群的活物，让飞鸟在大地之上、在天上的穹苍中飞翔。” 
GEN.1.21	神就创造了海中的巨兽和在水中群聚、活动的各样生物，各从其类；又创造了各样有翅膀的飞鸟，各从其类。神看这是好的。 
GEN.1.22	神祝福它们说：“要繁衍增多，让生物充满海洋，让飞鸟在大地上增多。” 
GEN.1.23	有晚上，有早晨；这是第五日。
GEN.1.24	神说：“让地上生出活物，各从其类：牲畜、爬行之物和地上的野兽，都各从其类。”事情就如此成就了。 
GEN.1.25	于是神造了地上的野兽，各从其类；又造牲畜，各从其类；并地上一切的爬行之物，各从其类。神看这是好的。
GEN.1.26	神说：“让我们照着我们的形像、按着我们的样式造人；让他们管理海里的鱼、天空的飞鸟、地上的牲畜，并且管理全地和其上活动的一切动物。”
GEN.1.27	于是，神照着自己的形像创造人，
GEN.1.27	照着神的形像创造了人，
GEN.1.27	他创造了男人和女人。
GEN.1.28	神祝福他们，又对他们说：“要繁衍增多，充满大地，并要管辖这地；也要管理海里的鱼、天空的飞鸟，以及在地上活动的一切生物。” 
GEN.1.29	神说：“看哪，我把全地上一切结种子的蔬草和一切果实中带种子的树，都赐给你们；这些都可作为你们的食物。 
GEN.1.30	至于地上的一切野兽、天空的一切飞鸟和在地上活动的一切有气息的生物，我把各样绿色植物都赐给它们作食物。”事情就如此成就了。 
GEN.1.31	神看着他所造的一切，看哪，都非常好！有晚上，有早晨；这是第六日。
GEN.2.1	诸天、大地及其万象就这样造成了。 
GEN.2.2	到第七日，神已经完成了他所做的工，就在第七日安息了，歇了他所做的一切工。 
GEN.2.3	神就祝福第七日，把它分别为圣，因为在这日，神安息了，歇了他所做的一切创造之工。
GEN.2.4	诸天和大地被造的来历是这样的：在耶和华神造大地和诸天的日子， 
GEN.2.5	田野的灌木还没有出现在地上，田间的蔬草也还没有长出，因为耶和华神没有降雨在地上，也没有人耕耘土地； 
GEN.2.6	但有雾气从大地升腾，滋润整个地面。 
GEN.2.7	耶和华神用地上的尘土塑造人，把生命的气息吹进他的鼻孔里，那人就成了有生命的人
GEN.2.8	耶和华神在东方的
GEN.2.9	耶和华神使各样的树从地里长出来，令人眼目喜爱，作为食物也很好；在园子的中间有生命树和分辨善恶树。
GEN.2.10	有一条河从
GEN.2.11	第一条名叫
GEN.2.12	那地的金子是上好的，在那里还有红玉
GEN.2.13	第二条河名叫
GEN.2.14	第三条河名叫
GEN.2.15	耶和华神把那人带来，安置在
GEN.2.16	耶和华神吩咐那人说：“园子中各样树上的果实，你都可以随意吃； 
GEN.2.17	只是分辨善恶树上的果实，你不可吃，因为在吃的日子，你必定死。” 
GEN.2.18	耶和华神又说：“那人孤身不好，我要为他造一个合适的帮助者。” 
GEN.2.19	耶和华神用土塑造了田野各样野兽和天空各样飞鸟，把它们带到那人面前，看他怎么称呼它们。他怎么称呼每样活物，那就成了它的名字。 
GEN.2.20	那人给各样的牲畜、天空的飞鸟和田野的各样野兽都起了名字。至于给
GEN.2.21	耶和华神使那人陷入沉睡，那人就睡着了；神取出他的一根肋骨，又在原处把肉合起来。 
GEN.2.22	然后耶和华神用那人身上所取的肋骨，造出一个女人，并把她带到那人面前。 
GEN.2.23	那人说：
GEN.2.23	“这才是我骨中的骨、
GEN.2.23	肉中的肉！
GEN.2.23	她当被称为‘女人’，
GEN.2.23	因为她是从男人身上取出来的。”
GEN.2.24	因此人将离开父母，与妻子结合，二人就成为一体。 
GEN.2.25	当时那人和他的妻子都是赤身的，彼此也不觉得羞耻。
GEN.3.1	在耶和华神所造的田野各样活物中，蛇是最狡猾的。它对女人说：“难道神真说过，你们不可吃这园子中任何树上的果实吗？”
GEN.3.2	女人对蛇说：“园子中树上的果实，我们可以吃， 
GEN.3.3	只有园子中间那棵树上的果实，神说过‘你们不可吃，也不可碰，免得你们死。’”
GEN.3.4	蛇却对女人说：“你们不一定死， 
GEN.3.5	因为神知道：你们吃那果实的日子，眼睛就开了，你们就会像神一样知道善恶。” 
GEN.3.6	女人见那棵树的果实
GEN.3.7	于是他们两个人的眼睛开了，知道自己是赤身的，就把无花果树的叶子缝合起来，为自己做了腰上的遮盖。
GEN.3.8	天起凉风的时候，那人和他的妻子听见耶和华神在园子里行走的声音，就躲藏在园子的树木中，避开耶和华神的面。 
GEN.3.9	耶和华神呼唤那人，对他说：“你在哪里？”
GEN.3.10	那人说：“我在园子里听见你的声音就害怕，因为我是赤身的；于是我躲藏了。”
GEN.3.11	耶和华说：“谁告诉你，你是赤身的呢？难道你吃了我吩咐你‘不可吃’的那棵树的果实
GEN.3.12	那人说：“你赐给我那与我在一起的女人——她把那棵树上的果实给了我，我就吃了。”
GEN.3.13	耶和华神对女人说：“你做的这是什么呢？”女人说：“那蛇引诱了我，我就吃了。”
GEN.3.14	耶和华神就对蛇说：
GEN.3.14	“因为你做了这事，
GEN.3.14	你必受诅咒，比一切的牲畜和田野一切的野兽更甚。
GEN.3.14	你必用肚腹行走，
GEN.3.14	你一生所有的日子都必吃土。
GEN.3.15	我要把仇恨放在你和女人之间，
