MAT.1.1	Ba ledre gɨ ro bulúndu bulúndu Kɨ́résịto
MAT.1.2	Abarayáma ndiki Isáka.
MAT.1.2	Zɨ́ Isáka ndíki Yakóbo.
MAT.1.2	Zɨ́ Yakóbo ndíki Zụ́da e kɨ́ lúnduné e.
MAT.1.3	Zɨ́ Zụ́da ndíki ꞌbɨ ené Peréze e kɨ́ Zéra. Mbágáye ꞌbɨ ené Tamára.
MAT.1.3	Zɨ́ Peréze ndíki ꞌbɨ ené Ézorono.
MAT.1.3	Zɨ́ Ézorono ndíki ꞌbɨ ené Ráma.
MAT.1.4	Zɨ́ Ráma ndíki ꞌbɨ ené Aminadába.
MAT.1.4	Zɨ́ Aminadába ndíki ꞌbɨ ené Nasóna.
MAT.1.4	Zɨ́ Nasóna ndíki ꞌbɨ ené Salamóna
MAT.1.5	Zɨ́ Salamóna ndíki ꞌbɨ ené Bowáza, ịrị mbágáa Rába.
MAT.1.5	Zɨ́ Bowáza ndíki ꞌbɨ ené Óbede, ịrị mbágáa Rúta.
MAT.1.5	Zɨ́ Óbede ndíki ꞌbɨ ené Zése.
MAT.1.6	Zɨ́ Zése ndíki ꞌbɨ ené Dawídi bɨ kóo nɨ mongụ́ ngére ní.
MAT.1.6	Dawídi ndiki ꞌbɨ ené Solomóna, mbágáa nɨ Beteseyị́da kára umbu kacɨ́ Ụrị́ya.
MAT.1.7	Zɨ́ Solomóna ndíki ꞌbɨ ené Rebóma.
MAT.1.7	Zɨ́ Rebóma ndíki ꞌbɨ ené Abiyáza.
MAT.1.7	Zɨ́ Abiyáza ndíki ꞌbɨ ené Ása.
MAT.1.8	Zɨ́ Ása ndíki ꞌbɨ ené Zesofáti.
MAT.1.8	Zɨ́ Zesofáti ndíki ꞌbɨ ené Zeróma.
MAT.1.8	Zɨ́ Zeróma ndíki ꞌbɨ ené Uzíya.
MAT.1.9	Zɨ́ Uzíya ndíki ꞌbɨ ené Zotáma.
MAT.1.9	Zɨ́ Zotáma ndíki ꞌbɨ ené Áza.
MAT.1.9	Zɨ́ Áza ndíki ꞌbɨ ené Izikíya.
MAT.1.10	Zɨ́ Izikíya ndíki ꞌbɨ ené Manási.
MAT.1.10	Zɨ́ Manási ndíki ꞌbɨ ené Amóna.
MAT.1.10	Zɨ́ Amóna ndíki ꞌbɨ ené Zosíya.
MAT.1.11	Zɨ́ Zosíya ndíki ꞌbɨ ené Zekíni, do ndíki ngíti géyị lúnduga sɨmɨ bɨ ezeokó Isɨréle e ꞌdiꞌbinɨ́ yée ndéré kɨ́ye sɨmɨ Babelónịya ní.
MAT.1.12	Gɨ do kacɨ́ a bɨ Yụ́da e ndaꞌbaogụnɨ́ ꞌbɨ eyé gɨ sɨmɨ Babelónịya ní,
MAT.1.12	zɨ́ Zekíni ndíki ꞌbɨ ené Seretiyéle.
MAT.1.12	Zɨ́ Seretiyéle ndíki ꞌbɨ ené Zerụbábele.
MAT.1.13	Zɨ́ Zerụbábele ndíki ꞌbɨ ené Abiyụ́da.
MAT.1.13	Zɨ́ Abiyụ́da ndíki ꞌbɨ ené Alikíma.
MAT.1.13	Zɨ́ Alikíma ndíki ꞌbɨ ené Azóra.
MAT.1.14	Zɨ́ Azóra ndíki ꞌbɨ ené Zadóka.
MAT.1.14	Zɨ́ Zadóka ndíki ꞌbɨ ené Akímu.
MAT.1.14	Zɨ́ Akímu ndíki ꞌbɨ ené Elụyụ́da.
MAT.1.15	Zɨ́ Elụyụ́da ndíki ꞌbɨ ené Eliyázara.
MAT.1.15	Zɨ́ Eliyázara ndíki ꞌbɨ ené Matána.
MAT.1.15	Zɨ́ Matána ndíki ꞌbɨ ené Yakóbo.
MAT.1.16	Zɨ́ Yakóbo ndíki ꞌbɨ ené Yoséfa oꞌdo ꞌbɨ Maríya. Née Maríya bɨ mbágá Kɨ́résịto Yésụ ní.
MAT.1.17	Bulúndu Yésụ nɨyí kóo mɨífiyé káa. Tonó gɨ ro Abarayáma ndéréógụné gị ro mongụ́ ngére Dawídi, ndiki andánɨ́ kóo ṛị́kị́ ꞌyị eyé e go kɨ́ꞌdí sokó doa eso (14). Do tónó ndíki ngíti géyị gɨ sɨmɨ sịndị́ kadra ꞌbɨ mongụ́ ngére Dawídi ndéréógụné gị sɨmɨ sịndị́ kadra bɨ ezeokó Isɨréle e ꞌdiꞌbinɨ́ yée ndéré kɨ́ye sɨmɨ Babelónịya ní, kpá sokó doa eso. Zɨ́ ngíti géyị tónóye gɨ ore ndéréógụné gị sɨmɨ sịndị́ kadra bɨ aránɨ́ Kɨ́résịto sɨmɨ a ní. Ndiki andánɨ́ ṛị́kị́ ꞌyị eyé e go kpá sokó doa eso.
MAT.1.18	Ledre gɨ ro mɨndíki Kɨ́résịto Yésụ tonó kóo káa. Korónɨ́
MAT.1.19	Gɨ zɨ́a bɨ Yoséfa ndịsị méngị ledre ga bɨ Lomo ili yée ní, kpá gɨ zɨ́a bɨ ili ené íꞌbí komokenyị́ ro do Maríya wá ní, zɨ́a kóo áyíne gɨ ro ótoómo wo lá wayí kenée ꞌyị e ndanɨ́ ówo a wá.
MAT.1.20	Sɨmɨ bɨ Yoséfa yeme roné go kenée ní, zɨ́ Ngére kása maláyika
MAT.1.21	Nɨ áráógụ owụ́ née owụ́oꞌdo, ídí ị́fị́ ịrị a Yésụ, gɨ zɨ́a nɨ yómo ꞌyị ené e gɨ sɨmɨ lúyú ledre eyé e.”
MAT.1.22	Ledre bɨ kóo Ngére ukuiꞌbí tara ngíti nébị ní, mengị roné née goó ne tɨ́ káa zɨ́ bɨ kóo uku ní kɨ́dí, 
MAT.1.23	“Karanée ngíti owụ́kára ku mbotụ
MAT.1.24	Sɨmɨ bɨ Yoséfa urú ní, zɨ́a tɨ́ ꞌdíꞌbi Maríya káa do meꞌbené káa zɨ́ bɨ maláyika ꞌbɨ Ngére ogụ úku a zɨ́a ní. 
MAT.1.25	Abú Yoséfa ꞌdiꞌbi tɨ́ Maríya go káa do meꞌbené yá, kotrụnɨ́ bi ꞌdúꞌdu kéne wá, zaá gị zɨ́ Maríya árá owụ́ bɨ sɨmɨné née té kí, zɨ́ Yoséfa ị́fị́ ịrị a Yésụ.
MAT.2.1	Gɨ do kacɨ́ a bɨ kóo aránɨ́ Yésụ sɨmɨ Beteléme ngíti gara sɨmɨ káṇgá bɨ Yụdáya sɨmɨ bɨ kóo Eróde nɨ ore ne ngére ní, zɨ́ ngíti géyị ꞌyị komokenzị e ógụyé gɨ gbére sɨmɨ Yerụsaléma ore, 
MAT.2.2	zɨ́ye ndúnduꞌyú kɨ́dí, “Owụ́ bɨ aránɨ́ wo káa do ngére ꞌbɨ Yụ́da e ona ba, nɨ ꞌdí ꞌda? Kele ené ꞌdodo ledre a go zɨ́ze gbére ꞌdáa, ógụzé ba óto úndrua.”
MAT.2.3	Sɨmɨ bɨ ngére Eróde uwú ledre née kenée ní, zɨ́ bi sínyíne roa kɨ́ ꞌyị ga bɨ ꞌbɨ Yerụsaléma ní mbá. 
MAT.2.4	Zɨ́a ndóloyóko manda ꞌbɨ ꞌyị ꞌdáná éyị́ e, kɨ́ ꞌyị ꞌdódo lorụ e, ndúꞌyú yée kɨ́dí, “Úwúsé kóo kɨ́dí nɨyí árá Kɨ́résịto maꞌdáa ꞌda?” 
