LUK.1.2	Nanakasike pipiya matasiyai si kinana, ba warana si yoneyonei wai rutainina sita kirumisi. 
LUK.1.3	Kona kairavina, yauku i kesiku wose ereonowasi dagudagunai a kinana kabitamni, ba anosi i gaire, kata kom kairavim ata kiruma kabitamni. 
LUK.1.4	Kata kom awaika wata si beyebeyim wai, ereonowana basusi kuta kuira kabitamni.
LUK.1.5	Maranai Herod Judeyai ibi taupauma wai, namai priest kesana i mamana, kana waba Zechariah. Kona wai, priest Abijah ana pipiya kesana, ba kaowana Elizabeth yebo, Aaron ana rakaraka kesana. 
LUK.1.6	Asi ruwamo wai, kosi God matanai piraga gaire pipiyisi, ba kosi Bada wonana si bosisira kabitamni. 
LUK.1.7	Ba saba natunatusi wai kega, basuna Elizabeth wai kaipokina, ba kosi asi ruwamo wai si morapa saki.
LUK.1.8	Mara kesana, Zechariah ana pipiya yabata asi mara i botu kata yove tapaoro kamonai sita saibira. Ba kona maranai wai God matanai priest saibirina Zechariah i wosewosei. 
LUK.1.9	Ba priest asi dudura si kibi wai nanakasike, ababinebineyai si binei kata, ita riu God ana ku yove kamona, ba raunabonabo tepanai bane ita kapuni. 
LUK.1.10	Ba bane kapunina maranai, pipiya korotosi matarai si kesanisi ba si rauupari.
LUK.1.11	Damanina ba Bada ana aneya kurina i rere matara, ba bane kana raunabonabo kasaunai imsiri. 
LUK.1.12	Ba Zechariah aneya i kinani wai, i sikwana ba i nagara saki. 
LUK.1.13	Saba aneya i wona, “Zecharaiah, kega kuna nagara, God am pari i nonori. Ba kaowam Elizabeth ini tuwa natum sebare, ba kana waba ke yorei John. 
LUK.1.14	Kona ina tupuwa wai, kom kuni nuwagaire ba yam ina sisira, ba pipiya pesarisi yebo sini nuwagaire. 
LUK.1.15	Ana tupuwa maranai, Kanuma Kaoaobaisyena ini bonuvei. Ba kega meyanai wine kona okowa maragasina ina tomani. Ba Bada matanai, kona wai pipiya kaikapona. 
LUK.1.16	Ba Israel biyisi pesarisi ini neveramagisi, Bada asi God kurina. 
LUK.1.17	Ba peroveta Elizah rautainina ana maragatai, ba kanuminai, ini nao Bada naonai ina nae. Tamatama natunatusi yabata ini kesana meyisi. Ba pipiya kawa kasekasesi asi nuwasuya ina birai, kata pipiya gaigairesi asi nuwasuyai sina nuwasuya. Ba Bada ana pipiya ina bobunagisi kata kairavina sina bo kabitam.”
LUK.1.18	Zechariah aneya i toirubai i wona, “Mekabage ana kuiri kata awaika kui sisiyei wai ina tupuwa, basuna yauku kaowaku yabata wai, ka morapa saki?” 
LUK.1.19	Aneya i kaobeyei i wona, “Yauku Gabriel, God naonai a imsimsiri. Ba kona i poraiku wai kurim ati sisiya, ba niko wara gairena ata wonim. 
LUK.1.20	Ba wonaku wai bisuwona ina tupuwa. Saba kom kega kuigeruvei kairavina, karaku kom kawam ina pota, ba kega kuni bi sisiya yepo, ina tupuwa wai ku marana.”
LUK.1.21	Kona maranai, pipiya Zechariah si potapotai, ba nuwanuwasi i kairagaraga kata, awaika basuna wai, God ana yove kamonai i mana i veoroma saki. 
LUK.1.22	Maranai i kasibau wai, kega kurisi i sisiya. Saba si kuiri kata God ana yove kamonai matakira i kitai, kairavina yaronai wata kurisi ibi sisiya.
LUK.1.23	Ba ana saibira, God ana yove kamonai i kakabi wai, i veramaga ana ku yove. 
LUK.1.24	Nikona murinai, kaowana Elizabeth i manawa, ba nawaravi asi five yove kamonai wata i mamana. 
LUK.1.25	Elizabeth i wona, “Bada nikona kairaviku i wosei, kata ana yagaire i beyiku, ba pipiya matasiyai au tepa bainuba i yauna taveyei.” 
LUK.1.26	Elizabeth i manawa nawaravi kana bi six kamonai, ba God aneya Gabriel i porai ku Nazareth. Kona meyagina wai Galilee kamonai.
LUK.1.28	Aneya i nae Mary kurina ba i wona, “Enosaire! nuwanuba kurim ina mana, ba Bada kurim ina mana, ba ini gairena sakiyim.”
LUK.1.29	Ba Mary aneya ana sisiya i nonori wai, nuwanuwana i kairagaraga, ba i nuwasuya kabakaba. 
LUK.1.30	Saba aneya i wona, “Kega kuna nagara, basuna God kurim ebi nuwagaire. 
LUK.1.31	Kom kuna manawa, ba kuni tuwa natum sebare, ba kana waba kuna yorei Iesu. 
LUK.1.32	Kona wai kana waba ina rakata saki, ba sina yorei God kaidamo sakina natuna. Ba God ina wosei ini Taupauma, tamana David rutainina. 
LUK.1.33	Ba kona Jacob natunatuna ini Taupauma damanisi, ba ana basileiya kega turina.”
LUK.1.34	Mary saba aneya i toirubai i wona, “Nikona mekabage kuriku ina tupuwa, kairavina, yauku wai sini matupaku?” 
LUK.1.35	Aneya i kaobeyei i wona, “Kanuma Kaoaobaisiena kurim ina botu, ba God kaidamo sakina ana maragata ina waku tawanim. Kona kairavina pipiyaikei kaoaobaisiyena ina tupuwa, ba sina yorei God natuna. 
LUK.1.36	Kuna nosi kata waresim Elizabeth pipiya si wona kata kona kaipokina, ba i morapa saki. Saba kona karaku wai, i manawa kana nawaravi six. 
LUK.1.37	Kairavina God kega kesana awaika ita wose kabakabai.” 
