GEN.1.1	Yama nagkamchakug, Apajuík nayaimpin nugkajai najanauwai. 
GEN.1.2	Nugka niimeg atsau, ayatak nayants kuna, suwe ijiamu aajakui. Nuna awanken Apajuín Wakani
GEN.1.3	Nuadui Apajuí chichaak: “¡Tsaaptin weti!” tusa tamawaik, tsaaptin wajasui. 
GEN.1.4	Nuna Apajuí diis “tsaaptin aku ima pegkejai”, tusa tsaaptinun suwenmayan akankauwai. 
GEN.1.5	Duwi tsaaptinun adaikauwai “tsawai”, tuja suwen adaikauwai “kashi” juna takas ejeyuwai makichik tsawantan.
GEN.1.6	Nuigtu Apajuí chichaak: “Agkaju múun wajasti, nuniak yumin akanjati”, tiuwai. Tamawaik imanisag uminkauwai. 
GEN.1.7	Dutika Apajuí agkajun najana, yumi nugkaya atinun tuja yakiya atinjai akankauwai. 
GEN.1.8	Dutika Apajuí agkajua nuna adaikauwai “nayaim”. Juna umik kintamag tsawak jimag tsawantan ejeyuwai.
GEN.1.9	Nuna ashimak Apajuí chichaak: “Nayaimpi nugkaan yumi ayá juka makichik ijunbaunmag ijunjati, nunitai buku wantinkati”, tiuwai. Tamawaik imanisag uminkauwai. 
GEN.1.10	Yumi makichik ijunbaunmak ijunjamtai buku juwakua nuna Apajuí adaikauwai “nugka”, untsu yumi piyajua nuna adaikauwai “nayants”. Nuna Apajuí shiig pegkeg diisui. 
GEN.1.11	Nuna umika Apajuí chichaak: “Ashí nugkanum dekas ajak aidau, dupa nejen aidaush, nuigtush numi nejen aidaushkam tsapakti”, tiuwai. Tamawaik imanisag uminkauwai. 
GEN.1.12	Nugkanmak ashí ajak aidau tsapakui, dupa nejen aidaush antsag numi nejen aidaushkam, nejenak mantamsawag ijuntsauwai. Nuna Apajuí shiig pegkeg diisui. 
GEN.1.13	Juna aatus kampatum tsawanta duwi umikui.
GEN.1.14	Tuja nuigtushkam Apajuí chichaak: “Agkaju múun wigka weaja juiyash, etsantug nugkan tsaapmitkau aidau aitnume, nunú etsantak akankati tsaaptinun suwenmayan, dutikam tsawan, nantu, mijan aina nunú dekaapatain iwainau agtinun. 
GEN.1.15	Nunú nayaimpin agkajujin nanamsag etsantuinak ashí nugkan tsaapmitkau agtinme”, tiuwai. Tamawaik imanisag uminkauwai. 
GEN.1.16	Nuadui Apajuí dekas jimag etsantin agtinun najanauwai: Tsawai etsanjatnun ima muuntan najanak, kashi etsanjatnunak yaijan najanauwai. Nuigtushkam yaya aidaunashkam najankauwai. 
GEN.1.17+GEN.1.18	Dutika Apajuí nugkan tsawai kashijai tsaapmitkatnun, etsantin aina nuna apusauwai agkaju múun wigka weaja nuwi. Nuna Apajuí shiig pegkeg diisui. 
GEN.1.19	Juna taka takakua kintamag, ipak usumta juu tsawantan ejeyuwai.
GEN.1.20	Nuna ashí umiku asa, Apajuí chichaak: “Namaka batsamsatin aidaush ditashkam yujaktinme, nuniagtai nugka awanken, nayaimpin agkajuji aina juwi yujasagtin aidaushkam, chigki wegantu aidaush yujaktinme”, tiuwai. Tamawaik imanisag uminkauwai. 
GEN.1.21	Nuigtushkam Apajuí najankauwai nayantsanmaya kuntin dekas múun aina nuna, nuigtushkam tikich namak yaig aidaun nagkamas ashí najankauwai. Chigki wegantu aidaunashkam imatiksag najankauwai. Nuna Apajuí shiig pegkeg diisui. 
GEN.1.22	Juna najanak Apajuí pegkegnum yumigkiak: “Yujaktajum imaniakjum nayantsanum piaktajum, tuja chigki wegantu aidautigmeshkam imanisjumek yujaktajum, imaniakjum ashí nugka jamagtajum” tiuwai. 
GEN.1.23	Makichik uwejan amua tsawanta duwi junak najanauwai.
GEN.1.24	Nuigtushkam Apajuí chichaak: “Nugkanmashkam yujakti kuntin maki makichik niimtin aina nunú, kuntin tagkumtai aidau, tagkumchatai aidaujai, tuja tikich kuntin japiinas yujau aidaushkam”, tiuwai. Tamawaik imanisag uminkauwai. 
GEN.1.25	Apajuí juju kuntin aidaun najankauwa nunak, ashí pegkeg diisui.
GEN.1.26	Ashí juna umik chichaak: “Yamai aents iina niimejai betek najanami, nii nugkanum pujusmatai, namak nayantsanmaya aidaush, nanamtin aidaush, kuntin aidaush, kuntin japiinas yujau aina dushakam ima niinak umigtinme” tiuwai.
GEN.1.27	Apajuí aentsun najadauwa nunak niina niimejai betek, aishmagkun nuwajai najanauwai.
GEN.1.28	Dutika pegkegnum yumigkiak:
GEN.1.28	“Yujaktajum, nuniakjum nugkak ashí jamagtajum,
GEN.1.28	tuja nayantsanmaya namak aidauk ashí atum kuitamkatajum,
GEN.1.28	tuja agkajunum chigki nanamin aidaush,
GEN.1.28	kuntin wegantu nugkanum yujaka
GEN.1.28	dushakam ashí atumin umigtamtinme”, tiuwai.
GEN.1.29	Tusa Apajuí chichaak: “Yamai atum shiig antuktajum; ashí ajak juju nugkanmaya nejen aina nunak, numi neje yujutai aina nujai, atum yuwatnun umigkajime. 
GEN.1.30	Unstu, ashí kuntin nugkanum ayá nunash, chigki wegantu aidaunashkam, japiinas yujau aina nujai, ashí pujutji ajamu aina nunak, ashí dupa samekbau aina nuna dita yuwatnujin umigkajai”, tiuwai.
GEN.1.30	Tamawaik imanisag uminkauwai. 
GEN.1.31	Apajuí ashí nii najankamujin ijumag diis tiki pegkeg wakejumain diisui. Juna najanak ashimak juinia uwejan makichik ijuk tsawantan ejeyuwai.
GEN.2.1	Juna Apajuí aatus nayaimpin, ashí nayaimpinum ayá nujai najana, nugkanash ashí nugkanum ayá nujai najanak ashimkauwai. 
GEN.2.2	Ashí najanak umik, tsawan sieteya juwi Apajuík ayamjauwai. 
GEN.2.3	Nuadui nunú tsawantan Apajuí etegkauwai, tsawan pegkejam tuke takashtai, ayamtai atin ati tusa. 
GEN.2.4	Jujuwai Apajuí nayaimpin nugkajai najanamua nunú pachisa augbattsamu.
GEN.2.4	Apajuí nayaimpin nugkajai najanauwa nunú tsawantaik, 
GEN.2.5	makichik numikesh, dupagkesh tsapaichu aajakui. Wagki eke Apajuí yumin yutumtikchau asamtai. Nuigtushkam aents nuna takai ajakmamainkesh atsujakui. 
GEN.2.6	Ayatak nugka initkenia yumi bukuiti jiinki nugkan ukatujakui. 
GEN.2.7	Nuwiyan Apajuí, nugka yukukuntun juki aentsun najanauwai. Dutika najana aepes, dujinum umpua mayain egketuk, aents iwaku ema inankiuwai.
GEN.2.8	Nuna dutika, Apajuí etsa minitaijiya atú Edén nugkanum yujagken ajatuauwai, dutika nuwi nii aents najanamujin apusauwai. 
GEN.2.9	Apajuí ashí numi pegkeg aidaun yujág yutai aidaunash uyujkauwai. Untsu nuna ejapeen ajatuawai jimag ajakan. Makichik ajak nuna neje yuwakuik tuke jachatai tabaun, tikich ajakan neje yujuaik, pegkejash pegkegchaujai dekatai tabaujai.
GEN.2.10	Nunú nugka Edégnum makichik namak jiiniuwai ajak aidaun ukatkatin. Nunik nuwiya ipak usumta imajin namak tsegkejui. 
GEN.2.11	Makichik tsegkeakun daaji Pisón tutai aajakui. Nunú namakak nugka Havilá tutai dekas oro pujamua nuna tentea apajakui. 
GEN.2.12	Nuiya oro ima shiig pegkejai. Nuanuig ayawai numi bedelio daagtin puwaji kugkuin, tuja kaya ónice tutaishkam ayawai. 
GEN.2.13	Tuja tikich tsegkeakbaun daajiyai Guihón tutai. Nunú Cus nugkan ashí tentea apajakui. 
GEN.2.14	Kampatuma nunuwai namaka daaji Tigris. Duka Asiria nugka, etsa minitaiya nuni awa aatus nagkaemakui. Untsu ipak usumta nuna daajiyai namak Eufrates.
GEN.2.15	Apajuí aentsun Edégnum: “Juwi pujusam takakum ajakmata, dutikakjum kuitamkata ashí wi najankag juka”, tusa apusauwai. 
GEN.2.16	Dutika chichajak: “Ashí yujág juju ajanum ayá juka yuwata. 
GEN.2.17	Untsu yujág pegkeg, pegkegchaujai dekatai ajá ejapeen waja duka yuwawaipa, nunú yuwakmek dekas jakattame”, tiuwai.
GEN.2.18	Nuna tusa Apajuí chichaak: Aishmag ima nigki pujakug pegkegchauwai, dekas niijai tsanias pujusa yainimainun najanatjai, tiuwai. 
GEN.2.19	Apajuí ashí nugkanmaya kuntin aidaun najankauwai, ashí chigki wegantu aidaunashkam najanak aentsun juki itan awajus: Ame maki makichik kuntin aina juna daajig adaijata, tusa tima nii imatiksag adaijauwai. 
GEN.2.20	Ashí kuntinu daaji aidaunak, chigki wegantu aina nunashkam nii adaijamua nunisag juajui. Nuna aents dutika takak pujakushkam, niijai atuesa yainimainjinak igkugchauwai.
GEN.2.21	Nuadui Apajuí aishmagkun kaján ipatuk senchi ikanag niina pagaen makichik jujukiuwai, dutika agkau tepeamtai nigki esamtikauwai. 
GEN.2.22	Nunú aishmagkun pagae jujukbauwai Apajuí nuwan najanauwai, dutika aishmagkun ejetiuwai. 
GEN.2.23	Nuna wainak aishmag chichaak:
GEN.2.23	“Juka mina iyashjuiya pagae juki najanamui, nuadui niina daajig nuwa tutai atatui, wagki Apajuí aishmagnumian juki najadau asamtai.”
GEN.2.24	Nuadui aishmag nuwenkug makichik iyashik weawai. Nuniau asa apajinak niina dukujijai ukuak ima niina nuwejaig pujumainai.
GEN.2.25	Aishmagkuk, niina nuwejai mai wisu batsamajaku ainawai, tujash nuniakush datsaamájakchaju ainawai.
GEN.3.1	Apajuí ashí kuntin tagkumchatai aidaun najankauwa nuwiya, dapi ima senchi kajinkachu, tsanumtan yacha asa, nuwan tajua iniak:
GEN.3.1	“¿Apajuísh wajinjutpagmae, juju yujág aina duka makichkish yuwawaigpajum tujamiagmaka?” tau.
GEN.3.2	Tama nuwa ayaak:
GEN.3.2	“Yujagkek ashí yumainaitji. 
GEN.3.3	Untsu Apajuí iina chichagtamak, tikich yujág ejapeen waja auna nejeg yuwawaigpa, antiitkesh antigkaigpa, auna neje yuwakjumek jakattajume, tusa tujamaji” tau.
GEN.3.4	Tutai dapi nuwan chichajak:
GEN.3.4	“Auk wainak tujamne, jakashtatjume. 
GEN.3.5	Apajuí shiig dekawai, au yujág yuwakjumek, atum wajukua ainagme nunú wainmamkajum Apajuíjai betek wajasjum, pegkeg, pegkegchaujai dekamainaitjum nuadui aunak tujabiugme”, tiuwai.
GEN.3.6	Tama nuwa yujagken diistakama shiig senchi wakejukui. Nuniak dekas yuwatjai, nunikan Apajuí wainbau yacha iman atajai tusa, akaka juki yuwauwai. Nunik aishinashkam susam, niishkam juki yuwauwai. 
GEN.3.7	Nuna yuwawag wajanbauwaik, mai wisu wajamun wainmamkajui, nunikag makichik ajak higuera tutaya nuna dukeen apajag itipjuawajui.
GEN.3.8	Nunikag batsatai aagkú dase dasenbaunum Apajuí wekagun antukag, waipakai tusag tupikakiag numi ijunbaunum uumkajui. 
GEN.3.9	Tujash Apajuí aishmagkun untsuka iniak:
GEN.3.9	“¿Tuwi amesh pujame?” tau.
GEN.3.10	Tama nii ayaak:
GEN.3.10	“Wika ame minamun antukan ishamkajame, núnikan wisu pujau asan uumjukjame”, tau.
GEN.3.11	Tutai Apajuí aishmagkun chichajak:
