MAT.1.1	Ade Yesu Kristo kĩ ɛnyɛ Dawid ɔwa, kĩ Dawid lɛmɛ nyɛ Abraham ɔwa a bawanyɔ kasinu buĩ nɛ awĩ a.
MAT.1.2	Kito Abraham akũ kɛyawo Lɛgã Dawid akũ bawanyɔ a kama kamɛ nyɛ Abraham ma Isak, Isak ma Yakob, 
MAT.1.3	ade Yakob ma Yuda mɔ bawaɛ̃nyole a. Yuda mɔ ɔtsɔ̃ Tamai ma Perez mɔ Zera. Perez ma Hezron, Hezron lɛmɛ ma Aram. 
MAT.1.4	Aram ma Aminadab, Aminadab ma Naheson, 
MAT.1.5	ade Naheson ma Salmon a. Salmon mɔ Rahab ma Boaz, ade Boaz mɔ Rut ma Obed a. Obed ma Isai, 
MAT.1.6	ade Isai lɛmɛ ma Lɛgã Dawid a.
MAT.1.6	Kito Dawid akũ kɛnawo lɔkɔ a kĩ bipili Israelfɔ ndom bɛnamɛna Babilonia tite akũ a ni, ade bawanyɔ a kasinu buĩ nɛ awĩ a.
MAT.1.6	Dawid mɔ otsole a kĩ kufɛ ɛnyɛ Uria ɔtsɔ̃ a ma Salomo. 
MAT.1.7	Salomo ma Rehoboam, Rehoboam ma Abiya, Abyia ma Asa. 
MAT.1.8	Asa ma Yosafat, Yosafat ma Yoram, Yoram ma Uziya. 
MAT.1.9	Uziya ma Yotan, Yotan ma Ahaz, Ahaz lɛmɛ ma Hezekiya. 
MAT.1.10	Hezekiya ma Manase, Manase ma Amon, Amon ma Yosiya, 
MAT.1.11	ade Yosiya ma Yekoniya mɔ ye bawaɛ̃nyole a.
MAT.1.12	Kito Israelfɔ kamuniki kato Babilonia kɛyawo Yesu kama lɔkɔ a, bawanyɔ a kasinu buĩ nyɛ Yekoniya ma Sealtiel, Sealtiel ma Zerubabel, 
MAT.1.13	Zerubabel lɛmɛ ma Abihud. Abihud ma Elyakim, Elyakim ma Azur, 
MAT.1.14	ade Azur ma Zadok, Zadok ma Akim, Akim lɛmɛ ma Elihud. 
MAT.1.15	Elihud ma Eleazar, Eleazar ma Matan, ade Matan ma Yakob. 
MAT.1.16	Yakob ma Yosef a kĩ ɛkɔã Maria a, kĩ ɛma Yesu a kĩ bavɛ Kristo a.
