MAT.1.1	Мыр Исус Христосэу Даутэ ыкъор, Ибрахьимэ ыкъор
MAT.1.2	Ибрахьимэ Исхьакъ къыфэхъугъ; Исхьакъ Якъубэ къыфэхъугъ; ащ Иудэрэ ышхэмрэ къыфэхъугъэх; 
MAT.1.3	Иудэ Пэрэцрэ Зарэрэ
MAT.1.4	ащ Аминадаб къыфэхъугъ; ащ Нахшон къыфэхъугъ; ащ Салмон къыфэхъугъ; 
MAT.1.5	ащ БоӀаз къыфэхъугъ; БоӀаз янэ Рахьаб ыцӀагъ; БоӀаз Обид къыфэхъугъ; Обид янэ Рут ыцӀагъ; Обид Ищай къыфэхъугъ; 
MAT.1.6	ащ пачъыхьэ Даутэ къыфэхъугъ. Пачъыхьэ Даутэ Сэлмэн къыфэхъугъ; Сэлмэн янэ Урый зыцӀэм ишъузыгъ
MAT.1.7	Сэлмэн Рехабоам къыфэхъугъ; ащ Абие къыфэхъугъ; ащ Асэ къыфэхъугъ; 
MAT.1.8	ащ Ехъощафат къыфэхъугъ; ащ Иорам къыфэхъугъ; ащ Уззие къыфэхъугъ; 
MAT.1.9	ащ Иотам къыфэхъугъ; ащ Ахаз къыфэхъугъ; ащ Хъызкъый къыфэхъугъ; 
MAT.1.10	ащ Манассэ къыфэхъугъ; ащ Амон къыфэхъугъ; ащ Иосие къыфэхъугъ; 
MAT.1.11	ащ Иоаким къыфэхъугъ. Израиль цӀыфхэр Бабилэн къэлэшхом лӀыгъэкӀэ защэхэ лъэхъаным
MAT.1.12	Израиль цӀыфхэр Бабилэн защэхэ ужым
MAT.1.13	ащ Абиуд къыфэхъугъ; ащ Элиаким къыфэхъугъ; ащ Азор къыфэхъугъ; 
MAT.1.14	ащ Цадокъ къыфэхъугъ; ащ Ахим къыфэхъугъ; ащ Элиуд къыфэхъугъ; 
MAT.1.15	ащ Элеазар къыфэхъугъ; ащ Маттан къыфэхъугъ; ащ Якъубэ къыфэхъугъ; 
MAT.1.16	ащ Юсыф къыфэхъугъ. Ар ХристоскӀэ заджэхэрэ Исус къызфэхъугъэ Мерэм илӀыгъ.
MAT.1.17	Аущтэу Ибрахьимэрэ пачъыхьэ Даутэрэ азыфагу лӀыуж
MAT.1.18	Исус Христос икъэхъукӀэ мары: Юсыф Исус янэу Мерэм къыщэнэу ыгъэнэфэгъагъ
MAT.1.19	Мерэм лӀы фэхъущт Юсыф шъыпкъагъэ зиӀэ лӀыгъэти, цӀыфмэ апашъхьэ Мерэм ынапэ тырихынэу фэмыеу, шъэфэу къымыщэнэу тыриубытагъ.
MAT.1.20	Ау Юсыф аущтэу егупшысэзэ, Зиусхьаным имэлэӀич пкӀыхьапӀэкӀэ къыфэкӀуагъ.
MAT.1.20	– Даутэ ыкъо
MAT.1.21	Мерэм къо къыфэхъущт, ащ цӀэу фэуусыщтыр Исус
MAT.1.22	Мы зэпстэури зыфэхъугъэр Зиусхьаным мы гущыӀэхэу
MAT.1.23	– Мары, пшъашъэр лъэрмыхьэ хъунышъ, къо къыфэхъущт. Ащ цӀэу фаусыщтыр Еммануил. Ащ къикӀырэр: Тхьэр тигъусэ.
MAT.1.24	Юсыф къызэущыжьым, Зиусхьаным имэлэӀич къызэрэриӀуагъэм тетэу зекӀуагъэ, Мерэми ыщагъ. 
MAT.1.25	Ау ар ишъуз фэхъуным ыпэкӀэ Мерэм апэрэ къор къыфэхъугъ. Юсыф ащ цӀэу фиусыгъэри Исус.
MAT.2.1	Ирод пачъыхьэ
MAT.2.2	– Тыдэ щыӀа джуртхэм япачъыхьэу къэхъугъэр? – кӀэупчӀагъэх. – Сыда пӀомэ, ащ ижъуагъо тыгъэ къокӀыпӀэмкӀэ тэ щытлъэгъугъэти, ар дгъэлъэпӀэнэу тыкъэкӀуагъ.
MAT.2.3	Ирод пачъыхьэм ар зызэхехым, къэгумэкӀыгъ, Ерусалим зэкӀэ дэс цӀыфхэри ащ дэгумэкӀыгъэх.
MAT.2.4	Арыти, Ирод цӀыфхэм зэкӀэ ядин пэщэшхохэри, я Тэурат егъэджэкӀо пэщэ
MAT.2.4	– Тыда Христос къызщыхъун фаер?
MAT.2.5	– Иудей хэкум щыщ Бет-Лэхьэм ары, – къыраӀуагъ ахэмэ, – сыда пӀомэ, пегъымбарым моущтэу къытхыгъ
MAT.2.6	«О, Иудей хэкум щыщ Бет-Лэхьэм. Иудэ лъэпкъым ипащэхэм анахьи зыкӀи уанахь цӀыкӀоп; сыда пӀомэ, зы пащэ о къыпхэкӀыщт. А пащэм мэлахъом мэлхэр зэрэзэрищэхэрэм фэдэу, слъэпкъ Израиль зэрищэщт».
MAT.2.7	Аущтэу къызыраӀом, Ирод тхьэгурымагъохэм шъэфэу къяджи, жъуагъор къызкъокӀыгъэ охътэ дэдэр зэригъэшӀагъ. 
MAT.2.8	Ахэр Бет-Лэхьэм ыгъакӀохэзэ, ариӀуагъ:
MAT.2.8	– ШъукӀуи, сабыим икъэбар дэгъоу къызэжъугъашӀ. Ар къызыжъугъоткӀэ, макъэ къысэжъугъэӀу, сэри ар згъэлъэпӀэнэу сыкӀощт.
MAT.2.9	Тхьэгурымагъохэр пачъыхьэм къариӀуагъэм едэӀухи, ежьагъэх. Тыгъэ къокӀыпӀэмкӀэ щалъэгъугъэ жъуагъор ахэмэ апэ итэу кӀохэзэ, сабыир зыдэщыӀэ чӀыпӀэм зынэсхэм, ащ къышъхьэщыуцуагъ. 
MAT.2.10	Жъуагъор залъэгъум, лъэш дэдэу гушӀуагъэх. 
