MAT.1.1	Gɛ́ ŋwɛ mabɔ ukwéne antɛ Jisɔs Kras mpyáne mfwa Dɛvid, Dɛvid mpyáne Abraham. 
MAT.1.2	Abraham alu ntɛ Asek, Asek alu ntɛ Jakɔb, Jakɔb alu ntɛ Juda ne aŋmɛ́ bií abi ande. 
MAT.1.3	Ne Juda alu ntɛ Pɛrɛs ne Sɛra, mmá bwɔ́ akamege Tama. Pɛrɛs alu ntɛ Hɛsrɔn, Hɛsrɔn alu ntɛ Ram. 
MAT.1.4	Ne Ram alu ntɛ Aminadab, Aminadab alu ntɛ Nashyɔn, Nashyɔn alu ntɛ Salmɔn. 
MAT.1.5	Salmɔn alu ntɛ Boas ne mma Boas akamege Rahab. Boas alu ntɛ Obɛd, ne mmá Obɛd akamege Rut, Obɛd alu ntɛ Jɛsse. 
MAT.1.6	Jɛsse alu ntɛ mfwa Dɛvid.
MAT.1.6	Ne mfwa Dɛvid alu ntɛ Solomun, mmá Solomun abɔ́ abɔɔ́ mbɛ abá lé Uriya. 
MAT.1.7	Ne Solomun alu ntɛ Rehoboam, Rehoboam alu ntɛ Abija. Abija alu ntɛ Asa. 
MAT.1.8	Asa alu ntɛ Jɛhoshafa, Jehoshafa alu ntɛ Joram, Joram alu ntɛ Usiya. 
MAT.1.9	Usiya alu ntɛ Jotam, Jotam alu ntɛ Ahas ne Ahas alu ntɛ Hɛsɛkya. 
MAT.1.10	Hɛsɛkya alu ntɛ Manasɛ, Manasɛ alu ntɛ Ɛmɔs, ne Ɛmɔs alu ntɛ Josaya. 
MAT.1.11	Gébégé ápyɛné bɔɔ́ Isrɛli né bé ájyɛ ne ɛbwɔ́ né melɔ́ Babilɔn, Josaya abyɛ Jekonɛya ne aŋmɛ́ bií abi ande.
MAT.1.12	Ájyɛgé ne bwɔ́ né Babilɔn, Jekonɛya abyɛ Shɛltyɛl, Shɛltyɛl alu ntɛ Sɛrubabɛl. 
MAT.1.13	Sɛrubabɛl alu ntɛ Abiud, Abiud alu ntɛ Ɛliakim ne Ɛliakim alu ntɛ Asɔh. 
MAT.1.14	Asɔh alu ntɛ Sadɔk ne Sadɔk alu ntɛ Akim ne Akim alu ntɛ Ɛliud. 
MAT.1.15	Ɛliud alu ntɛ Ɛliassa, Ɛliassa alu ntɛ Matan ne Matan alu ntɛ Jakɔb. 
MAT.1.16	Ne Jakɔb alu ntɛ Josɛf, Josɛf ayi menɔ Mɛri. Mɛri abyɛ Jisɔs Muú yi Ɛsɔwɔ akweré ji ɛlá gefwa. 
MAT.1.17	Mmyɛ ke nnó upyáne ukouko, manlɔ mbaá Abraham ɔ́kwɔ́né mbaá Dɛvid úlú nyá úfyáneúni. Manlɔ ntó mbáa Dɛvid ɔ́kwɔ́ne gébégé ájyɛ́ ne ɛbwɔ́ né Babilɔn úlú ntó úfyáneúni. Ne mámanlɔ gébégé ájyɛ́ ne ɛbwɔ́ né Babilɔn kpaá tɛ gébégé ábyɛné Kras, upyáne úlú nyá ntó úfyáneúni.
MAT.1.18	Na ne nebyɛ́né Jisɔs Kras nekɛné. Mma wuú akamege Mɛri. Josɛf abɔ́ akpɛ mambá Meri ayi alu mambyɛ Jisɔs, nsa nnó ɛbwɔ́ ákaá ujɔ́géné atɛ, Mɛri agɛ nnó ji alu ne unɛ né utó Mendoó Ukpea. 
MAT.1.19	Josɛf akaáge nnó Mɛri alu ne unɛ, ɛlé ji Josɛf alú nyá cho né mbɛ ushu Ɛsɔwɔ, akɛ́lé fɔ́ manchyɛ ji mekpo unɔɔ́ wɔ́, ashuú manwá neba bwɔ́ bíbií. 
MAT.1.20	Ndɛre ji afɛ́rege depɔ ɛtiré mbɔ, Ɛsɔwɔ atɔ́ ɛkiɛ́nné wuú ɛ́chwɔ́ gáre ji né gejya ɛké, “Josɛf mpyáne Dɛvid, ɔfɔ́gé fɔ́ mansɛ mendée wyɛ Mɛri né neba, néndé ɛlé Mendoó Ukpea ne ɛpyɛɛ́ ji akpané unɛ. 
MAT.1.21	Ne ji abyɛne nyɛ́ maá mende, ayi áférege nyɛ bɔɔ́ bií né ɛfwyale ɛwé gabo achwɔɔ́ ne ɛwú. Getu ɛyigémbɔ, ɔbɔ mamfyɛ ji mabɔ nnó Jisɔs.” 
MAT.1.22	Unó bina uko úpyɛɛ́ nnó ɛ́bɛ́ wáwálé nkane Ɛsɔwɔ apyɛ Asaya muú ɛkpávé wuú ajɔɔ́ nnó, 
MAT.1.23	“Wuúge, gembwɛ́négé mendée gékpáne nyɛ unɛ,
MAT.1.23	gébyɛ́ maá mende, ákuú nyɛ ji nnó Ɛmanuɛl.” Ula útɛné nnó, “Ɛsɔwɔ alu ne ɛsé.”
MAT.1.24	Ne Josɛf ápégé géjyá asɛ mendée wuú Meri wyɛ́ ndɛre ɛkiɛ́nné Ɛsɔwɔ ɛgaré ji. 
MAT.1.25	Yɛ́mbɔ ɛbwɔ́ ákaá ujɔ́géné atɛ wɔ́, kpaá tɛ Mɛri ábyɛné maá wuú mende. Ne Josɛf afyɛ́ ji mabɔ nnó Jisɔs.
MAT.2.1	Ábyɛ́ Jisɔs né melɔ́ Bɛtɛlɛhɛm, né gebagé mewaá Judiya, gébé ɛyigé Hɛrɔd álú mfwa né gebagé mewaá ɛyígémbɔ. Ábyɛgé Jisɔs, ande fɔ́ abi ágií depɔré ambe átané né ɛ́gbɛ́ ɛwé ŋmɛɛ́ ɛ́tánege ákɛne áchwɔ́ɔ né Jɛrosalɛ ágíge bɔɔ́ áké, 
MAT.2.2	“Maá mekɛ ayi ábyɛné nnó ábɛ́ mfwa bɔɔ́ Jus alu fɔ́? Ɛse degíge mbɔ, gétúgé dégɛné membe wuú mbaá ŋmɛɛ́ ɛ́tánege ayi álɛré ɛsé nnó ábyɛ́ ji, ne ɛsé déchwɔ́ manógé ji.”
MAT.2.3	Mfwa Hɛrɔd aké awuú mechɔ ɛwe, metɔɔ́ ɛ́tyá ji mmu wyɛmbɔ ntó ne ɛ́pyɛɛ́ ne bɔɔ́ Jɛrosalɛ ako. 
MAT.2.4	Mfwa Hɛrɔd akuú, ánɔɔ́ baá ámpyɛ́ upɛ Ɛsɔwɔ ne ánlɛré mabɛ́ Ɛsɔwɔ, ɛbwɔ́ ako áchomé mbaá ama, agií ɛbwɔ́ aké, “Ndé mbaá ábɔɔ́ mambyɛ́ muú ayi ákuú ji Kras”?
MAT.2.5	Áshuú ji meko aké, “Ábɔ́ mambyɛ́ ji né Bɛtɛlɛhɛm, fa gebagé mewaá Judiya.” Néndé, mbɔ ne Ɛsɔwɔ apyɛ bɔɔ́ ɛkpávé bií ásáme nnó,
MAT.2.6	“Wɔ Bɛtɛlɛhɛm, né gebagé mewaá Judiya,
MAT.2.6	yɛ́ ɛlé wɔ ɔlu kɔɔ́, ɔpɔ́fɔ́ ŋénéŋéné né geluágé malɔ geŋwá ayi álu né mme Judiya.
MAT.2.6	Néndé, ɛta wyɛ́ ne mfwa átánege nyɛ ayi ágbárege bɔɔ́ ba Isrɛli,
MAT.2.6	nkane mémbamé mágɔ́nŋme ápɛ́le magɔ́nŋme jií.”
MAT.2.7	Ne Hɛrɔd áwúgé mbɔ, akú aŋkɛɛ́ bimbɔ ájwɔ́lé bíbií, agií ɛbwɔ́ aké, “Gárege me gébé ɛyigé ɛnyú dégɛ́né membe yimbɔ né melɔ nyú títí.” 
MAT.2.8	Ɛ́fɛɛ́ ne Hɛrɔd átɔme ɛbwɔ́ aké, “Chóge né Bɛtɛlɛhɛm démyɛ́mmyɛ dégɛ́ mbaá ayi maá yimbɔ álú, dégɛge ji kérege meso, déchwɔ́ dégáré me nnó njyɛ́ nnógé ji ntó.” 
MAT.2.9	Ne aŋkɛɛ́ bimbɔ áwúgé genó ɛyigé mfwa yimbɔ ajɔɔ́ ne ɛbwɔ́, álɔ́ manjyɛ. Ne ndɛre ɛbwɔ́ ájyɛ́ ágɛ́ wyɛ́ membe yimbɔ ayi ɛbwɔ́ ábɔ́ ágɛne nkane ajyɛ́ɛ mbɛ, ɛbwɔ́ ákwɔ́lege ji meso. Ákwɔ́négé né Bɛtɛlɛhɛm membe yimbɔ atɛné né mfaánebuú cho né gepú ɛyigé maá yimbɔ álú. 
MAT.2.10	Ɛbwɔ́ ágɛgé membe yimbɔ ɛfɛɛ́, matɔɔ́ ágɔ ɛbwɔ́ dɔɔ́. 
MAT.2.11	Ákpɛgé né mmu gepú ɛyigémbɔ, ágɛ́ maá yimbɔ ne mmá wuú Mɛri. Ɛ́fɛɛ́ ne átomé manó mme áchyɛ́ ji ɛnogé. Ne ánené uba bwɔ́ áferé unó mabɔ áchyɛ́ ji, gémá gélú genógé gesege ŋka ɛyigé ákuú nnó gul, gémá gélú gefɔ́gé ɛmmá ɛwé ɛwyaá gebɛ gelɔ́gélɔ́ ne ɛyige fɔ gelú laménda ayi alú gefɔ́gé maweé gebɛ́ gefɔ. 
MAT.2.12	Nkane aŋkɛɛ́ bimbɔ ábɛlé ne utuú, Ɛsɔwɔ achwɔ́ kwéle ɛbwɔ́ mbeé né gejyá nnó ɛkage ákéré meso mbaá Hɛrɔd. Ɛbwɔ́ ákoó meti ɛwéchá ne ájyɛ́ né melɔ bwɔ́.
MAT.2.13	Aŋkɛ bímbɔ áwúlégé, ɛkiɛ́nné Ɛsɔwɔ ɛ́kwɔ́ Josɛf ushu né gejya, ɛ́jɔɔ́ ne ji ɛké, “Josɛf, Kwílé ka, kpa maá yina ne mmá wuú débo dejyɛ́ né melɔ́ Ijip. Déjyɛgé láge ɛ́wu kpaá tɛ bií bí ngárege nyɛ ɛnyú nnó dékéré meso. Néndé Hɛrɔd ákɛlege maá yina manwá.” 
MAT.2.14	Josɛf apégé géjyá ne utuú bimbɔ, apyɛ wyɛ́ nkane ɛkiɛ́nné Ɛsɔwɔ ɛgaré ji ɛké. “Kpá maá yimbɔ ne mmá wuú ɔjyɛ né Ijip.” 
MAT.2.15	Akwɔ́négé Ijip, ála wyɛ́ kpaá tɛ gébégé mfwa Hɛrɔd ágboó. Unó bi na úpyɛ nnó depɔ ɛtíré Ɛsɔwɔ ápyɛ nnó muú ɛkpávé wuú agáré bɔɔ́ bií débɛ́ wáwálé, nnó, “Nkú maá wa átané né Ijip.” 
MAT.2.16	Hɛrɔd agɛ́gé nnó áŋkɛɛ́ bimbɔ ábwɔlé ji, nchyɛ anywɔ́né ji mmu. Achyɛ́ meko aké, “Áwá baá ande ako né Bɛtɛlɛhɛm né malɔ́ ayí kwɔ́kwɔ́lé, álɔ́ né baá abi ákwɔné aŋmɛ́ ápea áshúlégé.” Hɛrɔd ajɔɔ́ mbɔ gétúgé ji áfɛré nnó ɛ́lɛ́ mɛ́ aŋmɛ́ ápea ayí ji agií áŋkɛɛ́ bimbɔ gébé ɛyigé ɛbwɔ́ ágɛné membe yimbɔ. 
MAT.2.17	Mechɔ ɛwéna ɛ́pyɛmbɔ nnó, genó ɛyígé Jɛrimaya muú ɛkpávé Ɛsɔwɔ ájɔɔ́ gepyɛ wáwálé. 
MAT.2.18	Ajɔɔ́ nyá aké, “Meko negbo átanege né melɔ́ Rama ne gejamégé ɛlúlú ne dámpepe. Rashɛl alili baá bií, bɔɔ́ áfyɛɛ́ ji metɔɔ́ nnó ágɔ́ magbo, akámégé gétúgé baá bií abi ágboó.”
MAT.2.19	Hɛrɔd ágbógé, ɛkiɛ́nné Ɛsɔwɔ ɛkwɔ́ Josɛf ushu né géjyá né Ijip, 
MAT.2.20	ɛké “Josɛf, kwilé ka ɔ́kpá maá yina ne mma wuú, ɛnyú dékéré meso né mme Isrɛli. Bɔɔ́ abi ákɛlege manwá ji ágboó.” 
MAT.2.21	Josɛf ápégé, asɛ maá yimbɔ ne mmá wuú áfɛ́ né mme Isrɛli. 
MAT.2.22	Yɛ́mbɔ ji áwúgé nnó Achelɔs asɛ gefwagé ntɛ wuú Hɛrɔd né gebagé mewaá Judiya, abɔ́ ɛfɔ manjyɛ wyɛ́. Né gejya ɛyígé ji áma gɛ́, Ɛsɔwɔ ákwɛlé ji mbeé nnó ajyɛ né gebagé mewaá Galilií. 
MAT.2.23	Ne Josɛf ajyɛ jwɔ́le né melɔ́ Nasarɛt ɛwé ɛ́lú né gebagé mewaá ɛyigémbɔ́. Mechɔ́ wé ɛpyɛ nnó genó ɛyígé Ɛsɔwɔ abɔ́ apyɛ nnó muú ɛkpávé wuú agáré bɔɔ́ bií gébɛ́ wáwálé nnó, “Bɔɔ́ ákuú nyɛ ji nnó muú Nasarɛt.”
MAT.3.1	Né gébé ɛyigémbɔ, ndɛre Jisɔs alu né Násarɛt, mende fɔ ayi akuú ji Jɔn menwyaá bɔɔ́ manaá Ɛsɔwɔ, alɔ́ mangaré mekomejɔɔ́ Ɛsɔwɔ né mashwɔne né gebagé mewaá Judiya aké, 
MAT.3.2	“Kwɔ́rege matɔɔ́ nyú délyá gabo néndé gébé ɛyigé Ɛsɔwɔ ágbárege gefwa ne bɔɔ́ bií géla kwɔ́kwɔ́lé.” 
MAT.3.3	Jɔn yina ne Asaya muú ɛkpávé Ɛsɔwɔ ágarege nyá átomé ne jií nnó,
MAT.3.3	“Muú fɔ abɛne mbɔ né mashwɔne aké,
MAT.3.3	‘Kwyɛge meti Ata dakɛné,
MAT.3.3	nyaáge ɛ́wú ɛ́bɛ́ cho’.”
MAT.3.4	Gefɔgé nkúu ɛyígé Jɔn abɔ́ afyɛ́ ájo ne bya mpɔ mashwɔne. Awɛ́lé ɛkandá mekɔ́ menya né gebwɛ jií, ne menyɛɛ́ wuú alu nyá lé ɛ́gomé ne nwyɔɔ́. 
