MAT.1.1	Inan binndi kollooji inɗe maamiraaɓe Iisaa Almasiihu, dimaaɗo ley lenyol Daawda, taan Ibrahiima:
MAT.1.2	Ibrahiima rimi Isiyaaka.
MAT.1.2	Isiyaaka rimi Yaakuuba.
MAT.1.2	Yaakuuba rimi Yahuuda e minyiraaɓe muuɗum.
MAT.1.3	Yahuuda rimi Fares e Sera. Ɓeen ngoni ɓe o rimdi e Tamar.
MAT.1.3	Fares rimi Hesruuna.
MAT.1.3	Hesruuna rimi Aram.
MAT.1.4	Aram rimi Aminadaabu.
MAT.1.4	Aminadaabu rimi Naasuuna.
MAT.1.4	Naasuuna rimi Salmon.
MAT.1.5	Salmon rimi Bo'as, mo o rimdi e Rahabu.
MAT.1.5	Bo'as rimi Obet, mo o rimdi e Ruttu.
MAT.1.5	Obet rimi Yesa.
MAT.1.6	Yesa rimi Daawda kaananke oon.
MAT.1.6	Daawda rimi Suleymaana. Oon woni mo o rimdi e dee Uriya-no.
MAT.1.7	Suleymaana rimi Robo'am.
MAT.1.7	Robo'am rimi Abiya.
MAT.1.7	Abiya rimi Asa.
MAT.1.8	Asa rimi Yosafat.
MAT.1.8	Yosafat rimi Yoram.
MAT.1.8	Yoram rimi Usiya.
MAT.1.9	Usiya rimi Yotam.
MAT.1.9	Yotam rimi Akas.
MAT.1.9	Akas rimi Hesekiya.
MAT.1.10	Hesekiya rimi Manasa.
MAT.1.10	Manasa rimi Amon.
MAT.1.10	Amon rimi Yosiya.
MAT.1.11	Yosiya rimi Yekoniya e minyiraaɓe muuɗum.
MAT.1.11	Ɗum hawrii e jamaanu mo Alhuudiyankooɓe njaalanoo, njaaraa Baabiila.
MAT.1.12	Caggal ɓe njaaraama Baabiila,
MAT.1.12	Yekoniya rimi Seyaltiyel.
MAT.1.12	Seyaltiyel rimi Sorobabel.
MAT.1.13	Sorobabel rimi Abiihudu.
MAT.1.13	Abiihudu rimi Eliyakim.
MAT.1.13	Eliyakim rimi Asoro.
MAT.1.14	Asoro rimi Sadok.
MAT.1.14	Sadok rimi Akim.
MAT.1.14	Akim rimi Eliyuda.
MAT.1.15	Eliyuda rimi Eliyasar.
MAT.1.15	Eliyasar rimi Mattan.
MAT.1.15	Mattan rimi Yaakuuba.
MAT.1.16	Yaakuuba rimi Yuusufi, jom suudu Mariyama.
MAT.1.16	Mariyama woni inna Iisaa bi'eteeɗo Almasiihu oon.
MAT.1.17	Ndelle ɗum hawrii e jamaanuuji sappo e nay illa Ibrahiima faa yottii Daawda. Illa e Daawda faa yottii nde Alhuudiyankooɓe konanoo njaaraa Baabiila ndeen fu, wo jamaanuuji sappo e nay hawrata. Wooɗi du, illa nde Alhuudiyankooɓe konanoo njaaraa Baabiila faa garol Almasiihu ndeen, wo jamaanuuji sappo e nay hawrata.
