MAT.1.1	Kɛse ɓo mɛtjil Isa al‑Masige. Naan̰ *goon Daud ɔɔ goon *Abraam.
MAT.1.2	Abraam ooj Isak, Isak ooj *Yakub ɔɔ Yakub ooj Juda ute gɛnaan̰gen gaabge
MAT.1.3	Juda ɓo ooj Pɛrɛz ute Zɛra
MAT.1.3	Pɛrɛz ooj Esrom. Esrom ooj Aram.
MAT.1.4	Aram ooj Aminadab. Aminadab ooj Naason. Naason ooj Salmon.
MAT.1.5	Salmon ooj Booz ɔɔ ko Booz se ron̰ Raab.
MAT.1.5	Booz se ɓo ooj Obed ɔɔ ko Obed se ron̰ Rut.
MAT.1.6	Obed ooj Jɛsɛ. Jɛsɛ se ɓo ooj Gaar *Daud.
MAT.1.6	Daud se ɓo ooj Salomon do mɛnd Uri ki.
MAT.1.7	Salomon ooj Roboam. Roboam ooj Abiya. Abiya ooj Asa.
MAT.1.8	Asa ooj Yozapat. Yozapat ooj Yɔram. Yɔram ooj Ozias.
MAT.1.9	Ozias ooj Yɔtam. Yɔtam ooj Akaz. Akaz ooj Ɛzɛkias.
MAT.1.10	Ɛzɛkias ooj Manase. Manase ooj Amon. Amon ooj Jɔsias.
MAT.1.11	Jɔsias ooj Yekonia ute gɛnaan̰gen gaabge
MAT.1.11	ɔɔ kaaɗ kɛn se ɓo gaan *Israɛlge kꞋtɔs kꞋɓaanɗe ɓulu taa naaŋ Babilon ki
MAT.1.12	Kɛn naaɗe ɓaa aan Babilon ki se jaay ɓo,
MAT.1.12	Yekonia ooj Salatiɛl ɔɔ Salatiɛl ooj Zorobabɛl.
MAT.1.13	Zorobabɛl ooj Abiud. Abiud ooj Ɛliakim. Ɛliakim ooj Azor.
MAT.1.14	Azor ooj Sadok. Sadok ooj Akim. Akim ooj Ɛliud.
MAT.1.15	Ɛliud ooj Ɛliɛzɛr. Ɛliɛzɛr ooj Matan. Matan ooj Yakub.
MAT.1.16	Yakub ooj Yusup. Yusup se ɓo gaabm Mari ɔɔ Mari se ɓo ooj Isan kɛn kꞋdaŋin̰ al‑Masi se.
MAT.1.17	Mɛtjilɗegen iin̰ do Abraam ki bini aan do Daud ki se, aas mɛtjili sik‑kaar‑sɔɔ. Kɛn iin̰ do Daud ki bini kꞋtɔs kꞋɓaanɗen ɓulu taa naaŋ Babilon ki se, aas mɛtjili sik‑kaar‑sɔɔ. Kɛn naaɗe ɓaan Babilon ki jaay bini aan do al‑Masi ki se, kic ɓo aas mɛtjili sik‑kaar‑sɔɔ.
