MAT.1.1	Abraham chapa Devid, ava Chapa Jisu Khrista ki charuwl Laaika. 
MAT.1.2	Abraham ma Isek pah, ungu Isek ka Jakob pah; Jakob pa Juda leh mnaopale pah, 
MAT.1.3	Juda le mnumei Tamar ri Peres leh Yera pah, Peres ava Hesron pah, Hesron na Ram pah, 
MAT.1.4	ungu Ram ma Aminadab pah, Aminadab pa Nashon pah, Nashon na Salman pah, 
MAT.1.5	Salman na Rahab leh Boas pah, ungu Boas leh Ruth ti Obed pah, Obed ti Jessi pah 
MAT.1.6	Ungta Jessia kruwng Devid pah.
MAT.1.6	Ungta Devid ta mnumei Uriah numei ava tu Solomon pah, 
MAT.1.7	Ungu Solomon na Rehoboam pah, Rehoboam ma Abija pah, Abija ava Asa pah 
MAT.1.8	ungta Asa ava Jehosaphat pah, Jehosaphat ta Joram pah, Joram ma Ujiah pah, 
MAT.1.9	ungu Ujiah ava Jotham pah, Jotham ma Ahas pah, Ahas ava ngi Hejekiah pah, 
MAT.1.10	Ungta Hejekiah ngi Manaseh pah, Manaseh ngi Amos pah, Amos ava ngi Josiah pah, 
MAT.1.11	ungu Josiah ngi Jekheniah leh mnaopa le ava pah, mmaan ava Babylon thu paam suwkki ma am in mpha thung ki kurthuwk.
MAT.1.12	Ungta Babylon tha paam suwk ki ma am dil thaanni: Jekheniah ngi Sheltil pah, Sheltil li Jerubabel pah, 
MAT.1.13	Jerubabel li Abiud pah, Abiud ti Eliakim pah, Aliakim mi Ajor pah, 
MAT.1.14	ungu Ajor ri Jadok pah, Jadok ki Akhim pah, Akhim mi Eliud pah, 
MAT.1.15	ungta Eliud ta Eleajar pah, Eleajar ra Mathan pah, Mathan na Jakob pah, 
MAT.1.16	ungu Jakob pi Khrista mdo dit Jisu ṭou na Mery ava innpu Joseph pah.
MAT.1.17	Ava leiji charuwl rek mkheng Abraham thungki ngi Devid kpha ava charuwl rek sowm leiplii, ungu Devid thung ki ngi Babylon tha paam suwk ki ma am naan ava charuwl sowm lei plii, ungta Babylon paam suwk thung ki ngi Khrista kpha ava charuwl sowm lei plii kurthuwk.
MAT.1.18	Tunva Jisu Khrista ava mlam hanto ngi ṭou da. Mnuh Mery ava Joseph pi inn mthlot dok mpha thu, mmaanni mpaalve du inni pthla kchiir nao kuhur dok jap ksa ngi pha da; 
MAT.1.19	ungta minnpu Joseph ava mrinkindit miilai kurthuwk da, ning kja mhin pii nuwm mda; tupruti mbowr tlo pthii nuwm da. 
MAT.1.20	Pdainu mma ngi hava mreel bing thu, asuwn, mmer khatti Mukpu waan tamsii ngi ktardet da, theda; “Devid chapa Joseph, anumei Mery klou rang nga ṭi ma; mleija mma thungki ava pthla kchiir ri kurthuwk, 
MAT.1.21	mma ngi chapa khat kuplu ra; ungu mmiing ava Jisu dida phuwk nadi, mleija Mma ngi pnu rek thung ki mmii rek kaktlan pik ra.” 
MAT.1.22	Mukpu ngi khulpu rek hin mdo the dok hava mkheng mkurkhum nra thuwk da: 
MAT.1.23	“Asuwin, ktlangdang nala khatti nao hur donle Chapa khat kuplu ra; ungu mmiing ava Emmanuel kdi ra.”
MAT.1.23	‘ava ki mlei ja Isowr ri miti ṭhiinna’. 
MAT.1.24	Joseph pi ki iip mhan kardel mpha thu, Mukpu waantamsii paureen ava heppi tlo da; mnu mei ava louda, 
MAT.1.25	Pdainu Chapa khat pluda Jisu dida mmiing mphuwk du khim khai kunlom lamme; ungta mmiing ava Jisu dida phuwk da.
MAT.2.1	Tunva kruwng Herod mpha thu Judia ki Bethlehem thung ngi Jisu mṭou mpha thu, asuwn, kniw thuwna ktongki ksing mii rek Jerusalem tha arhang lamda; the lamda, 
MAT.2.2	“Jehudia rek Kruwng kṭou Mma ava tva thung da? Mleija kniw thuwna ktong tha Mma bursi neenni dei innu, ungta luw kbuk chra kthleng in ping.” 
MAT.2.3	Kruwng Herod ti hava maryaak mpha thu, kunchul da, ungta Jerusalem thungki mma kurthlo ṭhi rek mii mkheng; 
MAT.2.4	ungta thiimpu kinreel rek,ava ki mii rek Nowlam chukpu rek, mkheng tu kurbuk da, mmaan hin Khrista ṭou nrang tva thung da kdingi pau khewl lamda. 
MAT.2.5	Mmaanni mhin the lamda, “Judia ki Bethlehem thungra; mleija ava khulpu rekki mdo kjit dok:
MAT.2.6	‘Ungta Judia paam thungki,
MAT.2.6	O Bethlehem nang ava,
MAT.2.6	Judia paam kpu rek arlakki mikdil sii ruk kurthuwk pti;
MAT.2.6	mleija kmii Isreel rek leen kpaal ra,
MAT.2.6	nah athung ngi paam kpu khat kurjung ra.’ ”
MAT.2.7	Ava dilli Herod ti ksing mii rek ava tuprutti ownda, bursi mkandanna mpha ava khewl lamda ungu kminni deida; 
MAT.2.8	Ungta mma ngi Bethlehem tha hai sii lamda; theda, “Naanni va inra nao ava ktippi athlaam in; ungu aphaak inta, nei ruk va luw kdo hai buk chaak nra, pauna marvan hur pik chaan.” 
MAT.2.9	Mmaanni kruwng dothe maryaak dok dil thaanni mlam ṭoi nraan tha chet lamda; ungta asuwn, kniw thuwna tha mdo dee in bursi ava ngi nao amna mun ava phada mri du khim khai mdu suk inni ru rit pik lamda. 
MAT.2.10	Mmaanni bursi mdee in thungta, klin sii ngi kanpa, kheel sii ki kanpa ngi; 
MAT.2.11	inn ava thu mhailu in thungta nao ava leh mnuh Mery dei lamda, ungta kuwn lamda luw buk chlam da. Ava dilli msumbuwr in pvang lamda; jeering leh reidii ungu myrrh tdit ava Mhin chla tlaaiji down chlam da. 
MAT.2.12	Ungta mer khat ti mhin inni pau mdo kham pik lam dil kṭoiji, mmaanni Herod hin mdil in kinle kma; lam msik khat lep lamda mpaam thaanni sun lamda.
MAT.2.13	Tunva mmaanni msun dok inle, asuwn; Mukpu waan tamsii ngi Joseph mer khatti ktardet da ungu theda, “Kardel ra nao ava leh mnuh aṭhira Egypt tha echen in; ungu Neiji akthe pik du khim khai ava tha jiam daat in, mleija Herod ti nao ava mdo aeyo nra kthlaam ra kurthlong nga.” 
MAT.2.14	Ungta mma ngi kardel da nao ava leh mnuh ṭhida, jaanni Egypt tha sun lamda; 
MAT.2.15	ungu Herod mdiyo du khim khai ava tha am chdaat lamda. Hava khulpu hin ni Mukpu ngi mdo the dok, “Kchapa ava Egypt thungki kdo own;” dida mdo the ava mkurkhum na kurthuwkda.
MAT.2.16	Ava dilli Herod ti ksing mii rek dohuwn chaak na ava mdee thungta kdung ngi plung pthit da, ungta ksing mii rek hinki mpha mdo dee dok dil kṭoiji, Bethlehem ungu mpaamkowl thungki kum knii ki ngi mkurdu ki psel nao mkheng mdo eayo nraan mii sii da. 
MAT.2.17	Ava dilli khulpu Jeremiah do the dok ava kurkhum da;
MAT.2.18	“Ungta kdung ngi kurnung karbaang da
MAT.2.18	kṭap krowl khat Ramah thu aryaa da,
MAT.2.18	Rachel li mnao le tummi ṭap da;
MAT.2.18	mleija mmaan ma amma leiji,
MAT.2.18	mii do pthlai ra ava ro me.”
MAT.2.19	Pdainu Herod mdiyo thungta, asuwn; Mukpu waan tamsii ngi Joseph mer khatti Egypt thung ngi ktardet da; theda, 
MAT.2.20	“Kardel ra nao ava leh mnuh aṭhira; ungta Isreel paam tha hung in, mleija nao ava rinkhu kthlaam mii ava kdiyou kcha a.” 
MAT.2.21	Ungta mma ngi kardel da nao ava leh mnuh ava ṭhida Isreel paam tha hung lamda. 
MAT.2.22	Pdainu Arkhelius ava ngi mpah Herod kchang donda Judia paam kpu ngi ka amma tdit maryaak thungta, ava tha mvan rang nga mma ngi ṭi chda, ungta mmer ri pau mdo kham pik dil kṭoiji Galil paamkowl tha thliir chda. 
MAT.2.23	Ungu mma ngi Nasareth tdit khuwpii khat thung ngi vangda am chda. “Mma ava Nasareth mii khat di donle ku ownra,” dida khulpu rek hin mdo the ava mkurkhumna kurthuwk da.
MAT.3.1	Mpha ava thu baptis kuptlot Johon thlengda, Judia thungki kbowklaiji paryaam da. 
MAT.3.2	“Plung ren ahur in, mleija parwaan Kruwngpaam ava knai tekka.”
MAT.3.3	Mleija “Kbowklaiji krowl khatti owngda:
MAT.3.3	Mukpu lamṭoi ra apurchuwl pik,
MAT.3.3	Mkhu ther nrang rek arjit pik;”
MAT.3.3	havaa khulpu Isaijah ngi mdo the dok kat kurthuwk da.
MAT.3.4	Tunva Johon na ut mulli turkhown dona hiil naa da, murkowl saavun sulpaar kparyeel da; ungu khaopruwn leh nowm pkhui dii chaa needa. 
MAT.3.5	Ungta Jerusalem thungki, ungu Judia mkheng thungki,ungta Jordon paamkowl mkheng thungki, mii rek ava mma hin thlengda, 
MAT.3.6	ungta mmaanni mupnu ton in mdo the thut intu kilṭhi ngi Jordon kreng thu mma ngi baptis ptlot pik lamda.
MAT.3.7	Pdainu mma ngi Pharisi rek leh Sadusi rek knempok baptis ktlo ra karva slii ava mdee thungta, mma ngi mhin inni theda, “Pruwl doi naorek naan! Plung thit kthleng rang thungki kchen daak ra ak sii inna ku da? 
MAT.3.8	Plung ren kuhur akurhui nraan thei echui in; 
