GEN.1.1	La început Dumnezeu a creat cerul și pământul.
GEN.1.2	Și pământul era fără formă și gol și întuneric 
GEN.1.3	Și Dumnezeu a spus: Să fie lumină! Și a fost lumină.
GEN.1.4	Și Dumnezeu a văzut lumina, că 
GEN.1.5	Și Dumnezeu a numit lumina zi și întunericul l-a numit noapte. Și a fost o seară și o dimineață: ziua întâi.
GEN.1.6	Și Dumnezeu a spus: Să fie o întindere în mijlocul apelor și aceasta să despartă apele de ape.
GEN.1.7	Și Dumnezeu a făcut întinderea și a despărțit apele care 
GEN.1.8	Și Dumnezeu a numit întinderea cer. Și a fost o seară și o dimineață: ziua a doua.
GEN.1.9	Și Dumnezeu a spus: Apele de sub cer să se adune la un loc și să se arate uscatul. Și așa a fost.
GEN.1.10	Și Dumnezeu a numit uscatul pământ, și adunarea apelor a numit
GEN.1.11	Și Dumnezeu a spus: Să dea pământul iarbă, verdeața care aduce sămânță 
GEN.1.12	Și pământul a dat iarbă 
GEN.1.13	Și a fost o seară și o dimineață: ziua a treia.
GEN.1.14	Și Dumnezeu a spus: Să fie luminători în întinderea cerului pentru a despărți ziua de noapte; și ei să fie pentru semne și pentru anotimpuri și pentru zile și ani;
GEN.1.15	Și ei să fie ca luminători în întinderea cerului pentru a da lumină peste pământ. Și așa a fost.
GEN.1.16	Și Dumnezeu a făcut doi luminători mari: luminătorul mai mare pentru a stăpâni ziua și luminătorul mai mic pentru a stăpâni noaptea; 
GEN.1.17	Și Dumnezeu i-a pus în întinderea cerului pentru a da lumină peste pământ,
GEN.1.18	Și pentru a stăpâni peste zi și peste noapte și să despartă lumina de întuneric; și Dumnezeu a văzut că 
GEN.1.19	Și a fost o seară și o dimineață: ziua a patra.
GEN.1.20	Și Dumnezeu a spus: Apele să dea abundent ființa mișcătoare care are viață și păsări să zboare deasupra pământului pe fața întinderii cerului.
GEN.1.21	Și Dumnezeu a creat balene mari și fiecare viețuitoare care se mișcă, pe care apele le-au dat abundent, după felul lor, și fiecare pasăre înaripată, după felul ei; și Dumnezeu a văzut că 
GEN.1.22	Și Dumnezeu le-a binecuvântat, spunând: Fiți roditori și înmulțiți-vă și umpleți apele în mări, și pasărea să se înmulțească pe pământ.
GEN.1.23	Și a fost o seară și o dimineață: ziua a cincea.
GEN.1.24	Și Dumnezeu a spus: Să dea pământul ființa vie după felul ei, vite și târâtoare și fiare ale pământului, după felul lor. Și așa a fost.
GEN.1.25	Și Dumnezeu a făcut fiara pământului, după felul ei, și vite, după felul lor, și fiecare târâtoare pe pământ, după felul ei; și Dumnezeu a văzut că 
GEN.1.26	Și Dumnezeu a spus: Să facem om după chipul nostru, după asemănarea noastră; și ei să domnească peste peștii mării și peste păsările cerului și peste vite și peste tot pământul și peste fiecare târâtoare ce se târăște pe pământ.
GEN.1.27	Astfel Dumnezeu a creat om după 
GEN.1.28	Și Dumnezeu i-a binecuvântat și Dumnezeu le-a spus: Fiți roditori și înmulțiți-vă și umpleți pământul și supuneți-l și domniți peste peștii mării și peste păsările cerului și peste fiecare viețuitoare ce se mișcă pe pământ.
GEN.1.29	Și Dumnezeu a spus: Iată, v-am dat fiecare verdeață care aduce sămânță, care 
GEN.1.30	Și fiecărei fiare a pământului și fiecărei păsări a cerului și fiecărei târâtoare pe pământ, în care 
GEN.1.31	Și Dumnezeu a văzut fiecare lucru pe care l-a făcut și, iată, 
GEN.2.1	Astfel au fost terminate cerurile și pământul și toată oștirea lor.
GEN.2.2	Și în ziua a șaptea Dumnezeu și-a terminat lucrarea pe care o făcuse; și în ziua a șaptea s-a odihnit de toată lucrarea lui pe care o făcuse.
GEN.2.3	Și Dumnezeu a binecuvântat ziua a șaptea și a sfințit-o, pentru că în aceasta s-a odihnit de toată lucrarea sa, pe care Dumnezeu a creat-o și a făcut-o.
GEN.2.4	Acestea 
GEN.2.5	Și fiecare verdeață a câmpului, înainte ca aceasta să fi fost în pământ, și fiecare verdeață a câmpului înainte de a fi încolțit, pentru că DOMNUL Dumnezeu nu făcuse să plouă peste pământ și nu 
GEN.2.6	Ci un abur se ridica din pământ și uda toată suprafața pământului.
GEN.2.7	Și DOMNUL Dumnezeu l-a format pe om 
GEN.2.8	Și DOMNUL Dumnezeu a sădit o grădină înspre est, în Eden, și acolo a pus pe omul pe care l-a format.
GEN.2.9	Și din pământ DOMNUL Dumnezeu a făcut să încolțească fiecare pom care este plăcut la vedere și bun pentru mâncare și pomul vieții, de asemenea, în mijlocul grădinii și pomul cunoașterii binelui și răului.
GEN.2.10	Și un râu ieșea din Eden ca să ude grădina; și de acolo se împărțea și se făcea patru capete.
GEN.2.11	Numele întâiului 
GEN.2.12	Și aurul acelei țări 
GEN.2.13	Și numele celui de al doilea râu 
GEN.2.14	Și numele celui de al treilea râu 
GEN.2.15	Și DOMNUL Dumnezeu l-a luat pe om și l-a pus în grădina Edenului, să o lucreze și să o păzească.
GEN.2.16	Și DOMNUL Dumnezeu i-a poruncit omului, spunând: Din orice pom din grădină poți mânca în voie,
GEN.2.17	Dar din pomul cunoașterii binelui și răului să nu mănânci, căci în ziua în care vei mânca din el, vei muri negreșit.
GEN.2.18	Și DOMNUL Dumnezeu a spus: Nu 
GEN.2.19	Și din pământ DOMNUL Dumnezeu a format fiecare fiară a câmpului și fiecare pasăre a cerului și 
GEN.2.20	Și Adam a dat nume tuturor vitelor și tuturor păsărilor cerului și fiecărei fiare a câmpului, dar pentru Adam nu s-a găsit un ajutor potrivit pentru el.
GEN.2.21	Și DOMNUL Dumnezeu a făcut să cadă un somn adânc peste Adam; și 
GEN.2.22	Și 
GEN.2.23	Și Adam a spus: Aceasta 
