GEN.1.1	Ла ынчепут
GEN.1.2	Пэмынтул ера пустиу ши гол; песте фаца адынкулуй де апе ера ынтунерик, ши Духул
GEN.1.3	Думнезеу
GEN.1.4	Думнезеу а вэзут кэ лумина ера бунэ ши Думнезеу а деспэрцит лумина де ынтунерик. 
GEN.1.5	Думнезеу а нумит лумина зи
GEN.1.6	Думнезеу а зис: „Сэ фие
GEN.1.7	Ши Думнезеу а фэкут ынтиндеря, ши еа а деспэрцит
GEN.1.8	Думнезеу а нумит ынтиндеря чер. Астфел, а фост о сярэ ши апой а фост о диминяцэ: ачаста а фост зиуа а доуа.
GEN.1.9	Думнезеу а зис: „Сэ се стрынгэ
GEN.1.10	Думнезеу а нумит ускатул пэмынт, яр грэмада де апе а нумит-о мэрь. Думнезеу а вэзут кэ лукрул ачеста ера бун. 
GEN.1.11	Апой Думнезеу а зис: „Сэ дя
GEN.1.12	Пэмынтул а дат вердяцэ, ярбэ ку сэмынцэ дупэ союл ей ши помь каре фак род ши каре ышь ау сэмынца ын ей, дупэ союл лор. Думнезеу а вэзут кэ лукрул ачеста ера бун. 
GEN.1.13	Астфел, а фост о сярэ ши апой а фост о диминяцэ: ачаста а фост зиуа а трея.
GEN.1.14	Думнезеу а зис: „Сэ фие ниште луминэторь
GEN.1.15	ши сэ служяскэ де луминэторь ын ынтиндеря черулуй, ка сэ луминезе пэмынтул.” Ши аша а фост. 
GEN.1.16	Думнезеу
GEN.1.17	Думнезеу й-а ашезат ын ынтиндеря черулуй, ка сэ луминезе пэмынтул, 
GEN.1.18	сэ стэпыняскэ
GEN.1.19	Астфел, а фост о сярэ ши апой а фост о диминяцэ: ачаста а фост зиуа а патра.
GEN.1.20	Думнезеу а зис: „Сэ мишуне апеле де вецуитоаре ши сэ збоаре пэсэрь дясупра пэмынтулуй пе ынтиндеря черулуй.” 
GEN.1.21	Думнезеу
GEN.1.22	Думнезеу ле-а бинекувынтат ши а зис: „Крештець
GEN.1.23	Астфел а фост о сярэ ши апой а фост о диминяцэ: ачаста а фост зиуа а чинчя.
