GEN.1.1	La început, Dumnezeu
GEN.1.2	Pământul era pustiu
GEN.1.3	Atunci Dumnezeu a zis: „Să fie lumină!“ Și a fost lumină. 
GEN.1.4	Dumnezeu a văzut că lumina era bună și a separat lumina de întuneric. 
GEN.1.5	Dumnezeu a numit lumina „zi“, iar întunericul l‑a numit „noapte“. Astfel, a fost o seară și a fost o dimineață: ziua întâi.
GEN.1.6	Dumnezeu a zis: „Să fie o întindere
GEN.1.7	Astfel, Dumnezeu a făcut întinderea și a separat apele care sunt sub întindere de apele care sunt deasupra întinderii. Și așa a fost. 
GEN.1.8	Dumnezeu a numit întinderea „ceruri“. Astfel, a fost o seară și a fost o dimineață: ziua a doua.
GEN.1.9	Dumnezeu a zis: „Să se adune la un loc apele care sunt sub ceruri și să apară uscatul!“ Și așa a fost. 
GEN.1.10	Dumnezeu a numit uscatul „pământ“, iar apele care au fost adunate, le‑a numit „mări“. Dumnezeu a văzut că 
GEN.1.11	Atunci Dumnezeu a zis: „Să dea pământul vegetație: plante care să facă sămânță și pomi fructiferi care să facă rod cu sămânță în el pe pământ, după felul lor!“ Și așa a fost. 
GEN.1.12	Pământul a dat vegetație: plante care fac sămânță, după felul lor, și pomi care fac rod cu sămânță în el, după felul lor. Dumnezeu a văzut că 
GEN.1.13	Astfel, a fost o seară și a fost o dimineață: ziua a treia.
GEN.1.14	Dumnezeu a zis: „Să fie niște luminători pe întinderea cerurilor, care să separe ziua de noapte. Ei să fie pentru semne
GEN.1.15	și să slujească drept luminători pe întinderea cerurilor, ca să dea lumină pe pământ!“ Și așa a fost. 
GEN.1.16	Dumnezeu a făcut cei doi luminători mari: luminătorul cel mare, ca să stăpânească ziua, și luminătorul cel mic, ca să stăpânească noaptea; 
GEN.1.17	Dumnezeu i‑a așezat pe întinderea cerurilor, ca să dea lumină pe pământ, 
GEN.1.18	să stăpânească ziua și noaptea și să separe lumina de întuneric. Dumnezeu a văzut că 
GEN.1.19	Astfel, a fost o seară și a fost o dimineață: ziua a patra.
GEN.1.20	Dumnezeu a zis: „Să mișune apele de ființe vii și să zboare păsări deasupra pământului, pe suprafața întinderii cerurilor!“ 
GEN.1.21	Astfel, Dumnezeu a creat făpturile cele mari din ape, orice ființă vie, care se mișcă și de care mișună apele, după felul ei, și orice pasăre înaripată, după felul ei. Dumnezeu a văzut că 
GEN.1.22	Dumnezeu le‑a binecuvântat, zicând: „Fiți roditoare, înmulțiți‑vă și umpleți apele mărilor. Să se înmulțească și păsările pe pământ!“ 
GEN.1.23	Astfel, a fost o seară și a fost o dimineață: ziua a cincea.
GEN.1.24	Dumnezeu a zis: „Să dea pământul ființe vii, după felul lor: vite,
GEN.1.25	Dumnezeu a făcut vietățile pământului, după felul lor, vitele, după felul lor, și orice târâtoare a pământului, după felul ei. Dumnezeu a văzut că 
GEN.1.26	Atunci Dumnezeu a zis: „Să facem om
GEN.1.27	Astfel, Dumnezeu l‑a creat pe om după chipul Său,
GEN.1.27	după chipul lui Dumnezeu l‑a creat;
GEN.1.27	bărbat și femeie i‑a creat.
GEN.1.28	Dumnezeu i‑a binecuvântat și le‑a zis: „Fiți roditori și înmulțiți‑vă, umpleți pământul și supuneți‑l. Domniți peste peștii mării, peste păsările cerului și peste orice vietate care se târăște pe pământ!“ 
GEN.1.29	Apoi Dumnezeu a zis: „Iată, v‑am dat orice plantă care face sămânță și care este pe suprafața întregului pământ și orice pom care are fruct cu sămânță în el. Le veți avea ca hrană. 
GEN.1.30	Iar oricărei vietăți a pământului, oricărei păsări a cerului și oricărui animal care se târăște pe pământ, tuturor acestora deci care au suflare de viață în ele, 
GEN.1.31	Dumnezeu S‑a uitat la tot ce a făcut și iată că toate erau foarte bune. Astfel, a fost o seară și a fost o dimineață: ziua a șasea.
GEN.2.1	Astfel au fost sfârșite cerurile, pământul și întreaga lor oștire. 
GEN.2.2	În ziua a șaptea, Dumnezeu Și‑a sfârșit lucrarea pe care o făcuse. El S‑a odihnit
GEN.2.3	Dumnezeu a binecuvântat ziua a șaptea și a sfințit‑o, pentru că în ea S‑a odihnit de
GEN.2.4	Aceasta este istoria
GEN.2.5	pe pământ nu era încă niciun tufiș, iar iarba câmpului încă nu încolțise pentru că 
GEN.2.6	ci un izvor
GEN.2.7	Atunci 
GEN.2.8	 Dumnezeu a plantat o grădină în Eden, în răsărit, și l‑a pus acolo pe omul pe care îl întocmise. 
GEN.2.9	 Dumnezeu a făcut să răsară din pământ tot felul de pomi plăcuți la vedere și buni pentru hrană, precum și Pomul Vieții, în mijlocul grădinii, și Pomul Cunoașterii Binelui și a Răului.
GEN.2.10	Un râu ieșea din Eden ca să ude grădina, iar de acolo se despărțea în patru brațe. 
GEN.2.11	Numele celui dintâi este Pișon. El înconjura toată țara Havila, unde este aur. 
GEN.2.12	Aurul acelei țări este bun. Acolo se găsesc și bedelium
GEN.2.13	Numele celui de‑al doilea râu este Ghihon. El înconjura toată țara Cuș
GEN.2.14	Numele celui de‑al treilea râu este Hiddekel
GEN.2.16	 Dumnezeu i‑a poruncit lui Adam, zicând: „Să mănânci, desigur, din orice pom din grădină, 
GEN.2.17	dar din Pomul Cunoașterii Binelui și a Răului să nu mănânci, căci în ziua în care vei mânca din el, sigur vei muri!“
GEN.2.18	Apoi 
GEN.2.19	 Dumnezeu a întocmit din pământ fiecare vietate a câmpului și fiecare pasăre a cerului și le‑a adus la Adam, ca să vadă cum le va numi. Și orice nume pe care Adam îl punea fiecărei ființe vii, acela îi era numele. 
GEN.2.20	Adam le‑a pus nume tuturor vitelor și păsărilor cerului și fiecărei vietăți a câmpului, însă pentru el nu s‑a găsit niciun ajutor potrivit. 
GEN.2.21	Atunci 
GEN.2.22	Și, din coasta pe care a luat‑o din Adam, 
GEN.2.23	Atunci Adam a zis:
GEN.2.23	„În sfârșit, aceasta este os din oasele mele
GEN.2.23	și carne din carnea mea.
GEN.2.23	Aceasta se va numi «femeie
GEN.2.23	pentru că a fost luată din bărbat.“
GEN.2.24	De aceea bărbatul își va lăsa tatăl și mama și se va alipi de soția lui, iar ei vor fi un singur trup.
GEN.2.25	Omul și soția lui erau amândoi goi și nu le era rușine.
GEN.3.1	Șarpele era mai viclean
GEN.3.1	El i‑a zis femeii:
GEN.3.1	– A zis într-adevăr Dumnezeu: „Să nu mâncați din orice pom din grădină“?
GEN.3.2	Femeia i‑a răspuns șarpelui:
GEN.3.2	– Putem să mâncăm din rodul pomilor din grădină, 
GEN.3.3	dar despre pomul care este în mijlocul grădinii, Dumnezeu a zis: „Să nu mâncați din el și nici să nu‑l atingeți, ca nu cumva să muriți!“
GEN.3.4	Dar șarpele i‑a zis femeii:
GEN.3.4	– Sigur nu veți muri! 
GEN.3.5	Căci Dumnezeu știe că, în ziua când veți mânca din el, vi se vor deschide ochii și veți fi ca Dumnezeu
GEN.3.6	Când femeia a văzut că pomul era bun pentru hrană, că era o plăcere
GEN.3.7	Atunci li s‑au deschis ochii la amândoi și au cunoscut că sunt goi. Astfel, ei au cusut laolaltă frunze de smochin și și‑au făcut învelitori.
GEN.3.8	Ei au auzit glasul
GEN.3.9	Dar 
GEN.3.9	– Unde ești?
GEN.3.10	El a răspuns:
GEN.3.10	– Am auzit glasul Tău în grădină, dar mi‑a fost teamă pentru că eram gol. De aceea m‑am ascuns.
GEN.3.11	El a zis:
GEN.3.11	– Cine ți‑a spus că ești gol? Ai mâncat cumva din pomul din care ți‑am poruncit să nu mănânci?
GEN.3.12	Omul a răspuns:
GEN.3.12	– Femeia pe care mi‑ai dat‑o ca să fie cu mine, ea mi‑a dat din pom și am mâncat.
GEN.3.13	Atunci 
GEN.3.13	– Ce‑ai făcut?
GEN.3.13	Femeia a răspuns:
GEN.3.13	– Șarpele m‑a înșelat și am mâncat.
GEN.3.14	blestemat ești tu între toate vitele
GEN.3.14	și între toate vietățile de pe câmp.
GEN.3.14	Vei umbla pe pântec
GEN.3.14	și vei mânca țărână în toate zilele vieții tale.
GEN.3.15	Voi pune dușmănie între tine și femeie,
GEN.3.15	între sămânța
GEN.3.15	iar tu îi vei zdrobi călcâiul.“
GEN.3.16	Femeii i‑a zis:
GEN.3.16	„Voi face ca durerile nașterii
GEN.3.16	cu durere vei naște copii.
GEN.3.16	Dorința ta va fi înspre soțul tău,
GEN.3.16	iar el va stăpâni peste tine.
GEN.3.17	Iar lui Adam i‑a zis: „Pentru că ai ascultat de soția ta și ai mâncat din pomul despre care îți poruncisem, zicând: «Să nu mănânci din el»,
GEN.3.17	blestemat este pământul din cauza ta.
GEN.3.17	Cu durere îți vei lua hrana din el
GEN.3.17	în toate zilele vieții tale.
GEN.3.18	Spini și mărăcini îți va da,
GEN.3.18	iar tu vei mânca din plantele câmpului.
GEN.3.19	Cu sudoarea frunții tale
GEN.3.19	îți vei mânca pâinea,
GEN.3.19	până când te vei întoarce în pământ,
GEN.3.19	pentru că din el ai fost luat.
GEN.3.19	Căci țărână ești
GEN.3.19	și în țărână te vei întoarce.“
GEN.3.20	Adam i‑a pus soției sale numele Eva
GEN.3.22	Atunci 
GEN.3.23	Astfel, 
GEN.3.24	După ce l‑a alungat pe om, a pus la răsăritul grădinii Edenului niște heruvimi și o sabie învăpăiată care se rotea, ca să păzească drumul spre Pomul Vieții.
GEN.4.1	Adam a cunoscut‑o
GEN.4.2	Apoi l‑a născut pe Abel, fratele lui 
GEN.4.3	După o vreme, Cain I‑a adus 
GEN.4.4	iar Abel I‑a adus și el 
GEN.4.5	însă spre Cain și darul lui de mâncare n‑a privit cu plăcere. Cain s‑a mâniat foarte tare și i s‑a posomorât fața. 
GEN.4.6	 i‑a zis lui Cain: „De ce te‑ai mâniat și de ce ți s‑a posomorât fața? 
GEN.4.7	Dacă faci ce este bine, oare nu vei fi primit?
GEN.4.8	Cain i‑a zis fratelui său, Abel: „Hai să ieșim la câmp!“ Pe când se aflau acolo, Cain s‑a ridicat împotriva lui Abel, fratele său, și l‑a ucis.
GEN.4.9	Atunci 
GEN.4.9	– Unde este Abel, fratele tău?
GEN.4.9	El a răspuns:
GEN.4.9	– Nu știu. Sunt eu păzitorul fratelui meu?
GEN.4.10	– Ce‑ai făcut? Glasul sângelui fratelui tău strigă din pământ către Mine! 
GEN.4.11	Acum tu ești blestemat, 
GEN.4.12	Când vei lucra pământul, el nu‑ți va mai da recolta.
GEN.4.13	Cain I‑a zis 
GEN.4.13	–  
GEN.4.14	Iată, Tu m‑ai izgonit azi de pe fața pământului și voi fi ascuns dinaintea feței Tale. Voi fi fugar și rătăcitor pe pământ și oricine mă va găsi mă va ucide.
GEN.4.15	– Nicidecum! Dacă cineva îl va ucide pe Cain, acesta va fi răzbunat de șapte ori.
GEN.4.16	Cain a ieșit dinaintea feței 
