MAT.1.1	Mukanda wa kibuti kia Yesu Klisto, muana wa Davidi, muana wa Abalahama.
MAT.1.2	Abalahama abutile Isaka; nu Isaka abutile Yakobo; nu Yakobo abutile Yuda nu bato bage; 
MAT.1.3	nu Yuda na mukikulu wage Tama babutile Pelese nu Zela; nu Pelese abutile Heselona; nu Heselona abutile Lama; 
MAT.1.4	nu Lama abutile Aminadaba; nu Aminadaba abutile Nasona; nu Nasona abutile Salamona; 
MAT.1.5	Salamona na mukikulu wage Lahaba babutile Boaza; nu Boaza na Luta babutile Obede; nu Obede abutile Yese; 
MAT.1.6	nu Yese abutile mukota Davidi.
MAT.1.6	Davidi nu wozo mukikulu wabezaga wa Uliya babutile Solomo; 
MAT.1.7	Solomo abutile Lehabama; nu Lehabama abutile Abiya; nu Abiya abutile Asa; 
MAT.1.8	nu Asa abutile Yehasafata; nu Yehasafata abutile Yolama; nu Yolama abutile Uziya; 
MAT.1.9	nu Uziya abutile Yotama; nu Yotama abutile Ahaza; nu Ahaza abutile Hezikiya; 
MAT.1.10	nu Hezikiya abutile Manase; nu Manase abutile Amona; nu Amona abutile Yosiya; 
MAT.1.11	nu Yosiya abutile Yekonia nu bato bage, mu nkungu zibendile nabo ku bukobe ku Babulona.
MAT.1.12	Nu kusila kua kuenda kuabo ku bukobe ku Babulona, Yekonia abutile Salatiele; Salatiele abutile Zelubabela; 
MAT.1.13	nu Zelubabela abutile Abihuda; nu Abihuda abutile Eleyakima; nu Eleyakima abutile Azo; 
MAT.1.14	nu Azo abutile Sadoka; nu Sadoka abutile Akimi; nu Akimi abutile Eliyuda; 
MAT.1.15	nu Eliyuda abutile Eleaza; nu Eleaza abutile Matana; nu Matana abutile Yakobo; 
MAT.1.16	Yakobo abutile Yosefu iba wa Malia, uwabutile Yesu, ukumanua bune, Klisto.
MAT.1.17	Bubo bibuti binsania kutukila ku Abalahama aba ku Davidi bili ikumi na binazi; nu kutukila ku Davidi aba nu gabendile nabo ku bukobe ku kilongo kia Babulona bili bibuti ikumi na binazi; nu kutukila ku bukobe ku kilongo kia Babulona aba nu ku Klisto bili bibuti ikumi na binazi.
MAT.1.18	Kubutua kua Yesu Klisto kuabezaga bubo: Gabezaga nina Malia andua na Yosefu, babezaga tabemenyana, abede neiyimi ku magala ma Muuza Wasililila. 
MAT.1.19	Nu Yosefu, iba wage, abezaga muntu weisanana nuwe ntamuitizie na nsoni, atundaga kumugila mu lumbisombiso. 
MAT.1.20	Gabezaga esakengela bubo, mugenzi wa Mukota wamubaside mu ndozi, wamubuide bune, Yosefu, muana wa Davidi, gukue boba kutola mukikulu wobe Malia kubuno iyimi liage lili lia magala ma Muuza Wasililila. 
MAT.1.21	Nuwe abute muana wamulume; wamuinike izina buno YESU; kubuno akonia bantu bage ku misako za buagi buabo. 
MAT.1.22	Bubuno bunsania buabezaga buno lizindilile liatendagua na Mukota ku mulengania bune,
MAT.1.23	Unguililazi, kikumi kitemenyua na wamulume, kieke iyimi,
MAT.1.23	Nuwe abute muana wamulume,
MAT.1.23	Bamuinike izina buno, Emanuele,
MAT.1.23	Buisulilua bualio, Kalaga eli neisue. 
MAT.1.24	Gayukile Yosefu ku tulo, akitile anga buamutendile mugenzi wa Mukota; nu atolile mukikulu wage, 
MAT.1.25	nu abezaga ntemumenya aba gabutile muana wamulume: nu amuinikile izina buno, YESU.
MAT.2.1	Gabutilue Yesu mu Betelehema wa Yudaya mu bindi bia mukota Helode, Bantu ba Menge batukile kuntata kukutukaga kisongo kia busi babasile ku Yelusalema, babuzizie bune, 
MAT.2.2	Kuni kueli wozo wabutilue Mukota Munene wa Bayuda? kubuno tua­monine ku lukenikeni luage kukubasaga kisongo kia busi, tuavua kumukumbamina. 
MAT.2.3	Gongule mukota Helode ku kitondo kikino, mutima wage wakutukile, nu za bantu bansania babezaga nage mu Yelusalema. 
MAT.2.4	Akundamanizie basankoga banene bansania nu basanzi ba bantu, ababuzizie bune, Kuni kukabutilua Klisto? 
MAT.2.5	Bamubuide bune, Mu Betelehema wa Yudaya: kubuno anga buasanzilue na mulengania bune,
MAT.2.6	Uwe Betelehema, mu kisi kia Yuda,
MAT.2.6	Taguli mukeke munkatini mua bukota bua Yuda:
MAT.2.6	Kubuno muguli umukabutua Mukota Munene,
MAT.2.6	Wozo akaba mulangi wa bantu bane ba Isalele. 
MAT.2.7	Nu mukota Helode amanine Bantu ba Menge ku lumbisombiso, ababuzizie bune, Nkungu nkizi nunse zimuamuene ku lukenikeni? 
MAT.2.8	Abasingile ku Betelehema, abatendile bune, Endazi mutitibukizie musagu wa muana; nu gamuamumoneko, nti muavua kunsambalila, nunne lingo nti nende kumukumbamina. 
MAT.2.9	Gabongule kuiyuki lia mukota, bendile; nu lulo lukenikeni, lubamonagakulo kuntata kuku­basaga kisongo kia busi luendile luabusio luabo, aba nu galuabasile ga kiziki kiabezaga muana. 
MAT.2.10	Gabamonine ku lukenikeni, babo­gilebogile nunse. 
MAT.2.11	Nu beingide mu numba nu bamonine ku muana nu nina Malia; bakomine mazu gansi, nu bamukumbamine; bakanuine bikagi biabo, bamukasile nkaso, mikotola nu aliga nu bulago. 
MAT.2.12	Nu gabatondile Kalaga mu ndozi buno, Tamusubie ku Helode, basubizie ku kisi kiabo muengo nzila.
MAT.2.13	Nubo gabendile, mugenzi wa Mukota wabaside Yosefu mu ndozi, wamubuide bune, Yuka nu utole muana nu nina, nu utine ku Ezipeto, nu wikale kuko aba gankakubulilaga: kubuno Helode eku­londa kuita muana. 
MAT.2.14	Nu ayukile nu atolile muana nu nina mu kindi, nu endile mu Ezipeto; 
MAT.2.15	nu eikede kuko aba nu gakule Helode: bubo lizindilile liatendagua na Mukota ku mulengania, atendile bune, Namanine muana wane akumuke ku Ezipeto. 
MAT.2.16	Gamenyine Helode buno Bantu ba Menge bamunyega nu ongilue nunse, asingile bantu, nu beitile bana bamulume bansania babezaga mu Betelehema, nu mu ndenge insania za muino, ba miaka ibili nu bango beki bana bato, kutukila ku busi buamusambalide Bantu ba Menge. 
MAT.2.17	Buno lizindilile liatendagua na mulengania Yehemia bune,
MAT.2.18	Iyuki liungulue mu Lama, idilo nu kasina kanene,
MAT.2.18	Lahele akulilila bana bage;
MAT.2.18	Nuwe ntatundile kubibibua, kubuno bana bage tabeligo. 
MAT.2.19	Gakule Helode, mugenzi wa Mukota wabaside Yosefu mu ndozi ku Ezipeto, amutendile bune, 
MAT.2.20	Yuka nu tola muana nu nina, nu wende ku kisi kia Isalele: kubuno babo batundaga kuita muana bakua. 
MAT.2.21	Nu ayukile nu atolile muana nu nina, nu babasile mu kisi kia Isalele. 
MAT.2.22	Tondo gongule buno, Alukelao angata ku Yudaya mu kiziki kia isi Helode, akule boba kuenda kuko; nu gamutondile Kalaga mu ndozi, endile mu ndenge za Galela, 
MAT.2.23	nu abasile nu eikeide mu muino wamanagua buno Nazaleta; bubo lizindilile liatendagua na balengania bune, Akamanua mu Nazaleta. 
MAT.3.1	Mu bindi bibio Yoana Mubatizi abasile, asambalide bantu mu kalula ka Yudaya bune, 
MAT.3.2	Iyaniazi; kubuno bukota bua meigulu buse buigi. 
MAT.3.3	Kubuno wozo watendagua na mulengania Yesaya bune,
MAT.3.3	Iyuki lia muntu likulalukaga mu kalula bune,
MAT.3.3	Kungazi nzila za Mukota,
MAT.3.3	Isiazi matingilo mage. 
MAT.3.4	Nuwe Yoana abezaga na nsulu za mioza za ngamia, nu mukoma wa kikoba mu kibunda kiage; nu idia liage liabezaga nzige nu buki bua mulubanda. 
MAT.3.5	Nu bamuendeide bansania ba Yelusalema, nu ba Yudaya, nu bansania ba ndenge insania za buigi na Yadene; 
MAT.3.6	nu babatizizibue nage mu luuzi lua Yadene, beigongaga misako za buagi buabo. 
MAT.3.7	Aba gamonine ku baFalese beingi nu Basadoke bavule kubatizibua nage, ababuide bune, Inyue kikanga kia mpoma, nazi wamutendile buno, mutine bongoa bukavua? 
MAT.3.8	Kolamazi biguma biatananina kuiyania: 
MAT.3.9	nu tamukengele mubenyene bune, Tuli na tateisue Abalahama; kubuno nikumutenda bune, Kalaga anavuama kubasizia Abalahama bana mu makozi mamano. 
MAT.3.10	Nu kano kaluma isaga liabikua gansi na miti: nu muti na muti utako­lama biguma bisoga nti wasesue, nu nti weisoa mu keiya. 
MAT.3.11	Lebe­lebe nkumubatizia na mazi ku kabamba ka kuiyania: tondo we ukavua kumbusa kuane antinga, nsiatananina kueka bisalapata biage: wozo akamubatizia na Muuza Wasililila nu na keiya: 
MAT.3.12	lueli luage luli mu kuboko kuage, nuwe akengia mulungu wage nunse, nuwe akakundamania mumpunge wage mu kigenge kiage, tondo akagisia mpepa mu keiya katakuzimaga.
MAT.3.13	Gatukile Yesu ku Galela, avule ku luuzi lua Yadene ku Yoana, buno abatizibue nage. 
MAT.3.14	Tondo Yoana ananine, atendile bune, Nne nikuiyanina kubatizibua nobe, tondo wavua kundi? 
MAT.3.15	Tondo Yesu amuakuide bune, Ziga tugu bubo: kubuno bubo buatutananina kuzindilizia kuisanana kunsania. Nu amuzigile. 
MAT.3.16	Gamubati­zizie, kazanga kongo Yesu atukile mu mazi: nu kazanga kongo meigulu mamulimbukide, nu amonine ku Muuza wa Kalaga eku­kumba anga nkulimba, nu amugelede; 
MAT.3.17	nu kazanga kongo, iyuki liatukile mu meigulu, liatendile bune, Wono eli Muana wane, u Ngoli zane, nakomana nage.
MAT.4.1	Tondo Yesu asondelezizibue na Muuza mu kalula buno alindi­kue na Liabo, u Satana. 
MAT.4.2	Eiyombekile bindi makumi manazi, ntalia musi nu kindi, kusila kua bubo akule na nzala. 
MAT.4.3	Nu muli­ndiki avule nu amutendile bune, Ndi uwe u Muana wa Kalaga, kakizia makozi mamano mabe kampampa. 
MAT.4.4	Nuwe amuakuide bune, Buasanzilue, muntu ntanalama na kampampa tugu, umpanga neidagi linsania likutuka mu kanua ka Kalaga.
MAT.4.5	Nu wozo Liabo, u Satana, amusondelezizie ku muino wasuagibua nu amuemanizie gantata ga mutondo wa numba nnene za kukumbamina, 
MAT.4.6	nu amubuide bune, Ndi uwe u Muana wa Kalaga, iyise gansi: kubuno buasanzilue bune,
MAT.4.6	Akakizie migenzi zage zikulange:
MAT.4.6	nu, Mu maboko mabo bakueke,
MAT.4.6	Unavua kukikitanua kugulu kuobe kuikozi.
MAT.4.7	Nu Yesu amubuide bune, Buasanzilue lingo bune, Ntulindike Mukota Kalaga wobe.
MAT.4.8	Nu lingo, wozo Liabo, u Satana, endile nage ku muiduko wasakama nunse, nu amulolesizie makota mansania ma kisi, nu malebo mamo; 
MAT.4.9	nu amubuide bune, Bibino binsania nakukase, ndi wankumbamina. 
MAT.4.10	Nu Yesu amubuide bune, Tuka Satana: kubuno buasanzilue bune, Kumbamina Mukota Kalaga wobe, nu nti wamukitila wenyene. 
MAT.4.11	Nu Liabo, u Satana, amu­sigile: nu migenzi za Kalaga zavule, zamukitide.
MAT.4.12	Gongule Yesu musagu buno, Yoana akandua, endile ku Galela; 
MAT.4.13	nu atukile ku Nazaleta, nu avule kuikala ku Kapenuma, uliko buigi na kiziba, mu miaga za Zebulona nu Nafatale: 
MAT.4.14	bubo lizindilile liatendagua na mulengania Yesaya bune,
MAT.4.15	Kisi kia Zebulona nu kisi kia Nafatale,
MAT.4.15	Nzila za mu ntungo na kiziba, lisilia lia Yadene,
MAT.4.15	Galela za baBilongo,
MAT.4.16	Bantu babezaga mu kapilo bamonine ku kiengi kinene,
MAT.4.16	Nubo beikalaga mu kisi kia kilimelime kia lukuo.
MAT.4.16	Kiengi kiababaside. 
MAT.4.17	Kutukila nkungu zezo Yesu alingile kusambala, nu kutenda bune, Iyaniazi; kubuno bukota bua meigulu buse buigi.
MAT.4.18	Nu gatabangaga mu ntungo mua kiziba kia Galela, amonine ku bantu babili ba muto neiselenzi, Simona wamanagua buno Petelo, nu muto wage Andele, beisaga kakila mu kiziba; kubuno babezaga bazubi. 
MAT.4.19	Ababuide bune, Nyangazi, nu namubike buno mube bazubi ba bantu. 
MAT.4.20	Nu kazanga kongo basigile tukila, nu bamuyangile. 
MAT.4.21	Nu gabede esalombozia, amonine ku bango bantu babili ba muto neiselenzi, Yakobo muana wa Zebedayo, nu muto wage Yoana, babezaga mu buato neisibo Zebedayo, balandaga tukila tuabo; nu abamanine. 
MAT.4.22	Nu kazanga kongo basigile isibo na buato, nu bamuyangile.
MAT.4.23	Nu Yesu endile kunsania ku Galela, eigisagia mu numba zabo za musanganano, nu abasambalide musagu musoga wa bukota, nu onezie nsambo za nkita na nkita za bantu. 
MAT.4.24	Nu lukumu luage luasambedue mu ndenge insania za Sulia; nu bamuvuilide na ba­sambi bansania, nu bansania bateikosagia na nsambo za nkita na nkita, nu babezaga na basumbu, nu babezaga na lungu, nu boma maboko; nu abonezie. 
MAT.4.25	Nu misanganano za bantu beingi zamuyangile kutuka ku Galela, nu ku Dekapoli, nu ku Yelusalema, nu ku Yudaya nu ku lisilia lia Yadene.
MAT.5.1	Gamonine ku musanganano wa bantu, abakamine ku muiduko: nu geikede gansi, beigisibua bage bamuvuilide: 
MAT.5.2	nu gali­mbuide kanua kage, abeigisizie bune,
MAT.5.3	Mbogimbogi ku babo beli bazambi mu muuza wabo: kubuno bukota bua meigulu buli buabo.
MAT.5.4	Mbogimbogi ku babo beli na kabebe: kubuno bakabobelezibua.
MAT.5.5	Mbogimbogi ku babo babota; kubuno bakapiena kisi.
MAT.5.6	Mbogimbogi ku babo bekukua na nzala nu mpusia za kuisanana: kubuno babo bakeikuta.
MAT.5.7	Mbogimbogi ku babo bekukua kiombo; kubuno babo baka­kuilua kiombo.
MAT.5.8	Mbogimbogi ku babo beli na mutima wasuaga; kubuno babo bakamona ku Kalaga.
MAT.5.9	Mbogimbogi ku basungi; kubuno bakamanua bana ba Kalaga.
MAT.5.10	Mbogimbogi ku babo bababazizibue ku kabamba ka kuisanana: kubuno bukota bua meigulu buli buabo.
MAT.5.11	Mbogimbogi kumuli inyue bakalingua, nu kubabazibua, nu kuekua buza ku mulondo na mulondo mubi ku kabamba kane. 
MAT.5.12	Bogazibogazi nu mube na kielele: kubuno lukalilo lunene lueinyu lusoga luli muigulu: kubuno ububo bubababazagia balenga­nia balingaga kuba nti tamubutua.
MAT.5.13	Inyue muli munkange wa kisi; tondo ndi munkange taguli nse, unasuagibua na kikizi? Tagunasuaga lingo nunse, umpanga nti watebua kumbuga nu kunyantua na bantu. 
MAT.5.14	Inyue muli kiengi kia kisi. Muino tagunabisama ndi wobakua gantata ga muiduko. 
MAT.5.15	Aba bantu tabanagulumizia kasuku, nu kukabika kunsi kua luzi, tondo gantata ga kibikilo kia kasuku; nuko nti kakusania bansania beli mu numba. 
MAT.5.16	Bubo kiengi kienyu kisane ku bantu, bamone ku makitilo meinyu masoga, nu nti baganune Soeinyue uli muigulu.
MAT.5.17	Tamukengele buno, navule kubigia mulembe aba bulengania: nsiavule kubibigia, tondo kubizindilizia. 
MAT.5.18	Lebelebe, nkumubula bune, Igulu nu kisi bikazimina tondo keisanzo kamozi kakeke ka masanzo ma mulembe takakazimina aba mansania makazindilizibua. 
MAT.5.19	Muntu unsania ukakagulaga ikakizio limozi ku mamano nu kuigisia bango bantu bubo, akakegibua mu bukota bua meigulu: tondo ukamanzaga nu kuigisia bango bantu bubo, wozo akakutibua mu bukota bua meigulu. 
MAT.5.20	Kubuno nkumubula nunse, ndi kuisa­nana kueinyu takuatinga kuisanana kua basanzi nu baFalese, nti tamukeingila mu bukota bua meigulu.
MAT.5.21	Mungule buatendagua ku bantu ba wakalazi bune, Ntuite muntu; ukeitaga muntu nti akaba na katati ku lusungio: 
MAT.5.22	tondo nne nkumubula bune, Muntu unsania ukongelua mubuto wage akaba na katati ku lusungio; nu muntu unsania ukabula mubuto wage buno, kikongolo, akaba na katati mu luusu lua milondo; nu muntu unsania ukabulaga mubuto wage buno, Uwe u kioto, akaba na katati mu kiziba kia keiya. 
MAT.5.23	Umpanga, ndi usakasana lukaso ku kayulo, nu ndi wakengela buno, uli na mulondo na mubuto wobe, 
MAT.5.24	siga tanga lukaso ku kayulo, nu nti wenda ku mubuto wobe buno ugomie nage, nu nti wasubia kukasana lukaso luobe. 
MAT.5.25	Sasia kugomania na wakusomba nkungu ziguli nage mu nzila; wozo wakusomba anavua kukubasia ku ngatu, nu ngatu nti akubasia ku bakoloboyo, nu nti wakandua. 
MAT.5.26	Lebelebe, nkumubula bune, Ntukatuka nunse kuko ndi ntusila nsombi zobe insania.
MAT.5.27	Mungule buatendagua bune, Ntuite meiga: 
MAT.5.28	Tondo nne nkumubula bune, muntu unsania ukulola mukikulu na lutundo lua kumulimbia, nti asila kalazi kuita meiga mu mutima wage. 
MAT.5.29	Nu ndi liso liobe liakuinia mutima, nti walitikia, nu nti walisa bulazi nobe: wanulumba wazimina kiganza kimozi, kuteli mubili wobe unsania kuingila mu kiziba kia keiya katanakuzinda. 
MAT.5.30	Nu ndi kuboko kuobe kua seidume kuakuinia mutima, nti wakusesa, nu nti wakuisa bulazi nobe: wanulumba wazimina kiganza kimozi, kuteli mubili wobe unsania kuingila mu kiziba kia keiya katanakuzinda. 
MAT.5.31	Buatendilue lingo bune, Muntu unsania ukatikagia mukikulu wage nti amukasa mukanda wakuita isonga: 
MAT.5.32	Tondo nne nkumu­bula bune, Ndi wamulume atikia mukikulu wage, kuteli ku kabamba ka butazi, nti amubika muiti wa meiga nu unsania wasonga wozo watukibua nti eita meiga.
MAT.5.33	Lingo, mungule buatendagua ku bantu ba wakalazi buno, Ntulumbile kilumbilo kia buza tondo mukitile Mukota bilumbilo biobe binsania: 
MAT.5.34	tondo nne nkumubula bune, Tamulumbile nunse; aba kuigulu, kubuno igulu lili kisumbi kietangatanga lia Kalaga; 
MAT.5.35	aba ku kisi kubuno kisi ukibikilo kia magulu mage; aba nu ku Yelusalema, kubuno muino wozo uli wa Mukota Munene. 
MAT.5.36	Aba ntulumbile kuitoe liobe, kubuno ntunavuama kugalukia luzuili lumozi kuluengia aba kuluinia. 
MAT.5.37	Tondo kuitabizia kueinyu kube bune, E, nti, E, nu tobo nti, tobo; Iyuki liakutalika likutuka ku wozo mubi.
MAT.5.38	Mungule buatendagua bune, Liso, ku liso, nu linyo, ku linyo: 
MAT.5.39	tondo nne nkumubula bune, Tamuluane na muntu mubi: tondo ndi muntu akulibula lugizi kuitama lia seidume, nti wamu­timbulila lingo lia seikazi. 
MAT.5.40	Nuwe wakusongela, nu kutola nsulu zobe za kuntata, mukase ingo za kunsi. 
MAT.5.41	Nuwe ukakuenzia lugendo lua mutandi umozi, ku magala mage, wende nage lugendo lua mitandi ibili. 
MAT.5.42	Kasa wozo ukukusega, nu wozo ukukuambia ntumukase mugongo.
MAT.5.43	Mungule buatendagua bune, Tunda munyobe, nu somba wozo wakusomba: 
MAT.5.44	tondo nne nkumubula bune, Tundazi babo bamu­somba, nu segelazi babo bekumubabazagia; 
MAT.5.45	bubo muabe bana ba Soinyue uli muigulu: kubuno ekusanizia bantu babi nu bantu basoga kisongo kiage kia busi, nu ekulokezagia bantu beisanana nu bateisanana mbula. 
MAT.5.46	Ndi mukutunda bakumutundaga, mukaba na lukalilo lukizi? Bandelelombe ndi tabakukitaga bubo? 
MAT.5.47	Nu ndi mukusekela mibuto zeinyu tugu, nti unatinga bango bantu buni? Ndi baBilongo tabakukitaga nubo bubo? 
MAT.5.48	Umpanga mube basililila, anga buasililila Soinyue uli muigulu.
MAT.6.1	Nkumutonda buno kuisanana kueinyu takube ku bantu buno, mumenyue nabo; ndi muakita bubo tamuli na lukalilo lusoga ku Soinyue uli muigulu.
MAT.6.2	Kungua ukukita bantu mponga, ntuide monze, anga bukukita bengelezi ku numba za musanganano nu mu nzila, buno baganunue na bantu. Lebelebe nkumubula bune, Babo bakasilue lukalilo luabo. 
MAT.6.3	Tondo kungua ukukita bantu mponga, kuboko kuobe kua­seikazi takumenye bukukita kuboko kuobe kuaseidume; 
MAT.6.4	bubo ndi wakita bantu mponga zibe ku lumbisombiso, nu Soinyue uku­mona mu lumbisombiso nti akukase lukalilo lusoga.
