MAT.1.1	Niján jíri linébaanfaangu Jesucrístu le jádaangiñebei meja ladǘgawagun Davíd lúma Abrahám.
MAT.1.2	Abrahám lúguchibei Isáac, Isáac lúguchi Jacób, Jacób lúguchi Judá jáu lamúlenu, 
MAT.1.3	Judá lúguchi Fáres lúma Zára, Támar tugúya jáguchu, Fáres lúguchi Esróm, Esróm lúguchi Arám, 
MAT.1.4	Arám lúguchi Aminadáb, Aminadáb lúguchi Naasón, Naasón lúguchi Salmón, 
MAT.1.5	Salmón lúguchi Booz, Raháb lúguchu, Booz lúguchi Óbed, Rut lúguchu, Óbed lúguchi Isaí, 
MAT.1.6	Isaí lúguchi urúei Davíd, urúei Davíd túma tó meja lúmari Urías, jagía lagǘbürigubaña Salomón.
MAT.1.7	Salomón lúguchibei Roboám, Roboám lúguchi Abías, Abías lúguchi Ása, 
MAT.1.8	Ása lúguchi Josafát, Josafát lúguchi Jorám, Jorám lúguchi Uzías, 
MAT.1.9	Uzías lúguchi Jótam, Jótam lúguchi Ácaz, Ácaz lúguchi Ezequías, 
MAT.1.10	Ezequías lúguchi Manasés, Manasés lúguchi Amón, Amón lúguchi Josías, 
MAT.1.11	Josías lúguchi Jeconías jáu lamúlenu lídan dan le janáanwagunbei Israelítagu adáürawagua Babilónia.
MAT.1.12	Lárigiñe le, Jeconías lúguchibei Salatiél, Salatiél lúguchi Zorobabél, 
MAT.1.13	Zorobabél lúguchi Abiúd, Abiúd lúguchi Eliaquím, Eliaquím lúguchi Azór, 
MAT.1.14	Azór lúguchi Sadóc, Sadóc lúguchi Aquím, Aquím lúguchi Eliúd, 
MAT.1.15	Eliúd lúguchi Eleázar, Eleázar lúguchi Matán, Matán lúguchi Jacób, 
MAT.1.16	Jacób lúguchi José le túmari María, tugúyati lúguchuboun Jesúsu le gíribei Crístu.
MAT.1.17	Catoúrusuñanu lubeíti linébaanfaangu Jesúsu lúmagiñe Abrahám lúmoun Davíd, catoúrusu lúmagiñe Davíd lúmoun janáanwagúniwa Israelítagu Babilónioun, catoúrusu lúmagiñe dan ligía lúmoun lagǘriajoún Crístu.
MAT.1.18	Ítara líña ligáburi lagǘriajoún Jesucrístu. María to lúguchu, gadáraduñoun lúma José lun tamárieidun lúma, lubáragiñeti jaganoún jámagua, lubáragiñe lasúbudirunun quei wǘri, ába tadáriragun túngua láu dagáñu tíña lan láu lubáfu Sífiri Sándu. 
MAT.1.19	Quei ában lubeí wügǘri buídu tigáburi José le tadári, májati lasúbudirúniwa le asúseredubei tun María, busénrügüti lígirunun, míchugunga tidúnrun. 
MAT.1.20	Dan le niján lubeí arítagua luágu cátei le, ligía larúfudagun ában láni Wabúreme Búngiu ánjeli lúngua lun lídan luwénedi, ába laríñagun lun.
MAT.1.20	—José, ladǘgawagun Davíd, manúfudebá lun berésibirunun María queísi búmari, ladǘga irájü le lúnbei tagáraüduni, lúmagiñe Sífiri Sándu liábin. 
MAT.1.21	Tagáraüduba ában irájü, ábame bíchuguni líri Jesúsu. Ítara lúba líri ladǘga lasálbarubaña lan lumútuniña lídaangiñe jafígoun.
MAT.1.22	Lasúseredunbei sun cátei le lun lagúnfulirun dimúrei le laríñagubei Wabúreme Búngiu liyúmulugugiñe proféta.
MAT.1.23	Tadágeinaduba ában irájü, ábame tagáraüdun ában irájü, Emanuél, ligíaba líri,
MAT.1.23	líla íri ligía, “Búngiu wáma”.
MAT.1.24	Dan le lagágudunbei José lídaangiñe uwénedi ligía, ába ladǘgüni le lubeíbei ánjeli ligía lun, ába lerésibirunun María queísi lúmari, 
MAT.1.25	masúbudirúngaloún queísi wǘri darí tagǘriajani furúmiñeti tiraǘ, ába líchuguni líri Jesúsu.
MAT.2.1	Lídan fulásu le gíribei Belén, lumúanrugu Judéa, ñi lagǘriajoúa Jesúsu dán meja le Heródes lan urúeibei lídan jageíra juríu. Ábati jachǘlürün fiú wügǘriña chu táu ubúrugun Jerusalén lueígiñe oúbaü le ñígiñe lubeí laboúcha wéyu. 
MAT.2.2	Ába jálügüdajan.
MAT.2.2	—¿Jageísan jarúeite juríu le agǘriajoúbei? Aríja wamáaru luwáruguman le ñígiñe lubeí láfuara wéyu, wayábiñati lun wájuduragun lun.
MAT.2.3	Dan le lagáambuni urúei Heródes cátei le, ába medéraguagüdünjaali lan, jáu sun Jerusalénna. 
MAT.2.4	Ábati lagúarun joun sun jábutigu fádirigu lídan jafíñen juríu, jáma ja arúfudajabalin lilúrudun Moisés joun gürígia, ába lálügüdaguniña jalíabei lan libíti fulásu lagǘriajoúa Crístu. 
MAT.2.5	Ába jaríñagun lun.
