GEN.1.1	Lo yaþoodat Luwah ndah dørãg kï døning.
GEN.1.2	Døning to kari, nya gotot. Til ut ta hoolþe kï kokïþing, na Ndil Luwah ørr dõ dø mangt.
GEN.1.3	Luwah el an: Kï kunj tee Na kunj tee. 
GEN.1.4	Luwah oo kunj i kïmaj, ad Luwah gang kunj kï til nat. 
GEN.1.5	Luwah ndah tø kunj lokïkàda, na til lokïndø. Lokïkàda kï lokïndø i ndø kïdasa.
GEN.1.6	Luwah el an: Kï lokïtat i mbïna man'gt kad gang man nat kï man 
GEN.1.7	Luwah ða lokïtat gangïn man'g kï ton girr lokïtat't nat kï man'g în i dõ dø lokïtat't tø. Na nya 'nten kï ða nya titbe. 
GEN.1.8	Luwah ndah tø, lokïtat dørã. Lokïkàda kï lokïndø i ndø kïkõjoo.
GEN.1.9	Luwah el an: Kï man kï girr dørãt kï kaw kïnat lo kïða, kï lokïtut tee Na nya 'nten ða nya titbe. 
GEN.1.10	Luwah ndah tø lokïtut døning, man kï kaw kïnat ndah tøa bahbo. Luwah oo ad i nya kïmaj. 
GEN.1.11	Luwah el an: Kï døning þa mu kïmbool Kï mbikámg kï teen kï kumd Kï kagg teen kï kand'd kï kumd kïdangdang døningt Na nyan ten ða nya titbe. 
GEN.1.12	Døning þa mu kïmbool, kámg kï teen kumd kïdangdang, kagg teen kï kand'd kï kumd kïdangdang ho. Luwah oo i nya kïmaj. 
GEN.1.13	Lokïkàda kï lokïndø i ndø kïkõmïta.
GEN.1.14	Luwah el an: Kï kunjg in kam lot kï dørãt kïtøkad gangïn lokïkàda kï lokïndø nat, na kï in nyakøjg, kïtø dønahg kï kïtø ndøg kï þalg, 
GEN.1.15	na kï in kunjg kam lot kï dørãt kad unjïn døningt. Na nya 'nten ða nya titbe. 
GEN.1.16	Luwah ða kunj kïbobo joo, kunj kïbo kïtø kõþe dø lokïkàdat, na kunj kïdu kïtø kõþe dø lot kïndø, ða kïmëg tø. 
