MAT.1.1	LIOAR Sheeloghe Yeesey Creest, Mac Ghavid, Mac Abraham.
MAT.1.2	Hooar Abraham Isaac, as hooar Isaac Jacob, as hooar Jacob Judas as e vraaraghyn.
MAT.1.3	As hooar Judas Phares as Zarah rish Thamar, as hooar Phares Esrom, as hooar Esrom Aram.
MAT.1.4	As hooar Aram Aminadab, as hooar Aminadab Naasson, as hooar Naasson Salmon.
MAT.1.5	As hooar Salmon Booz rish Rachab, as hooar Booz Obed rish Ruth, as hooar Obed Jesse.
MAT.1.6	As hooar Jesse David yn Ree, as hooar David yn Ree Solomon ree‐ish ve’r ny ve Ben Urias.
MAT.1.7	As hooar Solomon Roboam, as hooar Roboam Abia, as hooar Abia Asa.
MAT.1.8	As hooar Asa Josaphat, as hooar Josaphat Joram, as hooar Joram Ozias.
MAT.1.9	As hooar Ozias Joatham, as hooar Joatham Achaz, as hooar Achaz Ezekias.
MAT.1.10	As hooar Ezekias Manasses, as hooar Manasses Amon, as hooar Amon Josias.
MAT.1.11	As hooar Josias Jechonias as e vraaraghyn, my‐geart y tra vad goit ersooyl nyn gappeeyn gys Babylon.
MAT.1.12	As ayns earish yn chappeeys ayns Babylon, hooar Jechonias Salathiel, as hooar Salathiel Zorobabel.
MAT.1.13	As hooar Zorobabel Abiud, as hooar Abiud Eliakim, as hooar Eliakim Azor.
MAT.1.14	As hooar Azor Sadoc, as hooar Sadoc Achim, as hooar Achim Eliud.
MAT.1.15	As hooar Eliud Eleazar, as hooar Eleazar Matthan, as hooar Matthan Jacob.
MAT.1.16	As hooar Jacob Joseph dooinneypoost Moirrey, jee ruggyr Yeesey, ta enmyssit Creest.
MAT.1.17	Myrshen ta ooilley ny Sheeloghyn veih Abraham gys David, kiare Sheeloghyn jeig; as veih David derrey’n chappeeys ayns Babylon, kiare Sheeloghyn jeig; as veih’n chappeeys ayns Babylon derrey Creest, kiare Sheeloghyn jeig.
MAT.1.18	¶ Nish va cheet er y teihl Yeesey Creest er yn aght shoh: Erreish da e Voir Moirrey ve poost rish Joseph, roish my daink ad dy vaghey covidjagh, va liannoo er ny gheddyn, dy ve aynjee, jeh’n Spyrryd Noo.
MAT.1.19	As va Joseph e Sheshey ny ghooinney Cairagh, as liorish dy row e nian‐vooiaght yn narey eck y insh magh, ghow e ayns laue Screwnyn‐scarree chur jee gy follit.
MAT.1.20	Agh choud as va ny reddyn shoh ayns e smooinaghtyn, cur‐my‐ner haink Ainle y Chiarn huggey ayns ashlish, gra, Yoseph Vac Ghavid, ny gow aggle Moirrey yn Ven ayd y ghoal, Son shen ter ny ye’ntyn ayn‐jee, te jeh’n Spyrryd Noo.
MAT.1.21	As ver ee Mac Son y teihl, as enmys‐ee oo yn ennym echey Yeesey; Son Sauee e ephobble veih nyn beccaghyn.
MAT.1.22	(Nish va ooilley shoh jeant, dy voddagh shen ve cooilleenit va’n Chiarn er loart liorish y Phadeyr, gra,
MAT.1.23	Cur‐my‐ner bee Liannoo eg Moidyn, as ver ee Mac son y teihl, as nee ad e y enmys Emmanuel, ta shen dy ghra, Jee marin)
MAT.1.24	Tra va Joseph eisht er nirree veih cadley, ren e myr va Ainle y Chiarn er noardagh da, as ghow e thie e Ven.
MAT.1.25	As cha row veg echey dy Yiannoo ree, derrey hug ee e chied Mac Son y teihl, as denmys e yn Ennym echey Yeesey.
