MAT.1.1	Quemënga imnamna Jesucristbe bëts taitanga: Jesucristna Rey David y Abrahámbents̈ana ents̈á inamna.
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Abraham yojamna Isaacbe taitá;
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Isaacna Jacobëbe taitá
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	y Jacob, Judá y chabe cats̈átangbe taitá.
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Judá, Fares y Zarabe taitá; y chatbe mamá Tamar yojamna;
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Fares Esrombe taitá
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	y mua Arambe taitá.
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Aram Aminadabëbe taitá;
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Aminadab Naasonbe taitá
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	y Naasón Salmonbe taitá.
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Salmón Boozbe taitá y muabe mamá Rahab yojamna;
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Booz Obedbe taitá y muabe mamá Rut yojamna;
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	y Obedna Isaíbe taitá.
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Isaí Rey Davidbe taitá;
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	David Salomonbe taitá y muabe mamá yojamna chë Uríasbe shema inamná.
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Salomón Roboambe taitá;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Roboam Abíasbe taitá
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	y Abíasna Asabe taitá;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Asa Josafatbe taitá;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Josafat Jorambe taitá
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	y Joramna Uzíasbe taitá.
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Uzías Jotambe taitá,
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Jotam Acazbe taitá
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	y Acazna Ezequíasbe taitá.
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Ezequías Manasesbe taitá;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Manasés Amonbe taitá
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	y Amón Josíasbe taitá.
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Josíasna Jeconías y chabe cats̈átangbe taitá yojamna.
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Chë Babilonioca ents̈anga chë israelitënga tmojánishëche y choca imojanëtámena ora, Josías chë básenga yojánabamna.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Ya Babilonioca ndutámenënga ora;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Jeconías Salatielbe taitá;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Salatiel Zorobabelbe taitá.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Zorobabel Abiudbe taitá;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Abiud Eliaquimbe taitá
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	y Eliaquimna Azorbe taitá.
