MAT.1.1	BONKANDA wa lioci ja Yesu Masiya, bona owa Dawidi, bona owa Abalayama. 
MAT.1.2	Abalayama aotaki Yisaka; ko Yisaka aotaki Yakoba; ko Yakoba aotaki Yuda l’atomolo’akande; 
MAT.1.3	ko Yuda aotaki Pelese la Zela, bana ba Tamala; ko Pelese aotaki Eselone; ko Eselone aotaki Lama; 
MAT.1.4	ko Lama aotaki Aminadaba; ko Aminadaba aotaki Nasona; ko Nasona aotaki Salomona; 
MAT.1.5	ko Salomona aotaki Boaza, bona owa Laba; ko Boaza aotaki Obede, bona owa Luta; ko Obede aotaki Yisai; 
MAT.1.6	ko Yisai aotaki Dawidi bokulaka owa roi.
MAT.1.6	Ko Dawidi aotaki Solomona, bona owa bomoto oki waji owa Uliya; 
MAT.1.7	ko Solomona aotaki Labama; ko Labama aotaki Abiya; ko Abiya aotaki Asa; 
MAT.1.8	ko Asa aotaki Yosapata; ko Yosapata aotaki Yolama; ko Yolama aotaki Uziya; 
MAT.1.9	ko Uziya aotaki Yotama; ko Yotama aotaki Aza; ko Aza aotaki Izikiya; 
MAT.1.10	ko Izikiya aotaki Manase; ko Manase aotaki Amona; ko Amona aotaki Yosiya; 
MAT.1.11	ko Yosiya aotaki Yekonya l’akune’akande nd’ekek’ek’iy’otombamaka nda Babela.
MAT.1.12	Nd’afeka, ak’iy’otombamaka nda Babela, Yekonya aotaki Salatiele; ko Salatiele aotaki Zelubabela; 
MAT.1.13	ko Zelubabela aotaki Abiuda; ko Abiuda aotaki Eliyakima; ko Eliyakima aotaki Azola; 
MAT.1.14	ko Azola aotaki Sadoka; ko Sadoka aotaki Akimi; ko Akimi aotaki Eliyuda; 
MAT.1.15	ko Eliyuda aotaki Eleazala; ko Eleazala aotaki Matana; ko Matana aotaki Yakoba; 
MAT.1.16	ko Yakoba aotaki Yosefa bome owa Malia, ootaki Yesu, otangema Masiya. 
MAT.1.17	Eleng’eko ndatsa Abalayama la Dawidi baoci jom la banei; ko ndatsa Dawidi Fekeke ek’iy’otombamaka nda Babela baoci jom la banei; koko ndatsa ekeke ek’iy’otombamaka nda Babela la Masiya baoci jom la banei.
MAT.1.18	Eotswelo eki Yesu Masiya eki ngone; aki nyango ekande Malia oandema la Yosefa, ataf’iy’oalana, aki la jemi la Bolimo w’olotsi. 
MAT.1.19	Koko Yosefa, bome’okande, aki bonto owa liongi, ko ntalanga ooky’ende nsoi l’esayenge, asangya oimol’ende la lokuko. 
MAT.1.20	Lolo aki’nd’okanela baoyi’ane, bala, ekima ea Yawe aolenya el’ende nda liloto, aokela, Yosefa, bona owa Dawidi, toangake wae okole Malia ayale waji’oke: ende aofoswa jemi la Bolimo w’olotsi. 
MAT.1.21	Ko ende ifoota bona owa jende, ko wifil’ende lina YESU: el’ende ifoikya banto’akande lim’aoyi’obe’akiyo. 
MAT.1.22	Baoyi’ane bauma baoliela wete baoyi baki Yawe osangaka la boteli bakelame, aokela,
MAT.1.23	Bala, bomoto otafoala jende ifofoswa jemi, ko ifoota bona owa jende,
MAT.1.23	Ko bifil’ende lina Imanwele;
MAT.1.23	lile wae Nzakomba ale l’iso. 
MAT.1.24	Yosefa aoetswa lim’ais’ilo, ko aokela ngoki ekima ea Yawe olakaka, ko aokola waji’okande: 
MAT.1.25	ko ntoal’ende, elaka nko aoota bona owa nsomi owa jende, ko aoloila lina YESU.
MAT.2.1	AKI Yesu ootswaka nda Beteleme ea Yudea nd’ekek’eki Elode bokulaka owa roi; bala, banto ba wanya baoya nda Yelusalema lima wiji wa Est. 
MAT.2.2	Bakela, Ende ootswaki bokulaka owa Ba-Yuda ale nko? Ek’is’enaka ioci ikande nda wiji wa Est, ko toy’omemy’ende. 
MAT.2.3	Aki Elode bokulaka owa roi ookaka ngoko, aokakaana, ende la basi Yelusalema bauma. 
MAT.2.4	Ko aotakanya nkanga ya joso iuma, la bakoci b’anto, ko aolauola wiji boe Masiya ootswa. 
MAT.2.5	Ko baolokela, Nda Beteleme ea Yudea: ele joi jokotama la boteli eleng’ene,
MAT.2.6	Ko we, Beteleme nd’ese ea Yuda,
MAT.2.6	Ofolekola bakulaka ba Yudea l’isisi;
MAT.2.6	Ele gouverneur ondesanya banto’akami Yisalaele
MAT.2.6	Ifoya lim’ele we.
MAT.2.7	Nkako Elode aoleta banto ba wanya la lokuko, ko aolauola jefa liki ioci oenyaka o nduola mongo. 
MAT.2.8	Koko aolatoma nda Beteleme, aokela, Locwa ouol’olotsi nd’eloko ea bona’oko, ko a iny’ootana, lonjele bosako wae nje omemy’ende. 
MAT.2.9	Ak’iy’okaka bokulaka owa roi, baocwa mboka ekiyo; ko bala, ioci ik’iy’oenaka nda wili wa Est iocwa nda joso likiyo, elaka nko iolemala nd’itenela iki bona, 
MAT.2.10	Ak’iy’oene ioci, baosalangana l’ekemo euke na. 
MAT.2.11	Ko baolotswa nd’ilombe, ko baolena bona la Malia nyango ekande; baokwa mbosama, ko baolomemya, baokomola baumba’akiyo, baolekya nganji el’ende ya wolo la falankinsensa la mula. 
MAT.2.12	Ko ak’iy’olakemaka la Nzakomba nda liloto wete bafut’eka Elode, baocwa nd’ese ekiyo mongo l’emo mboka.
MAT.2.13	Ak’iy’oimanaka, bala, ekima ea Yawe aoleny’ele Yosefa nda liloto, akela, Emala, kol’inkune ko la nyango ekande, ko lota nd’Ejipeto; yal’eko elaka nko nkosangele: ele Elode ifas’inkun’ine wae oome. 
MAT.2.14	Koko aolemala, aokola inkune ko la nyango ekande l’otso, ko aocwa nd’Ejipeto; 
MAT.2.15	aoyal’eko elaka nko iwa ya Elode: wete joi liki Yawe osangaka la boteli jiele, aokela, Ndetaki bona’okami lim’Ejipeto. 
MAT.2.16	Aki Elode oene wae banto ba wanya bolengola, aokama la nkele, aotom’anto, ko aooma bana b’aende baki nda Beteleme l’ese eko euma, banolu bakwa années be l’iy’atafokwa années ife bauma, eleng’ele ekeke eki’nde ouolaka banto ba wanya. 
MAT.2.17	Joi liki Yelemaya, owa boteli, osangaka joliela, aokela,
MAT.2.18	Lofoso lolokana nda Lama,
MAT.2.18	Lilelo ja mpisali la nkimo ya lilelo,
MAT.2.18	Laele aolela bana’akande la mpisali;
MAT.2.18	Ko ende ntalanga bolombwel’ende lokeseli, el’iyo bafa lenkin’eko.
MAT.2.19	Lolo aki Elode owaka, bala, ekima ea Yawe aoleny’ele Yosefa nda liloto nd’Ejipeto, 
MAT.2.20	akela, Emala, kola inkune ko la nyango ekande, ko uta nd’ese ea Yisalaele; ek’iyo bandasaki wae baom’inkun’ine baowa. 
MAT.2.21	Koko aolemala, aokol’inkune la nyango ekande, ko aoya nd’ese ea Yisalaele. 
MAT.2.22	Lolo aki’nd’ooke Alukelao aosulungana ise ekande Elode nda likulaka ja Yudea, ntacwa eko, eki’nd’oangaka; ko aolakema la Nzakomba nda liloto, aoleka nda wiji wa Ngalilaya, 
MAT.2.23	ko aoy’okit’ase nd’onanga botangema Nazaleta; wete joi liki boteli otefelaka jiele, aokela, Ende ifotangema bosi Nazaleta.
