MAT.1.1	Книга
MAT.1.2	Авраам го роди Исаака; Исаак го роди Јакова, а Јаков го роди Јуда и браќа му;
MAT.1.3	Јуда ги роди Фареса и Зара од Тамара; Фарес го роди Есрома, а Есром го роди Арама;
MAT.1.4	Арам го роди Аминадава; Аминадав го роди Наасона, а Наасон го роди Салмона;
MAT.1.5	Салмон го роди Вооза од Раав; Вооз го роди Овида со Рут, а Овид го роди Јесеја;
MAT.1.6	Јесеј го роди царот Давида, а царот Давид го роди Соломона, од Уриевата жена;
MAT.1.7	Соломон го роди Ровоама; Ровоам го роди Авија, а Авија го роди Аса;
MAT.1.8	Аса го роди Јосафата; Јосафат го роди Јорама, а Јорам го роди Озија;
MAT.1.9	Озија го роди Јоатама; Јоатам го роди Ахаза, а Ахаз го роди Езекија;
MAT.1.10	Езекија го роди Манасија; Манасија го роди Амона, а Амон го роди Јосија;
MAT.1.11	Јосија го роди Јоакима; Јоаким го роди Јехонија и браќа му – при преселувањето вавилонско.
MAT.1.12	А по вавилонското преселување, Јехонија го роди Салатиила, а Салатиил го роди Зоровавела;
MAT.1.13	Зоровавел го роди Авиуда; Авиуд го роди Елиакима, а Елиаким го роди Азора;
MAT.1.14	Азор го роди Садока; Садок го роди Ахима, а Ахим го роди Елиуда;
MAT.1.15	Елиуд го роди Елиазара; Елиазар го роди Матана, а Матан го роди Јакова;
MAT.1.16	Јаков го роди Јосифа, мажот на Марија, од која се роди Исус, наречен Христос.
MAT.1.17	И така, сите родови од Авраама до Давида се четиринаесет; и од Давида до вавилонското преселување се четиринаесет родови; и од преселувањето вавилонско до Христа се четиринаесет родови.
MAT.1.18	Араѓањето
MAT.1.19	А Јосиф, нејзиниот маж, бидејќи праведен, не сакаше да ја посрами и намисли тајно да ја отпушти.
MAT.1.20	Но, штом помисли така, ете, ангел Господов му се јави насон, велејќи: Јосифе, сине Давидов, не плаши се да ја примиш Марија, жената своја, зашто зачнатото во неа е од Светиот Дух;
MAT.1.21	Таа ќе роди Син и ќе Му ставиш име Исус, зашто Тој ќе го спаси Својот народ од неговите гревови.
MAT.1.22	А сето ова стана за да се исполни кажаното од Господа преку пророкот, кој вели:
MAT.1.23	„Ете, девица ќе зачне во утробата своја и ќе роди Син, и ќе Го наречат Емануил, што значи: со нас е Бог“.
MAT.1.24	Штом се разбуди Јосиф од сон, направи така како што му заповеда ангелот Господов и ја прими жената своја.
MAT.1.25	И не се доближи до неа додека таа не Го роди својот првороден Син и Го нарече Исус.
MAT.1.25	Крај на неделата, на утрената и на првиот час
MAT.2.1	Акога се роди
MAT.2.2	Каде е новородениот Цар Јудејски? Зашто ја видовме Неговата ѕвезда на Исток, па дојдовме да Му се поклониме.
MAT.2.3	Штом го чу тоа, царот Ирод се вознемири, и целиот Ерусалим со него.
MAT.2.4	И кога ги собра сите првосвештеници и книжници народни, ги прашуваше: – Каде ќе се роди Христос?
MAT.2.5	А тие му рекоа: – Во Витлеем Јудејски; зашто така е напишано преку пророкот:
MAT.2.6	„И ти, Витлееме, земјо Јудина, по ништо не си помал од Јудините владетелства; зашто од тебе ќе излезе водач што ќе го пасе Мојот народ Израилски“.
MAT.2.7	Тогаш Ирод тајно ги повика мудреците и дозна од нив за времето кога се појавила ѕвездата,
MAT.2.8	па, испраќајќи ги во Витлеем, рече: – Отидете, распрашајте добро за Младенецот; и штом ќе Го најдете, јавете ми, за да отидам и јас да Му се поклонам.
MAT.2.9	Тие, пак, откако го ислушаа царот, си заминаа. И ете, ѕвездата што ја беа виделе на исток врвеше пред нив, додека не пристигна и се запре над местото, каде што беше Младенецот.
MAT.2.10	А кога ја видоа ѕвездата, тие се зарадуваа со многу голема радост.
MAT.2.11	И влегоа во куќата, Го видоа Младенецот со мајка Му Марија, и паднаа, па Му се поклонија; а штом ги отворија своите ковчежиња, Му принесоа дарови: злато, ливан и смирна.
MAT.2.12	И кога примија во сон вест, да не се враќаат кај Ирода, си заминаа по друг пат, за својата земја.
MAT.2.12	Крај на литургијата и на шестиот час
MAT.2.13	А штом си отидоа тие,
MAT.2.14	И тој стана, Го зеде Младенецот и мајка Му ноќно време, па отиде во Египет.
MAT.2.15	И таму беше до смртта Иродова, за да се исполни реченото од Господа, преку пророкот, кој вели: „Од Египет Го повикав Мојот Син“.
MAT.2.16	Тогаш Ирод, кога виде дека е измамен од мудреците, се разгневи многу и испрати, та ги уби сите деца во Витлеем и по целата негова околија од две години и надолу, според времето што точно го беше дознал од мудреците.
MAT.2.17	Тогаш се исполни кажаното преку пророкот Јеремија, кој говори:
MAT.2.18	„Глас се слуша во Рама, плач и ридање, и пискот голем: Рахила плаче за своите деца и не сака да се утеши, зашто ги нема“.
MAT.2.19	А по смртта на Ирода, ете, ангел Господов му се јави насон на Јосифа, во Египет,
MAT.2.20	и му рече: – Стани, земи Го Младенецот и мајка Му, и отиди во земјата израилева, зашто изумреа оние што ја бараа душата на Младенецот.
MAT.2.21	Тој стана, Го зеде Младенецот и мајка Му, и дојдоа во земјата израилева.
MAT.2.22	Но, кога чу дека во Јудеја царува Архелај, место татка си Ирода, се исплаши да отиде таму; и, откако доби вест насон тој замина во пределите галилејски.
MAT.2.23	И кога пристигна, се насели во градот наречен Назарет, за да се исполни кажаното преку пророците дека ќе се нарече Назареец.
MAT.2.23	Крај на неделата на Младенци и на деветтиот час
MAT.3.1	Во тие дни
MAT.3.2	и говореше: – Покајте се, зашто се приближи царството небесно!
MAT.3.3	Оти, овој е за кого рекол пророкот Исаија, велејќи: „Гласот на оној што вика во пустината: – Подгответе го патот Господов и исправете ги патеките Негови“.
MAT.3.4	А самиот Јован имаше облека од камилски влакна и појас од кожа околу половината своја, а храната му се состоеше од скакулци и див мед.
MAT.3.5	Тогаш, од Ерусалим и цела Јудеја и од целиот крај јордански доаѓаа при него
MAT.3.6	и се крштеваа од него во Јордан, исповедувајќи ги своите гревови.
MAT.3.7	А штом виде Јован дека при него идат мнозина фарисеи и садукеи, за да се крстат, им рече: – Породи змиини, кој ви кажа да бегате од гневот што иде?
MAT.3.8	Направете, пак, плод достоен за покајание
MAT.3.9	и немојте да говорите во себе: Наш татко е Авраам, зашто Бог може, ви велам, и од овие камења да издигне чеда на Авраама,
MAT.3.10	и секирата лежи веќе при коренот од дрвото: зашто секое дрво што не дава добар плод се сече и се фрла во оган.
MAT.3.11	Јас ве крштевам со вода за покајание, но Оној што иде по мене е посилен од мене; јас не сум достоен да Му ги понесам ни обувките; Он ќе ве крсти со Дух Свети и со оган.
MAT.3.11	Крај на саботата и на првиот час
MAT.3.12	Лопатата е во рацете Негови и Тој ќе го очисти гумното Свое и ќе Си го прибере житото во амбар, а плевата ќе ја изгори со оган што не гасне.
MAT.3.13	Тогаш
MAT.3.14	А Јован Го запираше, говорејќи: – Јас треба од Тебе да бидам крстен, а Ти при мене ли идеш?
MAT.3.15	Но Исус му одговори и рече: – Остави го сега тоа, зашто нам ни претстои да ја исполниме секоја правда. Тогаш Го остави.
MAT.3.16	И штом се крсти, Исус веднаш излезе од водата и Му се отворија небесата, и Го виде Духот Божји да слегува како гулаб и да се спушта над Него.
