MAT.1.1	Gittaabooda rooproobanga Yeesu Gristo, balleanda Dawdi, balleanda Abrahaamu. 
MAT.1.2	Abrahaamu gwajiilu Isakka, Isakka gwajiilu Yakkobo, Yakkobo gwajiilu Yuuda ea oorjooga ghaamwat. 
MAT.1.3	Yuuda gwajiilu Bereesi ea Seera nea ghaamwat ea Damaari, Bereesi gwajiilu Hesroon. Hesroon gwajiilu Araamu, 
MAT.1.4	Araamu gwajiilu Aminadabu, Aminadabu gwajiilu Nashooni, Nashooni gwajiilu Salmoon, 
MAT.1.5	Salmoon gwajiilu Boas nea ghaamwat ea Rahaabu, Boas gwajiilu Obeedi nea ghaamwat ea Rutti, Obeedi gwajiilu Yeese, 
MAT.1.6	Nea Yeese gwajiilu sugoochcheanda was Dawdi. Dawdi gwajiilu Sulemaani nea gheamatta ea gatmooda Uriya gil, 
MAT.1.7	Sulemaani gwajiilu Rehoboamu, Rehoboamu gwajiilu Abiya, Abiya gwajiilu Asa, 
MAT.1.8	Asa gwajiilu Yehoshafatti, Yehoshafatti gwajiilu Yoraam, Yoraam gwajiilu Usiya, 
MAT.1.9	Usiya gwajiilu Yottam, Yottam gwajiilu Ahaasi, Ahaasi gwajiilu Hesekiya, 
MAT.1.10	Hesekiya gwajiilu Manaase, Manaase gwajiilu Amooni, Amooni gwajiilu Yosiya, 
MAT.1.11	Yosiya gwajiilu Yekoniya ea oorjooga ghaamwat, nii damanda ghayi abeeda siipaleaga fuga Yahuudi gaweay ng'eanyiida Baabiloon gil. 
MAT.1.12	Ing'atta gibaleakta buuneeda weay Baabiloon gwajiilu Yekoniya Shaltieli, Shaltieli gwajiilu Serubabeeli, 
MAT.1.13	Serubabeeli gwajiilu Abihuudi, Abihuudi gwajiilu Eliyakkiimu, Eliyakkiimu gwajiilu Asoori, 
MAT.1.14	Asoori gwajiilu Sadokki, Sadokki gwajiilu Akkimu, Akkimu gwajiilu Eliyuudi, 
MAT.1.15	Eliyuudi gwajiilu Eliyasaari, Eliyasaari gwajiilu Mattani, Mattani gwajiilu Yakkobo, 
MAT.1.16	Yakkobo gwajiilu Yoseefu siyeeda Mariya was gheamatta Yeesuuyda suguura Gristo. 
MAT.1.17	Asi jeachcheenga sean ng'eada Abraahamu ea ghwahitta Dawdi ea damanang'wan, ghang'eada Dawdi ea ghwahitta gibaleaktida bea Babilooniin jeachcheenga ea damana ang'wan, nea gidang'eada gibaleaktida bea Babilooniin ea ghwahitta Gristo jeachcheenga ea damana ang'wan.
MAT.1.18	Jeatta siji Yeesu Gristo ghayi gwasnu. Mariyaayda was ghaamwat damanda duu gonnyearra Yoseefu, damanda mii ghabeawa heedean geadaah nea gweayiideat aba uurda Gurorooda Ghaydit; 
MAT.1.19	iiduw Yoseefooda was siyeadaannyi aba gideaba niny siida doabiwaat gil ea magassa gideaba gayghoabwaspwas hean gagasa gwanung'usa heeda nea ghoahudaada. 
MAT.1.20	Iiduw nea gudugoottemsheesa ng'asheanji ghwahidu headaannyi Malaykajeanda Ng'uttamiida aba jeeda girgweatka ak gwayeeshsha, “Yoseefu, balleanda Dawdi, adibeali ea nung'waada gheenda Mariya ghoaw gatmoadang'u, aba gideaba gweayumeani iittaannyiin ghwanyas aba uurda Gurorooda Ghaydit. 
MAT.1.21	Gaygwaji balleanda ak gayguureewana ghawungaaschi Yeesu, aba gideaba niny gaygwalealu buuneadaannyi aba jeeda riing'eega nyaawa.” 
MAT.1.22	Ghwahitu ng'asheesu seanin goomajeek ng'asheanda Ng'uttamiida rukuna ghuutta sibaneeda nea gwayi:
MAT.1.23	“Ng'ulla gaygagweayiit huda miyeasat
MAT.1.23	ak gaygwaji balleanda,
MAT.1.23	ak gajeeguura gheawungaaschi Imanuweeli”
MAT.1.23	(nea gideaba, Aseetta sindeayeewi). 
MAT.1.24	Ing'atta nea ghang'eada Yoseefu ruweanga gwasinda baloolda girrukusiinda malaykajeanda Ng'uttamiida; ak ghwaat gatmoadannyi, 
MAT.1.25	ea mawa heeda ea gwaji balleanda; ak gaguura gheawungaaschi Yeesu.
MAT.2.1	Damanda sijiila Yeesu aba Betleheemooda Yudeeya, damanda waseewa Herode sugoochcheanda. Ng'ulla, ghwahidu Yerusaleemu weaghoodiga leabu heeda ghayeawa nea gwayi, 
MAT.2.2	“Gwanda yeenu jeepta siji was sugoochcheanda Yahuudi? Aba gideaba geadeaksi ming'weandaannyi heeda ghayeawa, ak geapkannyi eaghadoawana.” 
MAT.2.3	Iiy sugoochcheanda siyi Heroode ng'asheesu, gwahirbaban sea Yerusaleemossean. 
MAT.2.4	Gaguursa ashoohoodiga hees sean ea ng'oorshoodiga buuneeda ak ghoanyaash heeda jea eejiilsa Gristo. 
MAT.2.5	Geeyeeshsha, “Yeeda Betlehemooda Yudeeya aba gideaba gidaghayi ng'waarda sibaneeda,
MAT.2.6	‘Nea ang'iing'i, Ea Betlehemooda ng'eanyiida Yuuda,
MAT.2.6	ang'iing'i muwosi mwanang'eawa eara hay sugoodiga ng'eanyiida Yuuda;
MAT.2.6	aba gideaba headaang'u gaygwarinna sugoochcheanda,
MAT.2.6	jea ghoahaghwa buneedeanyu was Israeeli.’”
MAT.2.7	Gaguursa Heroode aba makcheameeda weaghoodigiga ak ghoanyash damanda daaha ming'weandideani; 
MAT.2.8	ak goojeakta Betleheemu nea gwayeeshsha, “Aweayeena ak ghoonnyaashti muuchchi iitta jeepta, ama oanyaschi gooyeannean iitta, abeeda gaydawa eara aniini daghadoawan.” 
MAT.2.9	Hean iiy ng'asheega sugoochcheanda ghwang'waay naweeda; asi ng'ulla, miing'weandida sideaksa heeda ghayeawan, goosheedeawa ea gawa ghaminaadawa deascheeda mida jeepta. 
MAT.2.10	Idaah fukka ming'weandida gang'weela ng'weellooda haw muuchchi. 
MAT.2.11	Weay gah ghwadaa jeepta ea Mariyaayda was ghaamwat ak goobeedeay ak ghaghadoawan. Ng'atta, goottin shageeniga nyaawa ak ghoadaw haleanjeeda miyas, was lagheanga meengmeeng'i ea hideeni ng'andit ea bureatta. 
MAT.2.12	Iiduw nea sireekusa aba jeeda girgweatka eamabiiksiina Heroode, ghwala nawa nuut ak gaweay ng'eang'da nyaawa.
MAT.2.13	Ing'atta nea nuweay fukka, ng'ulla ghwahidu heeda Yoseefu Malaykajeanda Ng'uttamiida aba jeeda girgweatka ak gwayeeshsha, “Ng'eada ak giyaadi jeepta ea ghaamwat, amng'awsiina Misri, ak gooppiidi hoowa ea darukuneey, aba gideaba gagasa Herode gwanuus jeepta.” 
MAT.2.14	Ghang'eat ak ghwaat jeepta sea ghaamwat eawa, ak gawa Misri, 
