MAT.1.1	Ибрагьимил наслуялъул Давудил кьибилалъул вас Гӏиса Масихӏил умумузул цӏаразул рахас гьадинаб буго:
MAT.1.2	Ибрагьимие гьавуна Исхӏакъ, Исхӏакъие гьавуна Якъуб, Якъубие гьаруна Ягьуда ва гьесул вацал. 
MAT.1.3	Ягьудае Тамарица гьаруна Перецги Зараги, Перецие гьавуна Хӏецрон, Хӏецроние гьавуна Рам, 
MAT.1.4	Рамие гьавуна Гӏаминадаб, Гӏаминадабие гьавуна Нахӏшон, Нахӏшоние гьавуна Шалмон, 
MAT.1.5	Шалмоние Рагьабица гьавуна Богӏаз, Богӏазие Рутица гьавуна Йобед, Йобедие гьавуна Йишай, 
MAT.1.6	Йишаие гьавуна парччахӏ Давуд.
MAT.1.6	Уриял йикӏарай чӏужуялъ парччахӏ Давудие гьавуна Сулайман; 
MAT.1.7	Сулаймание гьавуна Регьобоам, Регьобоамие гьавуна Абиягь, Абиягьие гьавуна Аса; 
MAT.1.8	Асае гьавуна Иегьошапат, Иегьошапатие гьавуна Иегьорам, Иегьорамие гьавуна Уззия; 
MAT.1.9	Уззияе гьавуна Иотам, Иотамие гьавуна Агьаз, Агьазие гьавуна Гьезекиягь; 
MAT.1.10	Гьезекиягьие гьавуна Манассегь, Манассегьие гьавуна Амос, Амосие гьавуна Иосиягь; 
MAT.1.11	жугьутӏал Вавилоналде гочинарилалде Иосиягьие гьаруна Йехониягь ва гьесул вацал;
MAT.1.12	Вавилоналде гочун хадув Йехониягьие гьавуна Шеалтиэл, Шеалтиэлие гьавуна Зеруббабел, 
MAT.1.13	Зеруббабелие гьавуна Абиуд, Абиудие гьавуна Элиаким; Элиакимие гьавуна Азор; 
MAT.1.14	Азорие гьавуна Садок, Садокие гьавуна Ахим, Ахимие гьавуна Элиуд; 
MAT.1.15	Элиудие гьавуна Элиазар, Элиазарие гьавуна Маттан, Маттание гьавуна Якъуб; 
MAT.1.16	Якъубие гьавуна жинда Масихӏилан цӏар лъурав Гӏисал эбелалъул – Марямил – рос Юсуп.
MAT.1.17	Гьедин Ибрагьимидасан Давудиде щвезегӏан анцӏила ункъо наслу лъугьана; Давудидасан байбихьун жугьутӏал Вавилоналде гочинаризегӏанги лъугьана анцӏила ункъо наслу; Вавилоналде гочараб заманалдаса Масихӏиде щвезегӏанги лъугьана гьебго анцӏила ункъо наслу.
MAT.1.18	Гӏиса Масихӏ дуниялалде вачӏин гьадин ккана: гьесул эбел Марям йикӏана Юсупие абурай яс; амма гьес гьей ячиналдего Аллагьасул Илагьияб Рухӏалдалъун гьелъул ургьибе лъимер ккун букӏин лъана. 
MAT.1.19	Гьелъул абурав Юсупица, яхӏ-намус бугев чи вукӏиндал, хӏукму гьабуна гьей халкъалда суризе бокьичӏого, балъгого гьелъулгун ригьин хвезабизе. 
MAT.1.20	Гьединаб пикруялда гьев вукӏаго, макьилъ тӏаде вачӏун Бичасул малаикас абуна:
MAT.1.20	– Я, Давудил наслуялъул вас Юсуп! Марям лъадилъун ячине мун хӏинкъуге. Гьелъул ургьибе ккараб лъимер Аллагьасул Илагьияб Рухӏалдалъун букӏин лъай дуда. 
MAT.1.21	Гьелъ дуе вас гьавила; Гӏисаян цӏарги лъезе ккола дуца гьесда, гьес жиндирго халкъ мунагьаздаса хвасар гьабизе бугелъул
MAT.1.22	Гьеб кинабго ккана цо аварагасда Аллагьас абураб гьадинаб калима ритӏухълъизе: 
MAT.1.23	«Гьале ясгӏаданалъул ургьибе лъимер ккела ва гьелъ вас гьавила. Гьесда цӏарги лъела Имануэл». (Гьелъул магӏна ккола «Аллагь нилъгун вуго» абураб.)
MAT.1.24	Гьале Юсуп макьидаса вигьана, Бичасул малаикас абураб гьабун, жиндирго бахӏарайги рокъое ячана. 
MAT.1.25	Амма гьелъ вас гьавизегӏан, аскӏов вегун, гьелда квер хъвачӏо Юсупица. Васасда цӏарги Гӏиса абун лъуна.
MAT.2.1	Ягьудиялъул Бетлегьем шагьаралда Гӏиса гьавуна Гьерод ханлъун вугеб заманалда. Гьебмехалъ бакъбаккул рахъалдасан Иерусалималде рачӏана цӏвабзазул гӏелму лъалел гӏадамал. Гьез абуна:
MAT.2.2	– Жугьутӏазул Парччахӏлъун вукӏине гьавурав дов вас кив вугев? Зобалазул бакъбаккул рахъалда баккун бихьана нижеда гьев гьавунилан бицунеб цӏва. Гьесие сужда гьабизе рачӏун руго ниж.
MAT.2.3	Гьерод ханги, гьесдаго цадахъ Иерусалималъул тӏолабго халкъги бихха-хочун лъугьана гьеб хабар рагӏидал. 
MAT.2.4	Гьеб халкъалъул киналго чӏахӏиял кашишзабиги диниял гӏалимзабиги данде ракӏарун, Гьеродица гьезда гьикъана Масихӏилан абулев парччахӏ кив гьавизе кколевилан. 
MAT.2.5	Гьез абуна Масихӏ Ягьудиялъул Бетлегьем шагьаралда гьавизе кколилан, цо аварагас Аллагьасул калима гьадин хъван бугилан: 
