GEN.1.1	Pakutaŋga Mŋari wakasika ɗeŋga nenyika. 
GEN.1.2	Nyika yakaŋga isina-kugadzirwa, isinecinhu; rima rakaŋga riri’po pamsoro 
GEN.1.3	Mŋari akati: Ciedza ŋgaciʋe’po, ciedza cikaʋa’po. 
GEN.1.4	Mŋari akaʋona ciedza, kuti cakanaka; Mŋari akaparadzanisa ciedza nerima. 
GEN.1.5	Mŋari akatumidza ciedza, akati Masikati, nerima akaritumidza, akati Ʋusiku. Maɗeko akaʋa’po, namaŋgwanani akaʋa’po, zuʋa rimŋe.
GEN.1.6	Mŋari akati: Nɀimbo ŋgaiʋe’po pakati pemvura, kuti iparadzanise mvura nemvura. 
GEN.1.7	Mŋari akaita nɀimbo; akaparadzanisa mvura yakaŋga iri pasi penɀimbo, nemvura yakaŋga iri pamsoro penɀimbo; ɀikaita saiɀoɀo. 
GEN.1.8	Mŋari akatumidza nɀimbo, akati Ƌeŋga. Maɗeko akaʋa’po, namaŋgwanani akaʋa’po, zuʋa repiri.
GEN.1.9	Mŋari akati: Mvura iri pasi peɗeŋga ŋgaiʋuŋgane pamŋe cete, kuti pasi pakawoma paʋonekwe; ɀikaita saiɀoɀo. 
GEN.1.10	Mŋari akatumidza pasi pakawoma, akati Nyika; nemvura yakaʋuŋgana akaitumidza, akati Makuŋgwa; Mŋari akaʋona kuti ɀakanaka. 
GEN.1.11	Mŋari akati: Nyika ŋgaimerese ʋuswa nemiriʋo inoɓereka mbeu, nemiti inoɓereka micero inamarudzi ayo, mbeu dzayo dziri mukati mayo, panyika; ɀikaita saiɀoɀo. 
GEN.1.12	Nyika ikameresa ʋuswa, nemiriʋo inoɓereka mbeu dzinamarudzi adzo, nemiti inoɓereka micero, mbeu dzayo dziri mukati mayo, inamarudzi ayo; Mŋari akaʋona kuti ɀakanaka. 
GEN.1.13	Maɗeko akaʋa’po, namaŋgwanani akaʋa’po, zuʋa retatu.
GEN.1.14	Mŋari akati: Ɀiedza ŋgaɀiʋe’po panɀimbo yeɗeŋga, kuti ɀiparadzanise masikati noʋusiku; kuti ɀiʋe ɀiratidzo, nenguʋa, namazuʋa, namakore; 
GEN.1.15	ŋgaɀiʋe ɀiedza panɀimbo yeɗeŋga, kuti ɀivenekere panyika; ɀikaita saiɀoɀo. 
GEN.1.16	Mŋari akaita ɀiedza ɀikuru ɀiʋiri; ciedza cikuru kuti ciɓate ʋushe masikati, neciedza ciɗuku, kuti ciɓate ʋushe ʋusiku, nenyeredzi ʋo. 
GEN.1.17	Mŋari akaɀiisa pasi penɀimbo yeɗeŋga, kuti ɀivenekere panyika, 
GEN.1.18	ɀiɓate ʋushe masikati noʋusiku, nokuparadzanisa ciedza nerima; Mŋari akaʋona kuti ɀakanaka. 
GEN.1.19	Maɗeko akaʋa’po, namaŋgwanani akaʋa’po, zuʋa recinna.
GEN.1.20	Mŋari akati: Mvura ŋgaizare neɀipenyu ɀizhinji, neshiri dzibururuke pamsoro penyika munɀimbo yeɗeŋga. 
GEN.1.21	Mŋari akasika mhuka huru dzeguŋgwa, neɀipenyu ɀose ɀinokambaira, iɀo mvura yakaŋga izere naɀo, ɀinamarudzi aɀo, neshiri dzose dzinamapapiro, dzinamarudzi adzo; Mŋari akaʋona kuti ɀakanaka. 
GEN.1.22	Mŋari akaɀiropafadza, akati: Ƃerekai, muwande, muzadze mvura iri mumakuŋgwa; neshiri ŋgadziwande panyika. 
GEN.1.23	Maɗeko akaʋa’po, namaŋgwanani akaʋa’po, zuʋa reshanu.
GEN.1.24	Mŋari akati: Nyika ŋgaiɓereke ɀipenyu ɀinamarudzi aɀo, neɀipfuwo, neɀinokambaira, nemhuka dzenyika, ɀinamarudzi aɀo; ɀikaita saiɀoɀo. 
GEN.1.25	Mŋari akaita mhuka dzenyika dzinamarudzi adzo, neɀipfuwo ɀinamarudzi aɀo, neɀinhu ɀose ɀinokambaira panyika ɀinamarudzi aɀo; Mŋari akaʋona kuti ɀakanaka. 
GEN.1.26	Mŋari akati: Ŋgatiite munhu nomufananidzo weɗu, akafanana nesu; ŋgaaʋe nesimba pamsoro pehoʋe dzeguŋgwa, napamsoro peshiri dzeɗeŋga, napamsoro peɀipfuwo, napamsoro penyika yose, napamsoro peɀipenyu ɀose ɀinokambaira panyika. 
GEN.1.27	Mŋari akasika munhu nomufananidzo wake, akamusika nomufananidzo waMŋari; akaʋasika murume nomukadzi. 
GEN.1.28	Mŋari akaʋaropafadza, Mŋari akati kwaʋari: Ƃerekai, muwande, muzadze nyika, muɓate ʋushe pairi; muʋe nesimba pamsoro pehoʋe dzeguŋgwa, napamsoro peshiri dzeɗeŋga, napamsoro peɀipenyu ɀose ɀinokambaira panyika. 
GEN.1.29	Mŋari akati: Tarirai, ndakakupai miriʋo yose inoɓereka mbeu, iri panyika yose, nemiti yose inemicero yemiti inoɓereka mbeu, kuti ɀiʋe ɀokudya ɀenyu. 
GEN.1.30	Mhuka dzose dzenyika, neshiri dzose dzeɗeŋga, neɀipenyu ɀose ɀinokambaira panyika, ɀinomŋeya woʋupenyu, ndakaɀipa miriʋo yose minyoro, kuti ɀiʋe ɀokudya ɀaɀo; ɀikaita saiɀoɀo. 
GEN.1.31	Mŋari akaʋona ɀose ɀaakaita, ʋonei ɀakanaka kwaɀo. Maɗeko akaʋa’po, namaŋgwanani akaʋa’po, zuʋa retanhatu.
GEN.2.1	Ƌeŋga nenyika ɀikapera saiɀoɀo, noʋuzhinji bgaɀo. 
GEN.2.2	Mŋari akapedza ɓasa rake raakaita nomusi wecinomŋe; akazorora nomusi wecinomŋe paɓasa rake rose raakaita. 
GEN.2.3	Mŋari akaropafadza musi wecinomŋe, akauita mutȿene; nokuti wakazorora nawo paɓasa rake rose, raakaŋga asika nokuita iye Mŋari.
GEN.2.4	Ndiko kuʋamba kweɗeŋga nenyika, musi waɀakasikwa: Nezuʋa irero Jehova Mŋari raakasika naro nyika neɗeŋga, 
GEN.2.5	makwenzi esaŋgo akaŋga acigere kuʋa’po panyika, nemiriʋo yesaŋgo yakaŋga icigere kumera; nokuti Jehova Mŋari wakaŋga asati anisa mvura panyika, ʋuye kwakaŋga kusinomunhu kuzorima pasi; 
GEN.2.6	asi mhute yaisikwira icibva panyika icinyoroʋesa nyika yose. 
GEN.2.7	Jehova Mŋari akaʋumba munhu neguruʋa revu, akafuridzira mŋeya woʋupenyu mumhino dzake; munhu akaʋa mŋeya mupenyu. 
GEN.2.8	Jehova Mŋari akasima munda muEdeni, kumabvazuʋa, akaisa’po munhu waakaŋga aʋumba. 
GEN.2.9	Jehova Mŋari akameresa pasi miti yose inofadza meso, neyakanaka kudya; ʋuye muti woʋupenyu pakati pomunda, nomuti wokuziʋa ɀakanaka neɀakaipa. 
GEN.2.10	MuEdeni mukaɓuɗa rwizi kuzoɗiridza munda uyo, rukaparadzana ipapo, dzikaita hoʋa inna. 
GEN.2.11	Zita rorwokutaŋga ndiPishoni; ndirwo runopoteredza nyika yose yeHavira, panendarama ipapo; 
GEN.2.12	ndarama yenyika iyeyo yakanaka; ʋuye ʋo panederiumu nebge reoniksi. 
GEN.2.13	Zita rorwizi rwecipiri ndiGihoni; ndirwo runopoteredza nyika yose yeKushi. 
GEN.2.14	Zita rorwizi rwecitatu ndiHidekeri; ndirwo runoyerera kumabvazuʋa kweAsiria. Rwizi rwecinna ndiYufratesi. 
GEN.2.15	Jehova Mŋari akatora munhu, akamuisa mumunda weEdeni, kuti aurime nokuuceŋgeta. 
GEN.2.16	Jehova Mŋari akaraira munhu, aciti: Uŋgadya hako miti yose yomunda; 
GEN.2.17	asi muti wokuziʋa ɀakanaka neɀakaipa usaudya; nokuti nomusi waunoudya, ucafa ɀirokwaɀo.
GEN.2.18	Jehova Mŋari akati ɀe. Haɀina‐kunaka kuti munhu agare ari woga; ndicamuitira muɓatsiri wakamukwanira. 
GEN.2.19	Jehova Mŋari akaʋumba nevu mhuka dzose dzesaŋgo, neshiri dzose dzeɗeŋga, akadziisa kumunhu kuti aʋone kuti ucadzitumidza mazita api; ɀipenyu ɀose seɀaɀakatumidzwa nomunhu, ndiwo akaʋa mazita aɀo. 
GEN.2.20	Munhu akatumidza ɀipfuwo ɀose mazita, neshiri dzeɗeŋga, nemhuka dzose dzesaŋgo; asi kwakashaikwa muɓatsiri wakamukwanira iye munhu. 
GEN.2.21	Ipapo Jehova Mŋari wakaʋatisa munhu hope huru, akaʋata; akatora rumbabvu rwake rumŋe, akadziʋira nyama panɀimbo yarwo. 
GEN.2.22	Norumbabvu urwo Jehova Mŋari rwaakatora pamunhu, akaita mukadzi narwo, akamuisa kumunhu. 
GEN.2.23	Munhu akati: Ɀino uyu ifupa ramafupa aŋgu, nenyama yenyama yaŋgu; ucatumidzwa Mukadzi, nokuti wakabviswa paMurume. 
GEN.2.24	Naiɀoɀo munhu unofanira kusiya ɓaɓa ʋake namai ʋake, anamatire mukadzi wake, ʋaʋe nyama imŋe. 
GEN.2.25	Ʋose ʋari ʋaʋiri ʋakaŋga ʋasina‐kusimira, munhu nomukadzi wake, asi haʋana‐kunyara.
GEN.3.1	Ɀino nyoka yakaŋga inamano kupfuʋura mhuka dzose dzesaŋgo dzakaŋga dzaitwa naJehova Mŋari. Ikati kumukadzi: Nhai, ndiɀo here kuti Mŋari wakati: Regai kudya miti yose yomunda? 
GEN.3.2	Mukadzi akati kunyoka; Tiŋgadya heɗu micero yemiti pamunda, 
GEN.3.3	asi kana iri micero yomuti uri pakati pomunda, Mŋari wakati: Regai kuudya, kana kuuɓata, kuti murege kufa. 
GEN.3.4	Nyoka ikati kumukadzi: Hamuŋgafi ɀirokwaɀo; 
GEN.3.5	nokuti Mŋari unoziʋa kuti nomusi wamunoɀidya nawo, meso enyu acaȿinudzwa, mukaʋa saMŋari, muciziʋa ɀakanaka neɀakaipa. 
GEN.3.6	Ɀino mukadzi wakati aciʋona kuti muti wakanaka kudyiwa, ʋuye kuti unofadza meso, ʋuye kuti muti unoɗikanwa kuŋgwadza munhu, akatora micero yawo, akadya, akapa ʋo murume wake, akadya naiye ʋo. 
GEN.3.7	Ipapo meso aʋo, iʋo ʋaʋiri, akaȿinudzwa, ʋakaziʋa kuti haʋana‐kusimira; ʋakasonanidza mashizha omuʋonde, ʋakaɀiitira ŋguʋo. 
GEN.3.8	Ʋakanzwa inzwi raJehova Mŋari acifamba mumunda kwotonhorera maɗekwana; munhu nomukadzi wake ndokundoʋanda pamberi paJehova Mŋari pakati pemiti yomunda. 
GEN.3.9	Jehova Mŋari akaɗana munhu, akati kwaari: Uripiko? 
GEN.3.10	Iye akati: Ndakanzwa inzwi renyu mumunda, ndikatya, nokuti ndakaŋga ndisina‐kusimira; ndikaʋanda. 
GEN.3.11	Iye akati: Ndianiko wakakuʋudza kuti hauna‐kusimira — Wadya kanhi muti wandakakuraira kuti urege kuudya? 
GEN.3.12	Munhu akati: Mukadzi wamakandipa kuti aʋe neni, ndiye wakandipa ɀomuti ndikadya. 
GEN.3.13	Jehova Mŋari akati kumukadzi: Cinyiko ico cawaita? Mukadzi akati: Nyoka yakandinyeŋgera, ndikadya. 
GEN.3.14	Jehova Mŋari akati kunyoka: Ɀawaita iɀoɀo, watukwa kupfuʋura ɀipfuwo ɀose, nokupfuʋura mhuka dzose dzesaŋgo; ucafamba neɗumbu rako, ucadya guruʋa mazuʋa ose oʋupenyu bgako. 
GEN.3.15	Ndicaisa ruʋeŋgo pakati pako nomukadzi, napakati porudzi rwako norudzi rwake; irwo rucapxanya musoro wako, newe ucapxanya citsitsinho carwo. 
GEN.3.16	Kumukadzi akati: Ndicawanza ɀikuru kurwadziwa kwako nokutora mimba kwako; ucaɓereka ʋana ucirwadziwa; kuɗa kwako kucaʋa kumurume wako, iye ucaʋa ishe wako. 
GEN.3.17	Kumunhu akati: Ɀawakaterera inzwi romukadzi wako, ukadya muti wandakakuraira ndiciti: Usaudya, ɀino nyika yatukwa nemhoȿa yako; ucadya ɀiɓereko ɀayo nokutambudzika mazuʋa ose oʋupenyu bgako; 
GEN.3.18	icakuɓerekera minzwa noʋutumbambeʋa; iwe ucadya miriʋo yomusaŋgo; 
GEN.3.19	ucadya ɀokudya ɀako neziya reciso cako kuȿikira ucidzokera kuvu; nokuti wakatorwa kwariri. Ɀauri guruʋa, ucadzokera ɀe kuguruʋa. 
