MAT.1.1	Abraham tuti Devit tanii ing Jesu Khrista ahungsuwhnii thiimziihbur. 
MAT.1.2	Abraham ing Isak baringka, Isak ing Jakop abaring, amanche Jakop ing Juda re anaepa ae abaring, 
MAT.1.3	Juda re Tamar ing embaring ae chuve Peres re Jerava amanche Peres sapa chu Hejaron amanche Hejaron sapa chu Raam, 
MAT.1.4	Raam sapa chu Aminadap ka amanche Aminadap sapa inche Nashon vokhehkho Nashon sapa chu Salmon, 
MAT.1.5	amanche Salmon re Rahap sapa chu Boas amanche Boas re Ruth ing Obet embaring vokhehkho Obet ing Jese baringka amanche Jese inche Devit Iruwngchu abaringpa.
MAT.1.6	Uria rumeechu Devit ing bika Solomon embaring, 
MAT.1.7	amanche Solomon ing Rehobom abaring, Rehobom inche Abija abaring amanche Abija inche Asa abaringpa, 
MAT.1.8	Asa sapa chu Jehoshaphet va amanche Jehoshaphet inche Joram abaringpa, 
MAT.1.9	amanche Uzia inche Jotham abaring, amanche Jotham inche Ahaj abaring, 
MAT.1.10	Hejekia i Manase ampa chuva, amanche Manase i Amon ampa va amanche Amon i Josia ampa chuva, 
MAT.1.11	amanche Josia inche Jekonia re anae aechu Bebilon ting suwh ing enruwraenche abaringva.
MAT.1.12	Bebilon na suwh ing engonglae basenka: Jekonia inche Shaltiel abaring, amanche Shaltiel inche Zerubabel abaringpa, 
MAT.1.13	amanche Zerubabel inche Abihud abaring, amanche Abihud inche Iliakim chu abaringpa, amanche Iliakim inche Ajor abaringpa, 
MAT.1.14	Ajor inche Zadok abaring, amanche Zadok ing Akim chu abaringpa, amanche Akim ing Ilihud abaring, 
MAT.1.15	Ilihud ing Ilijar abaring, amanche Ilijar ing Mathan baringka, vokhehkho Mathan inche Jakop chu abaringpa, 
MAT.1.16	amanche Jakop ing Meri afhuwsar Josep chu baringka Jesu Khrista chu embaringpa.
MAT.1.17	Jinge ichii ing Abraham na ing Devit ipha ing mee hungpaar i suwnthar suum ariimanrii chakna, amanche Devit na ing Bebilon ting suwh ing enruwphachak ingkho suwn-thar suum ariimanriina vokhehkho Bebilon na ing Khrista ipha ikho suwnthar suum ariimanrii chakva.
MAT.1.19	Meri afhuwsar Josep abarungriir isa mee vakhaka Meri chu ningjak pining tamahka ynruwhjaeh ing ynsaefhuw ningka achiipa. 
MAT.1.20	Changvakonchu Josep ing changche ichii ing amandenlae enruw, Thangnang tanii vaarmee ing Josep arumangna yndangka ariir, Devit tuti tanii sapa Josep, nang ing Meri ibuwh ynchikmah, yngkhaena ynchii imbe aven sungna areen i ynthiing laetha taniiva. 
MAT.1.21	Ama ing sapa yngkheh baring vaata, nang ing arumingchu Jesu tataniika phuwvaanta, akhaechuve sapa inge amee vakhaechu isii icher tanii karvaata. 
MAT.1.22	Havi Aafhuw ing Jaephar ningna amanriir chongchu ahungchumnii khaenava. 
MAT.1.23	“Enruw lunghah ynthiing ing miknii naka sapa yngkheh baring vaata, arumingchu Immanuel tavaatae.” (Arutho chuve, Thangnang ing eenruwfhuwsa achiiniiva.)
MAT.1.24	Josep ing ynterka aningna vaarmee ing ariir inuwzii ing Meri chu abuwhpa. 
MAT.1.25	Changvakonchu abaring-mahri raentaang Josep re Meri yntuwhmah ae; sapa chu omka Josep ing arumingchu Jesu taka aphuwpa.
MAT.2.1	Herot iruwng apaarlae Judia paam Bethlehem nache Jesu ajungom inuwna iniisuwhtah tanii ihaesing mee aeng Jerusalem nache theng aeka enriir, 
MAT.2.2	“Jehudi ae iruwng ijungomchu unakhenva? Kenuw ing iniisuwhtah yntongting aesii kemu khaena atakchu irum ithengsahpung.”
MAT.2.3	Herot iruwng ing chongchu asii-tahna abarungriir jaasa vokhehkho Jerusalem mee vakhaekho nungae-mahsae; 
MAT.2.4	amana aanchung jaethiim vakhaere thiimthang aechu mang-kongka eningna Khrista enchiichu unakhe omvachiiva taka asii ae? 
MAT.2.5	Enuw ing embasang, Judia paam Bethlehem navaata; akhaechuve Jaephar ing abaziih vasah omna:
MAT.2.6	“O Juda paamna om Bethlehem, nangve Juda sungna aasiingseh mahvachii; akhaechuve ki kamee Isrel aechu ipuhnii khaena mee yngkheh naning tanii hungsuwh vaata.” 
MAT.2.7	Amana Herot iruwng ing ihaesing aechu ynruwhjaeh ing eenka aesii yndangchu ynchii aphanava ichiichu ening tanii isajaeh ing amanghuwpa. 
MAT.2.8	Amana Herot ing eningna ariir, “Nenuw vasinuwna naeduungchu isajaeh ing vajongruw amanche nenuw ing naeduungchu tuwhtanuwve kaning nakho ihenriirpeehruw amanache ki ingkho vakningka varumsava kata.” 
MAT.2.9	Enuw ing iruwng chongchu ensiinuwna sisae vokhehkho iniisuwhtah tanii aesii inche naeduung aongnii aphamahri raentaangche emaana sika enjiipa. 
