RUT.1.1	Senagi senagi, mirona ituari ourefeidena vene tora amegamadiri,
RUT.1.2	Mina amiye di roka bi Elimelech ma ini rema di roka bi Naomi, ma ini mida remanu di roka bi Mahlon ma Chilion. Ina bi Ephrathah vene, Bethlehem taoni, Judah gagani vene. Ma disi Moab gaganiri amegamadi. 
RUT.1.3	Amegamadiri, Naomi di maruka Elimelech muyeyo, ma ini rumana mida remanusa amegamadi. 
RUT.1.4	Moab rema meyadi, ini roka bi Orpah ma Ruth. Lagani vana ufo amegamadiri, 
RUT.1.5	Mahlon ma Chilion ka muyeyadi ma Naomi bi maruka ma mida de inike amegamo.
RUT.1.6	Gabi Moab ri neideyo bi 
RUT.1.7	Ini radini remanusa, ini amegamadi sana feresi Judah gagani di ida moiyadi. 
RUT.1.8	Kamini Naomi yaku ini radini remanu rofu niyo, “Ya remanu yi nono di yavari dairigedi. 
RUT.1.9	 ya remanu rofu yi gado variyaganedi rumana bouna ya mago.”
RUT.1.9	Kamini ina remanu fuka reyo ma rema remanu isaka nigasa 
RUT.1.10	niyadi, “Una bi yi vene rofu yasa gogo dairigifa.”
RUT.1.11	Idu Naomi yaku niyo, “Dairifa nai vefa vene. Beika maina nasa baegedi? Ye nai rumana mida be moigida, ma yi maruka nigedi ba? 
RUT.1.12	Rautu dairifa, nai vefa vene. Na bi rumana moina rofu, kamini ugava niyaka. Gokai beika nai mokenari uka mokedo gua urusari maruka nufa mida evata rigida 
RUT.1.13	ma ina tora nigedi vonisi, ya bi ina tua de regedi. Ya bi na tua de resi de megedi ba? Ide, nai radiyaka, na rofu bi vegu gira tora, yi vegu kana de, ini adina 
RUT.1.14	Mina neideyadiri dudusa isaka niyadi. Kamini Orpah yaku ini radini fuka resi yuata niyo, idu Ruth yaku ini radini moi gira reyo. 
RUT.1.15	Naomi yaku niyo, “Na ve kumo, yi nabore bi dairido ini vene ma ini sei
RUT.1.16	Idu Ruth nikabai reyo, “Ya feresi dairigida na ni guba ga re. Goidu digiya na ka digida, ma goidu amegiya na bi yasa amegida. Yi vene bi nai vene ma yi Sei bi nai Sei. 
RUT.1.17	Goinari muyegiya na ka muyegida, ma mironari na guri aegedi. 
RUT.1.18	Naomi yaku Ruth veyori, bi inasa dina vata rego, mina resi dairiyainedi ni guba de reyo.
RUT.1.19	Ye ina remanu disi Bethlehem ri okiyadi. Bethlehem okiyadiri, rautu vene vesi tururu reyadi ma rema vene yaku ago ni tona dudu niyadi, “Aee, mirona bi Naomi ba?”
RUT.1.20	Ina vene rofu niyo, “Naomi vo nisi nai roka ga nifo, idu nai roka Marah
RUT.1.21	Na bi gugura fore nufa diyaka, idu 
RUT.1.22	Ye Naomi, ini Moab radini Ruth ya ota risi Moab gagani feresi Bethlehem ri dairiyadi, barley
RUT.2.1	Ma Naomi bi ini usika ourena nufa ini maruka di eta rofu, Elimelech rubu rofu, roka nufa ma gugura nufa amiye, ini roka bi Boaz. 
RUT.2.2	Ma Ruth Moab rema Naomi yaku niyo, “Na ni kumo murori nesi barley ada bubudo fereyadi butu rigida. Nai mokei vava reida amiye yokoi yaku na moigo ma inasa moimai regida.”
RUT.2.2	Ma Naomi yaku ina rofu niyo, “Mo bovo, nai vefa.”
RUT.2.3	Ye Ruth yaku murori nesi moimai vene usi digamo, moiga ferena barley ada bubudo butu rigamo. Iniye veyo ina bi Boaz di muro, kaere bi Elimelech di ruburi, moimai reyo. 
RUT.2.4	Mina ituari Boaz Bethlehem gutuna okisi baeyo ma moimai vene rofu niyo, “
