MAT.1.1	Ибрагьимни наслусундан тувгъан Давутну наслусундан болгъан Исаны тайпа тухуму.
MAT.1.2	Ибрагьим Исгьакъны атасы, Исгьакъ Якъубну атасы, Якъуб Ягьуданы да, ону агъа инилерини да атасы болгъан. 
MAT.1.3	Ягьуда Тамардан тувгъан Пересни де, Зарагьны да атасы, Перес Гьесронну атасы, Гьесрон Рамны атасы болгъан. 
MAT.1.4	Рам Аминадавну атасы, Аминадав Нагьшонну атасы, Нагьшон Салимонну атасы болгъан. 
MAT.1.5	Салимон Рагьавдан тувгъан Боазны атасы, Боаз Рутдан тувгъан Обедни атасы, Обед Ешайны атасы болгъан. 
MAT.1.6	Ешай Давут пачаны атасы, Давут Урияны къатынындан болгъан Сулайманны атасы болгъан. 
MAT.1.7	Сулайман Регьабиямны атасы, Регьабиям Абияны атасы, Абия Асатны атасы болгъан. 
MAT.1.8	Асат Егьошафатны атасы, Егьошафат Ёрамны атасы, Ёрам Узияны атасы болгъан. 
MAT.1.9	Узия Ётамны атасы, Ётам Агьазны атасы, Агьаз Гьезекияны атасы болгъан. 
MAT.1.10	Гьезекия Манашаны атасы, Манаша Амосну атасы, Амос Ёшияны атасы болгъан. 
MAT.1.11	Ёшия Еконияны да, ону агъа инилерини де атасы болгъан. Олар ягьуди халкъы Бабилге сюргюн этилип йиберилгенде тувгъан.
MAT.1.12	Екония Бабилге сюргюн этилген сонг тувгъан Шалтыйылны атасы, Шалтыйыл Зерубабилни атасы болгъан. 
MAT.1.13	Зерубабил Абигьудну атасы, Абигьуд Элгьакимни атасы, Элгьаким Азурну атасы болгъан. 
MAT.1.14	Азур Садокну атасы, Садок Агьимни атасы, Агьим Элигьудну атасы болгъан. 
MAT.1.15	Элигьуд Элиазарны атасы, Элиазар Маттанны атасы, Маттан Якъубну атасы болгъан. 
MAT.1.16	Якъуб Мариямны эри Юсупну атасы болгъан. Мариямдан да Месигь
MAT.1.17	Ибрагьимден Давутгъа ерли он дёрт наслу бар болгъан. Давутдан да Бабилге сюргюн этилгинче он дёрт наслу бар болгъан. Бабилге сюргюн этилгенден сонг Месигьге ерли де он дёрт наслу бар болгъан.
MAT.1.18	Иса Месигьни тувмакълыгъы булай болгъан: анасы Мариям Юсупгъа гелешинип турагъан заманда, болажакъ эри булан къошулгъанча, о Аллагьны Ругьуну гючю булан яшгъа токътагъаны аян бола. 
MAT.1.19	Мариямны гелешмиши Юсуп бир муъмин адам болгъан. О халкъгъа хабар салып, къатынын биябур этме сюймей, ондан яшыртгъын айрылып къалмагъа токъташа. 
MAT.1.20	Юсуп шолай этме хыяллы болгъанда, огъар тюшюнде Раббибиз йиберген малайик гёрюнюп, булай дей:
MAT.1.20	– Гьей Давутну Наслусу Юсуп! Мариямны къатын этип алмагъа къоркъма, неге тюгюл ондан туважакъ яш Аллагьны Ругьундандыр. 
MAT.1.21	О Улан табажакъ, Огъар да сен Иса деп ат къоярсан. Неге тюгюл де, О Оьз халкъын гюнагьдан къутгъаражакъ.
MAT.1.22	Булар барысы да Раббибизни пайхаммардан таба айтгъан булай сёзлери яшавгъа чыкъсын учун болгъан гьакъ зат:
MAT.1.23	Бу къыз айлы болажакъ ва бир улан табажакъ.
MAT.1.23	Огъар Иммануйыл деп айтылажакъ.
MAT.1.23	Бу буса «Аллагь бизин булан» демекдир.
MAT.1.24	Юсуп юхусундан уяна. Раббибиз йиберген малайик оьзюне буюргъан кюйде этип, Мариямны къатын этип ала. 
MAT.1.25	Амма къатыны улан тапгъынча, эри огъар ювукълашмай тура. Юсуп яшына Иса деп ат къоя.
MAT.2.1	Иса Гьирод пачаны девюрюнде Ягьудеяны Байтлагьам шагьарында тува. Шо заманда гюнтувушдан Ерусалимге алимлер
MAT.2.2	Олар булай дей:
MAT.2.2	– Ягьудилени тувгъан пачасы къайдадыр? Биз гюнтувушда Ону юлдузу тувгъанны гёрюп, Огъар сужда этме гелгенбиз.
MAT.2.3	Шону эшитгенде, Гьирод пача да, ону булан бирге Ерусалимни халкъыны кёп яны да адап къала. 
MAT.2.4	Бары да баш дин къуллукъчуланы
MAT.2.5	Олар да булай дей:
MAT.2.5	– Ягьудеяны Байтлагьам шагьарында, неге тюгюл пайхаммар булай язгъан:
MAT.2.6	Гьей сен Ягьудея топурагъындагъы Байтлагьам, Ягьудеяны баш
