GEN.1.1	Co'na' ñaqai chita'gue ỹo'uet ná'ogue ñi qota'olec, ca 'au ỹo'uet na piguim chaqai na 'laua. 
GEN.1.2	Na 'laua ỹaatqajam sqaico' ca la'maqa' na'le; 'ec nodaachiguiñi na huaxaỹaq chaqai na napalaxa, ca' so ne'espíritu ñi qota'olec queeteguelec na huaxaỹaq.
GEN.1.3	Co'na'le, ca 'naaco' ñi qota'olec: ¡Sahotaque quiyim re'qoochiguiñi!
GEN.1.3	Ca chaqa'ma' re'qoochiguiñi. 
GEN.1.4	Ca' ñi qota'olec co'na' iuana 'maxaraic quiyim re'qoochiguiñi, ca' ỹoỹoote'oga queso napalaxa. 
GEN.1.5	Ca na'xa'a leenaxat nqai'en só'maq re'qoochiguiñi, chaqai so napalaxa, ca' leenaxat nqai'en pe. Ca' chaqaido' dá'maq 'neeta na' ime so 'auaxaic na'xa'a.
GEN.1.6	Co'na' ime, ca 'naaco' ñi qota'olec: 'Uo' ma'le ca lquepaxaset quiyim ỹoỹoota'chi na huaxaỹaq, qaiyi naua'maxare ỹoreta'chi.
GEN.1.6	Ca' chaqaida 'neeta. 
GEN.1.7	Ca' ñi qota'olec ỹo'uet so lquepaxaset, ca ỹoỹoota'chi na huaxaỹaq; 'uo' na lahi pa'aañi queso lquepaxaset, chaqai so liỹa lahi, ca' pa'aashiguim. 
GEN.1.8	Ca' so lquepaqataxanaxat leenaxato' nqai'en piguim. Ca' chaqaido' dá'maq 'neeto' na' ime so liỹa na'xa'a.
GEN.1.9	Co'na'le, ca 'naaco' ñi qota'olec: Quiyim na huaxaỹaq pa'aatañi quena piguim 'oonoqui' ca lapooqo', qaiyi re'oq cá'maq rashivita.
GEN.1.9	Ca' chaqaida 'neeta. 
GEN.1.10	Ca ná'maq rashivita ñi qota'olec leenaxato' nqai'en 'laua, chaqai ná'maq lapooqo' na huaxaỹaq leenaxato' nqai'en huaaxai.
GEN.1.10	Co'na'le, ca' ñi qota'olec iuana quiyim ná'ogue ỹa'maqachiguiñi. 
GEN.1.11	Ca' 'naaco': Quiyim na 'laua ñaxat nqai'en ná'ogue ana ỹoreta'oguit ñaxashiguim: na 'uaqapi chaqai ana qo'paq 'ue ana la.
GEN.1.11	Ca' chaqaida 'neeta. 
GEN.1.12	Ca' na 'laua ñaxat nqai'en ná'ogue ana ỹoreta'oguit ñaxashiguim: na 'uaqapi chaqai ana qo'paq 'ue ana la. Ca' ñi qota'olec iuana quiyim ná'ogue ỹa'maqachiguiñi. 
GEN.1.13	Ca' chaqaido' dá'maq 'neeto' na'le co'na' ỹovirerec saua tres na'xata'.
GEN.1.14+GEN.1.15	Co'na'le, ca 'naaco' ñi qota'olec: 'Uo' ma'le caua ỹavigouguilo quena piguim, ca' coỹarerelec na 'laua, ca ỹoỹootere'oga yi na'xa'a quiyi pe, chaqai ỹo'uet quiyim qaretane' naua na'xata', naua ñaxari, chaqai naua na'xata' napoxoqui'.
GEN.1.14+GEN.1.15	Ca' chaqaida 'neeto' na'le. 
GEN.1.16	Ca' ñi qota'olec ỹo'ueeto'o' saua dos ncoỹeraxanqate: só'maq paguec lecaic coỹarelec nqai'en yi na'xa'a, chaqai asó'maq paguec cocho'lli', ca' coỹarelec nqai'en yi pe. Chaqai qai'neeta ỹo'uet ana huaqajñi. 
GEN.1.17	Ca' ñi qota'olec ỹo'ueeto'o' naua lcoỹeraxanqate, ca ỹano'oto na piguim qaiyi coỹarerelec na 'laua 
GEN.1.18	quiyi na'xa'a chaqai quiyi pe, chaqai quiyim ỹoỹoote'oga yi re'qoochiguiñi quiyi napalaxa. Ca' iuana quiyim ná'ogue ỹa'maqachiguiñi. 
GEN.1.19	Ca' chaqaido' dá'maq 'neeto' na'le co'na' ỹovirerec saua cuatro na'xata'.
GEN.1.20	Co'na' ime, ca 'naaco' ñi qota'olec: Quiyim na huaxaỹaq ñaxatec nqai'en ná'ogue nanchaqaina iseripi huaxaỹaqseripi, chaqai quiyim 'ue ana qo'o ỹootac quena 'laua.
GEN.1.20	Ca chaqaida 'neeta na'le. 
GEN.1.21	Ca' ñi qota'olec ỹo'uet ná'maq chalego lecaic huaxaỹaqseripi, chaqai ná'maq ỹoreta'oguit iseripi ñaxatougui hueetaugui na huaxaỹaq, chaqai ná'ogue na ỹoreta'oguit ỹoipi.
GEN.1.21	Ca co'na' ime, ca' ñi qota'olec iuana quiyim ná'ogue ỹa'maqachiguiñi. 
GEN.1.22	Ca' ỹaanec da no'uen la'qaatec quená'maq lo'ueenatec iseripi, 'naaco': Ỹaatqajam 'xoic ma'le ca llaalqaipi, no'qaachigui ma'le ana huaaxai; chaqai 'xoic ana ỹo ma'le quena 'laua.
GEN.1.23	Ca' chaqaido' dá'maq 'neeto' na'le co'na' ỹovirerec saua cinco na'xata'.
GEN.1.24	Co'na'le, ca 'naaco' ñi qota'olec: Na 'laua ñaxat nqai'en ná'ogue na ỹoreta'oguit iseripi: na neloipi, chaqai na neuec, chaqai ná'maq nqai'queetegueri' quena 'laua.
GEN.1.24	Ca' chaqaida 'neeta. 
GEN.1.25	Ñi qota'olec ỹo'ueeto' ná'ogue na iseripi. Ca' iuana quiyim ná'ogue ỹa'maqachiguiñi.
GEN.1.26	Co'na' ime, ca 'naaco' ñi qota'olec: Nagui, ca' so'ueetqo' ca qom. 'Nejme' qomi', ca' ỹapacauec ca' ishit reloxoỹa'a na nalliñipi, chaqai na ỹoipi, chaqai na neloipi iseripi, chaqai na neuequipi, chaqai quená'maq nqai'queetegueri' quena 'laua.
GEN.1.27	Co'na' ñi qota'olec ỹo'uet so qom,
GEN.1.27	nadenaxatalta', ca' chaqai 'nejem ñi'maxare da no'ueenataxac;
GEN.1.27	ỹale chaqai 'aalo saua ỹo'ueete'.
GEN.1.28	Ca' ỹaanouguilo da no'uen la'qaatec, 'naaco':
GEN.1.28	'Xoic, ỹaatqajam 'xoic nqai'ñii ca qachaalguii;
GEN.1.28	no'xataxachijlec na 'laua chaqai 'viiquiñitac;
GEN.1.28	chaqai 'viiquiñitac na nalliñipi chaqai na ỹoipi,
GEN.1.28	chaqai ná'ogue na iseripi nqai'queetegueri'.
GEN.1.29	Ime, ca 'naapegalo': Saanema qamiri ná'ogue aná'maq ñaxat quena 'laua chaqai ná'ogue ana qo'paq 'ue ana la. Ná'ogue ana'maxare chi noqohi ana la. 
GEN.1.30	Qam ná'maq neuec iseripi, chaqai ná'maq nqai'queetegueri' quena 'laua, chaqai na ỹoipi, saanem na 'uaqapi quiyim ỹa'ic.
GEN.1.30	Ca' chaqaida 'neeta. 
GEN.1.31	Ca' ñi qota'olec iuana quiyim sá'ogue so lo'ueenatec ỹa'maqachiguiñi. Ca' chaqaido' dá'maq 'neeto' na'le na' ỹovirerec saua seis na'xata'.
GEN.2.1	Na piguim chaqai na 'laua chaqai ná'ogue ná'maq 'ue quena'maxare mashic ime. 
GEN.2.2	Ca co'na' ỹovirerec saua seis na'xata', ca' ñi qota'olec ỹomat ná'maq ỹo'ueetetac, ca' queso liỹa na'xa'a, ca nco'matec. 
GEN.2.3	Ime, ca ỹanegue sojo pa'aatec na'xa'a quiyim le'xorenataxanaxaqui, ca ỹoỹoote'oga quiyim qaimaqachin so na'xa'a, ma' sojo na'xa'a chaqaiso viichigui na' nco'matec quená'ogue na lo'ueenatqaipi. 
GEN.2.4	Ca chaqaido' dá'maq 'neeto' na'le na' qaỹo'uet na piguim chaqai na 'laua.
GEN.2.4	Co'na' ñi qara'gaxala' qota'olec ỹo'uet na piguim chaqai na 'laua, 
GEN.2.5	ca saqa'laca aca ñaxat qo'paq chaqai na 'uaqapi, ma' ñi qara'gaxala' qota'olec saqa' ỹo'uet ca ỹaxat taalec ana 'laua, chaqai saqa'leca ca ro'ueenataxanlec. 
GEN.2.6	Qam quena 'laua chicqotapougui na huaxaỹaq, ca' ỹaquitetalec nqai'en ná'ogue na'maxare. 
GEN.2.7	Co'na'le, ca' ñi qara'gaxala' qota'olec ỹo'xono' so qom ỹachigoxotaugui na 'laua. Ime, ca' pe'teu'guelo naua limiaqa lauaco, ca' ỹaanem da lca'laxa. Ca' so qom 'ue da lca'laxa.
GEN.2.8	Ca na' ime, ca ñi qara'gaxala' qota'olec ỹo'ueeto' so lanaxanqa', illaalec yi 'laua leenaxat Edén, pa'ỹa'gue da lqodoigue. Ime, ca' ỹanalec só'maq lo'ueenatec qom. 
GEN.2.9	Ime, ca' ñaxajshiguim nqai'en ná'ogue ana ỹoreta'oguit no'uen qo'paq na'ic ana la. Ca' quena lavinñi so lanaxanqa' ỹanañigui aso qo'paq chicqaugui da nca'laxa, chaqai aso liỹa qo'paq chicqaugui quiyim qaỹa'den ca lo'yaxanec chaqai ca se no'uen.
GEN.2.10	Ca' quiyi Edén chicqochi'ñi aso lachiugue, ca' quiyi, ca' neuagaxat cuatro naua llico, ca' naquitetashiguim nqai'en so nanaxanqa'. 
GEN.2.11	So 'auaxaic llic na huaxaỹaq leenaxat Pisón, só'maq lepajlec yá'ogue yi 'laua leenaxat Havila, yí'maq hua'ñi na 'oro. 
GEN.2.12	Na 'oro hua'ñi yijo 'laua ỹaatqajam lo'yaxanec, chaqai ná'maq no'uen qo'paq louaq, chaqai na lo'yaxanec qa' leenaxat ónice. 
GEN.2.13	Chaqai da leenaxat so liỹa llic na huaxaỹaq Gihón, ca' chaqaiso só'maq lepajlec yi 'laua leenaxat Cus. 
GEN.2.14	Chaqai so liỹa llic na huaxaỹaq leenaxat Tigris, ca' chaqaiso só'maq que'tegue da lqodoigue quiyi 'laua leenaxat Asiria. Chaqai so liỹa huaxaỹaq llic leenaxat Eufrates.
GEN.2.15	Ca co'na' ñi qara'gaxala' qota'olec mashic ỹanalec so qom yí'maq nanaxanqa' quiyi Edén quiyim ro'ueenataxanlec chaqai cochiỹa. 
GEN.2.16	Ca 'uo' da ỹaanem la'qaatec, 'naaco': Shichite' 'qui' ná'ogue ana la ana qo'paq quenajo nanaxanqa'. 
GEN.2.17	Qam ada qo'paq chicqaugui quiyim qaỹa'den ca lo'yaxanec chaqai ca se no'uen, ca' sqa 'qui'. Ma' no'm 'qui', ca' ỹaatqajam llic rillivi'.
GEN.2.18	Co'na'le, ca 'naaco' ñi qara'gaxala' qota'olec: Se ỹa'maxañi quiyim dajo ỹale qaidaatam 'oonoqui'. So'uet ma'le aca nauegaxaua chaqai notaanaxaua.
GEN.2.19+GEN.2.20	Ca' ñi qara'gaxala' qota'olec ỹachigoxotaugui na 'laua ná'ogue na iseripi chaqai ná'ogue na ỹoipi, ca ỹauegueu'a so ỹale quiyim ỹa'ue ca leenaxat. Ca' so ỹale ỹo'uet na leenaxat ná'ogue na neloipi iseripi chaqai ná'ogue ana ỹo chaqai na neuec iseripi, ca' chaqaida leenaxat nqohin. Qam quesá'ogue qaica quet cá'maq ishit quiyim lotaua so'maxare. 
GEN.2.21	Co'na'le, ca ñi qara'gaxala' qota'olec ỹaatqajam 'xoic lelaxac nqai'en so ỹale. Ca co'na' ỹaatqajam laqatam, ca' naqato' so 'óna nemeenec, ca lotqai liỹa ỹapaqajanta' so la'at. 
GEN.2.22	Ca quesó'maq nemeenec naqato' na'le ñi qara'gaxala' qota'olec, ca ỹo'ueeto' na'le aso 'óna 'aalo. Ca' ỹauega'a so ỹale. 
GEN.2.23	Ca so'maxare co'na' iuane'ta, ca 'naaco':
GEN.2.23	—¡Dajo maqsa' chi ỹa'aashaxaua chaqai chi ipi'necshaxaua! Ada'maxare leenaxato' 'aalo, ma' ñi qota'olec ỹachigoxotaugui na ỹale.
GEN.2.24	Vichiguiño' ca ỹale ca'e ca leta'a chaqai aca late'e, ca' lauora aca loua. Ca caua'maxare 'ec ca 'oonoqui' qom.
GEN.2.25	Ca' so ỹale chaqai aso 'aalo saua'que neesauec, qam se npocoxata' quiyim 'neesari' dajo.
GEN.3.1	Qam so nanaic paguec co'ỹaxaraic quená'ogue na liỹa iseripi neuec quená'maq lo'ueenatec ñi qara'gaxala' qota'olec. Ca inato' aso 'aalo:
GEN.3.1	—¿Peeta'a llic quiyim ñi qota'olec se ỹasenema qamiri quiyim a'guii ana la ana qo'paq quena lanaxanqa'?
GEN.3.2	Ca' aso 'aalo 'naaco':
GEN.3.2	—Qomi' seshitaq sa'guinaq ana la acanchaqaca cana qo'paq. 
GEN.3.3	Qam aca la ada qo'paq neetañigui na lavinñi na nanaxanqa', 'naac ñi qota'olec quiyim se sa'guinaq chaqai se seconaxagui aca la dajo qo'paq. Ma' no'm shinqa'tegue dajo, ca' qareleu.
GEN.3.4	Qam so nanaic 'naaco' caso 'aalo:
GEN.3.4	—La'maachic. Se rillivii. 
GEN.3.5	Ma' ñi qota'olec ỹaatqajam ỹa'deenta quiyim ma' 'guii ana la ada qo'paq, ca' 'yiiñii ma'le ca lo'yaxanec chaqai ca se no'uen. Ca ma'le, ca 'ñiitari' ñí'maq qota'olec.
GEN.3.6	Ca' aso 'aalo iuana quiyim aso qo'paq chalego loyac. Ca 'uo' da lishoxo quiyim ỹa'ic, qaiyi 'ue ca la'deenec. Ca' naqato' na'le aso la, ca' ỹa'ic, ca' ỹaanem qai'neeta so loua. Ca so'maxare ỹa'ic. 
GEN.3.7	Ca co'na'le, ca' naviguerec naua nqote' saua'maxare. Ca saua'que ỹa'deene' quiyim neesauec. Co'na'le, ca neuajta' ana laue ana qo'paq leenaxat higo, ca ỹo'ueete' saua lo'laate'.
GEN.3.8	Ca' so ỹale chaqai aso loua 'xairaque ñi qara'gaxala' qota'olec ỹouoxontac yi lanaxanqa' hueetaugui so nonot 'oom queso avit. Ca' saua'maxare nqañoxoterapeguem, tarougui yi qo'paxasat quiyi nanaxanqa'. 
GEN.3.9	Qam ñi qara'gaxala' qota'olec roỹaxana so ỹale. Ca' inato':
GEN.3.9	—¿Negue' ca vi'sa'gue?
GEN.3.10	Ca' so ỹale 'naaco':
GEN.3.10	—Sa'xaỹaque qami' quiyim huoxoñi'sac na nanaxanqa'. Qam yo'chi, ma' sentauec. Ca vichiguiño' ñqañoxojñi.
GEN.3.11	Co'na'le, ca' qainato' quiñi qota'olec:
GEN.3.11	—¿Nega'ỹo' cá'maq 'naapega qami' quiyim ñi'sauec? ¿Peeta'a 'qui' aca la ada qo'paq dá'maq shinac quiyim sqa 'qui'?
GEN.3.12	Ca' so ỹale 'naaco':
GEN.3.12	—Adá'maq 'aalo nañaañi' quiyim ñauegaxaua nañaañim ca la, ca' ỹim sa'ic.
GEN.3.13	Co'na'le, ca' ñi qara'gaxala' qota'olec inato' aso 'aalo:
GEN.3.13	—¿Chi'neco' ma' 'viichi' dajo?
GEN.3.13	Ca' aso'maxare 'naaco':
GEN.3.13	—So nanaic só'maq yayin, ca' sa'ic aca la ada qo'paq.
GEN.3.14	Co'na'le, ca' ñi qara'gaxala' qota'olec 'naaco' queso nanaic:
GEN.3.14	—Qami' ma' 'viichi'o' dajo, ca' se no'uen da qayicyaxaqui', mesqai 'ñiite' ná'ogue na liỹa iseripi. Nagui, ca chicqochi'ñi quiyim nqai'qui'segueri', chaqai 'qui'sac na lamoxoỹaxa na 'laua. 
GEN.3.15	Ca' nagui so'uet quiyim qami' chaqai ada 'aalo qamiri pa'guenaxaua', ca 'nejem ca qachaalaxai'pi chaqai ca llaalqaipi ada'maxare. Ca llaalqaipi ada'maxare co'vigui na rqahiqui', chaqai qami' a'quirigui ana la'ỹaaxa.
GEN.3.16	Chaqai 'naaco' caso 'aalo:
GEN.3.16	—Ñoquiigaxatec nagui da re'xoriqui' ma' ỹovita quiyim 'ue ca qachaalqui', chaqai ỹaatqajam 'xoic da nqui'ic ma' co'i'. Qam qami' pacqajñirauec da roua'e' chaqai da'maxare ỹoiquentac aqami'.
GEN.3.17	Chaqai 'naaco' quesó'maq ỹale:
GEN.3.17	—Sauaxat ma' na'xaỹaxañiteto' ada roua'e' co'na' 'qui' aca la ada qo'paq dá'maq shinac quiyim sqa 'qui', ca nagui na 'laua huaalec na se no'uen sauaxat qami'. Ỹaatqajam 'ue da na'ñaaqataxaqui' quiyim 'ueenataxañi', ca' qaigueme 'ue ca qanoqe' quenaua'que naua na'xata' queda nachaalataxaqui'. 
GEN.3.18	Na 'laua ma'le ñaxajlec ná'ogue ana ỹoreta'oguit le chaqai ana cotague. Ca 'qui' ma'le ana la ana qo'paq 'oochise. 
GEN.3.19	Ỹaatqajam nenoqoichiriñi 'ueenataxañi'sac, ca' qaigueme naviqui' ca qanoqe', chi ỹovireta'a ma' pillirougui na 'laua ná'maq chicqoiraugui na' qaro'viichi'. Ma' qami' 'laua na'le, ca' ñigui 'laua qami' ma'le.
GEN.3.20	So ỹale leenaxato' Eva nqai'en aso loua, ma' so'maxare chaqaso asó'maq late'e ná'ogue na 'ue da nachaalataxac. 
GEN.3.21	Ca' ñi qara'gaxala' qota'olec ỹo'ueeto'o' saua loho, ỹachigoxoterauguilo na isecỹac loshicmaxa, qaiyi so ỹale chaqai aso loua ỹañiñi. 
GEN.3.22	Ca 'naaco': Ca' nagui da ỹale 'nejme' qomi', ma' ỹa'den ca lo'yaxanec chaqai ca se no'uen. Qaiyi se naqat na la ada qo'paq chicqaugui da nca'laxa, ca ỹa'ic, ca' sqaica lqodoc da nachaalataxac.
GEN.3.23	Ca' vichiguiño' ñi qara'gaxala' qota'olec naqata'a so ỹale, ca'e nqai'en yi nanaxanqa' huaugui yi 'laua leenaxat Edén. Ca' ỹo'uet nqai'en na 'laua ná'maq chicqaugui na'le so'maxare co'na' qaỹo'uet. 
GEN.3.24	Ca co'na' ime naqata'a so ỹale, ca pa'xanda'gue da lqodoigue quiyi nanaxanqa' saua lelaatqa piguim lase', chaqai so lecat ỹaviquetaugui yá'ogue ỹaqaletentac, qaiyi qaica ỹovira'a adá'maq qo'paq chicqaugui da nca'laxa.
GEN.4.1	Ca' so ỹale mashic viguit aso loua Eva, ca 'man aso'maxare, ca 'uo' so llaalec Caín. Ca 'naaco':
GEN.4.1	—Mashic 'ue ñi ỹaalec ỹale; nañaañim ñi qara'gaxala'.
GEN.4.2	Ime, ca' lotqai 'ue so liỹa llaalec leenaxat Abel, lqaỹa so Caín. So Abel ỹalamqajlec quiyim neloxoỹaq cana qagreta, chaqai so Caín ỹalamqajlec da lo'ueenataxanaxac danaxantac, ỹanteguelec na 'laua.
GEN.4.3	Ca mashic 'vio' saua ñaxari, ca 'uo' so na'xa'a so Caín ỹodouo' aso lachitaxanataxanqate quiñi qara'gaxala', ỹachigoxotaugui na laỹaxac da lo'ueenataxanaxac. 
GEN.4.4	Chaqai so Abel qai'neeta ỹodou'a ñi qara'gaxala' so 'auaxai chaqai paguec loyac quena llaalec so qagretaipi. Ca' ñi qara'gaxala' nqo'te'ta so Abel chaqai asó'maq ỹavigaxat lachitaxanataxanqate. 
GEN.4.5	Qam sqai 'ne'tegue dajo na' ra'ỹa'a so Caín chaqai aso lachitaxanataxanqate. Co'na'le, ca' ỹaatqajam ro'o so Caín, ca' ỹoqa'a na lashic. 
GEN.4.6	Co'na'le, ca 'naaco' ñi qara'gaxala' queso'maxare: ¿Chi'negue ma' 'ohi' chaqai ỹoqa'a na qashiiqui'? 
GEN.4.7	Quetqai 'viichi'saco' ca ỹa'maqachiguiñi, ca' nedaañichirishiguim quet. Qam ma' sqai 'viichi', ca yí'maq rasauaxashichi' nauaantaque cá'maq la'maqa' quiyim qami' loxonec. Qam qami' quet ná'maq qadoxonqui' quet da'maxare.
GEN.4.8	Ca 'uo' so na'xa'a, ca' so Caín ỹauec so lqaỹa quiyim ỹouoỹa'pe. Ca co'na' mashic hueesalec yi no'ueenaxa, ca' so Caín i'guentalec so lqaỹa Abel, ca' ỹalauat. 
GEN.4.9	Co'na'le, ca ñi qara'gaxala' inato' so Caín, 'naaco':
GEN.4.9	—¿Negue' ca hueeta'gue ca rqaỹa'e' Abel?
GEN.4.9	Ca' so Caín 'naaco':
GEN.4.9	—'Taque', se sa'den. ¿Qa' ỹim quet neloxoỹaq queca'maxare?
GEN.4.10	Qam ñi qara'gaxala' 'naaco' queso'maxare:
GEN.4.10	—¿Chi'neco' ma' 'viichi'o' dajo? Na leuoripi ca rqaỹa'e' coraxachira'pe na'le quena 'laua ỹaualqaso'ot aỹim, ỹahosaque quiyim seuejlgoto. 
GEN.4.11	Vichiguiño' nagui, ca' se no'uen da qayicyaxaqui', chaqai qaro'yirauec quenajo 'laua ỹaqane'o' na'le caua leuo' ca rqaỹa'e' cá'maq lauachi'o' na'le. 
GEN.4.12	Ca 'eno'm 'viichi'sac na 'laua, qam tot qaca ma'le aca la. Ca chaqai huoxoñi'sac ma'le ana 'laua qaica ca ra'aachi', chaqai qaica ma' shichi' quet quiyim nco'machirec.
GEN.4.13	Ca co'na'le, ca' so Caín 'naaco' quiñi qara'gaxala':
GEN.4.13	—Ỹim ỹaatqajam se yalo'guit dá'maq chalego lecaic ỹouaxanaxaset. 
GEN.4.14	Nagui, ca' yo'yirauec quenajo seuetalec 'laua, ca chaqa shiqueteguelec na 'laua qaica ca ỹa'a', qoỹoqo'ta qami' caỹim, sqaica ca ñco'matqa'. Ca' canchaqaica iuanejlec aỹim, ca' yalauat ma'le.
GEN.4.15	Qam ñi qara'gaxala' 'naaco' queso'maxare:
GEN.4.15	—No'm 'ue ca ralauachi', ca' siete qaỹopilaxatalec ca nouaxanaxaset.
GEN.4.15	Co'na'le, ca ñi qara'gaxala' ỹo'uet aso netanaxasete so Caín, qaiyi no'm qaiuanejlec, qam se qaỹalauat. 
GEN.4.16	Ca' so Caín eeco', ca'e yí'maq hua'ño' na' retaqata'pegue' ñi qara'gaxala'. Ca naalco' yi 'laua leenaxat la'a' na se ỹo'viijñi. Yi'maxare pa'a'gue da lqodoigue quiyi Edén.
GEN.4.17	Ca' so Caín co'na' viguit aso loua, ca aso'maxare 'mano', ca ne'qaaño' so llaalec Enoc. Ca co'na' ime, ca' so Caín no'xonshiguimo' so 'imqaipi, ca leenaxato' nqai'en Enoc, leenqashaxaua so llaalec. 
GEN.4.18	So Enoc chaqaiso so leta'a so Irad, ca' so Irad chaqaiso so leta'a so Mehujael, ca' so Mehujael chaqaiso so leta'a so Metusael. Ca' so Metusael chaqaiso so leta'a so Lamec. 
GEN.4.19	Ca' so Lamec dos saua loua': 'óna aso leenaxat Ada, chaqai aso liỹa leenaxat Zila. 
GEN.4.20	Ca co'na' co'o aso Ada, ca 'uo' so llaalec leenaxat Jabal. Ca chaqaiso' só'maq leta'a na neraugui naua na'derañi 'imqa, chaqai lalo ana huaca. 
GEN.4.21	Ca' so Jabal 'uo' so llaalec leenaxat Jubal. Ca' chaqaiso só'maq leta'a na niviigue lo'ollipi chaqai ana npe'te. 
GEN.4.22	Qam co'o' aso Zila, ca 'uo' so llaalec, ca leenaxat Tubal-caín. Ca so'maxare lecat lahi lo'o. Ca' ỹo'ueetetac na bronce chaqai na fierro. Ca' so Tubal-caín 'uo' aso lqaỹa leenaxato' Naama.
GEN.4.23	Ca 'uo' so na'xa'a, ca 'naaco' so Lamec quesaua loua' Ada chaqai aso Zila:
GEN.4.23	Ỹaatqajam na'xaỹaxañii'ta dá'maq shinac caqamiri:
GEN.4.23	salauat so 'óna qom sauaxat ycoñirqachit,
GEN.4.23	chaqai salauat so ne'necoqui' ma' youaxan.
GEN.4.24	No'm so Caín ỹovi' siete qaỹo'uet da lovi',
GEN.4.24	ca' aỹim ỹovi' setenta y siete quiyim qaỹa'ue ca ỹovi'.
GEN.4.25	Ca' so Adán lotqai liỹa viguit aso loua, ca aso'maxare 'uo' so llaalec. Ca leenaxato' nqai'en Set, ma' 'naaco': Ñi qota'olec nañan ñi liỹa ỹaalec, ñigui nqai'en so Abel só'maq ỹalauat na'le so Caín.
GEN.4.26	Ca' so Set 'uo' qai'neeta so llaalec, ca leenaxato' nqai'en Enós. Ca' queco'na'le, ca' na qomyipi imaqachintac da leenaxat ñi qara'gaxala' qota'olec.
GEN.5.1	Ca' anajo aná'maq lomalate so llaalqaipi so Adán. Co'na' ñi qota'olec ỹo'uet so qom, ca chi nadenaxatalta'. Ca' ỹaatqajam chaqai 'ec da no'ueenataxac ñi qota'olec nqai'en so'maxare. 
GEN.5.2	Ỹo'uet so ỹale chaqai aso 'aalo, ca' ỹaanem da no'uen llicyaxac. Ca quesó'maq na'xa'a na' qaỹo'ueete', ca ñi qota'olec 'naaco': Leenaxato'o' nqohine', qomi'.
GEN.5.3	So Adán ỹovito'o' saua ciento treinta ñaxari co'na' ne'qaañi so llaalec ỹaatqajam imaho lashiquiaxaua. Ca' ỹanco' quiyim leenaxat Set. 
GEN.5.4	Ca co'na' ime dajo, ca' so Adán ñaqai queuguilo saua liỹa' ochocientos ñaxari quiyim nca'leetauec. Ca' 'vio' saua liỹa' llaalqa chaqai saua llaale. 
GEN.5.5	Ca' queda, ca' quesá'ogo' ỹovi' novecientos treinta ñaxari quiyim nca'leetauec. Ca co'na' ỹovite' sauajo ñaxari, ca' ileu.
GEN.5.6	Ca' so Set ỹovito'o' saua ciento cinco ñaxari co'na' ne'qaañi so llaalec Enós. 
GEN.5.7	Ca co'na' ime dajo, ca' so Set ñaqai queuguilo saua liỹa' ochocientos siete ñaxari quiyim nca'leetauec. Ca' 'vii saua liỹa' llaalqa chaqai saua llaale. 
GEN.5.8	Ca' quesá'ogue, ca' ỹovi' novecientos doce ñaxari quiyim nca'leetauec. Co'na'le, ca' ileu.
GEN.5.9	Ca' so Enós ỹovito'o' saua noventa ñaxari co'na' ne'qaañi so llaalec Cainán. 
GEN.5.10	Ca co'na' ime dajo, ca' so Enós ñaqai queuguilo saua ciento quince ñaxari liỹa' quiyim nca'leetauec. Ca' 'vio' saua liỹa' llaalqa chaqai saua llaale. 
GEN.5.11	Ca' quesá'ogue, ca' ỹovi' novecientos cinco ñaxari. Ca co'na' ỹovite' sauajo ñaxari, ca' ileu.
GEN.5.12	So Cainán ỹovito'o' saua setenta ñaxari co'na' ne'qaañi so llaalec Mahalaleel. 
GEN.5.13	Ca co'na' ime dajo, ca' so Cainán ñaqai queuguilo saua liỹa' ochocientos cuarenta ñaxari quiyim nca'leetauec. Ca 'vii saua liỹa' llaalqa chaqai saua llaale. 
GEN.5.14	Ca' quesá'ogue, ca' ỹovi' novecientos diez ñaxari quiyim nca'leetauec. Ca co'na' ỹovite' sauajo ñaxari, ca' ileu.
GEN.5.15	Ca' so Mahalaleel ỹovito'o' saua sesenta y cinco ñaxari co'na' ne'qaañi so llaalec Jared. 
GEN.5.16	Ca co'na' ime dajo, ca' so Mahalaleel ñaqai queuguilo saua liỹa' ochocientos treinta ñaxari quiyim nca'leetauec. Ca 'vio' saua liỹa' llaalqa chaqai saua llaale. 
