GEN.1.1	Ma mwena handru badeh Kindrei mwesekei munyak ma kandrah. 
GEN.1.2	Ya munyak kahis le badeh ma lakou aliy bwe, ndras badeh nohowan handru udu bolo lulik. Eme ya boto-on ta Malawi Ndrabun ta Kindrei badeh edek bwele-e gwa. 
GEN.1.3	Eme Kindrei eme, iy anya eh, “Kon kaleu.” Eme badeh kon aleu. Eme iy anyolom badeh ma iy sekesek handru. 
GEN.1.4	Ano iy atehei ndrokowan udu aliy, udu bolo len hawe lulik. 
GEN.1.5	Eme iy tondrohani kon aleu badeh, “Len,” ma tondrohani lulik badeh, “Ben.” Ano kon eben ano kon aleu badeh len ari ah.
GEN.1.6	Ano Kindrei anya eh, “Ya abo lakou i buku asi jor badeh keme kasahan ki la-uh kon, ari kudu ndrandrahun labai ya ari kudu ndrandrahun labai.” Eme badeh asahan i le buku aliy. 
GEN.1.7	Eme badeh Kindrei mwesekei lakou i buku asi jor badeh apwai gwa badu andri ma apwai gwa badu loken. 
GEN.1.8	Eme iy tondrohaniy lakou i buku asi jor nane badeh “Kandrah.” Ano kon eben ano kon aleu badeh, len la-uh ai.
GEN.1.9	Ano Kindrei anya ja eh, “Abo gwa badu bahandra kandrah badeh keme lese ma hawe munyak kasahan.” Eme asahan i le buku aliy. 
GEN.1.10	Eme Kindrei badeh tondrohani kon soboren badeh, “Munyak” ma iy tondrohani gwa udu se nane dah, “Ndras.” Eme Kindrei anyolom badeh ma iy sekesek handru. 
GEN.1.11	Ano iy anya eh, “Abo kei ma bwidiu kasahan bwele-e munyak, kato-ou buwa kei ma kato-ou salin ya iri badeh ndrateheyan labai.” Eme badeh asahan i le buku aliy. 
GEN.1.12	Eme saba buwa kei ateh bolo munyak eme loken, badeh Kindrei anyolom ma iy sekesek handru. 
GEN.1.13	Ano kon eben ano kon aleu badeh len taloh ai.
GEN.1.14	Ano Kindrei anya ja eh, “Lakou ta anya badeh kanya bada kandrah ta apou len ma ben, ma kaleheyani kalem ta an ta len ma hawe ta jaha ma hawe len ta atudun nyamon tinan ta atukum. 
GEN.1.15	Eme oro doh kameh adeu lomada oro kameh anya udu kandrah eme bwele-e munyak.” Eme badeh asahan i le buku aliy. 
GEN.1.16	Ya eme Kindrei badeh mwesekei lakou la-uh tinan ta anya, iy mwesekei an baden eh ta atondrok len ai. Ya bun baden eh ta atondrok ben ai; ma hawe iy mwesekei iri ndrau ale. 
GEN.1.17	Ano iy atehei lakou ta anya udu kandrah badeh ta adeu lomadan eme andri bwele-e munyak ai; 
GEN.1.18	i doh ta atondrok len hawe ben ma ta apou len ma lik. Eme Kindrei anyolom badeh ma iy sekesek handru. 
GEN.1.19	Ano kon eben ano kon aleu len hahuw ai.
GEN.1.20	Ano Kindrei anya ja eh, “Ya abo lakou mulin kasahan bolo gwa ma reu kaso na sirih.” 
GEN.1.21	Kindrei badeh ndramwesekei iri ni tinan badu ndras ma hawe iri saba lakou mulin ala ado bolo gwa badeh ndrano, ma iri badeh ndrateheyan labai. Eme Kindrei anyolom badeh ma iy sekesek handru. 
GEN.1.22	Eme iy atehei nyosowan i tiri ma iy anya, “Iri mulin badu gwa kadeu nah ma iri kaweleyani ndras, ma iri sirih ale kasahan solo-an.” 
GEN.1.23	Eme kon eben ano kon aleu len limeh ai.
GEN.1.24	Ano Kindrei anya eh, “Abo iri saba lakou katin haka badeh kasahan bwele-e munyak. Iri katin haka ndriliu ma ndriliu bwe, nadu bwisik ma tinan badeh kasahan. Ya iri badeh ndrateheyan labai.” Eme asahan i le buku aliy. 
GEN.1.25	Ya eme Kindrei badeh mwesekei iri mari doh ano iy anyolom eme badeh iy sekesek handru.
GEN.1.26	Ano Kindrei anya ja eh, “Ya abo i dah kameh to kamwekes ndramak awas ai; ya teheyan ma kone oro ki le buku to. Ya eme oro kameh katondrok iri ni, katondrok iri sirih ma katondrok iri katin haka ndriliu ma ndriliu bwe, bwisik ma tinan.” 
GEN.1.27	Ano Kindrei badeh mwesekei ndramak awas mwesekei teheyan ma konen i le buku iy, mwesekei mwan ma hawe badih. 
GEN.1.28	Ano badeh iy atehei nyosowan i turu ma tiye i turu i buku doh, “Ah badeh kamwekes nah ya lundriye ah oro kaweleyani kon munyak mari ma kado katondrok. Ma jo atehei ah badeh katondrok iri ni katondrok iri sirih ma hawe iri katin haka ndriliu. 
GEN.1.29	Ya saba buwa kei badeh ah kaimon le ai. 
GEN.1.30	Arile iri katin haka ndriliu hawe iri sirih baden eh, jo atehei nyamon tiri badeh bwidiu ma hawe la-u kei i ta nyumon tiri ai.” Eme badeh asahan le ai. 
GEN.1.31	Eme Kindrei anyolom lakou mari iy mwesekei doh badeh ma iy sekesek handru ta aliy. Ano kon eben ano kon aleu badeh len onoh ai.
GEN.2.1	Eme ya kon mari ma kandrah badeh ndramwesekei ndrano ai. 
GEN.2.2	Eme na len onoh badeh lahou ta Kindrei ano. Eme na len ndro taloh badeh iy amunyau. 
GEN.2.3	Eme iy nyosowani len ndro taloh ma atehei ere len, tasah na len doh badeh iy mwesekei lakou mari ma iy amunyau. 
GEN.2.4	Eme ya i dah nyala lakou mari badu munyak asahan i buku sah.
GEN.2.4	Na len Laban Kindrei mwesekei kon munyak mari, 
GEN.2.5	badeh sese kei bateh bwe, ari buwa kei badeh bateh bada ndren bwe, tasah iy batiye ur badeh bandruk bwe, ma lau ta apou ndren bwe. 
GEN.2.6	Arile gwa ja badeh udu bolo ndren eme loken badeh asabu bwele-e munyak. 
GEN.2.7	Ano badeh Laban Kindrei rawi ndren eme loken, ano iy amwekes ndramak na aliy; ano badeh iy aluhi kohan handru i no-on ma ndramak dah asahan awas.
GEN.2.8	Ano badeh Laban Kindrei mwesekei bilin nyaran Iden udu loboho an eme loken. Ano badeh iy tiye ndramak nane, iy mwesekei dah udu aliy ai. 
GEN.2.9	Iy badeh mwesekei saba kei mwasin badeh ateh udu aliy ma edeu salin. Eme udu alih ta bilin badeh kei lu-ei le, kei doh ta edeu koham winiyan bano bwe. Ma kei ale ta edeu tanan ndra-in ma tanan mwasin. 
GEN.2.10	Ma gwa rawa badeh arorou, udu bolo Iden ta edeu gwa i ta bilin; ano udu doh badeh, apou i handra. 
GEN.2.11	Gwa rawa ma bwena eh, badeh aloh gwa Pison, badeh arorou awudi kon munyak aloh nyaran Habilah. 
GEN.2.12	Ya bek nyikilikin aloh gol badeh, udu aliy ma kei ta suluw badeh udu aliy ma hawe bek mwasin mwasin badeh udu aliy ale. 
GEN.2.13	Ya andra gwa rawa ja aloh gwa Gihon; badeh arorou awudi kon munyak aloh Kus. 
GEN.2.14	Ano andra gwa taloh badeh gwa Taigres; iy badeh arorou loboho an eme loken ta kon Aseriya. Ano andra gwa hahuw badeh nyaran gwa Yupretis.
GEN.2.15	Ano badeh Laban Kindrei atehei ndramak nane udu bilin loboho kon Iden ta iy kinyor ma iy katondrok. 
GEN.2.16	Ano iy tiye i tan, “Ou badeh winiyan aimon buwa kei mari badu bolo bilin; 
GEN.2.17	Arile kei ala ta leheya tanan ndra-in ma ta leheya tanan mwasin badeh ou saimon buwan ndri-i labai. I buku na len ou aniy kameh, ou kameh amak.”
GEN.2.18	Ano Laban Kindrei lomondra i buku doh, “Ei, bamwenen se bwe, i buku ndramak udu ya iy badeh le ari le. Jo kamwesekei ari seben mwasin ta aseben iy.” 
GEN.2.19	Eme iy andrei ndren eme, ano iy mwesekei iri katin haka mari ma hawe iri sirih. Ano badeh iy tukumwi iri ase ala hawe i ndramak nane dah ta iy katondrohan nyara iri. 
GEN.2.20	Eme ma iy tondrohani nyara iri sirih mari ma hawe iri katin haka mari; arile ari toro badeh mwasin ta asahan borobwar tan bwe.
GEN.2.21	Ano ja badeh Laban Kindrei badeh mwesekei ndramak dah amadin tuk; eme iy i ndramatinou kahis le badeh iy andrei ndruwi kabeden ari. Ano iy lowosani odan i hamon ja. 
GEN.2.22	Eme iy mwesekei badih dah nane na ndruwi kabede ndramak dah ano sirini iy ili hawen. 
GEN.2.23	Ano ndramak dah anya ja eh, “Kabwe ai; i dah i buku le jo amwenen. Ndruwin andrei badeh badu ndruwik ma odan badeh badu odak amwenen. Ya eme iy badeh badih, tasah iy badeh asahan ta ndramak mwan.” 
GEN.2.24	Eme ya ta katin doh badeh i mwan badeh karuwani taman uru tinen ya iy keme len hawe udun ya uru badeh ka ari buruwen. 
GEN.2.25	Ya uru ma la-uh badeh kolau bwe, arile uru badeh buli uru bama uru bwe.
GEN.3.1	Eme ya mwak badeh tanan tan badeh ndrala labai udu bolo iri katin haka mari ala Laban Kindrei mwesekei. Eme ya mwak lelen i badih, “Em Kindrei tiye i tam handru ta ou badeh saimon buwa kei badu bolo bilin dah?”
GEN.3.2	Eme i badih anya eh, “Aru badeh winiyan aimon buwa kei badu bilin. 
GEN.3.3	Arile kei udu alih ta bilin badeh Kindrei tiye anya, aru badeh saimon buwan. Ma aru sanyokar ale, bakameh aru amak.”
GEN.3.4	Eme badeh mwak anya eh, “Badeh wasai oh; ou winiyan bamak bwe. 
GEN.3.5	Kindrei tiye badeh, tasah iy tanan i buku ou aniy kameh ou kameh asahan i buku iri Kindrei. Ma ou kameh atanam lakou mwasin ma lakou ndra-in.”
GEN.3.6	Eme i badih dah anyolom kei dah ma buwan badeh mwasin labai ta aimon, eme iy lomondra, “Mwasin handru en i buku jo kasahan badih ta tanan.” Eme iy andrei rayah ma iy aimon ai. Ano badeh iy andrei rayah i mine udun ma udun aimon ale. 
GEN.3.7	Eme uru aniy le badeh, ma uru akohok tanan ma uru atanan ai, uru badeh kolau bwe; eme ma uru asowek la-u kei aloh pik i se ma uru taliye ai.
GEN.3.8	Eme na beyeh doh le badeh uru anuhun Laban Kindrei edek bolo bilin le badeh, uru aton ala bolo ndrokowa kei udu bolo bilin. 
GEN.3.9	Eme Laban Kindrei aloh iy, “Ou ndraheh?” 
GEN.3.10	Eme iy anya eh, “Jo anuhun ou ado bolo bilin; eme jo inoh ma jo aton tam, tasah jo kolau bwe.” 
GEN.3.11	“Are tiye ta ah anya, ah kolau bwe?” Kindrei ndremenya, “Ah ndrani buwa kei ala jo mene anya ah saimon en?” 
GEN.3.12	Eme i mwan anya eh, “I badih ou atehei iy udu hawek kada-ah, badeh atehei buwa kei eme ma jo iniy.” 
GEN.3.13	Eme badeh Laban Kindrei lelen i badih, “Ou anya amwekes tasah?” Eme iy anya eh, “Mwak wendreyani jo ma jo iniy.”
GEN.3.14	Ano Laban Kindrei tiye i ta mwak, “Ou le kameh ou akohok isi ta aliy. Ou le ari badu bolo iri katin haka mari, ala adek ma seselek ya jo tandrakan ou le ari. Na len dah ma na len eme kameh, ou kameh seselek na baha ndrinem ma ou kameh kaniyam kameh ndren na len ari i buku ari udu le buku doh.
GEN.3.15	“Ya jo kameh mwesekei ou hawe i badih kameh ah kameh baseken ah bwe; nadu ah kameh uru kameh andra-i udu le buku doh. Ya nadu i badih kameh tihisiy batum abwesek ma i dah kameh ou kameh aso ma aimon katin.”
GEN.3.16	Ano iy tiye i ta i badih, “Jo kameh amwekes isi labai i buku nah ere ndrinem ma i dah kameh jo edeu sisi-in i buku ou anya adeu nah. Ya ta i doh kameh ou kameh anya udum sala len, arile i mwan le badeh atondrok ou.” 
GEN.3.17	Eme iy tiye i ta i mwan, “Ou anuhun boho udum ma ou aniy buwa kei mene jo tiye anya ou saimon. Ya eme ta lakou ou ndramwesekei, i dah kameh munyak andra-i. Ya i dah kameh len ou ado kameh ou amwekes lahou boto-on boto-on ta amwekes munyak ta atah nam nyamon. 
GEN.3.18	Ya i dah kameh iri bwidiu bobodon kameh ateh ma i dah kameh ou kameh aimon buwa kei badu lokei. 
GEN.3.19	Ma i dah kameh ou amwekes lahou boto-on ma sa-ar asahan ta amwekes nyamon. Winiya len ou le barala hamon barala munyak ja mene amwekes ou na aliy, ma ou kameh a munyak leleyah.”
GEN.3.20	Adam tondrohani nyara udun badeh Ewa, tasah iy badeh tine iri lau mari. 
GEN.3.21	Eme Laban Kindrei mwesekei kolau i turu na ku-i katin haka ma iy tani i turu.
GEN.3.22	Ano Kindrei tiye, “Abo iri ndramak badeh ndrasahan ndra buku to ai, ndratanan saba lakou mwasin ma saba lakou ndra-in. Eme ya iy badeh sakohok buwa kei ala ta amwekes kohan udu le buku doh ma iy badeh saimon. Bakameh iy kameh kohan kudu le buku doh.” 
GEN.3.23	Eme ma Laban Kindrei suni iy iu i len ta bilin Iden ma mwesekei iy apou munyak ala mene bwidi iy mene asahan na aliy.
GEN.3.24	Eme ya loboho an eme loken manan ta bilin badeh iy atehei iri angelo, lau ta ndrokei; ma samen badeh anya ili eme udu mada san ta i bolo bilin Iden, badeh ta nohowa lau same mirihik ta kei ta edeu kohan mwasin.
GEN.4.1	Ano badeh Adam amadin hawe udun, eme ma ndrine udun i tinan. 
GEN.4.2	Eme ma iy atehei nah mwan; ano iy tiye, “Laban aseben jo ma nah mwan ndrasahan.” Eme iy tondrohani nyaran Ken. Ano badeh iy atehei mwan ari ja nyaran Abol. Eme badeh Abol badeh asahan ndramak ta atondrok iri katin haka, ma hawe Ken badeh asahan ndramak ta bilin.
GEN.4.3	Ano oro ado sese badeh, Ken eme badeh andrei nyamon rayah badu bilin eme iy asun i nyara salom i ta Laban. 
GEN.4.4	Ano Abol eme andrei nadu sipsip ari kasen mwasin handru, ano badeh iy idiy imek. Eme iy edeu i nyara salom mwasin. Eme ya Laban Kindrei badeh sekesek ma aseken Abol ma salom tan. 
GEN.4.5	Arile ta Ken badeh iy baseken handru bwe. Eme badeh Ken i bolosen handru ma ndrinen isi handru en.
GEN.4.6	Ano badeh Kindrei tiye i ta Ken, “Ou a bolosen ta sasah? Badam asaram ta sasah? 
GEN.4.7	I buku none ou amwekes lakou mwasin, i dah nane ou sekesek; arile ou ndramwesekei kandriyen ndra-in, eme karei ma lomondra ndra-in abe-en ou ma abwe-ek ou udu konam. Eme ou abadok doh?”
GEN.4.8	Ano badeh Ken tiye sahou i ta nadu tinen Abol, “Talu ka-au kala len.” Eme uru au ame len badeh, Ken eme tubuni iy, eme ma iy idi nadu tinen imek.
GEN.4.9	Ano Laban eme ndremenya Ken, “Nadu tinem ndraheh?” Eme iy anya, “Jo tanan bwe oh, jo atondrok iy ai?”
GEN.4.10	Ano Laban tiye, “I buku sah ou amwekes budon ndra-in dah? Ndraye nadu tinem asah eden udu bolo ndren kede-eh; eden eme tek ta ou kameh akohok isi saluwen. 
GEN.4.11	Eme ya i dah kameh munyak kameh andra-i na bales tasah na ou. Munyak badeh ndranyuwi ndraye nadu tinem i buku none ari lakou bohon asak le, na len ou adai iy. 
GEN.4.12	Ya i buku none ou anya atah baso kameh, munyak kameh winiyan bamwekes bateh bwe, ma ou kameh ta tekedek le.”
GEN.4.13	Eme Ken tiye i ta Laban i buku doh, “Ou tiye sahou badeh maha-an labai eme tek. 
GEN.4.14	Ou kameh tikahei jo iu ta munyak ma ta tondrok ai, ma jo kameh edek le ai, ya are ndrondron jo kameh idi le jo ai?” 
GEN.4.15	Arile Laban anya eh, “Bwe, i buku none are idi ou, i dah kameh lau ndro taloh amak i saluwem.” Eme Laban atehei kalem i ta Ken ta tiye tanan i tare ndrondron iy badeh sadai iy. 
GEN.4.16	Eme Ken iu, iu ta mada Laban ili udu munyak aloh, “Lolo-an Le,” udu loboho an eme loken ta bilin Iden.
GEN.4.17	Ano badeh Ken uru udun atehei nadu uru eme tondrohani nyaran Inok. Ano badeh Ken tahi kon tinan ari ma tondrohani nyaran i nyara nadun. 
