MAT.1.1	Vitsa katar o Jesus Kristo, šiav katar o David, šiav katar o Abraham. 
MAT.1.2	Katar o Abraham avilo o Isak; katar o Isak avilo o Jakob; katar o Jakob avilo o Juda ai leske phral; 
MAT.1.3	katar o Juda avilo o Fares ai o Zara, lengi dei sas e Tamara; katar o Fares avilo o Esrom; katar o Esrom avilo o Ram; 
MAT.1.4	katar o Ram avilo o Aminadab; katar o Aminadab avilo o Nason; katar o Nason avilo o Salmon; 
MAT.1.5	katar o Salmon avilo o Boaz, leski dei sas e Rahab; katar o Boaz avilo o Obed, leski dei sas e Rut; 
MAT.1.6	katar o Obed avilo o Jesai; katar o Jesai avilo o amperato David.
MAT.1.6	O David avilo lestar o Salomon, leski dei sas e phivli le Urieski. 
MAT.1.7	Katar o Salomon avilo o Roboam; katar o Roboam avilo o Abia; katar o Abia avilo o Asa; 
MAT.1.8	katar o Asa avilo o Josafat; katar o Josafat avilo o Joram; katar o Joram avilo o Ozias; 
MAT.1.9	katar o Ozias avilo o Joatam; katar o Joatam avilo o Ahaz; katar o Ahaz avilo o Ezekias; 
MAT.1.10	katar o Ezekias avilo o Manase; katar o Manase avilo o Amos; katar o Amos avilo o Josias; 
MAT.1.11	katar o Josias avilo o Jekonias ai leske phral ande e vramia kai ningerde le Židovon ande o Babilon.
MAT.1.12	Mai pale kana ningerde le ande o Babilon, katar o Jekonias avilo o Salatiel, katar o Salatiel avilo o Zorobabel; 
MAT.1.13	katar o Zorobabel avilo o Abiud; katar o Abiud avilo o Eliakim; katar o Eliakim avilo o Azor; 
MAT.1.14	katar o Azor avilo o Sadok; katar o Sadok avilo o Akim; katar o Akim avilo o Eliud; 
MAT.1.15	katar o Eliud avilo o Eleazar; katar o Eleazar avilo o Matan; katar o Matan avilo o Jakob; 
MAT.1.16	katar o Jakob avilo o Josef, o řom la Mariako, kastar arakhadilo o Jesus, kai akharen les o Kristo.
MAT.1.17	Si ande sa deš-u-štar vitsi de katar o Abraham ži ka o David, deš-u-štar vitsi de katar o David žikin či ningerde le Židovon ande o Babilon, ai deš-u-štar vitsi de katar ningerde le ande o Babilon ži ka o Kristo.
MAT.1.18	Eta sar areslias te arakhadiol o Jesus Kristo. E Maria, leski dei, sas tomnime pala o Josef, sas phari katar o Svinto Duxo, angla savořende te bešen ande jekh than. 
MAT.1.19	O Josef, lako řom, kai sas jekh manuš lašio ai kai či kamelas te del la pe o lažiav, manglias te del pe rigate latar čorořal. 
MAT.1.20	Sar vo delas pe godji, eta, jekh andželo le Baresko avilo leste ande o suno, ai phenel: Josef, šiav katar o David, na dara te les tusa la Maria, tjiri řomni, ke o šiavořo kai si t'avel la avel katar o Svinto Duxo; 
MAT.1.21	La avela la jekh šiav, ai tu desa les o anav o Jesus; vo skipila pesko narodo anda le bezexa.
MAT.1.22	Sa kudia areslias te kerdiol so o Baro phendiasas katar o profeto:
MAT.1.23	Eta, e šei pativali avela phari, la avela la jekh šiav,
MAT.1.23	Ai dena les o anav o Emanuel,
MAT.1.23	so si kudia «o Del amensa».
MAT.1.24	O Josef uštilo, kerdias so o andželo le Baresko dias les ordina, vo lias peska řomnia pesa. 
MAT.1.25	Numa vo či hamisailo late žikin či arakhadilo lake jekh šiav, kaske dias o anav o Jesus.
MAT.2.1	O Jesus arakhadilo ande o Betlehem ande e Judea, ande e vramia kai sas o amperato o Herodo, eta drabarne anda e čači rig dural avile ande o Jerusalem, 
MAT.2.2	ai phenen: Kai lo o amperato le Židovongo kai arakhadilo? Ke ame dikhliam leski čeřai pa e čači rig katar ame avas, ai ame aviliam te das les pativ.
MAT.2.3	O amperato Herodo, ašundias kudia, isdraias, ai sa o Jerusalem lesa. 
MAT.2.4	Vo kjidias sa le mai bare rašan židovitsko ai le zakonaren anda o narodo, ai vo pušel kai trubul t'arakhadiol o Kristo. 
MAT.2.5	Von phenel leske: Ande o Betlehem ande e Judea; ke eta so sas ramome katar le profeturi:
MAT.2.6	Ai tu, Betlehem, phuv anda e Judea.
MAT.2.6	Tu či san anda le mai tsinoře anda le foruri ande e Judea,
MAT.2.6	ke anda tute anklela avri jekh birevo
MAT.2.6	kai pravarela o Israel, tjiro narodo.
MAT.2.7	Atunči o Herodo akharel čorořal le drabarnen, ai pušel lendar pria mišto de sode vramia e čeřai strefial. 
MAT.2.8	Porme tradias le ande o Betlehem, phenelas: Žian, ai pušen vorta pa o tsinořo šiavořo; kana tume arakhena les, keren te žianav, eta te žiav vi me te dav les pativ.
MAT.2.9	Pala ke ašunde ka o amperato, von geletar. Ai eta, e čeřai kai von dikhle pe e rig čači phirelas angle lende žikin či aresli opral pa o than kai sas o tsinořo šiavořo, voi terdili. 
MAT.2.10	Kana von dikhle e čeřai, len lias le jekh pria bari veselia. 
MAT.2.11	Von dine andre ande o kher, dikhle le tsinoře šiavořes la Mariasa, leski dei, dine čanga kai řudjisaile leste; von puterde atunči penge moxte, ai von dine les sunakai ai duxi — tumuia ai miro. 
MAT.2.12	Porme, katar o Del sas lenge phendo ande o suno te na žian palpale ka o Herodo ai von gele ande pengo them pa jekh kaver vurma.
MAT.2.13	Kana von geletar, eta, jekh andželo katar o Baro sikadilo ande o suno ka o Josef, ai phenel: Ušti, le le tsinoře šiavořes ai leska da, naš ande e Egipta, ai beš kothe žikin či dava tusa duma; ke o Herodo rodela le tsinoře šiavořes te mudarel les.
MAT.2.14	O Josef uštilo, lias riate le tsinoře šiavořes ai leska da, ai gelotar ande e Egipta. 
MAT.2.15	Vo bešlo kathe žikin či mulo o Herodo, eta t'aresel so o Baro phendiasas katar o Profeto: Me akhardem muře šiaves avri anda e Egipta.
MAT.2.16	Atunči Herodo, dikhlias ke diliarde les le drabarne, lias les jekh bari xoli, ai vo tradias te mudaren sa le šiavořen do beršenge ai mai terne kai si ande o Betlehem ai anda sa kudia rig, pala e vramia kai vo pušlias mišto katar le drabarne. 
MAT.2.17	Atunči areslias so sas phendo katar o Jeremia, o profeto:
MAT.2.18	Ašunde o tsipimos ande o Rama,
MAT.2.18	roimata ai bare vatimata:
MAT.2.18	E Rahel rovel peske šiaven,
MAT.2.18	ai či kamlias te miluin la, ke von manai.
MAT.2.19	Kana o Herodo mulo, eta, jekh andželo le Baresko sikadilo ande o suno ka o Josef, ande e Egipta, 
MAT.2.20	ai phenel: Ušti, le le tsinoře šiavořes ai leska da, ai žia ande o them o Israel, ke kudala kai kamenas te mudaren le tsinoře šiavořes mule.
MAT.2.21	O Josef uštilo, lias le tsinoře šiavořes ai leska da, ai gelo ande o them o Israel. 
MAT.2.22	Numa, ašundias ke o Arkelaus amperetsil ande e Judea ande o than katar o Herodo, lesko dad, darailo te žial kothe; ai, sar sas leske phendo ande o suno, vo gelo ande e phuv e Galilea. 
MAT.2.23	Ai avilo te bešel ande jekh foro kai akharen les Nazaret, eta t'aresel so sas phendo katar le profeturi: Vo avela akhardo Nazariano.
MAT.3.1	Ande kudia vramia, sikadilo o Jono kai boldias, delas duma ande e pusta ande e Judea. 
MAT.3.2	Vo phenelas: Kein tume, ke e amperetsia la čerengi si paše.
MAT.3.3	O Jono si kudo kai phendiasas pa leste o profeto Esai, kana vo phendias:
MAT.3.3	Kathe si o hango kai tsipil ande e pusta:
MAT.3.3	Lašiaren e vurma le Bareski
MAT.3.3	Teliaren leske vurmitsi.
MAT.3.4	Pe o Jono sas pe leste jekh tsolo anda o bal la gumulako, ai jekh prastia anda e mortsi pe leske prašave. Vo xalas grastoře ai avdjin sirbato. 
MAT.3.5	O narodo anda o Jerusalem, anda sa e Judea ai anda sa o them krugom o Jordan, žianas paša leste; 
MAT.3.6	ai, puřinas penge bezexa, von bolenas pe lestar ande o pai o Jordan.
MAT.3.7	Numa, vo dikhelas ke aven ka lesko bolimos but Farizianuri ai Sadusenuri, vo phenel lenge: Vitsa sapengi! Kon sikiardias tumen te našen katar e xoli kai si t'avel? 
MAT.3.8	Sikaven angla savořende dieli ke keisailian, 
MAT.3.9	ai na phenen ande tumende: Amen si ame o Abraham amaro dad! Ke me phenav tumenge ke anda kakala bař o Del šai ankalavel šiaven le Abrahamoske. 
MAT.3.10	Inke o tover si thodino ka e vuna le kopačengi: Sako kopači kai či del laši fruta avela šindi ai šiudini ande e jag. 
MAT.3.11	Me, bolav tume ande o pai, anav tumen te kein tume; numa kudo kai avel pala mande mai zuralo si mandar, ai me či sim harniko te lav leske papuča. Vo, bolela tumen ande o Svinto Duxo ai ande e jag. 
MAT.3.12	Si les leski setka ande o vast; vo hulavel o gjiv, ai vo kjidela pesko gjiv ande peski stala, numa vo phabarela o sulum ande jekh jag kai či bilala šoha.
MAT.3.13	Atunči o Jesus avilo anda e Galilea ka o Jordan karing o Jono, t'avel boldo lestar. 
MAT.3.14	Numa o Jono či kamel, phenelas: Me trubuv t'avav boldo tutar, ai tu aves mande!
MAT.3.15	O Jesus del les palpale: Muk te keras kadia akana, ke mišto t'ame te keras kadia sa so si vorta.
MAT.3.15	Ai o Jono muklia pe. 
MAT.3.16	Sar o Jesus sas boldo, vo anklisto avri anda o pai, strazo puterdilo o čeri angla leste ai vo dikhlias o Duxo le Devlesko kai vulel tele sar jekh gulumbo ai avel karing leste. 
MAT.3.17	Ai eta, jekh hango ašundiol anda o čeri kai phendias: Kado si muřo Šiav kai si mange drago, ande kaste me thodem sa muři dragostia.
MAT.4.1	Atunči o Jesus sas ningerdo katar o Duxo ande e pusta, te zumavel les o beng. 
MAT.4.2	Kana postisardias štar-var-deš dies ai štar-var-deš ratia, sas bokhalo. 
MAT.4.3	O zumaitori, pašilo paša leste, phenel leske: Te san tu o Šiav le Devlesko, de ordina ke kakala bař te kerdion manře.
