MAT.1.1	Abraham nu David, David nuo Jisu Khrista shühye lüsida; 
MAT.1.2	Abraham yo Isaac pari, Isaac yo James pari; James yo Judas mo pü sazühzürako pariyi. 
MAT.1.3	Süze Juda-e Tamarpü yono Perez mo Zora unyi münuyi; Perez yo Hezron pari mo Hezron yo Aram pariyi; 
MAT.1.4	Aram yo Aminadab mo Aminadab yo Nasahon mo Nashon yo Salmon pariyi; 
MAT.1.5	Salmon-e Rakhab pü yono Boaz ngoyi, mo Boaz-e Ruth yono Obed münuyi, mo Obed yo Jese pariyi; 
MAT.1.6	Mo Jesse yo David Küdeo pariyi, David-e thazü Uria cemipü yono Solomon münuyi. 
MAT.1.7	Mo Solomon yo Rehoboam pari; Rehoboam yo Abijah mo Abijah yo Asa; 
MAT.1.8	Mo Asa yo Jehosafat; mo Jehosafat nu Joram, mo Joram, mo Joram nu Uzia. 
MAT.1.9	Süsari Uzia yo Jothan pari, Jothan yo Ahaz, mo Ahaz yo Hezekia; 
MAT.1.10	Mo Hezekia yo Manasseh mo Manesseh nu Amon, süsa Amon nu Josia. 
MAT.1.11	Süsa puko tüzüh die Babylon lü vota küto müsühce Josia nu Jekhonia mo sazüdzürako münuyi. 
MAT.1.12	Mo puko tüzüh Babilon lü kütasa Jekhonia Salethel münuyi; mo Salethel yo Zerubabel pariyi. 
MAT.1.13	Mo Zerubabel yo Abiud pari; mo Abiud yo Eliakim pariyi; mo Eliakim yo Azor pariyi. 
MAT.1.14	Süze Azor yo Zadok yo Akhim mo Akhim yo Eliud pariyi; 
MAT.1.15	Mo Eliud yo Eliazar mo Eliazar yo Mathan mo Matthan yo James; 
MAT.1.16	Mo James nu Joseph, Mary nopu, süpü yono Jisu Khrista li küti-o münuyi. 
MAT.1.17	Hihibi die Abraham yono vo David kütso nuye kürida; mo David yono votüzüh Babilon lü küvo kütso nuye kürida; süze puko tüzüh Babilon lü küvo lüno vori Khrista kütso ri nuye kürida.
MAT.1.18	Süze, Jisu Khrista kümünu hibi; Pu zu Mary po Joseph unyi küri küto küpo püh ma kütace; unyi küzüh lhü küta mhuzü Mary Kümüsa Rüpü lüno nulhüpü ba küta seyita. 
MAT.1.19	Süsa pu nupu Joseph kümathomi püh zo tina, pu püh müthi mhüzü thüce thinyi mo die mükhrüh pu kha küva lübata. 
MAT.1.20	Eli, pu zü süko müdo kübace, yhie, Nyep-o shoyimi püh pu mholü puce vori die pu yisü, Yhie, No David nu Joseph, no Mary yi püh n cemi thi müprüh tahite. Kükrenamori, pu nu lhüpü kübao sü Kümüsa Rüpü lüno zo kütina. 
MAT.1.21	Pu thüpunumi püh münu süto, mo no Pu za thopüh Jisu zi die cito. Kükrenamori, Pupu thümako küphoma lüno puko küla sü kütona. 
MAT.1.22	Mha hiko thi küta, kükrenamori, Nyepoo sadzühkesemi talü podie; 
MAT.1.23	Yhie Rülimi phosühpü püh nulhü pü yito, sidie thüpunumi püh münu yito, mo puko Pu za thopüh Immanuel thito, mo Immanuel co Jihova uzüh bate; zi püh kümütao tsühyi kütona. 
MAT.1.24	Süsa Joseph pu küzüh lüno co süri die Nyiepoo shoyimi puce po küsü bi die pu cemi zühyita. 
MAT.1.25	Eli, süpü pu nu nura süo münuyi kümothe pupu cemi süpu züh thünothüpu thimo. Süsano nu süo za thopüh Jisu ciyi.
MAT.2.1	Süze Herod küde-o tüce Judea cejü lü Bethlehem rüna lü Jisu münu küyice, Yhie! Nathoco mhaküsemi kropüh Jerusalem lü vori die sü; 
MAT.2.2	Münu züh küba Jewmi küde-o sü dice ba? Kükrenamori, ha nathoco Pu thünyio ngo die pu rüsu to vori küzüna zidie kütsota. 
MAT.2.3	Herod küde-o mha hiko se küsüce; pu mo Jerusalem thüma mütüri pu züh die ulü krokrühyi mota. 
MAT.2.4	Sidie pu pethiküzhoko mo lüsiküseko mütü ci künguyi die pukoce; Khristao sü dipühce münu tozu ta ra ha? Zi kütso. 
MAT.2.5	Puko sü, puce, Judea cejü lü Bethlehem li küti lü to, Kükrenamori, sadzühküseo po hibi die thopüh müta tina; 
MAT.2.6	Mo no Judea cejü lü Bethlehem, no, Judea cejü lü küzhoko dolü künyithoo motazo. Kükrenamori, n yono Küdenumi püh parito, mo süo tho a thüma Isrealko kükhü thi zoto küti na zita. 
MAT.2.7	Süsa Herod mükhrüh mhaküseko cizüh vori die pukoce, dipühküthice u thünyio pari ta shi küti pu tütso thizo die kütsoyi. 
MAT.2.8	Sidie pu süko kütsüh püh Bethlehem lü sü die püko yisü, neko vo die neko tütso thi die unu-o phute. Sidie pu ngoyi lize la vori die ace po süte, a pori Pu rüsu küto na, zisü. 
MAT.2.9	Süze puko küde-o zü rünyiyi die ta zo vota, mo puko nathoco küngo thünyio puko mhuzü ra vo die unu-o khapüh kümüzü thüthi-o pitü lü bata. 
MAT.2.10	Puko thünyio ngoküyice puko nü shühta. 
MAT.2.11	Sidie puko ce-olü lü küyice, unu-o Pu zu Mary züh ba die ngoyi, süna puko nürhüh prü Pu rüsuta. Sidie puko mhadzühko phrühyi die suna, dhunatsa mo mha rüh küthünyiko püh Pu prü sü. 
MAT.2.12	Süsa puko mholüno Jihova puko po Herod ce sala vo hino küta na; puko sho kükre züh sü puko tho puko rünana lü vota.
MAT.2.13	Süze puko ta küta sa, Yhie, Nyepoo shoyi-o Joseph mholü puce vori die sü; no süyite, sidie unu-omo Pu zu unyi züh Egypt lü vo tate, mo I nce po sü kümothe sülü batate, kükrenamoli Herod-e nu tsüo müka va tozu phu zoto kütina, zita. 
MAT.2.14	Süsa pu süri die unu-o mo Pu zu unyi zühyi die tüzühzüh ta Egypt lü prüta. Sidie Herod sata kümothe sülü bata. 
