MAT.1.1	Lungolo lwa Yesu Kilisto, kibelei cha Daudi, ngi kibelei chu Ulaimu.
MAT.1.2	Kuboka pu Ulaimu kuika Nngwana Daudi, yenje ngi ibelei yenie, Ulaimu ngapoto mwana Isaka, Isaka ngapoto mwana Yakobo, Yakobo ngapoto mwana Yuda, ni inunu yakwe,
MAT.1.3	Yuda ngapoto mwana Felisi na Zela amamundu bakiba Atamali, Pelisi ngapoto mwana Esiloni, Esiloni ngapoto mwana Lami. 
MAT.1.4	Lami ngapoto mwana Aminadabu, Aminadabu ngapoto mwana Nashoni na Nashoni ngapoto na mwana selemani, 
MAT.1.5	Selemani ngapoto mwana Boazi amamundu Laabu. Boazi ngapoto mwana Obedi amamundu Lutu, Boazi na Lutu bakibanga achikibelei ba Obedi, Obedi ngapoto mwana Yese, 
MAT.1.6	Yese nga ngapoto mwana Nngwana Daudi. Daudi ngapoto mwana Solomoni amamundu abakiba anaba Uliya. 
MAT.1.7	Solomoni ngapoto mwana Leoboamu, Leoboamu ngapoto mwana Abiya. Abiya ngapoto mwana Asa, 
MAT.1.8	Asa ngapoto mwana Yaashafati, Yaashafati ngapoto mwana Yolamu, Yolamu ngapoto mwana Uzia, 
MAT.1.9	Uzia ngapoto mwana Yotamu, Yotamu ngabe na mwana, Aazi ngapoto mwana Ezekia. 
MAT.1.10	Ezekia ngapoto mwana Manase, Manase ngapoto mwana Amoni, Amoni ngapoto mwana Yosea. 
MAT.1.11	Yosea ngapoto mwana Yekonia, na akanung'una. Kingobu chenie kikiba kiamo Akayahudi kapeleka kukilambo chuku Babiloni.
MAT.1.12	Kuboka pikitamo cha Akayahudi kujenda ku Babiloni, Yekonia ngapoto mwana Shetieli, Shetieli ngapoto mwana Zelubabeli. 
MAT.1.13	Zelubabeli ngapoto mwana Abiudi, Abiudi ngapoto mwana Eliakimu, Eliakimu ngapoto mwana Azoli. 
MAT.1.14	Azoli ngapoto mwana Sadoki, Sadoki ngapoto mwana Akimu, Akimu ngapoto mwana Eliudi. 
