MAT.1.1	Disi na den afo fu Yesus Kristus. Yesus ben de wan bakapikin fu David, nanga fu Abraham.
MAT.1.2	Abraham ben de a p'pa fu Isak,
MAT.1.2	Isak ben de a p'pa fu Yakob,
MAT.1.2	èn Yakob ben de a p'pa fu Yuda
MAT.1.2	nanga den brada fu en.
MAT.1.3	Nanga Tamar Yuda kisi Peres
MAT.1.3	nanga Sera.
MAT.1.3	Peres ben de a p'pa fu Hesron,
MAT.1.3	èn Hesron ben de a p'pa fu Aram.
MAT.1.4	Aram ben de a p'pa fu Aminadab,
MAT.1.4	Aminadab ben de a p'pa
MAT.1.4	fu Nakson,
MAT.1.4	èn Nakson ben de a p'pa
MAT.1.4	fu Salmon.
MAT.1.5	Nanga Rakab Salmon kisi Boas.
MAT.1.5	Nanga Ruth Boas kisi Obed,
MAT.1.5	èn Obed ben de a p'pa fu Isai.
MAT.1.6	Isai ben de a p'pa
MAT.1.6	fu kownu David.
MAT.1.6	David kisi Salomo
MAT.1.6	nanga a frow fu Uria.
MAT.1.7	Salomo ben de a p'pa
MAT.1.7	fu Rekabeam,
MAT.1.7	Rekabeam ben de a p'pa fu Abia,
MAT.1.7	èn Abia ben de a p'pa fu Asa.
MAT.1.8	Asa ben de a p'pa fu Yosafat,
MAT.1.8	Yosafat ben de a p'pa fu Yoram,
MAT.1.8	èn Yoram ben de a p'pa fu Usia.
MAT.1.9	Usia ben de a p'pa fu Yotam,
MAT.1.9	Yotam ben de a p'pa fu Akas,
MAT.1.9	èn Akas ben de a p'pa fu Hiskia.
MAT.1.10	Hiskia ben de a p'pa fu Manasa,
MAT.1.10	Manasa ben de a p'pa fu Amon,
MAT.1.10	èn Amon ben de a p'pa fu Yosia.
MAT.1.11	Yosia ben de a p'pa fu Yekonya
MAT.1.11	nanga den brada fu en. 
MAT.1.11	Ini a ten dati srudati fu Babiloniakondre ben teki a kondre fu den Dyusma abra, dan den tyari den Dyu gwe na Babiloniakondre.
MAT.1.12	Baka di den tyari den gwe,
MAT.1.12	Yekonya kisi Sealtiyel,
MAT.1.12	èn Sealtiyel ben kisi Serubabel.
MAT.1.13	Serubabel ben de a p'pa
MAT.1.13	fu Abihud,
MAT.1.13	Abihud ben de a p'pa fu Elyakim,
MAT.1.13	èn Elyakim ben de a p'pa fu Asor.
MAT.1.14	Asor ben de a p'pa fu Sadok,
MAT.1.14	Sadok ben de a p'pa fu Akim,
MAT.1.14	èn Akim ben de a p'pa fu Elihud.
MAT.1.15	Elihud ben de a p'pa fu Eleasar,
MAT.1.15	Eleasar ben de a p'pa fu Matan,
MAT.1.15	èn Matan ben de a p'pa fu Yakob.
MAT.1.16	Yakob ben de a p'pa fu Yosef,
MAT.1.16	èn Yosef ben de a masra fu Maria.
MAT.1.16	Maria ben de a m'ma fu Yesus,
MAT.1.16	di den sma e kari Kristus.
MAT.1.17	So wi e teri tin-na-fo afo fu Abraham kon miti David, nanga tin-na-fo afo fu David kon miti a ten di den feyanti fu den Dyusma ben tyari den gwe na Babiloniakondre. Dan fu a ten di den Dyusma ben de ini Babiloniakondre, kon miti a ten di a Mesias gebore, wi e teri tin-na-fo afo tu.
MAT.1.18	Na so Yesus Kristus kon gebore. Maria, a m'ma fu Yesus, ben de fu trow nanga Yosef. Ma fosi den go libi makandra, Maria ben hori bere. Ma na a Santa Yeye ben meki dati psa. 
MAT.1.19	Dan fu di Yosef ben de wan bun sma, a ben wani kibri Maria fu a syen di a bo kisi te sma bo yere a sani disi. Fu dat'ede a ben wani prati nanga en na wan safri fasi. 
MAT.1.20	Ma di Yosef prakseri a sani dati, ne wan engel fu Masra sori ensrefi na en ini wan dren. A engel taigi en taki: “Yosef, bakapikin fu David, yu no abi fu frede fu teki Maria leki yu wefi. Bika na a Santa Yeye meki tak' a de nanga bere. 
MAT.1.21	A sa kisi wan manpikin, di yu mus kari Yesus. Bika na En sa ferlusu En pipel fu den sondu.” 
MAT.1.22	Ala den sani disi psa, fu meki a sani san Masra ben meki a profeiti taki kon tru. A ben taki: 
MAT.1.23	“Luku, wan yongu uma di noiti no sribi nanga wan man ete, sa kisi bere. A sa kisi wan manpikin, di den sa kari Emanuel.” (Emanuel wani taki: Gado de nanga wi.) 
MAT.1.24	Di Yosef wiki, a du san a engel fu Masra taigi en, a trow nanga Maria. 
MAT.1.25	Ma a no sribi nanga en leki man nanga frow te leki Maria kisi a boi. Di A gebore Yosef kari En Yesus. 
MAT.2.1	Yesus gebore ini a foto Betlehem na ini a distrikti Yudea. Ini a ten dati kownu Herodes ben e rigeri Israelkondre. Ini a srefi pisten dati koniman
MAT.2.2	Dan den aksi den sma taki: “Pe a Kownu fu den Dyusma de, di gebore? Bika wi si wan spesrutu stari na a sei pe son e opo di e sori tak' A gebore. Dat' meki wi kon fu anbegi En.”
MAT.2.3	Kownu Herodes skreki di a yere a sani dati. Ala den sma fu Yerusalem skreki tu. 
MAT.2.4	Dan Herodes meki ala den prenspari domri nanga den sabiman fu Gado wèt kon makandra. Dan a aksi den pe a Mesias bo gebore. 
MAT.2.5	Den man taigi en taki: “Ini Betlehem na ini Yudea. Bika a profeiti ben skrifi taki:
MAT.2.6	Betlehem ini Yudeakondre,
MAT.2.6	yu na wan fu den moro prenspari foto
MAT.2.6	mindri den foto fu Yuda.
MAT.2.6	Bika na ini yu
MAT.2.6	a fesiman sa kmoto,
MAT.2.6	di sa tiri Mi pipel Israel.” 
MAT.2.7	Dan Herodes seni kari den koniman tapu wan kibri fasi, fu aksi den fin'fini oten den si a stari fu a fosi leisi. 
MAT.2.8	Baka dati a taigi den taki: “Un go na Betlehem go suku alape pe a pikin de. Te un feni en, un mus kon taigi mi wantron, bika mi wani go fu anbegi En tu.”
MAT.2.9+MAT.2.10	Di den koniman arki san Herodes taki, den gwe. Ne den si a stari baka di den ben si na a sei pe son e opo. Den man ben prisiri srefsrefi di den si a stari. Ne a stari go na den fesi te kon miti a presi pe a pikin ben de. 
MAT.2.11	Di den go ini a oso, den si a pikin nanga en m'ma Maria. Ne den fadon tapu den kindi èn den anbegi a pikin. Dan den puru den diri sani di den ben tyari gi a pikin kon na doro: gowtu, wierook, nanga mirre. 
MAT.2.12	Ma Gado warskow den man ini wan dren fu no drai go moro na Herodes. So den teki wan tra pasi drai go baka na den kondre.
MAT.2.13	Di den koniman gwe, ne wan engel fu Masra, sori ensrefi na Yosef ini wan dren. A engel taki: “Opo, teki a pikin nanga en m'ma, dan un lowe go na Egipte. Un mus tan drape te leki mi sa taigi unu tak' un kan drai kon baka. Bika Herodes sa meki den suku a pikin fu kiri en.” 
MAT.2.14	So Yosef opo, a teki a pikin nanga en m'ma, dan a srefi neti dati den teki pasi go na Egipte. 
MAT.2.15	Den tan drape te leki Herodes dede. Dan na so a sani san Masra ben meki a profeiti taki kon tru. A ben taki:
MAT.2.15	Fu Egipte Mi kari Mi Manpikin. 
MAT.2.16	Ma di Herodes kon ferstan tak' den koniman hori en na spotu, en ati teki faya. Dat' meki a seni srudati fu kiri ala pikin boi te nanga tu yari na ini Betlehem nanga a heri kontren drape. Bika di a aksi den, den koniman ben taigi en tak' na sowan pisten kba di den ben si a stari. 
MAT.2.17	Di Herodes kiri den pikin, dan a sani san a profeiti Yeremia ben taki kon tru. A ben taki:
MAT.2.18	Furu krei nanga dyeme
MAT.2.18	de fu yere ini Rama.
MAT.2.18	Na Rachel e krei
MAT.2.18	fu en pikin ede.
MAT.2.18	A no wani fu sma trowstu en,
MAT.2.18	bika den pikin no de moro. 
MAT.2.19	Baka di Herodes dede, ne wan engel fu Masra kon sori ensrefi na Yosef na ini wan dren di a ben de ini Egipte ete. 
MAT.2.20	A engel taki: “Opo, teki a pikin nanga en m'ma, dan un drai go baka na Israelkondre. Bika den sma di ben wani kiri a pikin, dede.” 
MAT.2.21	So Yosef opo, a teki a pikin nanga en m'ma, dan den go na Israel. 
MAT.2.22	Ma di Yosef yere tak' Arkelaus ben tron kownu fu Yudea na a presi fu en p'pa Herodes, a kon frede fu go drape. Dan fu di Gado warskow en na ini wan dren, a go na a distrikti Galilea. 
MAT.2.23	Di den doro drape, den go libi ini wan foto di den e kari Nasaret. Na so a sani san den profeiti ben taki kon tru. Den ben taki:
MAT.2.23	Den o kari En wan Nasaretsma. 
MAT.3.1	Someni yari na baka, Yohanes a Dopuman bigin preiki ini a Dreisabana fu Yudea. 
MAT.3.2	A taigi den sma taki: “Un drai un libi, bika her'esi Gado o bigin tiri libisma.” 
MAT.3.3	A profeiti Yesaya ben taki fu Yohanes di a taki:
MAT.3.3	Wan sma e bari wroko
MAT.3.3	ini a dreisabana taki:
MAT.3.3	Meki pasi klari gi Masra,
MAT.3.3	puru ala boktuboktu gi En. 
MAT.3.4	Yohanes ben e weri krosi di meki fu kameel-wiwiri, èn a ben e tai wan leribuba na en bere. A ben e nyan sprenka nanga bus'oni. 
MAT.3.5	Dan den sma fu Yerusalem, nanga den sma fu a heri distrikti Yudea, sosrefi den sma fu a heri kontren na a Yordanliba, hari go na Yohanes. 
MAT.3.6	Dan a dopu den ini a Yordanliba te den ben taki sortu sondu den du.
MAT.3.7	Furu fu den Fariseiman nanga Saduseiman kon na Yohanes fu teki dopu tu. Ma di a si den, a taigi den taki: “Un sneki unu! Suma gi un wan pingi fu lon gi a strafu fu Gado di de fu kon? 
MAT.3.8	Efu trutru un drai un libi, meki a de fu si dan. 
MAT.3.9	Un no mus prakseri tak' un kan taigi unsrefi taki: ‘Wi na bakapikin fu Abraham.’ Bika mi e taigi un taki: Gado kan meki den ston disi tron bakapikin fu Abraham. 
MAT.3.10	A aksi de klar'klari kba na den rutu fu den bon. Ibri bon di no e gi bun froktu, den o kapu puru èn fringi go ini a faya. 
MAT.3.11	Mi e dopu unu nanga watra leki wan marki tak' un drai un libi. Ma a Wan di e kon na mi baka abi makti moro mi. Mi no warti srefi fu tyari En susu gi En fu A weri. Na En o dopu unu nanga a Santa Yeye èn nanga faya. 
MAT.3.12	A hori En wrokosani na ini En anu fu wai a buba puru ini a aleisi. A aleisi A o poti na ini maksin, ma den buba A o bron na ini faya di no man dede.”
MAT.3.13	Yesus kmoto fu a distrikti Galilea go na Yohanes na a Yordanliba, fu Yohanes dopu En. 
MAT.3.14	Ma Yohanes no ben wani dopu En. A taigi En taki: “Fa Yu kan kon na mi fu mi dopu Yu? Na Yu mus dopu mi!”
MAT.3.15	Ma Yesus piki en taki: “Yu kan dopu Mi, bika a fiti fu un du ala sani soleki fa Gado wani.” Dan Yohanes dopu Yesus.
MAT.3.16	Fa Yesus dopu, A kmoto wantron na ini a watra. Ne heimel opo, èn Yohanes si fa a Yeye fu Gado saka leki wan doifi kon tapu Yesus. 
MAT.3.17	Dan wan sten kmoto fu heimel taki: “Disi na Mi Manpikin di Mi lobi. Mi abi prisiri nanga En.” 
MAT.4.1	Baka dati a Santa Yeye tyari Yesus go na ini a dreisabana fu didibri tesi En. 
MAT.4.2	Yesus tan drape fotenti dei nanga fotenti neti sondro fu nyan. Baka dati angri bigin kiri En. 
