MAT.1.1	Diꞌoraz kuwai idaꞌa kakuwaapa-karu Jesus Christ dokozu-daunnao sakadinan ikiꞌo dauꞌanaꞌo.
MAT.1.2	Diꞌi naa ĩꞌuu kida sakadinanuꞌu Abraham diꞌikiꞌo atii King David idaꞌati: Abraham dani uu Isaac; Isaac dani uu Jacob; Jacob dani uu Judah naꞌiki kainaꞌa baꞌoran uꞌinawuzunao; 
MAT.1.3	Judah dainao uu Perez naꞌiki Zerah (ĩdaro uu Tamar); Perez dani uu Hezron; Hezron dani uu Ram; 
MAT.1.4	Ram dani uu Amminadab; Amminadab dani uu Nahshon; Nahshon dani uu Salmon; 
MAT.1.5	Salmon dani uu Boaz (Boaz daro uu Rahab); Boaz dani uu Obed (Obed daro uu Ruth); Obed dani uu Jesse; 
MAT.1.6	Jesse dani uu King David.
MAT.1.6	Aizii diꞌi Jesus Christ dokozu-daunnao dauꞌanaꞌo King David diꞌikiꞌo, atii patarubanao naꞌakan idaꞌati Israelitenao pawiizi iki Babylon iti: David dani uu Solomon (Solomon daro Uriah daiaro-daun); 
MAT.1.7	Solomon dani uu Rehoboam; Rehoboam dani uu Abijah; Abijah dani uu Asa; 
MAT.1.8	Asa dani uu Jehoshaphat; Jehoshaphat dani uu Jehoram; Jehoram dani uu Uzziah; 
MAT.1.9	Uzziah dani uu Jotham; Jotham dani uu Ahaz; Ahaz dani uu Hezekiah; 
MAT.1.10	Hezekiah dani uu Manasseh; Manasseh dani uu Amon; Amon dani uu Josiah; 
MAT.1.11	Josiah dani uu Jehoiachin
MAT.1.12	Aizii patarubanao naꞌakan daunaꞌanaꞌo Israelitenao Babylon iti atii Jesus Christ idaꞌatiꞌi dauꞌanaꞌo: Jehoiachin dani uu Shealtiel; Shealtiel dani uu Zerubbabel; 
MAT.1.13	Zerubbabel dani uu Abiud; Abiud dani uu Eliakim; Eliakim dani uu Azor; 
MAT.1.14	Azor dani uu Zadok; Zadok dani uu Achim; Achim dani uu Eliud; 
MAT.1.15	Eliud dani uu Eleazar; Eleazar dani uu Matthan; Matthan dani uu Jacob; 
MAT.1.16	Jacob dani uu Joseph, uruu Mary daiaruz; Mary dani uu Jesus, Jesus uruu wuruꞌu dakota-kariwaiz Christ
MAT.1.17	Ukauꞌan 14 ĩtonazinaa aitinpan Abraham diꞌikiꞌo atii David idaꞌati. Naꞌapa uaitinpan iriban koshan 14 David diꞌikiꞌo atii ĩtarubanao naꞌakan donoꞌo idaꞌatiꞌi ĩdyaun Babylon iti; naꞌiki naꞌapa uaitinpan ĩiriban koshan ĩtarubanao naꞌakan daunaꞌan ĩdyaun Babylon iti atii Christ idaꞌati.
MAT.1.18	Kaikapaꞌo daꞌi Jesus Christ shakatauzonuꞌu. Jesus daro Mary, Joseph taapaniꞌi naa pazaamatan niꞌo paudaiaro nii. Mazan ĩzaamataakan uaꞌii, Mary kaudanin naa. Wuruꞌu okaudaninuz Kaimanaꞌo Doronaa idaꞌanaꞌo. 
MAT.1.19	Aizii Joseph kaimanaꞌo pidan uruu, ukauꞌan aonaa ubaꞌazootin-kidaꞌazon Mary iribaꞌo pidan bii ii, udiꞌitinpan paꞌidaꞌa sodi naꞌapam nii pamarinaꞌatan pamazidaꞌazon otuma.
MAT.1.20	Joseph daꞌawuꞌukan padiꞌitinpan puꞌu tuukii. Sariapa Tominkaru diꞌikiꞌo angel kaawan uꞌidaꞌati uzandaꞌawun ii. Naꞌiki ukian uꞌati, “Joseph, King David takaan-daun, aonaa putariaꞌanaꞌa pumazidan Mary tuma. Aonaa naꞌapaꞌoram idaꞌanaꞌo mani karikaonan wuruꞌu okaudaninuz, mazan Kaimanaꞌo Doronaa maꞌozakan idaꞌanaꞌo wuruꞌu okaudaninuz. 
MAT.1.21	Okaudanipan an, daonaioraꞌo nii odani nii. Naꞌiki Jesus
MAT.1.22	Aizii wuruꞌu naꞌapaꞌoraz shaꞌapan, Tominkaru Paradan mishiinan ukianuz paprophetin idaꞌan: 
MAT.1.23	“Kainaꞌaꞌo nii baudaꞌapa paꞌinaꞌo zun, aonaꞌo zii okiitauzo-kao kaudanin nii daonaiora idi. Uruu Immanuel kii-karu nii udauꞌan, watumaꞌo Tominkaru kiaꞌo wuruꞌu kii-karuz.”
MAT.1.24	Joseph pokodaꞌakan, sariapa umishidan Tominkaru diꞌikiꞌo angel paradan paꞌati. Uruu idi umazidan Mary tuma. 
MAT.1.25	Mazan aonaa naꞌapainim ukiaapauzon Mary, atii naꞌapa okaudanipan. Joseph kaꞌuutan naa wuruꞌu koraidaonaaz Jesus kii.
MAT.2.1	Aizii Jesus shakatan dono Bethlehem ii, Judea Baara iaꞌoraz, naꞌapain Herod king nii naꞌii. Uruu dono munapoꞌo waoko ikiꞌo pidannao kaawan Jerusalem ati. Wuruꞌu ĩnaouz diꞌitapauzonao wizi. 
MAT.2.2	Sariapa ĩpishaan naꞌii sannao, ĩkian, “Naꞌiam dii koraidaonaa shakatan king niꞌoraz Jewnao ati? Watukapa ukainaaribinaa wizi aidinan waoko iki. Uruu idiꞌo wawaꞌatin wakodoruꞌukaꞌanan uꞌati unaobanain idi.”
MAT.2.3	Aizii King Herod abata wuruꞌu ĩpishaanuz pidannao naꞌapa, aonaa unaudapanuz, tuukii utoꞌoraꞌakan. Aizii Jerusalem sannao naꞌapa kapam. 
MAT.2.4	Ukauꞌan King Herod baokopatan faadaanao zowaunaanao, naꞌiki tiichaapauzonao Moses kakinaori dauꞌu. Naꞌiaꞌa naa upishaan ĩdyaun, “Naꞌiam nii dii wuruꞌu naobanai niꞌoraz shakatan, Christ kii-kizaiz?”
