MAT.1.1	Ɗèlèwèr nzlembaƋ ndohi te verzi Yèsu Kristi, kra David, kra Abraham.
MAT.1.2	Abraham bab Isaac; Isaac bab Jacob; Jacob bab Juda a kramamhi nenga'a. 
MAT.1.3	Juda bab Pharès a Zara, man Thamar a ya na Juda. Pharès bab Esrom; Esrom bab Aram. 
MAT.1.4	Aram bab AminaƋab; AminaƋab bab Naasson; Naasson bab Salmon; 
MAT.1.5	Salmon bab Boaz, man Rabab a ya na; Boaz bab Obed man Ruth a ya na; 
MAT.1.6	Obed bab Isai; Isai bab bi David.
MAT.1.6	Bi David, bab Salomon, man ngwoz Urie a ya na. 
MAT.1.7	Salomon bab Roboam; Roboam bab Abia; Abia bab Asa; 
MAT.1.8	Asa bab Josaphat; Josaphat bab Joram; Joram bab Ozias; 
MAT.1.9	Ozias bab Joatham; Joatham bab Achaz; Achaz bab Ezéchias; 
MAT.1.10	Ezéchias bab Manassé; Manassé bab Amon; Amon bab Josias;
MAT.1.11	Josias bab Jéchonias a kramamhi nenga'a, a vi man ta hel ta a kokwar Babylone. 
MAT.1.12	Te deɓa'a aman ta hel ta a kokwar Babylone ma, Jéchonias bab Salathiel; Salathiel bab Zorobabel; 
MAT.1.13	Zorobabel bab Abiud; Abiud bab Eliakim; Eliakim bab Azor; 
MAT.1.14	Azor bab Sadok; Sadok bab Achim; Achim bab Eliud;
MAT.1.15	Eliud bab Eléazar; Eléazar bab Matthan; Matthan bab Jacob; 
MAT.1.16	Jacob bab Joseph; nenga'a baki Marie, man a yu Yèsu, man ta baba na Kristi. 
MAT.1.17	Gar haha te Abraham, ha David, verzi ndohi 14. Te David, ha vi man ta hel ta a kokwar Babylone, verzi ndohi 14. Te mvi man ta hel ta a kokwar Babylone ma, ha Kristi, verzi ndohi 14.
MAT.1.18	Nyi Yèsu Kristi a ngu ar haha: Marie, mam na, medemi Joseph, a n'ngots kra a Mèzhèɓ Zhiklè nkezla'a, baki a m'mana a vna di ɓai. 
MAT.1.19	Joseph, baki na, ndo nzura'a, a woy a mpa na hori a di a Marie ɓai, a nhuro a woy a njèkeda a metsar. 
MAT.1.20	Aman a hur skwi haha arsa, gol Bi Zhiklè a ngudoko na va a dai te nshunè, a ngaƋa na:
MAT.1.20	Joseph, kra David, ka gu zlau ɓai! Co Marie, a ngwoz ngaya, aman kra nt'hwaƋ na, Mèzhèɓ Zhiklè nkezla'a a mva na. 
MAT.1.21	A da yi kra ngura'a, a ka da va na nzlembaƋ nenga'a Yèsu, aman nenga'a a da mbel ta ndohi nenga'a te mali tenga'a.
MAT.1.22	Skwi haha a ngau, ara ma Zhiklè, man a goƋ te ma ndo nhadka ma:
MAT.1.23	Na haha bidali a ngècè kra, a da yi kra ngura'a a ta da va na nzlembaƋ nenga'a Emmanuel, ara ngèƋè: Zhiklè a nda nga.
MAT.1.24	A Joseph a mpiƋèkwe na, a ngu ara man gol Bi Zhiklè a gaƋa na, a mco ngwoz na a gai, 
MAT.1.25	aman a m'mana a vna ɓai, ha a nya kra ma, a mva na nzlembaƋ nenga'a Yèsu.
MAT.2.1	Aman Yèsu nya te kokwar Bethléhem ma, te Judée, te va man Hérode bai, na haha ndohi nƋèl bantai te man a civèƋ mvèng pats ta shkè Jérusalem, 
MAT.2.2	a ta gaƋa:
MAT.2.2	Bi ndohi Juif man ta yau, na tema?
MAT.2.2	Nga rka banti nenga'a te civèƋ mvèng pats, a nga shkè, aman nga slébèrdè'a.
MAT.2.3	Aman Hérode a ntsena ma haha, a m'mbeƌa ma na ndav, a nda ndohi kokwar Jérusalem tèlèba. 
MAT.2.4	A mɓic ta ndohi mvi skwi a Zhiklè mbibihia'a, a malamhai, a njunjor te ma tenga'a:
MAT.2.4	Ta yu Kristi tema?
MAT.2.5	Ta gaƌa na:
MAT.2.5	Te Bethléhem, te kokwar Judée, man ndo nhadka ma a mwindo te ƌèlèwèr Zhiklè: 
MAT.2.6	Ka kokwar Bethléhem, ka nhüƌök genè ka ɓai, aman te ka, bai a di a shkè auda. Nenga'a a da gi a ndo mɓer ndohi Israel ga.
MAT.2.7	A Hérode a mbaba ta ndohi nƋèl bantai a metsar, a njunjor te ma tenga'a:
MAT.2.7	Kin rka banti a ngèmè?
MAT.2.8	A nzlinde ta a Bethléhem, a ngaƋa ta:
MAT.2.8	Vodo, a kin jhèƋè ma a géƌ kra'a. Aman kin da ngotso, a i ba a i dè, a i dè slébèrdè'a.
MAT.2.9	Aman ta tsena ma Hérode ma, to do. Na haha, bantai man ta rka te civèƋ mvèng pats, a nde ta, ha a n'nza a géƋ gai, man kra te pa. 
MAT.2.10	Aman ta rka bantai, ta wuffè a vata. 
MAT.2.11	A to do a gai, a ta ngots kra'a, a Marie mam na, a ta gurɓahai a sam nenga'a, a ta slubordo, a ta va na skwi mèshèlè:
MAT.2.11	guro, mbar ɓurdi a myrrhe. 
MAT.2.12	A nshunè a nkeƌ ta, a ngaƌa ta, aman ta dè a deɓa a sam bi Hérode azɓai. A to do ta a ngwai, a ta beza a civèƌ ngiƌè. 
MAT.2.13	Aman ndohi nƋèl bantai to do ta ma, gol Bi Zhiklè a ngudoko na va a dai a Joseph te nshunè, a ngaƋa na:
MAT.2.13	SlambaƋa, co kra a mam na, a ka hu ngaya a kokwar Egypte, a ka da nza a pa, sèi a di i gaƋa ka; aman Hérode a woy kra, a nkéƋè'a.
MAT.2.14	A Joseph a nslambaƋa, a nco kra a mam na, a vaƋ, a to do ta a kokwar Egypte. 
MAT.2.15	A ta nza a pa, ha Hérode a m'mets na ma; a gu ara ma Zhiklè man a goƋ te ma ndo nhadka ma:
MAT.2.15	I baba na kra ga te kokwar Egypte.
MAT.2.16	Aman bi Hérode a rka'a, ndohi nƋèl bantai ta mbeƋda hai, a ngu ndav a vata, a nzlinde ndohai, aman ta bazl ta wud ngurhai te kokwar Bethléhem, a sam man a kwèrè tèlèba. Wudahi man ta yu tok tok, ha a ngu mvi cèw, a Ƌöl te pats man a ntsena te ma ndohi nƋèl bantai. 
MAT.2.17	Gar haha a gu ara man Jérémie, ndo nhadka ma, a gaƋa:
MAT.2.18	Ta tsena mbèhè te Rama, kuƋa a wobau mbia'a. Rachel a kuƋi wud na, ndo a slaha a mbidè ɓai, te man wudahi na ta asaɓai.
MAT.2.19	Te deɓa'a, aman Hérode a m'mets na ma, gol Bi Zhiklè a ngudoko na va a dai a Joseph te nshunè, te kokwar Egypte, 
MAT.2.20	a ngaƋa na:
MAT.2.20	SlambaƋa, co kra a mam na, men ngaya a deɓa a kokwar Israel; aman tengahi man ta woy a ta keƋa kra, ta bazl ta ma.
MAT.2.21	A Joseph a nslambaƋa, a nco kra a mam na, a ta shkè a kokwar Israel. 
MAT.2.22	Aman a tsena'a, Archélaus bai te kokwar Judée, te di man a Hérode, bab na, Joseph a ngu zlau, a nda a pa ɓai. A Zhiklè a n'ngreda na te nshunè, aman a dè a kokwar Galilée. 
MAT.2.23	A mdo, a n'nza a kokwar Nazareth, a gu ara man ndohi nhadka ma ta gaƋa:
MAT.2.23	Ta da baba na ndo Nazareth.
MAT.3.1	A pats nasa, Jean Baptiste a mshkè, a n'nju ma Zhiklè t'hèshèkèƋ Judée, 
MAT.3.2	a ngaƋa:
MAT.3.2	Vangwode ndav kinè, aman kokwar-Bi-Zhiklè a zhè ndul ndul.
MAT.3.3	Nasa Jean, man Esaie, ndo nhadka ma, a goƋ a géƋè'a:
MAT.3.3	NgèƋè ndo ngiƋè man a bèhè t'hèshèkèƋ: Vatila civèƋ Bi Zhiklè, vaga civèƋ nenga'a sara'a!
MAT.3.4	Maslaka Jean, ta tsu a gwots zlugumai, a m'mana na gèƋ a hi a hutèƋ. A n'nda dzarai a vongwom. 
MAT.3.5	Kokwar Jérusalem, a kokwar Judée, a kokwarhi tèlèba a sam woyam Jourdain, to do a sam na. 
MAT.3.6	A Jean a n'nga ta baptême te woyam Jourdain, a ta ngreda mali ta auda. 
