GEN.1.1	Koluw koluw mamu kinna, Ngindrai imangsani kol pwan pe hu kol yang. 
GEN.1.2	Kol pwan ara, iro mwaihei o, pe hapesah kinto aliy pwi. Mburah lokuran namandran iramburuhi ndrita ndras pe Mwoiwa Ngindrai iho aliy.
GEN.1.3	Pwen Ngindrai ipa, “Ngana lang kilenganiy.” Pwen o ilenganiy. 
GEN.1.4	Ngindrai inime ngana lang irayah hiyan, pwen irandrokomatne ngana lang pe ping. 
GEN.1.5	Ngindrai ipohowe ngana lang ara “lang” pe ping ara “ping.” Piyahon iyamasan ndroulang ara — isarayah langsih isamu iya melit masih.
GEN.1.6	Pwen Ngindrai ipa, “Hapesah kisarayah pe kisondriti ndran kirayah malkah.” 
GEN.1.7	Pwen Ngindrai isondriti ndran iya malkah. Hakah hira paingan yang pe hakah ita kol pwan. Pwen o isarayah tehe yiy ipwai. 
GEN.1.8	Pe Ngindrai ipohowe paingan ara “yang.” Piyahon iyamasan ndroulang ara — lang luwoh.
GEN.1.9	Pwen Ngindrai ipa, “Ndran masih ita kol pwan kayawule pe kol pwosowen kirayah.” Pwen melit masih irayah tehe ipwai. 
GEN.1.10	Ngindrai ipohowe kol pwosowen ara “pwan,” pe ipohowe ndras namandran ara “mwekeu.” Pe Ngindrai inimei tehe kintayah hiyan.
GEN.1.11	Pwen Ngindrai ipwai ipa, “Hu kei handra-handra mambuwahu kiyasura pekehu, kapolo ndromndriu handra-handra hu kalek ndrita pwan. Pwen pe hu mbuwakei hu kalon pe pekehu hu kalek tehe hu kei ara ko.” Pwen melit masih irayah tehe Ngindrai ipwai. 
GEN.1.12	Pwen pe nondriya kol pwan masih hu kei handra-handra mambuwahu iyapolo ndromndriu handra-handra husarayah, pe pekehu hulek tehe hu kei ara kopu. Pe Ngindrai inimei tehe kintayah hiyan. 
GEN.1.13	Piyahon iyamasan ndroulang ara — lang toyoh.
GEN.1.14	Pwen Ngindrai ipa, “Hu melit manganahu koho yang pe hu kaiki ndrokomatne lang pe ping. Pwen hu melit ara andre hu kapwaingani kaipisa lohongai tiken, pe karanonoyani walehe memelit tiken, pe andre hu kaiki ndrokomatne lang sih-sih pe hayou sih-sih. 
GEN.1.15	Pe andre hu koho yang para hu kalengani kol pwan.” Pwen melit masih irayah tehe ipwai. 
GEN.1.16	Tehen tora ko Ngindrai imangsani melit malndra mangana hilu. Imangsani nganan namandran ngalan paramwandrai para kiyat lang pe nganan mendreheh ngalan walah para kiyat ping. Pwen Ngindrai imangsani hu piriy iyapolon i. 
GEN.1.17	Ngindrai iyki melit masih hora yang para hu kalengani kol pwan. 
GEN.1.18	Paramwandrai, walah, pe hu piriy ara, huiki ndrokomatne lang iya mawen pe ping iya mawen. Ngindrai inimei tehe kintayah hiyan. 
GEN.1.19	Piyahon iyamasan ndroulang ara — lang haahiu.
