GEN.1.1	起初，上帝創造天地。 
GEN.1.2	地是空虛混沌，深淵上面一片黑暗；上帝的靈 
GEN.1.3	上帝說：「要有光」，就有了光。 
GEN.1.4	上帝看光是好的，於是上帝就把光和暗分開。 
GEN.1.5	上帝稱光為「晝」，稱暗為「夜」。有晚上，有早晨，這是第一日。
GEN.1.6	上帝說：「眾水之間要有穹蒼，把水和水分開。」 
GEN.1.7	上帝就造了穹蒼，把穹蒼以下的水和穹蒼以上的水分開。事就這樣成了。 
GEN.1.8	上帝稱穹蒼為「天」。有晚上，有早晨，這是第二日。
GEN.1.9	上帝說：「天下面的水要聚集在一處，使乾地露出來。」事就這樣成了。 
GEN.1.10	上帝稱乾地為「地」，稱聚集在一起的水為「海」。上帝看為好的。 
GEN.1.11	上帝說：「地要長出植物，就是含種子的五穀菜蔬，和會結果子、果子裏有種子的樹，在地上各從其類。」事就這樣成了。 
GEN.1.12	於是地長出了植物：含種子的五穀菜蔬，各從其類；會結果子、果子裏有種子的樹，各從其類。上帝看為好的。 
GEN.1.13	有晚上，有早晨，這是第三日。
GEN.1.14	上帝說：「天上要有光體來分晝夜，讓它們作記號，定季節、日子、年份， 
GEN.1.15	它們要在天空發光，照在地上。」事就這樣成了。 
GEN.1.16	於是上帝造了兩個大光體，大的管晝，小的管夜，又造了星辰。 
GEN.1.17	上帝把這些光體擺列在天空，照在地上， 
GEN.1.18	管理晝夜，分別光暗。上帝看為好的。 
GEN.1.19	有晚上，有早晨，這是第四日。
GEN.1.20	上帝說：「水要滋生眾多有生命之物；要有鳥飛在地面以上，天空之中。」 
GEN.1.21	上帝就創造了大魚和在水裏滋生的各樣活動的生物，各從其類，以及各樣有翅膀的鳥，各從其類。上帝看為好的。 
GEN.1.22	上帝就賜福給這一切，說：「要繁殖增多，充滿在海的水裏；飛鳥也要在地上增多。」 
GEN.1.23	有晚上，有早晨，這是第五日。
GEN.1.24	上帝說：「地要生出有生命之物，各從其類，就是牲畜、爬行動物、地上的走獸，各從其類。」事就這樣成了。 
GEN.1.25	於是上帝造了地上的走獸，各從其類；牲畜，各從其類；和地上一切的爬行動物，各從其類。上帝看為好的。
GEN.1.26	上帝說：「我們要照著我們的形像，按著我們的樣式造人，使他們管理海裏的魚、天空的鳥、地上的牲畜和全地，以及地上爬的一切爬行動物。」 
GEN.1.27	上帝就照著他的形像創造人，照著上帝的形像創造他們
GEN.1.28	上帝賜福給他們，上帝對他們說：「要生養眾多，遍滿這地，治理它；要管理海裏的魚、天空的鳥和地上各樣活動的生物。」 
GEN.1.29	上帝說：「看哪，我把全地一切含種子的五穀菜蔬和一切會結果子、果子裏有種子的樹，都賜給你們；這些都可作食物。 
GEN.1.30	至於地上一切的走獸、天空一切的飛鳥，並一切在地上爬行的，有生命的動物，我把綠色植物賜給牠們作食物。」事就這樣成了。 
GEN.1.31	上帝看一切所造的，看哪，都非常好。有晚上，有早晨，這是第六日。
GEN.2.1	天和地，以及萬象都完成了。 
GEN.2.2	到第七日，上帝已經完成了造物之工，就在第七日安息了，歇了他所做一切的工。 
GEN.2.3	上帝賜福給第七日，將它分別為聖，因為在這日，上帝安息了，歇了他所做一切創造的工。 
GEN.2.4	這就是天地創造的來歷。
GEN.2.4	在耶和華上帝造地和天的時候， 
GEN.2.5	地上還沒有田野的草木，田間的菜蔬還沒有長出來，因為耶和華上帝還沒有降雨在地上，也沒有人耕種土地。 
GEN.2.6	但是，有霧氣從地上騰，滋潤整個土地的表面。 
GEN.2.7	耶和華上帝用地上的塵土造人，將生命之氣吹進他的鼻孔，這人就成了有靈的活人
GEN.2.8	耶和華上帝在東方的
GEN.2.9	耶和華上帝使各樣的樹從土地裏長出來，可以悅人的眼目，好作食物。園子當中有生命樹和知善惡的樹 
GEN.2.10	有一條河從
GEN.2.11	第一條名叫
GEN.2.12	那地的金子很好，在那裏也有珍珠
GEN.2.13	第二條河名叫
GEN.2.14	第三條河名叫
GEN.2.15	耶和華上帝把那人安置在
GEN.2.16	耶和華上帝吩咐那人說：「園中各樣樹上所出的，你可以隨意吃， 
GEN.2.17	只是知善惡的樹所出的，你不可吃，因為你吃它的日子必定死！」
GEN.2.18	耶和華上帝說：「那人單獨一個不好，我要為他造一個配偶幫助他。」 
GEN.2.19	耶和華上帝用泥土造了野地各樣的走獸和天空各樣的飛鳥，都帶到那人面前，看他叫甚麼。那人怎樣叫各樣的動物，那就是牠的名字。 
GEN.2.20	那人就給一切牲畜、天空的飛鳥和野地各樣的走獸都起了名。只是
GEN.2.21	耶和華上帝使他沉睡，他就睡了；於是取下他的一根肋骨，又在原處把肉合起來。 
GEN.2.22	耶和華上帝就用那人身上所取的肋骨造了一個女人，帶她到那人面前。 
GEN.2.23	那人說：
GEN.2.23	「這正是我骨中的骨，
GEN.2.23	肉中的肉，
GEN.2.23	可以稱她為女人，
GEN.2.23	因為她是從男人身上取出來的。」
GEN.2.24	因此，人要離開父母，與妻子結合，二人成為一體。 
GEN.2.25	當時夫妻二人赤身露體，並不覺得羞恥。
GEN.3.1	耶和華上帝所造的，惟有蛇比田野一切的走獸更狡猾。蛇對女人說：「上帝豈是真說，你們不可吃園中任何樹上所出的嗎？」 
GEN.3.2	女人對蛇說：「園中樹上的果子，我們都可以吃； 
GEN.3.3	只是園子中間那棵樹的果子，上帝曾說：『你們不可吃，也不可摸，免得你們死。』」 
GEN.3.4	蛇對女人說：「你們不一定死； 
GEN.3.5	因為上帝知道，你們吃的日子眼睛就開了，你們就像上帝一樣知道善惡。」 
GEN.3.6	於是女人見那棵樹好作食物，又悅人的眼目，那樹令人喜愛，能使人有智慧，她就摘下果子吃了，又給了與她一起的丈夫，他也吃了。 
GEN.3.7	他們二人的眼睛就開了，知道自己赤身露體，就編織無花果樹的葉子，為自己做成裙子。
GEN.3.8	天起了涼風，那人和他妻子聽見耶和華上帝在園中來回行走的聲音，就藏在園裏的樹木中，躲避耶和華上帝的面。 
GEN.3.9	耶和華上帝呼喚那人，對他說：「你在哪裏？」 
GEN.3.10	他說：「我在園中聽見你的聲音，我就害怕；因為我赤身露體，我就藏了起來。」 
