MAT.1.1	Jeacuu tiene aay ke bang Deabid kedea Deabid tiene aay ke bang Abraahm.
MAT.1.2	Abraahm e naa wur Yijaag,
MAT.1.2	ea Yijaag wur Jeakob,
MAT.1.2	Jeakob wur Juuda maa ge wuud men.
MAT.1.3	Juuda e naa wur Perej ge keehd Jerah,
MAT.1.3	ge miih gen nyinge Tamar.
MAT.1.3	Perej e naa wur Ejron,
MAT.1.3	ea Ejron beehda wur Ram.
MAT.1.4	Ram e naa wur Aminadaab,
MAT.1.4	ea Aminadaab e naa wur Naacohn
MAT.1.4	ge e naa wur Calmon.
MAT.1.5	Calmon e naa wur Buoj e
MAT.1.5	men nyinge Raahb,
MAT.1.5	Buoj wur Obed kedea
MAT.1.5	miih Obed anahg Rudh.
MAT.1.5	Obed wur Jeci.
MAT.1.6	Jeci e naa wur Deabid ge anahg ruohdh me duohng yi paajo.
MAT.1.6	Deabid e naa wur Caloamon,
MAT.1.6	ge men anahg ciih Uriiha umodho.
MAT.1.7	Caloamon e naa wur Rehboam
MAT.1.7	ea Rehboam beehda wur Abihja.
MAT.1.7	Abihja e naa wur Aja.
MAT.1.8	Ea Aja e naa wur Jiehcopad.
MAT.1.8	Jiehcopad e naa wur Jeerom,
MAT.1.8	ea Jeerom beehda wur Ujiiha.
MAT.1.9	Ujiiha e naa wur Joatham,
MAT.1.9	ea Joatham ngo wur A'ahj,
MAT.1.9	A'ahj wur Ejeekya.
MAT.1.10	Ejeekya e naa wur Manaajeh,
MAT.1.10	ea Manaajeh wur Amon.
MAT.1.10	Amon wur Joacya.
MAT.1.11	Joacya e naa wur Jeekoanya.
MAT.1.11	Jeekoanya keehd jo paar men ge anudo
MAT.1.11	yi wong anaa apeej yaa Judea
MAT.1.11	ukedh gen piny Baabihloanya ne baahng.
MAT.1.12	Naa athube ke batien ka anaa apeej yaa Judea
MAT.1.12	ubeehn gene Baabihloanya ne baahng,
MAT.1.12	e Jeekoanya e naa wur Cealtiel,
MAT.1.12	Cealtiel wur Jerubaabel.
MAT.1.13	Jerubaabel e naa wur Abuud
MAT.1.13	ea Abuud wur Elyakihm.
MAT.1.13	Elyakihm e naa wur Acoar.
MAT.1.14	Acoar e naa wur Jadog,
MAT.1.14	ea Jadog wur Akihm.
MAT.1.14	Akihm e naa wur Eliihd,
MAT.1.15	ea Eliihd wur Eleajar,
MAT.1.15	Eleajar wur Mathahn.
MAT.1.15	Mathahn e naa wur Jeakob.
MAT.1.16	anyuom Maarya ngaan anyuol Jeacuu
MAT.1.16	ge cuohn ne Ngad Boadh nyoge.
MAT.1.17	Ge kuow Jeacuu naa akwaan, ge wahdh kar apaar wonge angween naa athube ke rih Abraahm uwahdhe bang Deabid. Kedea ge wahdh kar apaar wonge angween dahng naa athube ke rih Deabid uwahdhe wong anaa apeej Judea yea. Keehdo ge kar apaar wonge angween thiow naa athube kii wong anaa apeej yaa Baabihloanya yaa Judea uwahdhe bang Jeacuu Ngad Boadh nyoge.
MAT.1.19	Jocebe anaa anahg ngaa maa abiohgrwaal, noono e cwihnye atooro bange uyaahre kuohm Maarya nyum nyoge ke nying gihn ayaje piny kalo. Kaano e lubo agweehge ne pahd kaahnye piny maahdh e ngaa me ngahy ngo tooro.
MAT.1.20	Abea nye kaano adaahde kaahnye ke pahdo piny nu, e naa nye kaa aguo wuohnjuoge beehn wiihe yi laahg maa arube yihr Jocebe kea, “Jocebe! A abeehn ne rob yihri ke nying kaahnyi ke Maarya. Yih kwaar Deabid, yih keá kweer ke nyuom Maarya. Yih keá kweer ne weey weey bang gihn nyethiin niidi ree, beehda nyethiin maa ayoade ke bang Wahy Juog. 
MAT.1.21	 Ngo unyuol nyedhoohg kedea nyinge ucagi ne Jeacuu bang gihn unahg en nuu uboadh yaa paar gen yihdh anyoohne giih atiihy gene rih Juog.” Kaano e wuohnjuog ake aay.
MAT.1.22	Maarya ayihdo ke nyethiin e ngo kuu aroohmo ke dhecuow. Gihn nu ree atiihye beere gihn anaa arob Juoge keehd leeb ngad agamloohngjuog pahdh kare. Anaa arob Juoge kea,
MAT.1.23	“Nyaakow maa tongo unyuol
MAT.1.23	ucag nying nyethiin ne Emanwel.”
MAT.1.23	(Lum yea teed ngo kejea Juog ubeehdo ke won).
MAT.1.24	Naa atahng Jocebe yihdh niine e wiihe awaare waaro ukahle Maarya paajo ne ciihe wa kaa arob wuohnjuoge ngo yihre. 
MAT.1.25	 Jocebe abeehdo e be cidh wod ke ciihe uwahdhe kaa anyuole, noono maa acag Jocebe nying nyethiin ne Jeacuu.
MAT.2.1	Jeacuu anyuol yi geen Bedhlehm yi piny Judea yi ruohdh Eroade. Batien kaa anyuol Jeacuu e tiehde me ngahy giih Juog ge a'aay kun moohl cahng kii ngo e ge beehn Jeruucalem. Naa awahnh gene 
MAT.2.2	 e ge apeehyo yihr nyoge, “Yaage, wa nyoge me aay ke ka me baahr. Wa daahd paan anyuol ruohdh Judea yea. Ciehro gihn nyoadh cahng anyuole ngo atuohl kedea uniid wane ngo. Cwihny wan ne bang wuor ngo, e naa gihn daahd wane kare.”
MAT.2.3	Lum caahdh tiehde ke nyinge ngo abeehn Eroade ne lihngo. Gihn nu e cwihnye adaag keter bang gihn wiihe apare kejea ruohdhe kaab ngaan anyuole kaabo. Keehd yaa beed geen Jeruucalem cwihny gen adaag thiow. 
MAT.2.4	Kaano arumo e Eroade jo doong yaa lam maa yaa loohng Juog ge acuohne cang yi amaad. Naa amahd nyoge, e Eroade arubo yihr gen kea, “Yaage, gihn me daahda ke peehnyo yihru nud. Anahg kee e naa anaa arob kejea Ngad Boadh nyoge unyuol yea?” 
MAT.2.5	Gihn nu e ngo abeehr gene yihre kob gene, “Ngo unyuol kii Bedhlehm yi piny Judea. Bang gihn ngo anaa agweed agamloohngjuoge kea,
MAT.2.6	me gihr nyinge tooro paar yaa Judea
MAT.2.6	e ngo uroomo keehd geedh muu nying gen awiihj
MAT.2.6	bang gihn ruohdh gihn umag jo'a ge yaa Yijarael
MAT.2.6	ngo unyuol Bedhlehm.’ ”
MAT.2.7	Kaano e Eroade tiehde ge acuohne bange e kwihy nyoge. Maa apeehnye gen ne ngey ngo ne cohg weehne e naa atuohl ciehj aniid gene. 
MAT.2.8	Naa ateed gene ngo yihr Eroade, e arubo yihr gen kea, “Nyethiin gihn daahdu ngo anyuol yi Bedhlehm. Cidhu udaahdu kare beer mee. Nea kare ayoadu arumo, e kea ne duu ke banga beere an ke nguda, a caa ne wuor ngo thiow.” Noono uoohre gen Bedhlehm.
MAT.2.9+MAT.2.10	Batien kaa alihng gene lum Ruohdh, e rog gen atihng gene upahdh gene kii yoohn gen. Kaano keehdo e ciehro gihn anaa aniid gene kun moohl cahng kii ngo, acahg gene kaa niido e caahdh kaa maalo nyum gen. Naa aniid gene ciehro nyum gen, e cwihny gen ake mihno keter. Ciehro akaahn nyum gen uwahdhe kaa acuunge umeenye wiih wod ane nyethiine yea. 
MAT.2.11	Naa awahnh gene paan nu, e ge aci wod maa ayoad gene nyethiin maa men Maarya. Noono urung gene cung gen piny ne wuor nyethiin. Batiene e giih akahl gene ne cubo yihr nyethiin ge akahl gene oogo yihdh jooge. Giih acub gene ge anahg dhaahb maa duo me ngwaahy med me yug naa adung dung maa mow me ngwaahy me cuohn ne mihr. 
MAT.2.12	Batien kaa acub gene giih gen noono, e ge adog paar gen ke yooh moogo. Ge kuu adoog ke batien gen bang gihn arob Juoge yihr gen yi laahg kejea ge keá cahg dog bang Eroade.
MAT.2.13	Naa a'aay tiehde e wuohnjuog abeehn wiih Jocebe yi laahg maa arube kea, “Jocebe! Lihng gihn teeda yihri. Aj maalo ugwiiri rihi ne goohd Micihr ke nyethiin maa men. Beehdi kun nu uwahdhe cahng ukoba ngo yihri kejea duui gen, bang gihn Eroade wiihe upare ne daahd nyethiin beere ngo ke naah.”
MAT.2.14	Gihn nu e Jocebe ree agwiire maa a'aaye keehd gen dewaahr nu ne goohd Micihr. 
MAT.2.15	Jocebe abeehdo kun nu uwahdhe kaa athow Eroade. Gihn nu ree ayuge beere gihn anaa arob Juoge ke leeb agamloohngjuog pahdh kare cahng uduu gene. Anaa akob Juoge kea,
MAT.2.15	“Waahda naa anaa Micihr ngo acuohna.”
MAT.2.16	Kaa angey Eroade ngo kejea giih waal ge ayug tiehde ree, e cwihnye ake rahnyo ne cohg. Noono uteede lubo yihr acaakere ne cidh Bedhlehm maa yihdh miehy cahng keehde ne nahg nyedhoohy. Arobe kea thub naahg wudh nyedhoohg yihr gen ne run ariow kedea yaa anyuol batien gen. Arob Eroade wa gihn nu ne rom wiih cahng anaa ateed tiehde kejea ciehro atuohl: ciehj nyoadh cahng anyuol ruohdh Yijarael. 
MAT.2.17	E naa kaa apahdhe kare e gihn anaa arob Juoge ke leeb agamloohngjuog e nyinge Jermya. Anaa akob Juoge kea,
MAT.2.18	“Lan thoo alihng ke yoohn Ramaah.
MAT.2.18	Thoo maa angeer yej.
MAT.2.18	Rakeale e ne yuog thon nyethene.
MAT.2.18	Cwihnye be rom ree ke ciihmo
MAT.2.18	bang gihn nyethiin maa adoohng yihre tooro.”
MAT.2.19	Eroade athow e Jocebe puud ne Micihr. Batien thone e wuohnjuog abeehn wiih Jocebe yi laahg maa arube kea, 
MAT.2.20	“Jocebe! Lubo maa abeehna keehde yihri ngo nud. Yaa anaa adaahd nyethiin ke naah, ge athow. Awaahn ni, gwiir rihi ukaabi nyethiin maa men udoogu Yijarael.”
MAT.2.21	Noono ugwiir Jocebe ree ukaabe nyethiin maa men udog gene Yijarael. 
MAT.2.22	Naa abeehn Jocebe Yijarael e ngo atud ke cidh yi piny Judea bang gihn ngo alihnge kejea Arkalaaw e naa aluuny yi ruohdh wahn Eroade kedea ngo arob yihre yi laahg thiow kejea cea Gaalili. 
MAT.2.23	 Naa abeehne dom Gaalili, e ngo apiih Naajaread ne paajo. Gihn nu ree ayuge beere gihn anaa arob Juoge ke leehb yaa agamloohngjuog ke nying Ngad Boadh nyoge pahdh kare. Anaa akob Juoge kea,
MAT.2.23	“Ngo ucuohn ne ngad Naajaread.”
MAT.3.1	Naa abar wudh giih nu, e Joon Ngad Luogwahy ree anyoadhe e upuohnyo ke bang yi ukang gihr Judea kobe, 
MAT.3.2	 “Rahny cwihnyu bang anyoohne giihu naa atiihyu kedea logu anyoohne ngahdhu, bang gihn cahng beehn Juoge umage nyoge ne joe ngo adoohng cahng.” 
MAT.3.3	Joon e naa anaa arub Yicaaye agamloohngjuoge ke nyinge kea,
MAT.3.3	“Nud ke duol me kwaag yi ukang kea,
MAT.3.3	‘Gwiir yooh yihr Ruohdh,
MAT.3.3	gwiir yooh me ne cohg cohg yihre.’ ”
MAT.3.4	Joon na cam caame giih na yoade yi ukang. Ngo na bodh kaa kihj maa baahnyo kedea na ngaab yiehj amana maa acwaahj kedea deehl e naa atuohye yi badhe. 
MAT.3.5	Gihn nu e nyoge me thoohdh awaahdo bange yi ukang ke bang geen Jeruucalem maa ke wudh geedh Judea. Nyoge aoohnyo thiow ke bang yihdh miehy cahng ke naam Joohrdoan. 
MAT.3.6	Maa abeehn gene urob gene adhemuohme giih atiihy gene oogo. Batiene naa akwaan gene adhemuohme giih gen, e wudh gen amuoj Joone ke piih Juog naam Joohrdoan ne cub luogwahy yihr gen.
