MAT.1.1	Dool asaame hana juduud Isa al-Masiih ibn Dawuud ibn Ibraahiim. 
MAT.1.2	Ibraahiim wilid Ishaakh wa Ishaakh wilid Yaakhuub wa Yaakhuub wilid Yahuuza wa akhwaanah. 
MAT.1.3	Wa Yahuuza wilid Faaris wa Zarah wa ammuhum hi Taamaar. Wa Faaris wilid Hasruun. Wa Hasruun wilid Raam. 
MAT.1.4	Wa Raam wilid Aminadaab. Wa Aminadaab wilid Nahchuun. Wa Nahchuun wilid Salmuun. 
MAT.1.5	Wa Salmuun wilid Bu’aaz wa amm Bu’aaz hi Raahaab. Wa Bu’aaz wilid Ubeed wa amm Ubeed hi Ra’uus. Wa Ubeed wilid Yassa. 
MAT.1.6	Wa Yassa wilid Dawuud al-Malik.
MAT.1.6	Wa Dawuud wilid Suleymaan wa amm Suleymaan, awwal hi marit Uriiya. 
MAT.1.7	Wa Suleymaan wilid Rahab’aam. Wa Rahab’aam wilid Abiiya. Wa Abiiya wilid Asa. 
MAT.1.8	Wa Asa wilid Yahuuchafat. Wa Yahuuchafat wilid Yuuraam. Wa Yuuraam wilid Uzziiya. 
MAT.1.9	Wa Uzziiya wilid Yuutaam. Wa Yuutaam wilid Ahaaz. Wa Ahaaz wilid Hizkhiiya. 
MAT.1.10	Wa Hizkhiiya wilid Manassa. Wa Manassa wilid Amuun. Wa Amuun wilid Yuuchiiya. 
MAT.1.11	Wa Yuuchiiya wilid Yakuniya wa akhwaanah wa da fi l-zaman al-foogah mamlakat Baabil khalabat al-Yahuud wa waddathum fi daar Baabil.
MAT.1.12	Wa ba’ad waddoohum fi Baabil, Yakuniya wilid Chaltiyiil. Wa Chaltiyiil wilid Zarubbaabil. 
MAT.1.13	Wa Zarubbaabil wilid Abiihuud. Wa Abiihuud wilid Aliyaakhim. Wa Aliyaakhim wilid Azuur. 
MAT.1.14	Wa Azuur wilid Saduukh. Wa Saduukh wilid Akhiim. Wa Akhiim wilid Aliyuud. 
MAT.1.15	Wa Aliyuud wilid Ali’aazar. Wa Ali’aazar wilid Mattaan. Wa Mattaan wilid Yaakhuub. 
MAT.1.16	Wa Yaakhuub wilid Yuusuf wa Yuusuf da bigi raajil hana Mariyam wa Mariyam wildat Isa al-binaaduuh al-Masiih. 
MAT.1.17	Wa khalaas min Ibraahiim lahaddi Dawuud, hasabo arba’taachar juduud wa min Dawuud lahaddi al-wakit al-waddo foogah al-Yahuud fi Baabil hasabo arba’taachar juduud. Wa min wakit waddo al-Yahuud fi Baabil lahaddi waaluudat al-Masiih hasabo arba’taachar juduud.
MAT.1.18	Wa waaluudat Isa al-Masiih bigat misil ke. Naadum usmah Yuusuf karab raasha le Mariyam amm Isa. Wa gubbaal ma chaalha fi beetah wa la ragad ma’aaha hi bigat khalbaane be gudrat al-Ruuh al-Khudduus. 
MAT.1.19	Wa Yuusuf raajilha naadum saalih wa ma yidoor yi’ayyibha giddaam al-naas. Wa achaan da, hu chaal niiye yitalligha be l-achiir. 
MAT.1.20	Wa wakit hu lissaa’ gaa’id yifakkir fi l-kalaam da, waahid min malaa’ikat Allah ja leyah fi hilim wa gaal : Ya Yuusuf wileed Dawuud, ma takhaaf. Chiil Mariyam fi beetak wa khalli tabga martak achaan al-sakhiir al-fi batunha ja be gudrat al-Ruuh al-Khudduus. 
MAT.1.21	Wa talda wileed wa inta tisammiih Isa
MAT.1.22	Wa da kula bigi misil ke achaan al-kalaam al-Allah gaalah be khachum al-nabi yitimm. {Al-bineeye al-lissaa’ ma chaafat raajil khalbaane wa talda wileed 
