GEN.1.1	Diad gapoy gapo nen pinalsa na Dios iray katawenan tan say dalin,
GEN.1.2	say mundo anggapoy oksuy tan nengneng to. Ambilbilonget so tapew na manungol a dayat a nilanayapan toy ganagana tan mansiplug so pakayari na Dios
GEN.1.3	Insan inkuan na Dios, “Onlesa so liwawa”—et linmesay liwawa; 
GEN.1.4	anengneng na Dios a maung so liwawa. Insan imbiig na Dios so liwawa ed bilonget; 
GEN.1.5	tinawag to na “Agew” so liwawa tan “Labi” so bilonget. Linmabas so labi tan sinmabiy kabwasan—sikato ya so onaan ya agew.
GEN.1.6+GEN.1.7	Insan inkuan na Dios, “Onlesay liwang a mamalduay danum tan pambiigan tod duaran pasen”—et agawa. Onya so impamalsa na Dios ed liwang a linmeet ed danum, kanyan walay danum ed tagey to tan diad leksab to. 
GEN.1.8	Tinawag to na “Tawen” so liwang. Linmabas so labi tan sinmabiy kabwasan—sikato ya so kumadwan agew.
GEN.1.9	Insan inkuan na Dios, “Natipon ed sakey a pasen so danum a walad silong na tawen, pian ompaway so amagan pasen”—et agawa. 
GEN.1.10	Tinawag to na “Dalin” so amagan pasen, tan “Dayat” imay danum ya atipon. Say Dios anengneng to a maung so agawa. 
GEN.1.11	Insan ingganggan na Dios, “Sikan dalin, mamatubo ka na amin a klasiy tanaman, saray mangiter na ilik tan saray mambungay prutas a nambokel”—et agawa. 
GEN.1.12	Pinatubo na dalin iray amin a klasiy tanaman, saray mangiter na ilik, saray mambungay prutas a nambokel. Say Dios anengneng to a maung so agawa. 
GEN.1.13	Linmabas so labi tan sinmabiy kabwasan—sikato ya so kumatlon agew.
GEN.1.14	Insan inkuan na Dios, “Onlesa ed tawen iray silew a mangibiig na agew ed labi tan mangipanengneng na igapo na saray agew, taon, tan saray panaon;
GEN.1.15	onsilew irad tawen a mangiter na liwawa ed dalin”—et agawa. 
GEN.1.16	Onya so impamalsa na Dios ed saray duaran baleg a silew, say banwa a baleg a silew a manoley no agew tan say bulan a memelag a silew a manoley no labi; pinalsa to met iray bitewen. 
GEN.1.17	Impasen tod tawen ira yan silew a mangiter na liwawa ed dalin, 
