GEN.1.1	Indeeŋe ta matapopoten kat na, Anutu iur saamba mi toono mi koroŋ ta boozomen.
GEN.1.2	Mazwaana tana koroŋ sa ipet zen. Yok men ta imbotmbot. Mi ilala ma imarmar. Mi zugut ta izukkaala. Mi Anutu Bubuŋana tamen ta iwwa se yok tana.
GEN.1.3	Mi Anutu iso: “Mat sa be iyaara!” To mat iyaara.
GEN.1.4	Mi Anutu ire mat tana ma ndabok, mi iut pa zugut ma imbot ndel. 
GEN.1.5	Mat tana, ni ipaata be aigule, mi zugut be mbeŋ. Mbeŋ imar ila, mi mankwoono na, iwe aigule mataana kana.
GEN.1.6	To Anutu iso: “Koroŋ mbolŋana sa be ipet mi iyembut yok ma iwe ru.” 
GEN.1.7	Tana iur koroŋ mbolŋana ta ma iyembut yok ta imbot kor na ma imbot ndel pa yok ta imbot meleebe. Tana uraata tana ipet, ito ni kwoono. 
GEN.1.8	Koroŋ mbolŋana tana, ni ipaata be saamba. Mbeŋ imar ila, mi mankwoono mini na, aigule iwe ru pa.
GEN.1.9	Mi Anutu iso: “Yok ta imbot meleebe na, be ilup la lele tamen, bekena lele raraazaŋana ipet.” To uraata tana ipet, ito ni kwoono. 
GEN.1.10	Lele raraazaŋana tana, ni ipaata be toono. Mi yok ta ilup la mbata na, ni ipaata be tai. Mi Anutu ire ma ndabok.
GEN.1.11	Mi Anutu iso: “Zeere, mbutmbuutu, mi ke ŋononŋan matakiŋa be tindom ma tise pa toono, mi tipiyotyooto pwon mi ŋonon.” 
GEN.1.12	To koroŋ tana tindom ma tise, tito ni kwoono. Mi Anutu ire ma ndabok. 
GEN.1.13	Mbeŋ imar ila, mi mankwoono mini na, aigule iwe tel pa.
GEN.1.14+GEN.1.15	Mi Anutu iso: “Koroŋ pakan be tipet sala saamba mi tiur mat pa toono, mi tiur mbut pa aigule mi mbeŋ, mi tiur seŋgaaŋa pa aigule, ndaama, mi gorgor pakan tomini.” 
GEN.1.16	Tana ni iur koroŋ bibip ru raama zin pitik. Koroŋ zazaŋana iyaara pa aigule, mi koroŋ raurauŋana na, iyaara pa mbeŋ. 
GEN.1.17+GEN.1.18	Ni iur koroŋ boozomen tana sala saamba, be tiur mat pa toono, mibe tiur mbut pa aigule mi mbeŋ. Mi Anutu ire ma ndabok. 
GEN.1.19	Mbeŋ imar ila, mi mankwoono mini na, aigule iwe paŋ pa.
GEN.1.20	To Anutu iso: “Koroŋ kalaŋan matakiŋa be tipet ma tipepen yok mi tai leleene. Mi man matakiŋa be tipet ma tirie pa maŋaanaŋana.” 
GEN.1.21	Tana ni iur zin buzur zazaŋan ta timbot tai leleene, ramaki koroŋ matakiŋa ta timbot pa yok mi tai na, mi iur zin man tomini. Mi Anutu ire ma ndabok. 
GEN.1.22	To ipombol zin mi iso: “Kepeebe mi kamasak ma kepepen tai, yok, mi toono.” 
GEN.1.23	Mbeŋ imar ila, mi mankwoono mini na, aigule iwe lamata pa.
GEN.1.24	To Anutu iso: “Koroŋ kalaŋan matakiŋa be tipet pa toono. Koroŋ ta kembei: Mbili kar kan, mi koroŋ su kan, mi koroŋ boozomen ta tikarra pa toono na.” 
GEN.1.25	Tana Anutu iur zin koroŋ tana, mi ire ma ndabok.
GEN.1.26	Tona Anutu iso: “Iti ko tuur tomtom sa ma kembei ta iti. Ito itundu ruŋgundu. Mi ni ko imboro toono, mi ye, man, mbili, mi koroŋ boozomen ta tikarra pa toono na.”
GEN.1.27	Tana Anutu iur tomtom ma kembei itunu ruŋguunu.
GEN.1.27	Ni iuri ma irao kat itunu ruŋguunu.
GEN.1.27	Iur tomooto mi moori.
GEN.1.28	Mi Anutu ipombol zin ma iso: “Kepeebe ma kamasak, mi karao pa toono ta boozomen. Mi komboro ye, man, mi koroŋ kalaŋan boozomen ta timbotmbot pa toono na, mi motoyom pa.
GEN.1.29	Mi keleŋ, nio aŋur zeere, kini, mi mba ta boozomen piom be kakan. 
GEN.1.30	Mi koroŋ kalaŋan matakiŋa boozomen ta timbotmbot pa toono na, ina nio aŋur mbutmbuutu mi ke runrun pizin be tikan.” Anutu iso ta kembei, mi uraata tana ipet, ito ni kwoono.
