MAT.1.1	Uvva ukua aglaŋich sivulliaŋiñ Jesus Christ-ŋum, kiŋuviaŋupluni David-miñ Abraham-miñḷu.
MAT.1.2	Abraham aapagigaa Isaac-ŋum,
MAT.1.2	Isaac-li aapagigaa Jacob-ŋum,
MAT.1.2	Jacob-li aapagigaa Judah-ŋum aniqataiñḷu.
MAT.1.3	Aasiiñ Judah aapagigaak Perez-ŋumlu Zerah-ŋumlu, taapkuak aakaŋak Tamar,
MAT.1.3	Perez aapagigaa Hezron-ŋum.
MAT.1.3	Hezron-li aapaŋa Ram-ŋum.
MAT.1.4	Ram-li aapagigaa Amminadab-ŋum,
MAT.1.4	Amminadab-li aapagigaa Nahshon-ŋum.
MAT.1.4	Nahshon-li aapagigaa Salmon-ŋum.
MAT.1.5	Salmon-li aapagigaa Boaz-ŋum, Rahab-mik aakaqaqtuam,
MAT.1.5	Boaz-li aapagigaa Obed-ŋum, aakaqaqtuam Ruth-mik,
MAT.1.5	Obed-li aapagigaa Jesse-m, 
MAT.1.6	Jesse-aasiiñ aapagigaa umialgum David.
MAT.1.6	David-li aapagigaa Solomon-ŋum, aakaqaqtuam Uriah-m nuliaġaluaŋanik.
MAT.1.7	Aasiiñ Solomon aapagigaa Rehoboam-ŋum,
MAT.1.7	Rehoboam-li aapagigaa Abijah-ŋum,
MAT.1.7	Abijah-li aapagigaa Asa-ŋum.
MAT.1.8	Asa-li aapagigaa Jehoshaphat-ŋum,
MAT.1.8	Jehoshaphat-li aapagigaa Jehoram-ŋum,
MAT.1.8	Jehoram-li aapagigaa Uzziah-ŋum,
MAT.1.9	Uzziah-li aapagigaa Jotham-ŋum,
MAT.1.9	Jotham-li aapagigaa Ahaz-ŋum,
MAT.1.9	Ahaz-li aapagigaa Hezekiah-ŋum.
MAT.1.10	Hezekiah-li aapagigaa Manasseh-ŋum,
MAT.1.10	Manasseh-li aapagigaa Amon-ŋum,
MAT.1.10	Amon-li aapagigaa Josiah-ŋum.
MAT.1.11	Josiah-li aapagigaa Jeconiah-ŋum aniqataiñḷu. (Ukua taimani Israel-aaġmiut aullautraupmata Babylon-mun.)
MAT.1.12	Iñuich tikiutikkauŋanikmata Babylon-mun,
MAT.1.12	Jeconiah aapagigaa Shealtiel-ŋum,
MAT.1.12	Shealtiel-aasiiñ aapagigaa Zerubbabel-ŋum,
MAT.1.13	Zerubbabel-li aapagigaa Abiud-ŋum,
MAT.1.13	Abiud-li aapagigaa Eliakim-ŋum,
MAT.1.13	Eliakim-li aapagigaa Azor-ŋum,
MAT.1.14	Azor-li aapagigaa Zadok-ŋum,
MAT.1.14	Zadok-li aapagigaa Achim-ŋum,
MAT.1.14	Achim-li aapagigaa Eliud-ŋum,
MAT.1.15	Eliud-li aapagigaa Eleazar-ŋum,
MAT.1.15	Eleazar-li aapagigaa Matthan-ŋum,
MAT.1.15	Matthan-li aapagigaa Jacob-ŋum,
MAT.1.16	Aasiiñ Jacob aapagigaa Joseph-ŋum, uiŋan Mary-m, taamna Mary Jesus annivigikkaŋa taiguutiqaqtuam Christ-mik.
MAT.1.17	Iluqatiŋaasiiñ kiŋuviaġiich aullaġniipḷutiŋ Abraham-miñ David-munaglaan akimiaġuutaiḷauniqsut, suli aullaġniipḷutiŋ David-miñ iñuich aullautraułhatnunaglaan Babylon-mun kiŋuviaġiich akimiaġuutaiḷaupmiñiqsut. Aasiiḷi iñuich aullautraułhatniñaglaan akimiaġuutaiḷaupmiut kiŋuviaġiich anił̣hanunaglaan Christ-ŋum.
MAT.1.18	Uvva Jesus Christ-ŋum anił̣ha itnaiḷipḷugu inniqsuq. Aakaŋa Mary nuliaksrausiutianikami Joseph-mun, aglaan katigaluaqatik iḷitchuġiniqsuq siŋaiyautilaaġmiñik Ipqitchuakun Irrutchikun. 
MAT.1.19	Aasiiñ uiksrautaa Joseph nalaunŋaruaŋuniqsuq. Iḷisimagaa katchuutiłiksrani Mary-mik nalaunŋaitkisilaaŋa, aglaan kanŋusaaġuŋiññiġaa iñuŋnun. Taatnamik sivunniġñiqsuq avitchukługu nalunautchipḷuni. 
MAT.1.20	Taavrumiŋa isumaaluktitlugu Atanġum isaġulgan sagviutiniġaa siññaktukun nipliqhuni, “Joseph, kiŋuviaġigaatin David-ŋum, sivuuġanak Mary-mik tuvaaqatniŋñiaqniḷutin atakkii siŋaiyaupkaġaa Ipqitchuam Irrutchim. 
MAT.1.21	Iġñiqaġisiruq. Atchiġisigiñ Jesus-mik. Atakkii anniqsuġisigai iñuŋni killuqsautiŋitñiñ.” 
MAT.1.22	Tamatkua iluqatiŋ atuumarut taŋiqsaqługu Atanġum uqauttutigikkaŋa tumigiplugu taimña sivuniksriqiri,
MAT.1.23	“Taamna aŋutituqsimaitchuaq siŋaiyauniaqhuni iġñiqaġisiruq.
MAT.1.23	Iñuich taiguutiqaġisigaat Immanuel”
MAT.1.23	(itnautauruaq, Agaayyutim iqatigigaatigut). 
MAT.1.24	Joseph-ŋum itiqami taimma iḷaqatiksraqtaaġigaa Mary isaġulgan Atanġum uqauttutaagun. 
MAT.1.25	Iḷaksiaŋiññiġaa iġñiqałhanunaglaan; aasiiñ Joseph-ŋum atchiġñiġaa Jesus-mik.
MAT.2.1	Jesus anianikman Bethlehem-mi Judea-miittuami, Herod umialgułhani, aŋutit puqiksaat tikiññiqsut Jerusalem-mun, apiqsruqtuqhutiŋ, 
MAT.2.2	“Sumiimma aniva umialgat Jew-ŋuruat? Tautukkikput uvluġiaŋa kivaknamiñ, taatnaqhuta aggiqsugut sitquġvigityaqtuaqługu.” 
MAT.2.3	Umialgum Herod tusaakamiuŋ taamna isumaalutchaŋniqsuq iluqatiŋlu Jerusalem-miut. 
