GEN.1.1	Kezdetben teremtette Isten az eget és a földet. 
GEN.1.2	A föld még kietlen és puszta volt, a mélység fölött sötétség volt, de Isten Lelke lebegett a vizek fölött. 
GEN.1.3	Akkor ezt mondta Isten: Legyen világosság! És lett világosság. 
GEN.1.4	Látta Isten, hogy a világosság jó, elválasztotta tehát Isten a világosságot a sötétségtől. 
GEN.1.5	És elnevezte Isten a világosságot nappalnak, a sötétséget pedig éjszakának nevezte el. Így lett este, és lett reggel: első nap. 
GEN.1.6	Azután ezt mondta Isten: Legyen boltozat a vizek között, hogy elválassza egymástól a vizeket! 
GEN.1.7	Megalkotta tehát Isten a boltozatot, és elválasztotta a boltozat alatt levő vizeket a boltozat felett levő vizektől. És úgy történt. 
GEN.1.8	Azután elnevezte Isten a boltozatot égnek. Így lett este, és lett reggel: második nap.
GEN.1.9	Azután ezt mondta Isten: Gyűljenek össze az ég alatt levő vizek egy helyre, hogy láthatóvá váljék a szárazföld! És úgy történt. 
GEN.1.10	Azután elnevezte Isten a szárazföldet földnek, az összegyűlt vizeket pedig tengernek nevezte el. És látta Isten, hogy ez jó. 
GEN.1.11	Azután ezt mondta Isten: Növesszen a föld növényeket: füveket, amelyek magvakat hoznak, és különféle gyümölcsfákat, amelyek gyümölcsöt teremnek, és majd abban magvuk lesz a földön. És úgy történt. 
GEN.1.12	Hajtott tehát a föld növényeket: különféle füveket, amelyek magvakat hoznak, és különféle gyümölcstermő fákat, amelyeknek magvuk van. És látta Isten, hogy ez jó. 
GEN.1.13	Így lett este, és lett reggel: harmadik nap.
GEN.1.14	Azután ezt mondta Isten: Legyenek világító testek az égbolton, hogy elválasszák a nappalt az éjszakától, és jelezzék az ünnepeket, a napokat és az esztendőket, 
GEN.1.15	és legyenek világító testekként az égbolton, hogy világítsanak a földre! És úgy történt. 
GEN.1.16	Megalkotta Isten a két nagy világító testet – a nagyobbik világító testet, hogy uralkodjék nappal, és a kisebbik világító testet, hogy uralkodjék éjszaka – és a csillagokat. 
GEN.1.17	Az égboltra helyezte őket Isten, hogy világítsanak a földre, 
GEN.1.18	és uralkodjanak a nappalon és az éjszakán, és válasszák el a világosságot a sötétségtől. És látta Isten, hogy ez jó. 
GEN.1.19	Így lett este, és lett reggel: negyedik nap.
GEN.1.20	Azután ezt mondta Isten: Pezsdüljenek a vizek élőlények nyüzsgésétől, és repdessenek madarak a föld felett, az égbolt alatt! 
GEN.1.21	És megteremtette Isten a nagy víziállatokat, a vizekben nyüzsgő különféle úszó élőlényeket és a különféle madarakat. És látta Isten, hogy ez jó.
GEN.1.22	Azután megáldotta őket Isten: Szaporodjatok, sokasodjatok, és töltsétek be a tenger vizét; a madarak is sokasodjanak a földön! 
GEN.1.23	Így lett este, és lett reggel: ötödik nap.
GEN.1.24	Azután ezt mondta Isten: Hozzon elő a föld különféle élőlényeket: különféle jószágokat, csúszómászókat és vadállatokat! És úgy történt.
GEN.1.25	Megalkotta Isten a különféle vadállatokat, a különféle jószágokat és a különféle csúszómászókat. És látta Isten, hogy ez jó.
GEN.1.26	Akkor ezt mondta Isten: Alkossunk embert a képmásunkra, hozzánk hasonlóvá: uralkodjék a tenger halain, az ég madarain, a jószágokon, az összes vadállaton és az összes csúszómászón, ami a földön csúszik-mászik. 
GEN.1.27	Megteremtette Isten
GEN.1.27	az embert a maga képmására,
GEN.1.27	Isten képmására teremtette,
GEN.1.27	férfivá és nővé teremtette őket. 
GEN.1.28	Azután megáldotta őket Isten,
GEN.1.28	és ezt mondta nekik Isten:
GEN.1.28	Szaporodjatok, sokasodjatok,
GEN.1.28	töltsétek be a földet, és hajtsátok uralmatok alá!
GEN.1.28	Uralkodjatok a tenger halain, az ég madarain
GEN.1.28	és a szárazföldön mozgó minden élőlényen! 
GEN.1.29	Majd ezt mondta Isten: Nektek adok minden maghozó növényt az egész föld színén, és minden fát, amelynek maghozó gyümölcse van: legyen mindez a ti eledeletek! 
GEN.1.30	Minden földi állatnak, az ég minden madarának és minden földi csúszómászónak pedig, amelyben élet van, eledelül adok minden zöld növényt. És úgy történt. 
GEN.1.31	És látta Isten, hogy minden, amit alkotott, igen jó. Így lett este, és lett reggel: hatodik nap. 
GEN.2.1	Így készült el az ég és a föld és azok minden serege. 
GEN.2.2	A hetedik napra elkészült Isten a maga alkotó munkájával, és megpihent a hetedik napon egész alkotó munkája után. 
GEN.2.3	Azután megáldotta Isten a hetedik napot, és megszentelte azt, mert azon pihent meg Isten egész teremtő és alkotó munkája után. 
GEN.2.4	Ez az ég és a föld teremtésének története.
GEN.2.4	Amikor az 
GEN.2.5	még semmiféle mezei fű nem volt a földön, és semmiféle mezei növény nem hajtott ki, mert az 
GEN.2.6	Akkor forrás fakadt a földből, és mindenütt megöntözte a termőföld felszínét. 
GEN.2.7	Azután megformálta az 
GEN.2.8	Ültetett az 
GEN.2.9	Sarjasztott az 
GEN.2.10	Édenből pedig fakadt egy folyó, hogy a kertet öntözze; onnan aztán szétágazott, és négy ágra szakadt. 
GEN.2.11	Egyiknek Písón a neve. Ez megkerüli Havílá egész földjét, ahol arany van. 
GEN.2.12	Ennek a földnek az aranya jó. Van ott illatos gyanta és ónixkő. 
GEN.2.13	A második folyónak Gíhón a neve. Ez megkerüli Etiópia egész földjét. 
GEN.2.14	A harmadik folyónak Tigris a neve. Ez Assúr keleti részén folyik. A negyedik folyó pedig az Eufrátesz. 
GEN.2.15	Fogta tehát az 
GEN.2.16	Ezt parancsolta az 
GEN.2.17	de a jó és a rossz tudásának fájáról nem ehetsz, mert azon a napon, amelyen eszel róla, halállal lakolsz. 
GEN.2.18	Azután ezt mondta az 
GEN.2.19	Formált tehát az 
GEN.2.20	Így adott az ember nevet minden jószágnak, az égi madaraknak és minden vadállatnak, de az emberhez illő segítőtársat nem talált.
GEN.2.21	Mély álmot bocsátott azért az 
GEN.2.22	Az emberből kivett oldalbordát az 
GEN.2.23	Akkor ezt mondta az ember:
GEN.2.23	Ez most már csontomból való csont,
GEN.2.23	testemből való test.
GEN.2.23	Asszonyember legyen a neve:
GEN.2.23	mert férfiemberből vétetett.
GEN.2.24	Ezért hagyja el a férfi apját és anyját, ragaszkodik feleségéhez, és ezért lesznek egy testté. 
GEN.2.25	Még mindketten meztelenek voltak: az ember és a felesége is, de nem szégyellték magukat.
