MAT.1.1	อางเม้ง นี้อือ ย่า พระเยซูคริสต์ ก่า ซ้าด อางฮื่อ มาง อางฮู่ อางพี่ อือ อางเม้ง ย่าง เป. พระเยซู ย่า ก่าซ้าด ดาวิด ก้อง อางเจ้อ ซื้บลือ ชี แน ก่าซ้าด ดาวิด ย่า อับราฮัม ก้อง อางเจ้อ ซื้บลือ ชี.
MAT.1.2	อับราฮัม อางย่า มาง อางเม้ง อิสอัค, อิสอัค อางย่า มาง อางเม้ง ยาโคบ, ยาโคบ อางย่า มาง อางเม้ง ยูดาห์ แน ยาโคบ ก้อง อางย่า ค่าพ่าย่า 11 คู่น จา แล่แง. ชฺ้าง 11 คู่น นี้อือย่า ยูดาห์ ม้องน้าม อือ ย้าเป.
MAT.1.3	ยูดาห์ ย่า เปเรศ แน เศราห์ เย่ด อางโบ้ง เย. ยาว เย่ด อางบา ม้า ทามาร์ เย.
MAT.1.3	เปเรศ อางย่า มาง อางเม้ง เฮสโรน, เฮสโรน อางย่า มาง อางเม้ง ราม แน.
MAT.1.4	ราม ย่า อัมมีนาดับ อางโบ้ง เย.
MAT.1.4	อัมมีนาดับ ย่า นาโชน อางโบ้ง เย. ยาว นาโชน สัลโมน อางโบ้ง เย.
MAT.1.5	สัลโมน ย่า โบอาส อางโบ้ง เย. ยาว โบอาส อางบา ม้า ราหับ เย.
MAT.1.5	ยาว โบอาส ย่า โอเบด อางโบ้ง เย. ยาว โอเบด อางบา ม้า รูธ เย.
MAT.1.5	ยาว โอเบด ย่า เจสซี อางโบ้ง เย.
MAT.1.6	ยาว เจสซี ย่า ดาวิด อิสราเอลชฺ้าง อือ ก่าซ้าด มาง อางโบ้ง เย.
MAT.1.6	ยาว ก่าซ้าด ดาวิด ย่า โซโลมอน อางโบ้ง เย. ยาว โซโลมอน อางบา ม้า อุรียาห์ ค่าบา อางอ้าน เย.
MAT.1.7	โซโลมอน ย่า เรโหโบอัม อางโบ้ง เย.
MAT.1.7	เรโหโบอัม ย่า อาบียาห์ อางโบ้ง เย.
MAT.1.7	ยาว อาบียาห์ ย่า อาสา อางโบ้ง เย.
MAT.1.8	อาสา ย่า เยโฮชาฟัท อางโบ้ง เย.
MAT.1.8	เยโฮชาฟัท ย่า เยโฮรัม อางโบ้ง เย.
MAT.1.8	เยโฮรัม ย่า อุสซียาห์ อางโบ้ง เย.
MAT.1.9	อุสซียาห์ ย่า โยธาม อางโบ้ง เย.
MAT.1.9	โยธาม ย่า อาหัส อางโบ้ง เย.
MAT.1.9	ยาว อาหัส ย่า เฮเซคียาห์ อางโบ้ง เย.
MAT.1.10	เฮเซคียาห์ ย่า มนัสเสห์ อางโบ้ง เย.
MAT.1.10	มนัสเสห์ ย่า อาโมน อางโบ้ง เย.
MAT.1.10	อาโมน ย่า โยสิยาห์ อางโบ้ง เย.
MAT.1.11	โยสิยาห์ ย่า เยโคนิยาห์ อางโบ้ง เย. ยางก้อง ย่าช่างม้องน้าม จา แล่แง. แฮ้ญ่าม เมอ, ยิวชฺ้าง อือนา บาบิโลน อางเมิง โย้เวอ เชลย ชู เพล่อ แอ ปี่ชี่ เย.
MAT.1.12	น่อง โย้เวอ บาบิโลน อางเมิง โย้เวอ เชลย เพล่อ ยาว, เยโคนิยาห์ มือ อางย่า อางเม้ง เชอัลทิเอล แน กงาบู้ ชีเย. ยาว เชอัลทิเอล ย่า เศรุบบาเบล มาง อางโบ้ง เย.
MAT.1.13	เศรุบบาเบล ย่า อาบียุด อางโบ้ง เย.
MAT.1.13	อาบียุด ย่า เอลียาคิม อางโบ้ง เย. แน เอลียาคิม ย่า อาซอร์ อางโบ้ง เย.
MAT.1.14	อาซอร์ ย่า ศาโดก อางโบ้ง เย.
MAT.1.14	ศาโดก ย่า อาคิม อางโบ้ง เย. แน อาคิม ย่า เอลีอูด อางโบ้ง เย.
MAT.1.15	เอลีอูด ย่า เอเลอาซาร์ อางโบ้ง เย.
MAT.1.15	เอเลอาซาร์ ย่า มัทธาน อางโบ้ง เย. แน มัทธาน ย่า ยาโคบ อางโบ้ง เย.
MAT.1.16	ยาโคบ ย่า โยเซฟ อางโบ้ง เย. โยเซฟ ย่า มารีย์ อางบล้อง มาง ย้า. ยาว มารีย์ ย่า พระเยซู พาจาว มาง แช้ยู้ ยาว, ยิวชฺ้าง อือ ก่าซ้าด เพล่อ ปี่ ชี มาง แน ฮ้าว มาง อางบา มาง ย้า.
MAT.1.17	อับราฮัม จีน เวอ จาย ก่าซ้าด ดาวิด จีน เวอ เคอ นี้ย่า 14 จีน. ยาว ก่าซ้าด ดาวิด จีน เวอ จาย บาบิโลน อางเมิง เวอ เชลย เพล่อ แอ ชี นี้ง มือ 14 จีน. ยาว บาบิโลน อางเมิง เชลย เพล่อ เมอ จาย พระเยซูคริสต์ จีน เวอ เคอ แฮ้ง มือ 14 จีน เย.
