MAT.1.2	Abraham Aisak tegi, Aisak Zekop tegi. Zekop Zuda gum ntogi tegi. 
MAT.1.3	Zuda Peres gu Sara tegi, mani niamuuŋ, ana Tamar tegi. Peres Hesron tegi. Hesron Ram tegi. 
MAT.1.4	Ram Aminadap tegi. Aminadap Nason tegi. Nason Sarmon tegi. 
MAT.1.5	Sarmon Boas tegi, ana niamuuŋ Rahap. Boas Obet tegi. Obet niamuuŋ Rut ma. Obet Zesi tegi. 
MAT.1.6	Zesi Devit tegi. Ana Devit tegim, ana ŋgui vhɨrve gari guman pan kegi.
MAT.1.6	Devit, ana Soromon tegi. Soromon tegi niamuuŋ, ana fhum Uria ga tɨga kegi. 
MAT.1.7	Soromon Rehoboam tegi. Rehoboam Abiza tegim, Abiza Asa tegi. 
MAT.1.8	Asa Zehosafat tegi. Zehosafat Zehoram tegi. Zehoram Usia tegi. 
MAT.1.9	Usia Zotam tegim, Zotam Ahas tegi. Ahas Hesekia tegi. 
MAT.1.10	Hesekia Manase tegi. Manase Emon tegi. Emon Zosaia tegi. 
MAT.1.11	Zosaia, ana Zehoiakin gu ntogi tegi. Mba tugen Babironiŋ Isreriŋ shogap mbe ndiga Babironan vegap, mbe ndim bɨna suegim, mbe fhura mben ŋaara gumgi ki.
MAT.1.13	Serubaber Abiut tegi. Abiut Eriakim tegi. Eriakim Asor tegi. 
MAT.1.14	Asor Sadok tegim, Sadok Akim tegi. Akim Eriut tegi. 
MAT.1.15	Eriut Ereasar tegim, Ereasar Matan tegi, Matan Zekop tegi. 
MAT.1.16	Zekop Zosep tegi. Zosep Maria man ma.
MAT.1.16	Maria, ana Zisas tegi. Zisas mbe vhɨra kha zɨn ana kaai, Krais, ana Fhe Bakɨme taagip kha nuianan ki gumgi gu mbigi ndir zav farasarigi guma ma.
MAT.1.17	Maaŋ muuŋgiap, Abrahaman nzɨgi, mbe zav Devit thɨgi, mbe phɨk bavira fethɨgi. Devitan kegap zav, mbe Isreriŋ Babironiŋ mbe shogap, mbe ndiga vov bɨna suegi tugen, Devita nzɨgi vhɨra phɨk bavira fethɨgi. Mbe Babiron bɨnan kav, fhura Babironin ŋgari tugen kega zav, Krais kha nuianan hɨgi tugen, mbe nzɨgi vhɨra phɨk bavira fethɨgi.
MAT.1.19	Ana man Zosep, ana tɨvir vhuuiŋra zɨn vui guma ma. Maaŋ muuŋgiap, ana Maria mbararagim, ana ndavar kim, ana ana thamthar za mbui. Ana Maria thamthar za mbuav, ana vhɨra mba gumgi gu mbigi nɨman memɨrar Marian nɨɨngeŋ vuzvugi fhuvara. Ana maaŋ muuŋgiap nimra ana thamthar za mbui. 
MAT.1.20	Zosep ana thamthar zav wo ndav vhera mba ndɨkndɨga mbuav ki. Ana mba ndɨkndɨga mbuav kim, maan Fhe Bakɨme enser mbe rɨman ana kharigi. Ana rɨman ana kharav khaŋ ana nzuai, “Zosep, Devitan nzɨk, ndu Marian rɨgɨrgen rɨvɨ thari. Ndu mbarara! Maria ndavar ki tar, Fhe Bakɨmen Ŋina Ŋaar nduara mba tarar ana ndava vhee sarigi. 
MAT.1.21	Ana mba ŋguga ruagirim, ndu kha zɨn mba tara tɨgɨri, Zisas. Ne khaŋ muuŋgi, mba tar, ana won gumgi gu mbigi muuŋgi tɨvi mbatɨgi vhɨzɨv, taagi mbe ndirga.”
MAT.1.22	Mba bigi maaŋ muuŋgip hɨgɨp, mba Fhe Bakɨme kamthooŋ guma fhum suaŋgi bunira zɨn ŋgɨgɨrga. Fhe Bakɨme kamthooŋ guma fhum khaŋ suaŋgi, 
MAT.1.23	“Nde mbarara! Mbigar kama the, ana guma the ndiga kegi fhu, ana ndava rɨgɨp, ŋguga the ruagirga. Ana mba ŋguga ruagirga, mbe kha zɨn ana tɨgɨrga, Emanuer.” Mba zɨ nɨɨngeŋ khaŋ nzuai, Fhe Bakɨme nza phorga ki.
MAT.1.24	Zosep mba rɨma kuigap, mɨtimanera khavgiap, ana mba Guma Bakɨme enser ana suaŋgi kameŋra zɨn vugi. Ana mba kameŋ zɨn vov won muuŋ Maria ga tɨgi. 
MAT.1.25	Zosep Maria ga tɨgap, ana ndiga wo phenan vugap, ana gura Maria phorga kui fhuvara. Ana fhura ana phorga kav kim, Maria mba ndavar ki ŋguga ruagi. Maria mba ŋguga ruagim, ana kha zɨn ana tɨgi, Zisas.
MAT.2.1	Maria Zudia ŋgu bakɨme fhain Betrehem ŋgu bakɨmen Zisas tegi. Maria Zisas tegi tugen, Herot Zudia fhain ki ŋgui vhɨrve gari guman pan ki. Maria Zisas tegim, bigi kaŋgi gumgi mbari, mbe ra ndai fhain kegap, nda zav Zerusareman ndav, tamtam mba gumgir nzav, khaŋ nzambaran mbe mbui. 
MAT.2.2	“Mba Zudain ŋgui vhɨrve ganɨnga guman pan kɨrga tar, ana niamuuŋ ana tegi, ana maaŋ ki? Nza mba tara bun nzuai kama bakɨme, ana ra ndai fhain hɨgim, nza ana gangiap, mba tara nɨman thɨvi phɨrɨr zav ana ndi garav zi.” 
MAT.2.3	Mbe ne nzuaim, ŋgui vhɨrve gari guman pan Herot ne mbararagiap ndɨkndɨgi vhɨrve ga mbui. Ana ndɨkndɨgi vhɨrve ga mbuim, mba Zerusareman ki gumgi gu mbigi, mbe vhɨra ndɨkndɨgi vhɨrve ga mbui. 
MAT.2.4	Mbe ndɨkndɨgi vhɨrve ga mbuim, ŋgui vhɨrve gari guma Herot mbaram mba Fhe Bakɨme rotu gari gumgir pani gum Zudain tɨvi kaŋgi gumgir kamgi. Ana mben kamgim, mbe ana han zim, ana mbe fugap kha nzambaren mbe muuŋgi, “Mba Fhe Bakɨme taagip kha nuianan ki gumgi gu mbigi ndir zav suaŋgiap sarigi guma, ana niamuuŋ maaŋgi ŋgun ana tegi.” 
MAT.2.5	Ana mba nzambaren mbe muuŋgim, mbe ana ŋgarkarav khaŋ ana nzuai, “Ana niamuuŋ Zudia fhain Betrehem ŋgun ana tegɨrga. Fhum Fhe Bakɨme kamthooŋ guma maaŋ suaŋgim, mbe mba kameŋ khergim, ne ki. Mba kameŋ khaŋ nzuai, 
MAT.2.6	‘Ndu Betrehem ŋgu, ndu Zudia fhain ki. Ndu ŋgu khɨn fhuvara, ndu ntigem nduara wo ganɨnga. Gu ntigem ndun ki guma the ndi farim, ana nan gumgi Isreriŋ ganɨnga.’ ”
MAT.2.7	Mbe maaŋ suaŋgim, ŋgui vhɨrve gari guman pan Herot ne mbararagiap, mbaram nimnera mba ra ndai fhain kega zegi gumgi ga nzuav kama ndi mbarigim, mbe ana han zegim, ana thukhɨngira mben nzai. Ana kha nzambaran mbe mbui, mba kama bakɨme rasɨn hɨgi. 
MAT.2.8	Ana mba nzambaran mbe muuŋgiap, mbe sarigim, mbe Betreheman vuim, ana khaŋ mbe nzuai, “Nde ŋgɨp khaŋ tɨgɨp mba tara suaŋv ganɨri! Nde mba tara gangip, nde vhɨra taagi zɨv na suaŋgirim, gu vhɨra ŋgɨp, mba tara rotur muunga.”
MAT.2.9	Ŋgui vhɨrve gari guman pan Herot maaŋ mbe suaŋgim, mbe ana buneŋ mbararagiap wari vui. Mbe vov, mbe taagia mba ra ndai fhain gangi kama bakɨme, mbe ana garav ana zɨn vui. Mbe mba kama bakɨme zɨn vuim, mba kam vov mba tar ki phena kɨra tugera thɨgi. 
MAT.2.10	Mba kam thɨgim, mba ra ndai fhain kega zegi gumgi, mbe mba kama garav, mbe guigira ndikndiga mbatɨga mbui.
MAT.2.12	Mbe mba bigin mba tara nɨɨŋgiap, mbe maan kuim, Fhe Bakɨme rɨman mbe kharav khaŋ mbe nzuai, “Nde taagi ŋgɨp ŋgui vhɨrve gari guman pan Herotan hɨ thari.” Ana maaŋ mbe suaŋgim, mbe harigi tuav mbugum, wari wo ki ŋgun vegi. 
MAT.2.13	Mba ra ndai fhain kega zegi gumgi, mbe taagia vegim, Guma Bakɨme maan rɨman Zosep kharigi. Ana wo enser mbe sarigim, ana zav khaŋ Zosep ga nzuai, “Ndu khavgip, kha tara ndigip, ana niamuun kov nde rɨɨv Idzɨvan ŋgegɨri. Ndu ŋgɨgɨp, Idzɨvra kɨri, ne khaŋ muuŋgi, ŋgui vhɨrve gari guman pan Herot mba tara ndiv ganɨv, ana shogirim, ana rɨmɨn za mbui.” 
MAT.2.14	Zosep mba rɨma kuigap, ana mba maaŋra khavgiap, mba tara ndigap, ana niamuun kov, mbe maan Betrehem thav khavgiap wari Idzɨvan vegi. 
MAT.2.15	Zosep manin ko vugap, mbe Idzɨvra kim, ŋgui vhɨrve gari guman pan Herot rimgi. Kha bunai ne fhum Fhe Bakɨme kamthooŋ guma suaŋgi kama mɨnara vugi. Ana fhum khaŋ suaŋgi, “Nan Kam Idzɨvra kɨrim, gu nduara ana kamgirim, ana Idzɨp thav zɨrga.”
MAT.2.16	Herot zumgum mbararagim, mba ra ndai fhain kega zegi gumgi ana guigap, wari taagi wari wo ki ŋgun vegim, ana guigira ndav mbatɨk ana shigi. Ana ndav shigap, mbaram gumgi mbari ga sarigim, mbe Betrehem ŋgun verav, vhɨra mba Betrehem gan ki ŋgu, mbe za nta ruav mpari mpuveni vhɨzgi fhuv tari ndi gari. Mbe mbe garav, mba mbigi tegi tari, mbe gumgi garav, mbe za mbe shogim, mbe vhɨzgi. Herot mba kama bakɨme hɨgi tuga nzuav, mba ra ndai fhain kegap zegi gumgir nzai, ne nɨɨeŋ khaŋ muuŋgi. Ana kha ndɨkndɨga mbui, ana mba tugen hegi tari, ana za mbe shogɨri mbe vhɨzgir za mbui. 
MAT.2.17	Kha kameŋ ne Fhe Bakɨme fhum nen wo kamthooŋ guma Zeremaia ga nɨɨŋgim, ana ne suaŋgi, mba kameŋ nera mɨnan vugi. Ana khaŋ suaŋgi, 
MAT.2.18	“Nanan gum nzir kama bakɨme Rama ŋgu bakɨmen hɨgɨrga. Mba nzir kam gum nanaman kam, ana Reser won tari ga nzuav nzi nzir kam ma. Ana mbe nzuav nzim, mba gumgi gu mbigi ndava mɨɨtɨgar ana nɨɨŋgirga, tuktɨgi fhuvara. Ana khaŋ muuŋgi ne nzuav, anan tari zam vhɨzgi.”
MAT.2.19	Zosep gu Maria mba tara ndigap Idzɨvra kim, Herot rimgim, Fhe Bakɨme enser, ana wom zav rɨman Zosep kharigi. 
MAT.2.20	Mba Fhe Bakɨme enser rɨman Zosep kharav khaŋ ana nzuai, “Ndu khavgip, mba tara ndigip, mani niamuuŋ gum ndu mani kov, nde khavgip Isrerar ŋgɨri. Mba tara shogirim, ana rɨmɨn za nzuai gumgi, mbe vhɨzgi.” 
MAT.2.21	Ana rɨman Zosep kharav, maaŋ ana suaŋgim, Zosep mbaram mba tara ndigap, ana niamuun kov, mbe taagia khavgiap, Isrera fhain veri.
MAT.2.23	Zosep manin ko vera vov, mbe kha zɨn rɨgi ŋgun ki. Mba ŋgu zɨ Nasaret, kha kameŋ ne fhum Fhe Bakɨme kamthooŋ guma suaŋgi kameŋra mɨnan vugi. Mba kameŋ khaŋ nzuai, “Mbe khaŋ ana suanga, Nasaret guma.”
MAT.3.2	Ana Fhe Bakɨme buni vhuuiŋ bun nzuav khaŋ nzuai, “Nde mba mbui tɨvi mbatɨgi thamthav ndavi domdorɨri. Fhe Bakɨme wo gumgi gu mbigi ganɨri mbe ana piin kɨrga tuk han mbarigi.” 
MAT.3.3	Zon, ana mba fhum Fhe Bakɨme kamthooŋ guma Aisaia bun suaŋgi guma ma. Fhe Bakɨme kamthooŋ guma Aisaia, ana bun nzuav khaŋ suaŋgi, “Guma the gumgi ki fhuv ŋanen kɨv khaŋ suanga, ‘Nde Fhe Bakɨme suaŋv tuavi muuŋri. Nde ana suaŋv tuavir muuŋrim, nta thɨgar maaŋri.’ ”
MAT.3.5	Ana mba tugen mba gumgi ki fhuv ŋanen hɨga kaav nzuaim, mba Zerusareman ki gumgi gu mbigi, mba Zudian ki gumgi gu mbigi zam, mba Zordan mbɨ gaar han ki ŋgui, mbe za zav Zon gumgi ruai guman han zi. 
MAT.3.6	Mbe ana han zav, wari wo muuŋgi tɨvi mbatɨgi bun ana nzuaim, Zon Zordan mbɨn mbe ruai.
MAT.3.8	Nde maaŋ muuŋgip guigira ndavi domdorgip, nden tɨvi guigira ndavi domdorgi tɨvara muuŋrim, mbe gangip kaŋgirga nde guigira ndavi domdorgi. 
MAT.3.9	Nde kha ndɨkndɨgar warir muuŋ thari, ‘Abraham ana nzan nzɨk ma.’ Gu guigira nde nzuai, Fhe Bakɨme vuzvuk ma, ana vuzvugirga, ana kha ŋkɨɨar muuŋgirga, Abrahaman nzɨgi hegɨrga. 
MAT.3.10	Nde mbarara! Ntigem tuik khira ndɨrir ki, vhɨgi vhuuiŋ mbai fhuv khira, mbe zam nta kɨv, nta fuv, vhava suegɨrga.
MAT.3.12	Ana bigi heei farve khɨga zi. Ana zɨv, mba wit heeŋv, mba wit mbatɨgi ana nta fusurga. Ana nta heeŋv, wit vhuuiŋ, ana nta ndiv wo wit vhuuiŋ vhui phena vhov, mba wit mbatɨgi, ana nta fuv, zazera mbara muuŋgiap shiav ki vhava suegɨrga.” 
MAT.3.13	Zon Gumgi Ruai Guma mba gumgi gu mbigi ruai tugivigen, Zisas Gariri kegap, Zordan mbɨn vui. Ana vov, Zon han vugap wo ruar zav Zon Gumgi Ruai Guma ga nzuai. 
