PSA.1.1	 Blažen 
PSA.1.2	 nego mu 
PSA.1.3	 I bit će on kao stablo zasađeno pokraj voda riječnih što u vrijeme svoje plod donosi; i lišće mu 
PSA.1.4	 Nisu takvi bezbožnici, nego 
PSA.1.5	 Stoga se bezbožnici neće na sudu održati, ni grešnici u zajednici pravednih.
PSA.1.6	 Jer GOSPOD zna put pravednih, a put bezbožnika će propasti.
PSA.2.1	 Zašto bjesne pogani i narodi ispraznost smišljaju?
PSA.2.2	 Kraljevi se zemaljski ustoličuju i vladari se međusobno savjetuju protiv GOSPODA i protiv pomazanika njegova, 
PSA.2.3	 “Raskinimo spone njihove, i zbacimo sa sebe užad njihovu!”
PSA.2.4	 Onaj što u nebesima stoluje će se smijati, Gospodin će ih ismijati.
PSA.2.5	 Tada će im u gnjevu svojemu progovoriti i jarošću ih svojom uznemiriti:
PSA.2.6	 “Ja sam kralja svojega već postavio na Sionu, svetoj gori svojoj.
PSA.2.7	 Objavit ću uredbu: GOSPOD mi je rekao: ‘Ti 
PSA.2.8	 Zatraži od mene, i dat ću 
PSA.2.9	 Ti ćeš ih slomiti štapom željeznim; razbiti ih kao posudu lončarsku.’ “
PSA.2.10	 Urazumite se stoga sada kraljevi, dopustite da vas se uputi, suci zemaljski.
PSA.2.11	 Služite GOSPODU sa strahom, i radujte se trepetom.
PSA.2.12	 Ljubite Sina da se ne razgnjevi i da ne poginete 
PSA.3.1	 GOSPODE, kako su se namnožili oni koji me tlače! Mnogo 
PSA.3.2	 Mnogo 
PSA.3.3	 Ali ti, GOSPODE, štit si meni; slava moja, i onaj koji mi glavu podiže!
PSA.3.4	 Zavapio sam GOSPODU glasom svojim, i on me je uslišao sa svete gore svoje. Sela.
PSA.3.5	 Legao sam i zaspao; probudio sam se, jer me je GOSPOD održao.
PSA.3.6	 Neću se bojati desetaka tisuća ljudi koji su 
PSA.3.7	 Ustani, GOSPODE! Spasi me, Bože moj! Jer si ti sve neprijatelje moje po obrazu udario; ti si bezbožnima zube polomio.
PSA.3.8	 Spasenje 
PSA.4.1	 Kad 
PSA.4.2	 O vi, sinovi ljudski, dokle ćete slavu moju 
PSA.4.3	 Ali znajte da je GOSPOD odvojio sebi onoga koji je pobožan: GOSPOD će čuti kad ga prizovem.
PSA.4.4	 Imajte strahopoštovanje i ne griješite! Razgovarajte sa srcem svojim na postelji svojoj, i utihnite! Sela.
