MAT.1.1	E̱i̱ tjít'a ntje̱he̱ Jesucristo̱. Ntje̱he̱ David nibaha̱ ra̱ ko̱ ntje̱he̱ Abraham nibaha̱ ra̱.
MAT.1.2	Abraham kama na̱'mihi̱ Isaac. Isaac kama na̱'mihi̱ Jacob. Jacob kama na̱'mihi̱ Juda̱ ko̱ já nts'e̱. 
MAT.1.3	Juda̱ kama na̱'mihi̱ Fare̱s ko̱ Zera̱, ko̱ Tamar kama na̱aha̱. Fare̱s kama na̱'mihi̱ Esrom. Esrom kama na̱'mihi̱ Aram. 
MAT.1.4	Aram kama na̱'mihi̱ Aminadab. Aminadab kama na̱'mihi̱ Naason. Naason kama na̱'mihi̱ Salmon. 
MAT.1.5	Salmon kama na̱'mihi̱ Booz, ko̱ Rahab kama na̱aha̱. Booz kama na̱'mihi̱ Obed, ko̱ Rut kama na̱aha̱. Obed kama na̱'mihi̱ Isai. 
MAT.1.6	Isai kama na̱'mihi̱ nda̱ rei̱ David. David kama na̱'mihi̱ Salomon, ko̱ chju̱úhu̱n Urias kama na̱aha̱.
MAT.1.7	Salomon kama na̱'mihi̱ Roboam. Roboam kama na̱'mihi̱ Abias. Abias kama na̱'mihi̱ Asa. 
MAT.1.8	Asa kama na̱'mihi̱ Josafat. Josafat kama na̱'mihi̱ Joram. Joram kama na̱'mihi̱ Uzia̱s. 
MAT.1.9	Uzia̱s kama na̱'mihi̱ Jotam. Jotam kama na̱'mihi̱ Acaz. Acaz kama na̱'mihi̱ Ezekia̱s. 
MAT.1.10	Ezekia̱s kama na̱'mihi̱ Manases. Manases kama na̱'mihi̱ Amon. Amon kama na̱'mihi̱ Josia̱s. 
MAT.1.11	Josia̱s kama na̱'mihi̱ Jeconia̱s ko̱ já nts'e̱. Kui xi tjíntu ni̱stjin nga ngjinijé xu̱ta̱ Israel Babiloni̱a̱.
MAT.1.12	A̱skaha̱n nk'ie nga ja ngjinijé xu̱ta̱ Israel Babiloni̱a̱, Jeconia̱s kama na̱'mihi̱ Salatiel. Salatiel kama na̱'mihi̱ Zorobabel. 
MAT.1.13	Zorobabel kama na̱'mihi̱ Abiud. Abiud kama na̱'mihi̱ Eliakim. Eliakim kama na̱'mihi̱ Azor. 
MAT.1.14	Azor kama na̱'mihi̱ Sadoc. Sadoc kama na̱'mihi̱ Akim. Akim kama na̱'mihi̱ Eliud. 
MAT.1.15	Eliud kama na̱'mihi̱ Eleazar. Eleazar kama na̱'mihi̱ Matan. Matan kama na̱'mihi̱ Jacob. 
MAT.1.16	Jacob kama na̱'mihi̱ Kuse. Kuse xi x'i̱hi̱n Maria̱, ko̱ Maria̱ xi na̱aha̱ Jesu. Jesu xi 'mihi̱ Cristo̱.
MAT.1.17	B'a̱ ts'ín j'aha te ñju tíkjá ntje̱ chá xi nibaha̱ ra̱ Abraham santaha David. A̱skahan ta̱ te ñjuhú tíkjá ntje̱ chá j'a ngáha santa nkúhu nga ngjinijé xu̱ta̱ Israel Babiloni̱a̱. Ko̱ a̱skahan nk'ie nga ja ngjinijé xu̱ta̱ Israel Babiloni̱a̱, ta̱ te ñjuhú tíkjá ntje̱ chá j'a ngáha santa nkúhu nga j'ai tsin xi Cristo̱.
MAT.1.18	B'i̱ kama nga tsín Jesucristo̱. Maria̱ xi kama na̱aha̱ Jesu, kui xi ja tjíndako̱ho̱ nga ku̱i̱xanko̱ Kuse. Tu̱nga kintehe̱ ní nga k'úéntuko̱ xinkjín, tu̱ ntíhí kik'a Maria̱, ntí xi kitsjáha̱ Espiri̱tu̱ Santo̱. 
MAT.1.19	Ko̱ Kuse xi ka̱ma x'i̱hi̱n, kui xi nku nda̱ xi je tjíya ani̱ma̱ha̱ ko̱ najmi mjehe̱ nga k'u̱échjit'ain Maria̱. Kui nga kama mjehe̱ ra̱ nga jyukj'i k'u̱éjñaha.
MAT.1.20	Tu̱nga a̱skahán ni nga ja kits'ínnkjink'un Kuse ni xu'bi̱, nku ntítsjehe̱ Nti̱a̱ná tsakúchjihi̱ yjoho̱ nga nijñá ján ko̱ b'a̱ kitsúhu̱:
